date,net_income_cs_rev
"Dec. 31, 2019",-76.18%
"Sept. 30, 2019",-36.46%
"June 30, 2019",-64.65%
"March 31, 2019",3.39%
"Dec. 31, 2018",-168.0%
"Sept. 30, 2018",12.94%
"June 30, 2018",-23.15%
"March 31, 2018",10.97%
"Dec. 31, 2017",2.88%
"Sept. 30, 2017",12.24%
"June 30, 2017",9.65%
"March 31, 2017",13.57%
"Dec. 31, 2016",14.77%
"Sept. 30, 2016",8.13%
"June 30, 2016",5.04%
"March 31, 2016",2.77%
"Dec. 31, 2015",3.31%
"Sept. 30, 2015",6.81%
"June 30, 2015",9.63%
"March 31, 2015",0.87%
"Dec. 31, 2014",3.13%
"Sept. 30, 2014",16.48%
"June 30, 2014",6.86%
"March 31, 2014",5.91%
"Dec. 31, 2013",2.26%
"Sept. 30, 2013",3.93%
"June 30, 2013",8.79%
"March 31, 2013",6.59%
"Dec. 31, 2012",-0.24%
"Sept. 30, 2012",9.15%
"June 30, 2012",6.65%
"March 31, 2012",6.48%
"Dec. 31, 2011",2.28%
"Sept. 30, 2011",5.26%
"June 30, 2011",9.93%
"March 31, 2011",5.62%
"Dec. 31, 2010",7.01%
"Sept. 30, 2010",7.43%
"June 30, 2010",10.43%
"March 31, 2010",7.51%
"Dec. 31, 2009",7.83%
"Sept. 30, 2009",9.92%
"June 30, 2009",12.27%
"March 31, 2009",7.11%
"Dec. 31, 2008",14.58%
"Sept. 30, 2008",8.27%
"June 30, 2008",8.30%
"March 31, 2008",6.08%
"Dec. 31, 2007",5.94%
"Sept. 30, 2007",8.48%
"June 30, 2007",8.44%
"March 31, 2007",7.63%
"Dec. 31, 2006",4.74%
"Sept. 30, 2006",12.41%
"June 30, 2006",7.69%
"March 31, 2006",6.80%
"Dec. 31, 2005",4.82%
"Sept. 30, 2005",8.99%
"June 30, 2005",10.69%
"March 31, 2005",8.17%
"Dec. 31, 2004",29.23%
"Sept. 30, 2004",8.69%
"June 30, 2004",13.53%
"March 31, 2004",111.4%
"Dec. 31, 2003",1.49%
"Sept. 30, 2003",16.66%
"June 30, 2003",7.76%
"March 31, 2003",-16.60%
"Dec. 31, 2002",-91.32%
"Sept. 30, 2002",15.81%
"June 30, 2002",7.42%
"March 31, 2002",21.50%
"Dec. 31, 2001",93.63%
"Sept. 30, 2001",20.73%
"June 30, 2001",14.96%
"March 31, 2001",-14.25%
"Dec. 31, 2000",73.75%
"Sept. 30, 2000",3.00%
"June 30, 2000",4.40%
"March 31, 2000",5.59%
"Dec. 31, 1999",-12.75%
"Sept. 30, 1999",2.98%
"June 30, 1999",3.89%
"March 31, 1999",3.34%
"Dec. 31, 1998",3.82%
"Sept. 30, 1998",3.96%
"June 30, 1998",3.63%
"March 31, 1998",3.19%
"Dec. 31, 1997",1.98%
"Sept. 30, 1997",6.32%
"June 30, 1997",6.26%
"March 31, 1997",5.14%
"Dec. 31, 1996",6.44%
"Sept. 30, 1996",8.94%
"June 30, 1996",5.23%
"March 31, 1996",11.59%
"Dec. 31, 1995",10.22%
"Sept. 30, 1995",14.27%
"June 30, 1995",16.57%
"March 31, 1995",14.25%
"Dec. 31, 1994",3.92%
"Sept. 30, 1994",14.91%
"June 30, 1994",9.89%
"March 31, 1994",9.43%
"Dec. 31, 1993",7.70%
"Sept. 30, 1993",12.08%
"June 30, 1993",9.96%
"March 31, 1993",10.38%
"Dec. 31, 1992",8.05%
"Sept. 30, 1992",12.57%
"June 30, 1992",13.35%
"March 31, 1992",11.42%
"Dec. 31, 1991",9.37%
"Sept. 30, 1991",13.28%
"June 30, 1991",12.99%
"March 31, 1991",6.14%
"Dec. 31, 1990",8.83%
"Sept. 30, 1990",15.18%
"June 30, 1990",7.65%
"March 31, 1990",9.36%
"Dec. 31, 1989",4.80%
"Sept. 30, 1989",14.11%
"June 30, 1989",11.32%
"March 31, 1989",11.59%
"Dec. 31, 1988",-22.59%
"Sept. 30, 1988",12.24%
"June 30, 1988",8.29%
"March 31, 1988",7.31%
"Dec. 31, 1987",8.13%
"Sept. 30, 1987",11.19%
"June 30, 1987",8.65%
"March 31, 1987",5.15%
"Dec. 31, 1986",12.24%
"Sept. 30, 1986",14.97%
"June 30, 1986",14.14%
"March 31, 1986",13.93%
"Dec. 31, 1985",11.34%
"Sept. 30, 1985",12.84%
"June 30, 1985",13.15%
"March 31, 1985",11.61%
"Dec. 31, 1984",11.46%
"Sept. 30, 1984",11.47%
"June 30, 1984",13.72%
"March 31, 1984",13.40%
