date,earning_yield
"March 19, 2020",15.69%
"March 18, 2020",16.76%
"March 17, 2020",15.04%
"March 16, 2020",14.10%
"March 13, 2020",11.76%
"March 12, 2020",13.35%
"March 11, 2020",10.79%
"March 10, 2020",9.71%
"March 9, 2020",10.05%
"March 6, 2020",9.30%
"March 5, 2020",9.51%
"March 4, 2020",9.15%
"March 3, 2020",9.11%
"March 2, 2020",8.65%
"Feb. 28, 2020",8.86%
"Feb. 27, 2020",8.87%
"Feb. 26, 2020",8.18%
"Feb. 25, 2020",7.89%
"Feb. 24, 2020",7.52%
"Feb. 21, 2020",7.08%
"Feb. 20, 2020",6.97%
"Feb. 19, 2020",7.05%
"Feb. 18, 2020",7.11%
"Feb. 14, 2020",7.10%
"Feb. 13, 2020",7.01%
"Feb. 12, 2020",6.90%
"Feb. 11, 2020",6.97%
"Feb. 10, 2020",6.96%
"Feb. 7, 2020",6.98%
"Feb. 6, 2020",7.05%
"Feb. 5, 2020",7.01%
"Feb. 4, 2020",7.23%
"Feb. 3, 2020",7.31%
"Jan. 31, 2020",6.96%
"Jan. 30, 2020",6.66%
"Jan. 29, 2020",6.79%
"Jan. 28, 2020",6.83%
"Jan. 27, 2020",6.90%
"Jan. 24, 2020",6.58%
"Jan. 23, 2020",6.56%
"Jan. 22, 2020",6.55%
"Jan. 21, 2020",6.50%
"Jan. 17, 2020",6.44%
"Jan. 16, 2020",6.38%
"Jan. 15, 2020",6.36%
"Jan. 14, 2020",6.15%
"Jan. 13, 2020",6.10%
"Jan. 10, 2020",6.06%
"Jan. 9, 2020",6.17%
"Jan. 8, 2020",6.31%
"Jan. 7, 2020",6.33%
"Jan. 6, 2020",6.41%
"Jan. 3, 2020",6.41%
"Jan. 2, 2020",6.17%
"Dec. 31, 2019",6.27%
"Dec. 30, 2019",5.95%
"Dec. 27, 2019",5.93%
"Dec. 26, 2019",5.86%
"Dec. 24, 2019",5.81%
"Dec. 23, 2019",5.81%
"Dec. 20, 2019",5.80%
"Dec. 19, 2019",5.85%
"Dec. 18, 2019",5.85%
"Dec. 17, 2019",5.78%
"Dec. 16, 2019",5.81%
"Dec. 13, 2019",5.89%
"Dec. 12, 2019",5.85%
"Dec. 11, 2019",5.95%
"Dec. 10, 2019",5.85%
"Dec. 9, 2019",5.98%
"Dec. 6, 2019",5.91%
"Dec. 5, 2019",5.95%
"Dec. 4, 2019",5.93%
"Dec. 3, 2019",5.89%
"Dec. 2, 2019",5.78%
"Nov. 29, 2019",5.79%
"Nov. 27, 2019",5.70%
"Nov. 26, 2019",5.68%
"Nov. 25, 2019",5.68%
"Nov. 22, 2019",5.67%
"Nov. 21, 2019",5.62%
"Nov. 20, 2019",5.69%
"Nov. 19, 2019",5.66%
"Nov. 18, 2019",5.47%
"Nov. 15, 2019",5.50%
"Nov. 14, 2019",5.48%
"Nov. 13, 2019",5.52%
"Nov. 12, 2019",5.50%
"Nov. 11, 2019",5.49%
"Nov. 8, 2019",5.48%
"Nov. 7, 2019",5.45%
"Nov. 6, 2019",5.51%
"Nov. 5, 2019",5.47%
"Nov. 4, 2019",5.46%
"Nov. 1, 2019",5.54%
"Oct. 31, 2019",5.70%
"Oct. 30, 2019",5.60%
"Oct. 29, 2019",5.48%
"Oct. 28, 2019",5.53%
"Oct. 25, 2019",5.57%
"Oct. 24, 2019",5.71%
"Oct. 23, 2019",5.89%
"Oct. 22, 2019",5.87%
"Oct. 21, 2019",5.93%
"Oct. 18, 2019",6.07%
"Oct. 17, 2019",6.14%
"Oct. 16, 2019",6.21%
"Oct. 15, 2019",6.18%
"Oct. 14, 2019",6.25%
"Oct. 11, 2019",6.28%
"Oct. 10, 2019",6.45%
"Oct. 9, 2019",6.50%
"Oct. 8, 2019",6.64%
"Oct. 7, 2019",6.63%
"Oct. 4, 2019",6.54%
"Oct. 3, 2019",6.62%
"Oct. 2, 2019",6.68%
"Oct. 1, 2019",6.49%
"Sept. 30, 2019",6.49%
"Sept. 27, 2019",7.18%
"Sept. 26, 2019",7.29%
"Sept. 25, 2019",7.24%
"Sept. 24, 2019",7.29%
"Sept. 23, 2019",7.20%
"Sept. 20, 2019",7.31%
"Sept. 19, 2019",7.25%
"Sept. 18, 2019",7.25%
"Sept. 17, 2019",7.19%
"Sept. 16, 2019",7.36%
"Sept. 13, 2019",7.09%
"Sept. 12, 2019",7.24%
"Sept. 11, 2019",7.33%
"Sept. 10, 2019",7.42%
"Sept. 9, 2019",7.63%
"Sept. 6, 2019",7.76%
"Sept. 5, 2019",7.89%
"Sept. 4, 2019",8.10%
"Sept. 3, 2019",8.13%
"Aug. 30, 2019",8.05%
"Aug. 29, 2019",8.05%
"Aug. 28, 2019",8.33%
"Aug. 27, 2019",8.45%
"Aug. 26, 2019",8.22%
"Aug. 23, 2019",8.17%
"Aug. 22, 2019",7.83%
"Aug. 21, 2019",7.73%
"Aug. 20, 2019",7.77%
"Aug. 19, 2019",7.60%
"Aug. 16, 2019",7.76%
"Aug. 15, 2019",7.90%
"Aug. 14, 2019",7.97%
"Aug. 13, 2019",7.70%
"Aug. 12, 2019",7.85%
"Aug. 9, 2019",7.69%
"Aug. 8, 2019",7.69%
"Aug. 7, 2019",7.99%
"Aug. 6, 2019",7.89%
"Aug. 5, 2019",8.00%
"Aug. 2, 2019",7.38%
"Aug. 1, 2019",7.19%
"July 31, 2019",7.11%
"July 30, 2019",7.15%
"July 29, 2019",7.21%
"July 26, 2019",7.19%
"July 25, 2019",7.26%
"July 24, 2019",7.03%
"July 23, 2019",7.15%
"July 22, 2019",7.18%
"July 19, 2019",7.24%
"July 18, 2019",7.27%
"July 17, 2019",7.28%
"July 16, 2019",7.20%
"July 15, 2019",7.19%
"July 12, 2019",7.15%
"July 11, 2019",7.18%
"July 10, 2019",7.27%
"July 9, 2019",7.37%
"July 8, 2019",7.45%
"July 5, 2019",7.40%
"July 3, 2019",7.39%
"July 2, 2019",7.51%
"July 1, 2019",7.19%
"June 30, 2019",7.08%
"June 28, 2019",7.65%
"June 27, 2019",7.80%
"June 26, 2019",7.71%
