date,gross_profit_margin
"Dec. 31, 2019",7.18%
"Sept. 30, 2019",4.11%
"June 30, 2019",3.88%
"March 31, 2019",2.20%
"Dec. 31, 2018",5.38%
"Sept. 30, 2018",4.70%
"June 30, 2018",4.95%
"March 31, 2018",4.02%
"Dec. 31, 2017",4.21%
"Sept. 30, 2017",6.85%
"June 30, 2017",4.71%
"March 31, 2017",3.36%
"Dec. 31, 2016",3.85%
"Sept. 30, 2016",5.58%
"June 30, 2016",9.79%
"March 31, 2016",9.35%
"Dec. 31, 2015",-2.39%
"Sept. 30, 2015",12.40%
"June 30, 2015",14.83%
"March 31, 2015",14.85%
"Dec. 31, 2014",8.74%
"Sept. 30, 2014",6.63%
"June 30, 2014",4.78%
"March 31, 2014",5.74%
"Dec. 31, 2013",6.33%
"Sept. 30, 2013",3.18%
"June 30, 2013",4.24%
"March 31, 2013",4.98%
"Dec. 31, 2012",6.84%
"Sept. 30, 2012",6.42%
"June 30, 2012",5.53%
"March 31, 2012",2.60%
"Dec. 31, 2011",1.99%
"Sept. 30, 2011",7.50%
"June 30, 2011",5.84%
"March 31, 2011",2.81%
"Dec. 31, 2010",4.08%
"Sept. 30, 2010",5.15%
"June 30, 2010",6.75%
"March 31, 2010",2.38%
"Dec. 31, 2009",-0.99%
"Sept. 30, 2009",2.85%
"June 30, 2009",3.34%
"March 31, 2009",9.60%
"Dec. 31, 2008",15.80%
"Sept. 30, 2008",6.33%
"June 30, 2008",5.01%
"March 31, 2008",4.16%
"Dec. 31, 2007",5.56%
"Sept. 30, 2007",7.82%
"June 30, 2007",16.14%
"March 31, 2007",12.32%
"Dec. 31, 2006",13.53%
"Sept. 30, 2006",11.59%
"June 30, 2006",13.17%
"March 31, 2006",8.31%
"Dec. 31, 2005",9.80%
"Sept. 30, 2005",8.10%
"June 30, 2005",9.92%
"March 31, 2005",8.70%
"Dec. 31, 2004",8.22%
"Sept. 30, 2004",7.86%
"June 30, 2004",10.59%
"March 31, 2004",7.45%
"Dec. 31, 2003",6.64%
"Sept. 30, 2003",7.41%
"June 30, 2003",7.20%
"March 31, 2003",7.44%
"Dec. 31, 2002",7.42%
"Sept. 30, 2002",5.85%
"June 30, 2002",6.14%
"March 31, 2002",6.47%
"Dec. 31, 2001",6.50%
"Sept. 30, 2001",6.78%
"June 30, 2001",12.76%
"March 31, 2001",8.10%
"Dec. 31, 2000",6.51%
"Sept. 30, 2000",7.41%
"June 30, 2000",6.55%
"March 31, 2000",3.73%
"Dec. 31, 1999",3.26%
"Sept. 30, 1999",4.58%
"June 30, 1999",1.54%
"March 31, 1999",4.76%
"Dec. 31, 1998",-11.26%
"Sept. 30, 1998",4.70%
"June 30, 1998",7.76%
"March 31, 1998",5.74%
"Dec. 31, 1997",2.15%
"Sept. 30, 1997",6.78%
"June 30, 1997",5.84%
"March 31, 1997",6.42%
"Dec. 31, 1996",20.84%
"Sept. 30, 1996",8.11%
"June 30, 1996",8.70%
"March 31, 1996",9.50%
"Dec. 31, 1995",20.87%
"Sept. 30, 1995",15.24%
"June 30, 1995",14.32%
"March 31, 1995",11.14%
"Dec. 31, 1994",-7.27%
"Sept. 30, 1994",18.25%
"June 30, 1994",19.30%
"March 31, 1994",17.21%
"Dec. 31, 1993",1.13%
"Sept. 30, 1993",15.46%
"June 30, 1993",15.88%
"March 31, 1993",24.17%
"Dec. 31, 1992",-20.58%
"Sept. 30, 1992",24.29%
"June 30, 1992",27.58%
"March 31, 1992",15.99%
"Dec. 31, 1991",28.35%
"Sept. 30, 1991",30.29%
"June 30, 1991",27.07%
"March 31, 1991",22.38%
"Dec. 31, 1990",25.39%
"Sept. 30, 1990",27.75%
"June 30, 1990",23.74%
"March 31, 1990",19.51%
