date,revenues_growth
"Dec. 31, 2019",-2.96%
"Sept. 30, 2019",-11.67%
"June 30, 2019",-6.71%
"March 31, 2019",-8.23%
"Dec. 31, 2018",8.86%
"Sept. 30, 2018",30.93%
"June 30, 2018",39.37%
"March 31, 2018",21.44%
"Dec. 31, 2017",27.42%
"Sept. 30, 2017",19.91%
"June 30, 2017",13.63%
"March 31, 2017",38.55%
"Dec. 31, 2016",10.31%
"Sept. 30, 2016",-12.98%
"June 30, 2016",-22.03%
"March 31, 2016",-26.33%
"Dec. 31, 2015",-32.60%
"Sept. 30, 2015",-34.38%
"June 30, 2015",-28.06%
"March 31, 2015",-36.64%
"Dec. 31, 2014",-19.08%
"Sept. 30, 2014",-4.78%
"June 30, 2014",2.59%
"March 31, 2014",0.56%
"Dec. 31, 2013",1.75%
"Sept. 30, 2013",4.06%
"June 30, 2013",-1.81%
"March 31, 2013",-4.81%
"Dec. 31, 2012",-2.41%
"Sept. 30, 2012",3.00%
"June 30, 2012",10.77%
"March 31, 2012",33.67%
"Dec. 31, 2011",56.44%
"Sept. 30, 2011",60.42%
"June 30, 2011",52.20%
"March 31, 2011",42.26%
"Dec. 31, 2010",44.65%
"Sept. 30, 2010",13.15%
"June 30, 2010",18.33%
"March 31, 2010",38.75%
"Dec. 31, 2009",21.69%
"Sept. 30, 2009",-48.35%
"June 30, 2009",-52.58%
"March 31, 2009",-52.31%
"Dec. 31, 2008",-56.08%
"Sept. 30, 2008",51.74%
"June 30, 2008",51.39%
"March 31, 2008",49.00%
"Dec. 31, 2007",47.62%
"Sept. 30, 2007",2.86%
"June 30, 2007",-5.43%
"March 31, 2007",-9.54%
"Dec. 31, 2006",-20.23%
"Sept. 30, 2006",-1.04%
"June 30, 2006",41.93%
"March 31, 2006",38.66%
"Dec. 31, 2005",58.20%
"Sept. 30, 2005",62.38%
"June 30, 2005",30.60%
"March 31, 2005",34.93%
"Dec. 31, 2004",61.86%
"Sept. 30, 2004",44.51%
"June 30, 2004",56.12%
"March 31, 2004",14.33%
"Dec. 31, 2003",17.13%
"Sept. 30, 2003",22.21%
"June 30, 2003",22.45%
"March 31, 2003",89.23%
"Dec. 31, 2002",183.7%
"Sept. 30, 2002",110.4%
"June 30, 2002",60.53%
"March 31, 2002",35.90%
"Dec. 31, 2001",-30.57%
"Sept. 30, 2001",-9.18%
"June 30, 2001",33.41%
"March 31, 2001",28.71%
"Dec. 31, 2000",56.24%
"Sept. 30, 2000",96.53%
"June 30, 2000",84.85%
"March 31, 2000",119.0%
"Dec. 31, 1999",89.74%
"Sept. 30, 1999",61.51%
"June 30, 1999",25.99%
"March 31, 1999",-1.86%
"Dec. 31, 1998",-12.90%
"Sept. 30, 1998",-32.25%
"June 30, 1998",6.27%
"March 31, 1998",-11.37%
"Dec. 31, 1997",
"Sept. 30, 1997",75.85%
"June 30, 1997",101.9%
"March 31, 1997",38.46%
"Dec. 31, 1996",
"Sept. 30, 1996",51.74%
"June 30, 1996",-9.35%
"March 31, 1996",60.77%
"Dec. 31, 1995",
"Sept. 30, 1995",28.23%
"June 30, 1995",78.95%
"March 31, 1995",145.5%
"Dec. 31, 1994",99.50%
"Sept. 30, 1994",78.54%
"June 30, 1994",29.59%
"March 31, 1994",-4.90%
"Dec. 31, 1993",-7.15%
"Sept. 30, 1993",-3.95%
"June 30, 1993",0.63%
"March 31, 1993",7.52%
"Dec. 31, 1992",55.42%
"Sept. 30, 1992",31.27%
"June 30, 1992",16.89%
"March 31, 1992",-4.11%
"Dec. 31, 1991",-41.78%
"Sept. 30, 1991",-13.52%
"June 30, 1991",-1.19%
"March 31, 1991",10.18%
"Dec. 31, 1990",25.32%
"Sept. 30, 1990",20.47%
"June 30, 1990",22.31%
"March 31, 1990",29.29%
"Dec. 31, 1989",44.52%
"Sept. 30, 1989",36.17%
"June 30, 1989",16.80%
"March 31, 1989",-4.60%
"Dec. 31, 1988",1.59%
"Sept. 30, 1988",7.30%
"June 30, 1988",23.66%
"March 31, 1988",74.32%
"Dec. 31, 1987",-59.12%
"Sept. 30, 1987",-58.63%
"June 30, 1987",-65.07%
"March 31, 1987",-79.08%
"Dec. 31, 1986",-31.15%
"Sept. 30, 1986",-46.36%
"June 30, 1986",-19.68%
"March 31, 1986",-16.92%
"Dec. 31, 1985",-35.38%
"Sept. 30, 1985",67.47%
"June 30, 1985",31.06%
"March 31, 1985",63.34%
