date,six_month_return
"March 19, 2020",-55.22%
"March 18, 2020",-58.11%
"March 17, 2020",-53.72%
"March 16, 2020",-49.47%
"March 13, 2020",-41.66%
"March 12, 2020",-47.48%
"March 11, 2020",-34.17%
"March 10, 2020",-25.99%
"March 9, 2020",-26.43%
"March 6, 2020",-19.25%
"March 5, 2020",-19.65%
"March 4, 2020",-14.22%
"March 3, 2020",-13.58%
"March 2, 2020",-9.84%
"Feb. 28, 2020",-8.95%
"Feb. 27, 2020",-7.70%
"Feb. 26, 2020",-2.70%
"Feb. 25, 2020",0.35%
"Feb. 24, 2020",5.28%
"Feb. 21, 2020",5.74%
"Feb. 20, 2020",7.90%
"Feb. 19, 2020",4.43%
"Feb. 18, 2020",5.63%
"Feb. 14, 2020",8.74%
"Feb. 13, 2020",6.30%
"Feb. 12, 2020",10.23%
"Feb. 11, 2020",6.84%
"Feb. 10, 2020",7.00%
"Feb. 7, 2020",10.86%
"Feb. 6, 2020",8.37%
"Feb. 5, 2020",10.56%
"Feb. 4, 2020",-1.01%
"Feb. 3, 2020",-2.22%
"Jan. 31, 2020",-1.10%
"Jan. 30, 2020",4.01%
"Jan. 29, 2020",2.89%
"Jan. 28, 2020",1.95%
"Jan. 27, 2020",0.88%
"Jan. 24, 2020",3.59%
"Jan. 23, 2020",5.59%
"Jan. 22, 2020",6.25%
"Jan. 21, 2020",7.89%
"Jan. 17, 2020",9.59%
"Jan. 16, 2020",9.23%
"Jan. 15, 2020",9.42%
"Jan. 14, 2020",12.57%
"Jan. 13, 2020",13.57%
"Jan. 10, 2020",16.18%
"Jan. 9, 2020",15.73%
"Jan. 8, 2020",14.42%
"Jan. 7, 2020",13.31%
"Jan. 6, 2020",11.84%
"Jan. 3, 2020",11.64%
"Jan. 2, 2020",17.88%
"Dec. 31, 2019",9.39%
"Dec. 30, 2019",8.49%
"Dec. 27, 2019",11.04%
"Dec. 26, 2019",11.17%
"Dec. 24, 2019",17.76%
"Dec. 23, 2019",16.27%
"Dec. 20, 2019",19.46%
"Dec. 19, 2019",21.02%
"Dec. 18, 2019",21.48%
"Dec. 17, 2019",24.37%
"Dec. 16, 2019",23.94%
"Dec. 13, 2019",21.42%
"Dec. 12, 2019",23.57%
"Dec. 11, 2019",21.65%
"Dec. 10, 2019",24.66%
"Dec. 9, 2019",23.81%
"Dec. 6, 2019",25.70%
"Dec. 5, 2019",27.14%
"Dec. 4, 2019",26.22%
"Dec. 3, 2019",30.40%
"Dec. 2, 2019",35.80%
"Nov. 29, 2019",27.56%
"Nov. 27, 2019",27.39%
"Nov. 26, 2019",27.84%
"Nov. 25, 2019",27.72%
"Nov. 22, 2019",21.36%
"Nov. 21, 2019",19.33%
"Nov. 20, 2019",18.41%
"Nov. 19, 2019",16.62%
"Nov. 18, 2019",20.73%
"Nov. 15, 2019",20.68%
"Nov. 14, 2019",21.53%
"Nov. 13, 2019",23.14%
"Nov. 12, 2019",20.00%
"Nov. 11, 2019",20.24%
"Nov. 8, 2019",22.40%
"Nov. 7, 2019",20.20%
"Nov. 6, 2019",16.16%
"Nov. 5, 2019",14.30%
"Nov. 4, 2019",14.47%
"Nov. 1, 2019",11.24%
"Oct. 31, 2019",6.97%
"Oct. 30, 2019",8.99%
"Oct. 29, 2019",12.52%
"Oct. 28, 2019",11.09%
"Oct. 25, 2019",9.29%
"Oct. 24, 2019",10.46%
"Oct. 23, 2019",3.95%
"Oct. 22, 2019",3.31%
"Oct. 21, 2019",5.87%
"Oct. 18, 2019",3.43%
"Oct. 17, 2019",0.76%
"Oct. 16, 2019",0.87%
"Oct. 15, 2019",2.05%
"Oct. 14, 2019",0.14%
"Oct. 11, 2019",-1.17%
"Oct. 10, 2019",-2.97%
"Oct. 9, 2019",-0.05%
"Oct. 8, 2019",-3.34%
"Oct. 7, 2019",-3.77%
"Oct. 4, 2019",0.20%
"Oct. 3, 2019",-0.85%
"Oct. 2, 2019",-1.95%
"Oct. 1, 2019",-1.40%
"Sept. 30, 2019",0.48%
"Sept. 27, 2019",-1.84%
"Sept. 26, 2019",-4.46%
"Sept. 25, 2019",-2.13%
"Sept. 24, 2019",-1.81%
"Sept. 23, 2019",-0.58%
"Sept. 20, 2019",-4.15%
"Sept. 19, 2019",-3.33%
"Sept. 18, 2019",-3.63%
"Sept. 17, 2019",-0.90%
"Sept. 16, 2019",-3.16%
"Sept. 13, 2019",1.56%
"Sept. 12, 2019",-0.18%
"Sept. 11, 2019",-0.97%
"Sept. 10, 2019",2.42%
"Sept. 9, 2019",-0.46%
"Sept. 6, 2019",-3.96%
"Sept. 5, 2019",-5.37%
"Sept. 4, 2019",-9.39%
"Sept. 3, 2019",-10.04%
"Aug. 30, 2019",-7.70%
"Aug. 29, 2019",-7.75%
"Aug. 28, 2019",-10.79%
"Aug. 27, 2019",-13.70%
"Aug. 26, 2019",-12.68%
"Aug. 23, 2019",-13.06%
"Aug. 22, 2019",-9.26%
