date,cash_dividend_payout_ratio
"Dec. 31, 2019",42.18%
"Sept. 30, 2019",40.62%
"June 30, 2019",53.76%
"March 31, 2019",42.67%
"Dec. 31, 2018",52.27%
"Sept. 30, 2018",50.84%
"June 30, 2018",39.92%
"March 31, 2018",40.41%
"Dec. 31, 2017",30.27%
"Sept. 30, 2017",34.09%
"June 30, 2017",34.47%
"March 31, 2017",29.13%
"Dec. 31, 2016",31.37%
"Sept. 30, 2016",36.42%
"June 30, 2016",29.43%
"March 31, 2016",27.65%
"Dec. 31, 2015",21.24%
"Sept. 30, 2015",17.73%
"June 30, 2015",15.16%
"March 31, 2015",19.55%
"Dec. 31, 2014",26.53%
"Sept. 30, 2014",13.65%
"June 30, 2014",22.44%
"March 31, 2014",20.80%
"Dec. 31, 2013",13.42%
"Sept. 30, 2013",50.69%
"June 30, 2013",16.38%
"March 31, 2013",15.56%
"Dec. 31, 2012",15.39%
"Sept. 30, 2012",19.75%
"June 30, 2012",18.01%
"March 31, 2012",18.98%
"Dec. 31, 2011",10.04%
"Sept. 30, 2011",4.28%
"June 30, 2011",6.05%
"March 31, 2011",5.03%
"Dec. 31, 2010",8.67%
"Sept. 30, 2010",15.54%
"June 30, 2010",50.67%
"March 31, 2010",-189.7%
"Dec. 31, 2009",-67.08%
"Sept. 30, 2009",-19.75%
"June 30, 2009",-84.97%
"March 31, 2009",216.7%
"Dec. 31, 2008",148.0%
"Sept. 30, 2008",13.22%
"June 30, 2008",87.86%
"March 31, 2008",14.94%
"Dec. 31, 2007",9.04%
"Sept. 30, 2007",8.99%
"June 30, 2007",5.62%
"March 31, 2007",6.27%
"Dec. 31, 2006",5.89%
"Sept. 30, 2006",4.35%
"June 30, 2006",2.95%
"March 31, 2006",2.92%
"Dec. 31, 2005",2.89%
"Sept. 30, 2005",3.64%
"June 30, 2005",6.29%
"March 31, 2005",4.11%
"Dec. 31, 2004",7.19%
"Sept. 30, 2004",8.02%
"June 30, 2004",8.01%
"March 31, 2004",-68.89%
"Dec. 31, 2003",11.48%
"Sept. 30, 2003",5.54%
"June 30, 2003",13.74%
"March 31, 2003",-4.86K%
"Dec. 31, 2002",-7.85%
"Sept. 30, 2002",-8.57%
"June 30, 2002",-9.87%
"March 31, 2002",-1.35K%
"Dec. 31, 2001",4.04%
"Sept. 30, 2001",3.05%
"June 30, 2001",2.56%
"March 31, 2001",3.04%
"Dec. 31, 2000",4.60%
"Sept. 30, 2000",4.74%
"June 30, 2000",6.80%
"March 31, 2000",8.48%
"Dec. 31, 1999",5.35%
"Sept. 30, 1999",0.00%
"June 30, 1999",0.00%
"March 31, 1999",-0.01%
"Dec. 31, 1998",0.00%
"Sept. 30, 1998",2.51%
"June 30, 1998",1.08%
"March 31, 1998",1.18%
"Dec. 31, 1997",5.45%
"Sept. 30, 1997",-3.92%
"June 30, 1997",-12.55%
"March 31, 1997",17.70%
"Dec. 31, 1996",9.66%
"Sept. 30, 1996",11.14%
"June 30, 1996",12.75%
"March 31, 1996",45.21%
"Dec. 31, 1995",28.27%
"Sept. 30, 1995",76.04%
"June 30, 1995",75.55%
"March 31, 1995",97.41%
"Dec. 31, 1994",-247.6%
"Sept. 30, 1994",-76.55%
"June 30, 1994",-221.5%
"March 31, 1994",365.0%
"Dec. 31, 1993",-115.3%
"Sept. 30, 1993",80.16%
"June 30, 1993",-20.65%
"March 31, 1993",-21.73%
"Dec. 31, 1992",-14.74%
"Sept. 30, 1992",-9.89%
"June 30, 1992",-11.44%
"March 31, 1992",-13.62%
"Dec. 31, 1991",-43.50%
"Sept. 30, 1991",-384.6%
"June 30, 1991",36.07%
"March 31, 1991",18.25%
"Dec. 31, 1990",29.18%
