date,sustainable_growth_rate
"Dec. 31, 2019",1.02%
"Sept. 30, 2019",0.34%
"June 30, 2019",0.19%
"March 31, 2019",0.20%
"Dec. 31, 2018",0.38%
"Sept. 30, 2018",-0.90%
"June 30, 2018",-1.06%
"March 31, 2018",-0.98%
"Dec. 31, 2017",-1.01%
"Sept. 30, 2017",0.87%
"June 30, 2017",0.94%
"March 31, 2017",0.82%
"Dec. 31, 2016",1.53%
"Sept. 30, 2016",2.09%
"June 30, 2016",3.50%
"March 31, 2016",5.52%
"Dec. 31, 2015",4.31%
"Sept. 30, 2015",16.41%
"June 30, 2015",14.59%
"March 31, 2015",13.88%
"Dec. 31, 2014",11.82%
"Sept. 30, 2014",-4.26%
"June 30, 2014",-4.78%
"March 31, 2014",-4.05%
"Dec. 31, 2013",-4.33%
"Sept. 30, 2013",1.43%
"June 30, 2013",2.38%
"March 31, 2013",1.86%
"Dec. 31, 2012",1.46%
"Sept. 30, 2012",0.79%
"June 30, 2012",0.47%
"March 31, 2012",0.67%
"Dec. 31, 2011",1.14%
"Sept. 30, 2011",0.96%
"June 30, 2011",2.49%
"March 31, 2011",3.63%
"Dec. 31, 2010",0.45%
"Sept. 30, 2010",-0.08%
"June 30, 2010",0.75%
"March 31, 2010",1.55%
"Dec. 31, 2009",1.24%
"Sept. 30, 2009",2.07%
"June 30, 2009",2.54%
"March 31, 2009",2.14%
"Dec. 31, 2008",1.00%
"Sept. 30, 2008",0.98%
"June 30, 2008",0.88%
"March 31, 2008",0.57%
"Dec. 31, 2007",2.67%
"Sept. 30, 2007",-10.51%
"June 30, 2007",-12.27%
"March 31, 2007",-13.40%
"Dec. 31, 2006",-23.66%
"Sept. 30, 2006",-9.37%
"June 30, 2006",-9.95%
"March 31, 2006",-9.68%
"Dec. 31, 2005",-1.95%
"Sept. 30, 2005",-4.09%
"June 30, 2005",-2.53%
"March 31, 2005",7.82%
"Dec. 31, 2004",8.74%
"Sept. 30, 2004",7.39%
"June 30, 2004",7.76%
"March 31, 2004",-3.32%
"Dec. 31, 2003",-3.71%
"Sept. 30, 2003",-2.30%
"June 30, 2003",-1.28%
"March 31, 2003",-2.33%
"Dec. 31, 2002",0.60%
"Sept. 30, 2002",1.87%
"June 30, 2002",2.55%
"March 31, 2002",3.83%
"Dec. 31, 2001",3.85%
"Sept. 30, 2001",11.55%
"June 30, 2001",10.59%
"March 31, 2001",13.35%
"Dec. 31, 2000",12.88%
"Sept. 30, 2000",3.64%
"June 30, 2000",4.85%
"March 31, 2000",1.85%
"Dec. 31, 1999",2.56%
"Sept. 30, 1999",1.53%
"June 30, 1999",1.81%
"March 31, 1999",2.20%
"Dec. 31, 1998",-0.27%
"Sept. 30, 1998",1.47%
"June 30, 1998",-3.83%
"March 31, 1998",1.50%
"Dec. 31, 1997",1.16%
"Sept. 30, 1997",-0.14%
"June 30, 1997",3.24%
"March 31, 1997",-1.33%
"Dec. 31, 1996",-0.38%
"Sept. 30, 1996",0.99%
"June 30, 1996",2.99%
"March 31, 1996",2.64%
"Dec. 31, 1995",2.06%
"Sept. 30, 1995",1.06%
"June 30, 1995",0.82%
"March 31, 1995",-1.94%
"Dec. 31, 1994",1.08%
"Sept. 30, 1994",1.69%
