date,net_income_cs_rev
"Dec. 31, 2019",13.86%
"Sept. 30, 2019",10.09%
"June 30, 2019",7.86%
"March 31, 2019",11.78%
"Dec. 31, 2018",7.15%
"Sept. 30, 2018",8.09%
"June 30, 2018",7.63%
"March 31, 2018",13.08%
"Dec. 31, 2017",-5.02%
"Sept. 30, 2017",7.38%
"June 30, 2017",9.02%
"March 31, 2017",13.60%
"Dec. 31, 2016",14.02%
"Sept. 30, 2016",7.69%
"June 30, 2016",7.09%
"March 31, 2016",12.69%
"Dec. 31, 2015",8.85%
"Sept. 30, 2015",5.15%
"June 30, 2015",1.17%
"March 31, 2015",8.64%
"Dec. 31, 2014",10.21%
"Sept. 30, 2014",4.27%
"June 30, 2014",2.78%
"March 31, 2014",9.71%
"Dec. 31, 2013",-4.02%
"Sept. 30, 2013",1.63%
"June 30, 2013",5.62%
"March 31, 2013",9.45%
"Dec. 31, 2012",6.82%
"Sept. 30, 2012",4.89%
"June 30, 2012",4.25%
"March 31, 2012",10.28%
"Dec. 31, 2011",5.70%
"Sept. 30, 2011",3.79%
"June 30, 2011",4.51%
"March 31, 2011",9.28%
"Dec. 31, 2010",3.14%
"Sept. 30, 2010",7.18%
"June 30, 2010",5.55%
"March 31, 2010",7.29%
"Dec. 31, 2009",3.29%
"Sept. 30, 2009",8.52%
"June 30, 2009",6.87%
"March 31, 2009",5.11%
"Dec. 31, 2008",3.99%
"Sept. 30, 2008",7.73%
"June 30, 2008",5.21%
"March 31, 2008",2.81%
"Dec. 31, 2007",3.85%
"Sept. 30, 2007",7.83%
"June 30, 2007",4.51%
"March 31, 2007",1.95%
"Dec. 31, 2006",-22.73%
"Sept. 30, 2006",4.52%
"June 30, 2006",1.50%
"March 31, 2006",-18.87%
"Dec. 31, 2005",3.45%
"Sept. 30, 2005",7.11%
"June 30, 2005",1.81%
"March 31, 2005",1.16%
"Dec. 31, 2004",-7.12%
"Sept. 30, 2004",5.05%
"June 30, 2004",22.53%
"March 31, 2004",2.86%
"Dec. 31, 2003",-2.22%
"Sept. 30, 2003",5.80%
"June 30, 2003",1.86%
"March 31, 2003",2.25%
"Dec. 31, 2002",1.97%
"Sept. 30, 2002",6.79%
"June 30, 2002",3.22%
"March 31, 2002",3.70%
"Dec. 31, 2001",4.66%
"Sept. 30, 2001",7.95%
"June 30, 2001",5.80%
"March 31, 2001",3.91%
"Dec. 31, 2000",10.90%
"Sept. 30, 2000",7.98%
"June 30, 2000",9.14%
"March 31, 2000",8.26%
"Dec. 31, 1999",2.23%
"Sept. 30, 1999",12.56%
"June 30, 1999",8.51%
"March 31, 1999",5.87%
"Dec. 31, 1998",-0.85%
"Sept. 30, 1998",13.19%
"June 30, 1998",3.44%
"March 31, 1998",5.54%
"Dec. 31, 1997",3.60%
"Sept. 30, 1997",11.90%
"June 30, 1997",5.19%
"March 31, 1997",4.27%
"Dec. 31, 1996",0.34%
"Sept. 30, 1996",8.56%
"June 30, 1996",5.27%
"March 31, 1996",6.85%
"Dec. 31, 1995",4.09%
"Sept. 30, 1995",13.23%
"June 30, 1995",4.77%
"March 31, 1995",5.74%
"Dec. 31, 1994",1.79%
"Sept. 30, 1994",13.98%
"June 30, 1994",4.17%
"March 31, 1994",7.10%
"Dec. 31, 1993",-3.45%
"Sept. 30, 1993",12.04%
"June 30, 1993",6.89%
"March 31, 1993",7.78%
"Dec. 31, 1992",3.57%
"Sept. 30, 1992",9.10%
"June 30, 1992",13.46%
"March 31, 1992",7.75%
"Dec. 31, 1991",2.71%
"Sept. 30, 1991",8.23%
"June 30, 1991",6.40%
"March 31, 1991",11.65%
"Dec. 31, 1990",7.92%
"Sept. 30, 1990",14.31%
"June 30, 1990",7.56%
"March 31, 1990",6.72%
"Dec. 31, 1989",5.29%
"Sept. 30, 1989",-63.01%
"June 30, 1989",0.55%
"March 31, 1989",7.53%
"Dec. 31, 1988",18.57%
"Sept. 30, 1988",-1.59%
"June 30, 1988",21.24%
"March 31, 1988",25.10%
"Dec. 31, 1987",11.71%
"Sept. 30, 1987",21.58%
"June 30, 1987",19.58%
"March 31, 1987",23.38%
"Dec. 31, 1986",22.65%
"Sept. 30, 1986",30.75%
"June 30, 1986",16.24%
"March 31, 1986",16.73%
"Dec. 31, 1985",18.87%
"Sept. 30, 1985",20.18%
"June 30, 1985",18.17%
"March 31, 1985",20.04%
"Dec. 31, 1984",19.23%
"Sept. 30, 1984",14.86%
"June 30, 1984",16.04%
"March 31, 1984",19.26%
