date,revenues_growth
"Dec. 31, 2019",-3.36%
"Sept. 30, 2019",-3.82%
"June 30, 2019",-0.14%
"March 31, 2019",-1.23%
"Dec. 31, 2018",8.61%
"Sept. 30, 2018",15.29%
"June 30, 2018",5.33%
"March 31, 2018",6.09%
"Dec. 31, 2017",2.82%
"Sept. 30, 2017",-5.43%
"June 30, 2017",-7.51%
"March 31, 2017",5.27%
"Dec. 31, 2016",29.31%
"Sept. 30, 2016",35.31%
"June 30, 2016",53.25%
"March 31, 2016",36.10%
"Dec. 31, 2015",-66.04%
"Sept. 30, 2015",257.6%
"June 30, 2015",180.5%
"March 31, 2015",114.8%
"Dec. 31, 2014",8.49%
"Sept. 30, 2014",-7.41%
"June 30, 2014",4.93%
"March 31, 2014",4.22%
"Dec. 31, 2013",639.9%
"Sept. 30, 2013",-1.99%
"June 30, 2013",12.81%
"March 31, 2013",19.71%
"Dec. 31, 2012",13.22%
"Sept. 30, 2012",0.45%
"June 30, 2012",-9.94%
"March 31, 2012",-18.40%
"Dec. 31, 2011",11.85%
"Sept. 30, 2011",36.04%
"June 30, 2011",51.63%
"March 31, 2011",154.7%
"Dec. 31, 2010",62.56%
"Sept. 30, 2010",-7.42%
"June 30, 2010",3.37%
"March 31, 2010",-6.47%
"Dec. 31, 2009",-6.29%
"Sept. 30, 2009",-8.43%
"June 30, 2009",-7.29%
"March 31, 2009",0.38%
"Dec. 31, 2008",-1.28%
"Sept. 30, 2008",3.98%
"June 30, 2008",-0.38%
"March 31, 2008",-14.55%
"Dec. 31, 2007",19.69%
"Sept. 30, 2007",2.65%
"June 30, 2007",8.62%
"March 31, 2007",37.09%
"Dec. 31, 2006",3.01%
"Sept. 30, 2006",0.65%
"June 30, 2006",7.43%
"March 31, 2006",-28.09%
"Dec. 31, 2005",
"Sept. 30, 2005",-19.78%
"June 30, 2005",-28.69%
"March 31, 2005",11.67%
"Dec. 31, 2004",
"Sept. 30, 2004",10.72%
"June 30, 2004",13.06%
"March 31, 2004",6.48%
"Dec. 31, 2003",-16.16%
"Sept. 30, 2003",-9.02%
"June 30, 2003",-18.88%
"March 31, 2003",-9.33%
"Dec. 31, 2002",-16.86%
"Sept. 30, 2002",2.38%
"June 30, 2002",8.30%
"March 31, 2002",6.66%
"Dec. 31, 2001",256.9%
"Sept. 30, 2001",26.94%
"June 30, 2001",34.76%
"March 31, 2001",18.58%
"Dec. 31, 2000",-60.33%
"Sept. 30, 2000",24.09%
"June 30, 2000",18.42%
"March 31, 2000",21.07%
"Dec. 31, 1999",-10.65%
"Sept. 30, 1999",0.25%
"June 30, 1999",2.94%
"March 31, 1999",3.82%
"Dec. 31, 1998",-2.54%
"Sept. 30, 1998",1.02%
"June 30, 1998",-2.44%
"March 31, 1998",-9.87%
"Dec. 31, 1997",-4.29%
"Sept. 30, 1997",-6.02%
"June 30, 1997",-2.96%
"March 31, 1997",5.50%
"Dec. 31, 1996",9.86%
"Sept. 30, 1996",4.44%
"June 30, 1996",3.30%
"March 31, 1996",3.33%
"Dec. 31, 1995",6.75%
"Sept. 30, 1995",8.50%
"June 30, 1995",6.52%
"March 31, 1995",-1.31%
"Dec. 31, 1994",0.33%
"Sept. 30, 1994",-2.53%
"June 30, 1994",1.59%
"March 31, 1994",3.52%
"Dec. 31, 1993",-2.33%
"Sept. 30, 1993",7.67%
"June 30, 1993",-5.92%
"March 31, 1993",-8.43%
"Dec. 31, 1992",-16.33%
"Sept. 30, 1992",4.95%
"June 30, 1992",5.87%
"March 31, 1992",4.06%
"Dec. 31, 1991",20.69%
"Sept. 30, 1991",3.39%
"June 30, 1991",20.70%
"March 31, 1991",24.01%
"Dec. 31, 1990",17.01%
"Sept. 30, 1990",12.49%
"June 30, 1990",-1.64%
"March 31, 1990",6.28%
"Dec. 31, 1989",2.68%
"Sept. 30, 1989",-0.35%
"June 30, 1989",5.98%
"March 31, 1989",1.74%
"Dec. 31, 1988",4.78%
"Sept. 30, 1988",7.59%
"June 30, 1988",0.42%
"March 31, 1988",3.94%
"Dec. 31, 1987",7.35%
"Sept. 30, 1987",13.23%
"June 30, 1987",7.05%
"March 31, 1987",-4.24%
"Dec. 31, 1986",-12.27%
"Sept. 30, 1986",-8.55%
"June 30, 1986",-7.43%
"March 31, 1986",-5.84%
"Dec. 31, 1985",3.62%
"Sept. 30, 1985",-2.11%
"June 30, 1985",-1.38%
"March 31, 1985",4.16%
