date,profit_margin
"Dec. 31, 2019",15.28%
"Sept. 30, 2019",14.39%
"June 30, 2019",18.18%
"March 31, 2019",15.81%
"Dec. 31, 2018",19.83%
"Sept. 30, 2018",25.72%
"June 30, 2018",16.53%
"March 31, 2018",17.43%
"Dec. 31, 2017",71.72%
"Sept. 30, 2017",3.82%
"June 30, 2017",0.89%
"March 31, 2017",1.10%
"Dec. 31, 2016",-6.28%
"Sept. 30, 2016",-9.53%
"June 30, 2016",-16.55%
"March 31, 2016",-35.37%
"Dec. 31, 2015",-15.87%
"Sept. 30, 2015",-188.7%
"June 30, 2015",0.21%
"March 31, 2015",-7.36%
"Dec. 31, 2014",10.59%
"Sept. 30, 2014",21.90%
"June 30, 2014",16.92%
"March 31, 2014",16.28%
"Dec. 31, 2013",15.57%
"Sept. 30, 2013",13.13%
"June 30, 2013",17.34%
"March 31, 2013",15.56%
"Dec. 31, 2012",-16.52%
"Sept. 30, 2012",12.35%
"June 30, 2012",14.21%
"March 31, 2012",11.88%
"Dec. 31, 2011",4.43%
"Sept. 30, 2011",21.39%
"June 30, 2011",12.42%
"March 31, 2011",7.06%
"Dec. 31, 2010",3.48%
"Sept. 30, 2010",-4.48%
"June 30, 2010",4.41%
"March 31, 2010",8.61%
"Dec. 31, 2009",22.74%
"Sept. 30, 2009",0.42%
"June 30, 2009",-1.94%
"March 31, 2009",13.70%
"Dec. 31, 2008",28.25%
"Sept. 30, 2008",47.68%
"June 30, 2008",16.27%
"March 31, 2008",21.25%
"Dec. 31, 2007",29.33%
"Sept. 30, 2007",21.64%
"June 30, 2007",30.43%
"March 31, 2007",23.89%
"Dec. 31, 2006",40.23%
"Sept. 30, 2006",30.88%
"June 30, 2006",36.06%
"March 31, 2006",39.34%
"Dec. 31, 2005",38.62%
"Sept. 30, 2005",36.79%
"June 30, 2005",31.82%
"March 31, 2005",29.46%
"Dec. 31, 2004",29.98%
"Sept. 30, 2004",29.00%
"June 30, 2004",27.93%
"March 31, 2004",21.72%
"Dec. 31, 2003",17.06%
"Sept. 30, 2003",27.13%
"June 30, 2003",25.61%
"March 31, 2003",27.87%
"Dec. 31, 2002",11.52%
"Sept. 30, 2002",10.32%
"June 30, 2002",13.12%
"March 31, 2002",-13.00%
"Dec. 31, 2001",-10.44%
"Sept. 30, 2001",20.32%
"June 30, 2001",29.23%
"March 31, 2001",36.04%
"Dec. 31, 2000",31.96%
"Sept. 30, 2000",28.96%
"June 30, 2000",24.02%
"March 31, 2000",15.96%
"Dec. 31, 1999",11.33%
"Sept. 30, 1999",
"June 30, 1999",11.00%
"March 31, 1999",3.21%
"Dec. 31, 1998",4.26%
"Sept. 30, 1998",3.08%
"June 30, 1998",7.26%
"March 31, 1998",13.51%
"Dec. 31, 1997",18.15%
"Sept. 30, 1997",16.16%
"June 30, 1997",14.32%
"March 31, 1997",12.78%
"Dec. 31, 1996",17.18%
"Sept. 30, 1996",18.45%
"June 30, 1996",24.15%
"March 31, 1996",16.29%
"Dec. 31, 1995",20.08%
"Sept. 30, 1995",21.57%
"June 30, 1995",26.14%
"March 31, 1995",19.05%
"Dec. 31, 1994",21.50%
"Sept. 30, 1994",32.18%
"June 30, 1994",24.00%
"March 31, 1994",19.91%
"Dec. 31, 1993",25.79%
"Sept. 30, 1993",25.37%
"June 30, 1993",23.84%
"March 31, 1993",22.08%
"Dec. 31, 1992",28.22%
"Sept. 30, 1992",18.41%
"June 30, 1992",14.53%
"March 31, 1992",22.62%
"Dec. 31, 1991",18.61%
"Sept. 30, 1991",15.95%
"June 30, 1991",8.30%
"March 31, 1991",12.41%
"Dec. 31, 1990",17.12%
"Sept. 30, 1990",10.83%
"June 30, 1990",7.12%
"March 31, 1990",11.63%
"Dec. 31, 1989",2.47%
"Sept. 30, 1989",-5.12%
"June 30, 1989",-3.57%
"March 31, 1989",-3.43%
