date,three_year_return
"March 19, 2020",-65.55%
"March 18, 2020",-69.14%
"March 17, 2020",-67.97%
"March 16, 2020",-67.55%
"March 13, 2020",-63.35%
"March 12, 2020",-65.71%
"March 11, 2020",-59.00%
"March 10, 2020",-56.11%
"March 9, 2020",-60.71%
"March 6, 2020",-44.74%
"March 5, 2020",-37.23%
"March 4, 2020",-34.99%
"March 3, 2020",-36.66%
"March 2, 2020",-36.16%
"Feb. 28, 2020",-34.78%
"Feb. 27, 2020",-38.72%
"Feb. 26, 2020",-34.37%
"Feb. 25, 2020",-30.44%
"Feb. 24, 2020",-27.40%
"Feb. 21, 2020",-25.39%
"Feb. 20, 2020",-23.27%
"Feb. 19, 2020",-21.96%
"Feb. 18, 2020",-24.74%
"Feb. 14, 2020",-25.99%
"Feb. 13, 2020",-24.58%
"Feb. 12, 2020",-25.69%
"Feb. 11, 2020",-26.27%
"Feb. 10, 2020",-27.35%
"Feb. 7, 2020",-23.50%
"Feb. 6, 2020",-23.90%
"Feb. 5, 2020",-23.67%
"Feb. 4, 2020",-27.07%
"Feb. 3, 2020",-29.29%
"Jan. 31, 2020",-28.22%
"Jan. 30, 2020",-25.08%
"Jan. 29, 2020",-26.98%
"Jan. 28, 2020",-25.12%
"Jan. 27, 2020",-25.52%
"Jan. 24, 2020",-22.98%
"Jan. 23, 2020",-20.91%
"Jan. 22, 2020",-21.22%
"Jan. 21, 2020",-20.32%
"Jan. 17, 2020",-19.12%
"Jan. 16, 2020",-17.43%
"Jan. 15, 2020",-17.70%
"Jan. 14, 2020",-18.09%
"Jan. 13, 2020",-18.85%
"Jan. 10, 2020",-16.57%
"Jan. 9, 2020",-14.34%
"Jan. 8, 2020",-16.99%
"Jan. 7, 2020",-15.13%
"Jan. 6, 2020",-15.94%
"Jan. 3, 2020",-17.92%
"Jan. 2, 2020",-16.78%
"Dec. 31, 2019",-17.15%
"Dec. 30, 2019",-18.51%
"Dec. 27, 2019",-18.92%
"Dec. 26, 2019",-18.01%
"Dec. 24, 2019",-17.86%
"Dec. 23, 2019",-18.28%
"Dec. 20, 2019",-19.87%
"Dec. 19, 2019",-21.48%
"Dec. 18, 2019",-22.51%
"Dec. 17, 2019",-24.22%
"Dec. 16, 2019",-25.09%
"Dec. 13, 2019",-30.11%
"Dec. 12, 2019",-27.52%
"Dec. 11, 2019",-29.85%
"Dec. 10, 2019",-29.69%
"Dec. 9, 2019",-30.00%
"Dec. 6, 2019",-28.86%
"Dec. 5, 2019",-32.42%
"Dec. 4, 2019",-30.55%
"Dec. 3, 2019",-33.70%
"Dec. 2, 2019",-31.76%
"Nov. 29, 2019",-23.30%
"Nov. 27, 2019",-24.62%
"Nov. 26, 2019",-25.08%
"Nov. 25, 2019",-23.40%
"Nov. 22, 2019",-23.39%
"Nov. 21, 2019",-23.36%
"Nov. 20, 2019",-22.64%
"Nov. 19, 2019",-24.42%
"Nov. 18, 2019",-23.50%
"Nov. 15, 2019",-22.30%
"Nov. 14, 2019",-21.94%
"Nov. 13, 2019",-20.57%
"Nov. 12, 2019",-19.82%
"Nov. 11, 2019",-19.24%
"Nov. 8, 2019",-19.99%
"Nov. 7, 2019",-20.00%
"Nov. 6, 2019",-22.20%
"Nov. 5, 2019",-19.38%
"Nov. 4, 2019",-19.73%
"Nov. 1, 2019",-21.95%
"Oct. 31, 2019",-23.35%
"Oct. 30, 2019",-23.33%
"Oct. 29, 2019",-20.91%
"Oct. 28, 2019",-21.75%
"Oct. 25, 2019",-21.79%
"Oct. 24, 2019",-23.13%
"Oct. 23, 2019",-23.37%
"Oct. 22, 2019",-25.89%
"Oct. 21, 2019",-27.93%
"Oct. 18, 2019",-30.81%
"Oct. 17, 2019",-28.80%
"Oct. 16, 2019",-27.84%
"Oct. 15, 2019",-26.70%
"Oct. 14, 2019",-27.83%
"Oct. 11, 2019",-27.90%
"Oct. 10, 2019",-29.17%
"Oct. 9, 2019",-28.88%
"Oct. 8, 2019",-28.73%
"Oct. 7, 2019",-27.66%
"Oct. 4, 2019",-25.46%
"Oct. 3, 2019",-26.29%
"Oct. 2, 2019",-27.83%
"Oct. 1, 2019",-25.98%
"Sept. 30, 2019",-23.26%
"Sept. 27, 2019",-15.33%
