date,cash_dividend_payout_ratio
"Dec. 31, 2019",33.79%
"Sept. 30, 2019",26.28%
"June 30, 2019",23.81%
"March 31, 2019",39.42%
"Dec. 31, 2018",25.89%
"Sept. 30, 2018",34.61%
"June 30, 2018",78.37%
"March 31, 2018",128.7%
"Dec. 31, 2017",274.0%
"Sept. 30, 2017",-584.6%
"June 30, 2017",221.2%
"March 31, 2017",4.03K%
"Dec. 31, 2016",-166.6%
"Sept. 30, 2016",-71.74%
"June 30, 2016",-43.50%
"March 31, 2016",-32.97%
"Dec. 31, 2015",-25.88%
"Sept. 30, 2015",-33.72%
"June 30, 2015",-53.79%
"March 31, 2015",-58.34%
"Dec. 31, 2014",69.52%
"Sept. 30, 2014",40.22%
"June 30, 2014",48.08%
"March 31, 2014",22.62%
"Dec. 31, 2013",74.10%
"Sept. 30, 2013",-55.39%
"June 30, 2013",-25.37%
"March 31, 2013",-12.98%
"Dec. 31, 2012",-8.55%
"Sept. 30, 2012",-7.58%
"June 30, 2012",-7.07%
"March 31, 2012",-6.56%
"Dec. 31, 2011",-7.05%
"Sept. 30, 2011",-5.78%
"June 30, 2011",-5.05%
"March 31, 2011",-5.03%
"Dec. 31, 2010",-5.33%
"Sept. 30, 2010",-7.37%
"June 30, 2010",-10.76%
"March 31, 2010",-18.06%
"Dec. 31, 2009",-24.50%
"Sept. 30, 2009",-19.31%
"June 30, 2009",-22.48%
"March 31, 2009",-20.31%
"Dec. 31, 2008",-20.49%
"Sept. 30, 2008",-19.19%
"June 30, 2008",-13.19%
"March 31, 2008",-10.83%
"Dec. 31, 2007",-10.69%
"Sept. 30, 2007",-10.18%
"June 30, 2007",-9.43%
"March 31, 2007",-10.62%
"Dec. 31, 2006",-25.11%
"Sept. 30, 2006",14.19%
"June 30, 2006",8.30%
"March 31, 2006",6.29%
"Dec. 31, 2005",6.67%
"Sept. 30, 2005",17.82%
"June 30, 2005",22.87%
"March 31, 2005",182.4%
"Dec. 31, 2004",135.9%
"Sept. 30, 2004",-9.80%
"June 30, 2004",-14.68%
"March 31, 2004",-182.6%
"Dec. 31, 2003",860.4%
"Sept. 30, 2003",7.97%
"June 30, 2003",11.32%
"March 31, 2003",60.48%
"Dec. 31, 2002",-19.54%
"Sept. 30, 2002",-18.93%
"June 30, 2002",-11.43%
"March 31, 2002",-21.23%
"Dec. 31, 2001",12.79%
"Sept. 30, 2001",5.92%
"June 30, 2001",4.46%
"March 31, 2001",4.58%
"Dec. 31, 2000",7.15%
"Sept. 30, 2000",9.20%
"June 30, 2000",9.44%
"March 31, 2000",11.52%
"Dec. 31, 1999",36.96%
"Sept. 30, 1999",-49.20%
"June 30, 1999",-7.85%
"March 31, 1999",-6.09%
"Dec. 31, 1998",-6.45%
"Sept. 30, 1998",-7.25%
"June 30, 1998",-15.87%
"March 31, 1998",-18.70%
"Dec. 31, 1997",-19.83%
"Sept. 30, 1997",-7.96%
"June 30, 1997",-8.11%
"March 31, 1997",-9.99%
"Dec. 31, 1996",-11.02%
"Sept. 30, 1996",-66.44%
"June 30, 1996",-28.96%
"March 31, 1996",-20.15%
"Dec. 31, 1995",-17.52%
"Sept. 30, 1995",-17.14%
"June 30, 1995",-22.12%
"March 31, 1995",-66.67%
"Dec. 31, 1994",-118.5%
"Sept. 30, 1994",-56.47%
"June 30, 1994",18.16%
"March 31, 1994",14.41%
"Dec. 31, 1993",19.88%
"Sept. 30, 1993",32.11%
"June 30, 1993",-35.58%
"March 31, 1993",-16.22%
"Dec. 31, 1992",-27.50%
"Sept. 30, 1992",85.88%
"June 30, 1992",54.09%
"March 31, 1992",38.19%
"Dec. 31, 1991",50.33%
"Sept. 30, 1991",-60.08%
"June 30, 1991",-172.7%
"March 31, 1991",-23.46%
"Dec. 31, 1990",-21.93%
