date,eps_growth
"Dec. 31, 2019",-28.57%
"Sept. 30, 2019",-48.29%
"June 30, 2019",21.67%
"March 31, 2019",0.00%
"Dec. 31, 2018",-63.33%
"Sept. 30, 2018",1.11K%
"June 30, 2018",2.90K%
"March 31, 2018",2.10K%
"Dec. 31, 2017",
"Sept. 30, 2017",
"June 30, 2017",
"March 31, 2017",
"Dec. 31, 2016",
"Sept. 30, 2016",
"June 30, 2016",
"March 31, 2016",
"Dec. 31, 2015",
"Sept. 30, 2015",
"June 30, 2015",-99.22%
"March 31, 2015",
"Dec. 31, 2014",-23.58%
"Sept. 30, 2014",136.5%
"June 30, 2014",6.61%
"March 31, 2014",32.97%
"Dec. 31, 2013",
"Sept. 30, 2013",29.77%
"June 30, 2013",64.63%
"March 31, 2013",51.67%
"Dec. 31, 2012",
"Sept. 30, 2012",-34.83%
"June 30, 2012",33.64%
"March 31, 2012",130.8%
"Dec. 31, 2011",109.5%
"Sept. 30, 2011",
"June 30, 2011",358.3%
"March 31, 2011",13.04%
"Dec. 31, 2010",-86.79%
"Sept. 30, 2010",
"June 30, 2010",
"March 31, 2010",-26.98%
"Dec. 31, 2009",-13.59%
"Sept. 30, 2009",-99.68%
"June 30, 2009",
"March 31, 2009",-34.38%
"Dec. 31, 2008",27.78%
"Sept. 30, 2008",656.1%
"June 30, 2008",-42.74%
"March 31, 2008",9.09%
"Dec. 31, 2007",50.00%
"Sept. 30, 2007",-32.23%
"June 30, 2007",-7.46%
"March 31, 2007",-49.13%
"Dec. 31, 2006",-48.94%
"Sept. 30, 2006",-13.57%
"June 30, 2006",31.37%
"March 31, 2006",108.4%
"Dec. 31, 2005",121.2%
"Sept. 30, 2005",97.18%
"June 30, 2005",70.00%
"March 31, 2005",97.62%
"Dec. 31, 2004",178.7%
"Sept. 30, 2004",43.43%
"June 30, 2004",31.87%
"March 31, 2004",-22.94%
"Dec. 31, 2003",69.44%
"Sept. 30, 2003",350.0%
"June 30, 2003",203.3%
"March 31, 2003",
"Dec. 31, 2002",
"Sept. 30, 2002",-62.71%
"June 30, 2002",-73.45%
"March 31, 2002",
"Dec. 31, 2001",
"Sept. 30, 2001",-37.89%
"June 30, 2001",79.37%
"March 31, 2001",442.4%
"Dec. 31, 2000",241.0%
"Sept. 30, 2000",-74.39%
"June 30, 2000",384.6%
"March 31, 2000",1.00K%
"Dec. 31, 1999",550.0%
"Sept. 30, 1999",9.18K%
"June 30, 1999",44.44%
"March 31, 1999",-82.35%
"Dec. 31, 1998",-77.78%
"Sept. 30, 1998",-80.00%
"June 30, 1998",-43.75%
"March 31, 1998",21.43%
"Dec. 31, 1997",22.73%
"Sept. 30, 1997",5.26%
"June 30, 1997",-44.83%
"March 31, 1997",-12.50%
"Dec. 31, 1996",10.00%
"Sept. 30, 1996",-9.52%
"June 30, 1996",-3.33%
"March 31, 1996",-15.79%
"Dec. 31, 1995",-25.93%
"Sept. 30, 1995",-19.23%
"June 30, 1995",42.86%
"March 31, 1995",0.00%
"Dec. 31, 1994",17.39%
"Sept. 30, 1994",13.04%
"June 30, 1994",0.00%
"March 31, 1994",0.00%
"Dec. 31, 1993",-8.00%
"Sept. 30, 1993",64.29%
"June 30, 1993",110.0%
"March 31, 1993",26.67%
"Dec. 31, 1992",78.57%
"Sept. 30, 1992",55.56%
"June 30, 1992",100.0%
"March 31, 1992",87.50%
"Dec. 31, 1991",7.69%
"Sept. 30, 1991",50.00%
"June 30, 1991",25.00%
"March 31, 1991",0.00%
