Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Operating Revenue,63.02B,63.42B,67.49B,61.65B,68.25B,74.19B,71.46B,65.44B,65.31B,59.35B,56.03B,56.47B,40.40B,56.77B,56.36B,47.10B,38.06B,65.68B,71.36B,64.76B,83.87B,103.21B,105.72B,101.31B,106.02B,108.39B,103.05B,103.38B,109.16B,110.99B,112.74B,119.19B,115.91B,120.48B,121.39B,109.25B,101.04B,92.35B,89.69B,87.04B,85.48B,80.58B,72.17B,64.03B,82.23B,134.91B,133.78B,113.22B,140.35B,91.16B,95.06B,76.89B,80.12B,88.50B,87.81B,86.32B,119.04B,88.57B,79.11B,72.24B,101.09B,67.81B,62.71B,59.64B,55.71B,52.86B,50.27B,54.36B,49.38B,47.41B,44.32B,37.80B,40.34B,45.82B,49.88B,50.78B,55.80B,52.18B,49.48B,47.78B,67.08B,43.60B,38.06B,33.80B,90.03B,24.51B,25.20B,29.96B,86.68B,28.76B,28.68B,29.56B,32.50B,29.09B,27.98B,27.16B,26.90B,27.02B,27.85B,26.13B,26.51B,26.05B,24.25B,22.88B,24.53B,24.46B,24.70B,24.14B,26.90B,27.24B,24.55B,24.48B,27.12B,24.24B,24.25B,27.24B,31.86B,26.09B,23.44B,24.13B,23.70B,21.25B,23.61B,22.24B,19.48B,19.74B,19.93B,20.41B,20.45B,19.60B,18.59B,17.78B,17.52B,15.57B,16.43B,20.37B,22.71B,20.86B,21.46B,21.65B,22.87B,21.96B,22.78B,23.24B
Revenue,63.02B,63.42B,67.49B,61.65B,68.25B,74.19B,71.46B,65.44B,65.31B,59.35B,56.03B,56.47B,40.40B,56.77B,56.36B,47.10B,38.06B,65.68B,71.36B,64.76B,83.87B,103.21B,105.72B,101.31B,106.02B,108.39B,103.05B,103.38B,109.16B,110.99B,112.74B,119.19B,113.67B,121.42B,121.77B,110.18B,99.31B,92.86B,90.24B,87.71B,87.43B,80.58B,74.46B,64.03B,82.23B,134.91B,138.07B,116.85B,107.74B,102.34B,98.35B,87.22B,90.03B,99.59B,99.03B,88.98B,99.34B,100.72B,88.57B,82.05B,83.36B,76.38B,70.69B,67.60B,65.95B,59.84B,57.16B,63.78B,56.21B,54.10B,50.80B,43.39B,47.19B,56.45B,56.18B,57.30B,82.41B,52.18B,49.48B,47.78B,67.08B,43.60B,38.06B,33.80B,90.03B,24.51B,25.20B,29.96B,86.68B,28.76B,28.68B,29.56B,32.50B,29.09B,27.98B,27.16B,26.90B,27.02B,27.85B,26.13B,26.51B,26.05B,24.25B,22.88B,24.53B,24.46B,24.70B,24.14B,26.90B,27.24B,24.55B,24.48B,27.12B,24.24B,24.25B,27.24B,31.86B,26.09B,23.44B,24.13B,23.70B,21.25B,23.61B,22.24B,19.48B,19.74B,19.93B,20.41B,20.45B,19.60B,18.59B,17.78B,17.52B,15.57B,16.43B,20.37B,22.71B,20.86B,21.46B,21.65B,22.87B,21.96B,22.78B,23.24B
Cost of Goods Sold,49.18B,49.01B,53.10B,48.34B,51.98B,55.53B,54.83B,49.25B,51.19B,44.26B,42.91B,42.44B,27.83B,45.79B,45.46B,37.85B,24.17B,51.24B,56.96B,51.26B,67.16B,81.90B,84.84B,79.56B,83.78B,85.97B,81.91B,80.79B,84.94B,85.92B,88.06B,92.01B,101.60B,87.97B,79.77B,77.93B,86.20B,65.03B,63.79B,62.04B,81.28B,49.79B,51.64B,41.68B,47.56B,83.18B,96.64B,78.64B,67.92B,60.21B,55.66B,47.60B,50.18B,56.77B,55.77B,50.53B,56.94B,59.13B,51.36B,45.57B,45.25B,43.16B,38.89B,36.24B,33.86B,32.78B,29.73B,33.56B,30.45B,30.18B,27.06B,22.01B,22.77B,27.64B,30.62B,30.15B,34.82B,32.21B,30.96B,29.46B,28.65B,26.45B,21.67B,18.29B,37.81B,13.92B,14.39B,15.20B,50.47B,16.98B,17.05B,17.92B,20.23B,17.42B,16.74B,16.02B,14.87B,15.46B,16.57B,15.45B,15.39B,15.60B,14.77B,13.46B,13.97B,14.82B,15.06B,15.03B,16.56B,16.47B,15.00B,14.26B,16.66B,14.50B,14.32B,15.76B,19.71B,15.94B,13.60B,14.44B,14.26B,12.29B,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,13.85B,14.41B,14.40B,13.30B,16.27B,18.66B,16.62B,16.19B,14.13B,15.09B,13.12B,14.03B,12.56B,10.98B,10.90B,9.257B,13.88B,14.43B,14.40B,13.50B,16.70B,21.31B,20.88B,21.75B,22.24B,22.42B,21.14B,22.59B,24.22B,25.07B,24.69B,27.18B,12.07B,33.44B,42.00B,32.24B,13.11B,27.83B,26.45B,25.68B,6.148B,30.80B,22.82B,22.35B,34.67B,51.74B,41.44B,38.22B,39.82B,42.13B,42.69B,39.63B,39.84B,42.82B,43.26B,38.45B,42.40B,41.59B,37.21B,36.48B,38.11B,33.22B,31.80B,31.36B,32.10B,27.06B,27.44B,30.22B,25.76B,23.92B,23.74B,21.38B,24.42B,28.81B,25.56B,27.15B,47.59B,19.97B,18.52B,18.32B,38.42B,17.14B,16.39B,15.51B,52.22B,10.59B,10.81B,14.77B,36.21B,11.79B,11.63B,11.64B,12.27B,11.66B,11.23B,11.14B,12.02B,11.57B,11.28B,10.68B,11.11B,10.45B,9.479B,9.42B,10.56B,9.633B,9.646B,9.105B,10.34B,10.77B,9.55B,10.22B,10.46B,9.735B,9.929B,11.47B,12.15B,10.14B,9.843B,9.688B,9.441B,8.961B,,,,,,,,,,,,,,,,,,,,,,
SG&A Expense,3.048B,2.753B,2.827B,2.77B,2.848B,2.892B,2.993B,2.747B,2.956B,2.632B,2.556B,2.505B,2.468B,2.736B,2.646B,2.593B,2.99B,2.967B,2.831B,2.713B,3.128B,3.169B,3.169B,3.132B,3.341B,3.15B,3.268B,3.118B,3.322B,3.468B,3.486B,3.601B,3.911B,3.764B,3.681B,3.627B,3.855B,3.707B,3.607B,3.514B,3.881B,3.887B,3.519B,3.448B,3.859B,3.823B,4.389B,3.802B,4.054B,3.656B,3.788B,3.392B,3.838B,3.412B,3.557B,3.466B,3.678B,3.765B,3.508B,3.451B,3.903B,3.372B,3.332B,3.242B,3.708B,3.246B,3.34B,3.102B,3.179B,2.73B,3.31B,3.137B,3.427B,3.196B,3.215B,3.06B,2.979B,3.358B,2.83B,2.877B,3.799B,2.77B,3.338B,3.244B,6.636B,2.106B,2.179B,2.004B,7.298B,2.088B,2.012B,1.879B,1.954B,2.051B,2.02B,1.936B,2.286B,1.857B,1.755B,1.731B,2.092B,1.783B,1.735B,1.616B,1.963B,1.676B,1.762B,1.608B,1.823B,1.812B,1.927B,1.87B,2.214B,1.905B,1.928B,1.834B,2.492B,1.863B,1.80B,1.621B,1.535B,1.75B,,,,,,,,,,,,,,,,,,,,,,
Special Income and Charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.049B,1.276B,1.134B,1.45B,1.547B,1.323B,863.00M,1.591B,906.00M,625.00M,1.02B,773.00M,302.00M,461.00M,286.00M,3.219B,400.00M,383.00M,,1.334B,-129.00M,-41.00M,-83.00M,-315.00M,-145.00M,-167.00M,-121.00M,-3.503B,327.00M,616.00M,-252.00M,1.836B,,-40.00M,-14.00M,2.237B,589.00M,557.00M,,2.611B,368.00M,533.00M,485.00M,1.006B,383.00M,586.00M,731.00M,559.00M,392.00M,583.00M,582.00M,893.00M,326.00M,217.00M,340.00M,426.00M,540.00M,348.00M,365.00M,520.00M,211.00M,223.00M,480.00M,459.00M,188.00M,285.00M,492.00M,206.00M,191.00M,419.00M,330.00M,-857.00M,225.00M,,,,,,,,,,,,,,,,,,,,,,
Non Income Taxes,7.769B,7.676B,7.675B,7.405B,7.838B,8.303B,8.375B,8.147B,7.989B,7.751B,7.368B,6.996B,9.75B,6.496B,6.67B,6.104B,9.805B,6.981B,6.91B,6.613B,7.537B,8.244B,8.484B,8.021B,8.584B,8.523B,8.178B,7.945B,8.17B,7.883B,9.207B,10.30B,10.06B,10.22B,18.90B,9.403B,9.63B,9.306B,8.569B,8.613B,-9.438B,15.90B,8.436B,7.80B,15.82B,20.32B,11.42B,10.71B,42.97B,10.23B,17.70B,9.591B,9.997B,10.16B,10.17B,16.54B,40.79B,10.85B,10.47B,10.18B,37.94B,10.18B,9.931B,10.16B,10.11B,9.611B,9.113B,8.807B,8.751B,8.485B,8.391B,7.945B,8.707B,8.42B,8.057B,8.193B,8.473B,8.529B,7.624B,8.082B,31.29B,8.682B,8.222B,8.22B,37.73B,5.699B,5.534B,8.614B,16.68B,5.798B,5.449B,5.193B,5.855B,5.972B,5.623B,5.506B,6.03B,5.994B,5.84B,5.464B,5.607B,5.639B,5.146B,4.792B,5.186B,4.993B,4.984B,4.582B,5.289B,5.867B,5.094B,5.263B,5.559B,5.016B,5.091B,5.157B,5.465B,5.131B,4.839B,4.459B,4.577B,4.007B,,,,,,,,,,,,,,,,,,,,,,
Operating Interest Expense,201.00M,232.00M,216.00M,181.00M,215.00M,200.00M,147.00M,204.00M,186.00M,111.00M,158.00M,146.00M,195.00M,106.00M,75.00M,77.00M,60.00M,78.00M,85.00M,88.00M,68.00M,88.00M,64.00M,66.00M,-152.00M,52.00M,85.00M,24.00M,111.00M,59.00M,50.00M,107.00M,75.00M,98.00M,45.00M,29.00M,110.00M,54.00M,40.00M,55.00M,36.00M,62.00M,343.00M,107.00M,118.00M,318.00M,107.00M,130.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Operating Interest Income,-201.00M,-232.00M,-216.00M,-181.00M,-215.00M,-200.00M,-147.00M,-204.00M,-186.00M,-111.00M,-158.00M,-146.00M,-195.00M,-106.00M,-75.00M,-77.00M,-60.00M,-78.00M,-85.00M,-88.00M,-68.00M,-88.00M,-64.00M,-66.00M,152.00M,-52.00M,-85.00M,-24.00M,-111.00M,-59.00M,-50.00M,-107.00M,-75.00M,-98.00M,-45.00M,-29.00M,-110.00M,-54.00M,-40.00M,-55.00M,-36.00M,-62.00M,-343.00M,-107.00M,-118.00M,-318.00M,-107.00M,-130.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,357.00M,299.00M,333.00M,280.00M,555.00M,292.00M,332.00M,287.00M,703.00M,284.00M,514.00M,289.00M,340.00M,327.00M,445.00M,355.00M,518.00M,324.00M,370.00M,311.00M,537.00M,319.00M,496.00M,317.00M,591.00M,486.00M,454.00M,445.00M,452.00M,494.00M,372.00M,522.00M,427.00M,728.00M,-8.021B,334.00M,551.00M,500.00M,407.00M,686.00M,685.00M,495.00M,,351.00M,368.00M,403.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
