Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1988-12,1987-12,1986-12,1985-12,1984-12
Cash and Equivalents,3.089B,5.351B,4.213B,4.586B,3.042B,5.669B,3.43B,4.125B,3.177B,4.266B,4.042B,4.897B,3.657B,5.093B,4.358B,4.846B,3.705B,4.296B,4.343B,5.184B,4.616B,4.962B,6.083B,5.601B,4.644B,5.31B,4.609B,6.214B,9.582B,13.06B,17.80B,18.67B,12.66B,11.02B,8.287B,12.83B,7.825B,12.24B,13.25B,13.74B,10.69B,12.47B,15.58B,24.97B,31.44B,36.67B,38.97B,40.91B,33.98B,31.42B,28.96B,29.99B,28.24B,32.73B,32.11B,31.94B,28.67B,29.24B,25.65B,25.16B,18.53B,16.11B,14.18B,15.89B,10.63B,11.02B,12.52B,12.33B,7.229B,6.937B,5.70B,6.622B,6.547B,9.026B,9.298B,10.91B,7.08B,6.644B,5.813B,2.928B,1.688B,1.151B,1.328B,1.385B,2.386B,2.101B,2.689B,3.841B,4.047B,4.781B,4.72B,5.263B,2.951B,2.91B,3.222B,3.523B,1.508B,2.20B,2.577B,2.77B,1.157B,1.70B,1.879B,1.648B,983.00M,1.552B,1.387B,1.109B,898.00M,994.00M,1.32B,1.627B,1.496B,1.417B,1.036B,1.635B,1.332B,1.34B,1.53B,1.684B,1.865B,1.999B,2.409B,2.531B,3.816B,2.474B,3.29B
Short Term Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.754B,,,15.00M,15.00M,85.00M,169.00M,151.00M,153.00M,168.00M,570.00M,1.76B,732.00M,480.00M,519.00M,190.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00M,50.00M,57.00M,73.00M,39.00M,,,50.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,3.089B,5.351B,4.213B,4.586B,3.042B,5.669B,3.43B,4.125B,3.177B,4.266B,4.042B,4.897B,3.657B,5.093B,4.358B,4.846B,3.705B,4.296B,4.343B,5.184B,4.616B,4.962B,6.083B,5.601B,4.644B,5.31B,4.609B,6.214B,9.582B,13.06B,17.80B,18.67B,12.66B,11.02B,10.04B,12.83B,7.825B,12.26B,13.27B,13.83B,10.86B,12.62B,15.73B,25.14B,32.01B,38.43B,39.70B,41.39B,34.50B,31.61B,28.96B,29.99B,28.24B,32.73B,32.11B,31.94B,28.67B,29.24B,25.65B,25.16B,18.53B,16.11B,14.18B,15.89B,10.63B,11.02B,12.52B,12.33B,7.229B,6.937B,5.70B,6.622B,6.547B,9.026B,9.298B,10.91B,7.08B,6.646B,5.863B,2.985B,1.761B,1.19B,1.328B,1.385B,2.436B,2.101B,2.689B,3.841B,4.047B,4.781B,4.72B,5.263B,2.951B,2.91B,3.222B,3.523B,1.508B,2.20B,2.577B,2.77B,1.157B,1.70B,1.879B,1.648B,983.00M,1.552B,1.387B,1.109B,898.00M,994.00M,1.32B,1.627B,1.496B,1.417B,1.036B,1.635B,1.332B,1.34B,1.53B,1.684B,1.865B,1.999B,2.409B,2.531B,3.816B,2.474B,3.29B
Accounts Receivable,21.10B,25.31B,27.13B,27.10B,19.64B,27.88B,26.99B,24.69B,21.27B,23.26B,21.29B,21.84B,16.03B,20.39B,21.83B,19.81B,13.24B,22.16B,25.96B,25.03B,18.54B,30.96B,34.18B,32.48B,25.99B,33.23B,35.34B,34.29B,28.37B,36.64B,33.74B,35.84B,30.04B,34.37B,35.33B,35.15B,32.28B,,29.21B,29.05B,,26.94B,26.86B,22.94B,,35.25B,,,30.78B,31.83B,30.32B,27.58B,25.08B,28.39B,28.61B,26.96B,27.48B,26.19B,25.72B,25.49B,25.36B,24.51B,23.09B,24.19B,24.31B,20.25B,19.47B,22.15B,21.16B,18.70B,19.58B,18.64B,19.55B,20.51B,21.41B,21.12B,23.00B,21.60B,20.28B,19.08B,19.16B,10.78B,9.107B,9.161B,15.83B,,,,10.70B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loans Receivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.82B,36.43B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Receivables,5.866B,,,,5.063B,,,,4.323B,,,,5.361B,,,,6.632B,,,,9.468B,,,,7.159B,,,,6.614B,,,,8.598B,,,,,,,,,,,,,,,,5.675B,,,,3.866B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Receivables,26.97B,25.31B,27.13B,27.10B,24.70B,27.88B,26.99B,24.69B,25.60B,23.26B,21.29B,21.84B,21.39B,20.39B,21.83B,19.81B,19.88B,22.16B,25.96B,25.03B,28.01B,30.96B,34.18B,32.48B,33.15B,33.23B,35.34B,34.29B,34.99B,36.64B,33.74B,35.84B,38.64B,34.37B,35.33B,35.15B,32.28B,30.24B,29.21B,29.05B,27.64B,26.94B,26.86B,22.94B,24.70B,35.25B,41.82B,36.43B,36.45B,31.83B,30.32B,27.58B,28.94B,28.39B,28.61B,26.96B,27.48B,26.19B,25.72B,25.49B,25.36B,24.51B,23.09B,24.19B,24.31B,20.25B,19.47B,22.15B,21.16B,18.70B,19.58B,18.64B,19.55B,20.51B,21.41B,21.12B,23.00B,21.60B,20.28B,19.08B,19.16B,10.78B,9.107B,9.161B,15.83B,9.293B,9.396B,9.967B,10.70B,10.25B,9.814B,10.35B,10.50B,9.115B,8.686B,8.928B,8.925B,8.059B,8.066B,8.431B,8.073B,7.315B,7.445B,6.972B,6.86B,7.415B,7.488B,7.719B,8.079B,8.404B,8.02B,7.448B,8.54B,7.695B,7.681B,8.075B,9.574B,8.368B,7.05B,7.609B,7.787B,6.796B,6.094B,6.278B,6.784B,7.527B,7.366B
Raw Materials Inventory,4.518B,4.459B,4.456B,4.353B,4.155B,4.144B,4.11B,4.169B,4.121B,4.255B,4.17B,4.187B,4.203B,4.361B,4.332B,4.386B,4.208B,4.335B,4.364B,4.31B,4.294B,4.32B,4.233B,4.129B,4.018B,4.038B,3.824B,3.785B,3.706B,3.565B,15.16B,14.75B,3.359B,16.73B,19.05B,16.26B,3.124B,14.30B,3.00B,13.49B,2.835B,12.58B,2.586B,2.421B,2.315B,2.43B,2.348B,2.303B,2.226B,2.136B,2.029B,1.846B,1.735B,1.67B,1.596B,1.536B,1.469B,1.399B,1.364B,1.338B,1.351B,1.329B,1.278B,1.294B,1.292B,1.282B,1.252B,1.242B,1.241B,1.284B,1.254B,1.167B,1.161B,1.145B,1.102B,1.053B,1.06B,1.094B,1.055B,1.138B,1.122B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finished Goods Inventory,14.01B,13.13B,14.38B,13.98B,14.80B,14.62B,14.37B,13.88B,12.87B,12.49B,11.14B,10.69B,10.88B,10.98B,11.54B,11.84B,12.04B,12.25B,12.30B,11.79B,12.38B,13.44B,13.94B,14.44B,12.12B,12.83B,13.37B,12.45B,10.84B,13.01B,,,11.66B,,,,9.852B,,10.44B,,8.718B,,9.855B,10.30B,9.331B,,13.51B,13.08B,,10.88B,10.87B,10.76B,8.979B,10.86B,10.23B,10.05B,7.852B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.51B,,,8.863B,,,,,,,,,9.577B,9.219B,9.124B,8.136B,8.75B,8.68B,8.892B,7.665B,8.475B,8.783B,7.62B,6.827B,7.472B,7.412B,7.154B,6.743B,7.47B,7.293B,7.329B,7.244B,7.446B,7.444B,7.046B,7.37B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
