Income (Quarterly),2020-02,2019-11,2019-08,2019-05,2019-02,2018-11,2018-08,2018-05,2018-02,2017-11,2017-08,2017-05,2017-02,2016-11,2016-08,2016-05,2016-02,2015-11,2015-08,2015-05,2015-02,2014-11,2014-08,2014-05,2014-02,2013-11,2013-08,2013-05,2013-02,2012-11,2012-08,2012-05,2012-02,2011-11,2011-08,2011-05,2011-02,2010-11,2010-08,2010-05,2010-02,2009-11,2009-08,2009-05,2009-02,2008-11,2008-08,2008-05,2008-02,2007-11,2007-08,2007-05,2007-02,2006-11,2006-08,2006-05,2006-02,2005-11,2005-08,2005-05,2005-02,2004-11,2004-08,2004-05,2004-02,2003-11,2003-08,2003-05,2003-02,2002-11,2002-08,2002-05,2002-02,2001-11,2001-08,2001-05,2001-02,2000-11,2000-08,2000-05,2000-02,1999-11,1999-08,1999-05,1999-02,1998-11,1998-08,1998-05,1998-02,1997-11,1997-08,1997-05,1997-02,1996-11,1996-08,1996-05,1996-02,1995-11,1995-08,1995-05,1995-02,1994-11,1994-08,1994-05,1994-02,1993-11,1993-08,1993-05,1993-02,1992-11,1992-08,1992-05,1992-02,1991-11,1991-08,1991-05,1991-02,1990-11,1990-08,1990-05,1990-02,1989-11,1989-08,1989-05,1989-02,1988-11,1988-08,1988-05,1988-02,1987-11,1987-08,1987-05,1987-02,1986-11,1986-08,1986-05,1986-02,1985-11,1985-08,1985-05,1985-02,1984-11,1984-08,1984-05,1984-02
Operating Revenue,17.49B,17.32B,17.05B,17.81B,17.01B,17.82B,17.05B,17.31B,16.53B,16.31B,15.30B,15.73B,15.00B,14.93B,14.66B,12.98B,12.65B,12.45B,12.28B,12.11B,11.72B,11.94B,11.68B,11.84B,11.30B,11.40B,11.02B,11.44B,10.95B,11.11B,10.79B,11.01B,10.56B,10.59B,10.52B,10.55B,9.663B,9.632B,9.457B,9.428B,8.701B,8.596B,8.009B,7.852B,8.137B,9.538B,9.97B,9.866B,9.437B,9.451B,9.199B,9.151B,8.592B,8.926B,8.545B,8.494B,8.003B,8.09B,7.707B,7.715B,7.339B,7.334B,6.975B,7.041B,6.062B,5.92B,5.687B,5.83B,5.545B,5.667B,5.445B,5.416B,5.019B,5.135B,5.037B,5.117B,4.839B,4.895B,4.779B,4.849B,4.518B,4.570B,4.32B,4.383B,4.098B,4.209B,4.082B,4.078B,3.986B,3.942B,3.866B,3.961B,3.534B,2.852B,2.692B,5.186B,2.536B,2.547B,2.453B,2.470B,2.333B,2.359B,2.231B,2.265B,2.077B,2.122B,2.016B,2.039B,1.940B,1.965B,1.865B,1.891B,1.890B,1.943B,1.826B,1.914B,1.864B,1.993B,1.916B,1.914B,1.729B,1.724B,1.648B,1.669B,1.284B,1.136B,1.078B,1.053B,977.20M,943.60M,909.40M,869.70M,798.90M,783.70M,726.00M,723.20M,668.10M,625.50M,589.30M,592.70M,513.70M,485.20M,439.10M,413.20M,375.10M
Revenue,17.49B,17.32B,17.05B,17.81B,17.01B,17.82B,17.05B,17.31B,16.53B,16.31B,15.30B,15.73B,15.00B,14.93B,14.66B,12.98B,12.65B,12.45B,12.28B,12.11B,11.72B,11.94B,11.68B,11.84B,11.30B,11.40B,11.02B,11.44B,10.95B,11.11B,10.79B,11.01B,10.56B,10.59B,10.52B,10.55B,9.663B,9.632B,9.457B,9.428B,8.701B,8.596B,8.009B,7.852B,8.137B,9.538B,9.97B,9.866B,9.437B,9.451B,9.199B,9.151B,8.592B,8.926B,8.545B,8.494B,8.003B,8.09B,7.707B,7.715B,7.339B,7.334B,6.975B,7.041B,6.062B,5.92B,5.687B,5.83B,5.545B,5.667B,5.445B,5.416B,5.019B,5.135B,5.037B,5.117B,4.839B,4.895B,4.779B,4.849B,4.518B,4.570B,4.32B,4.383B,4.098B,4.209B,4.082B,4.078B,3.986B,3.942B,3.866B,3.961B,3.534B,2.852B,2.692B,5.186B,2.536B,2.547B,2.453B,2.470B,2.333B,2.359B,2.231B,2.265B,2.077B,2.122B,2.016B,2.039B,1.940B,1.965B,1.865B,1.891B,1.890B,1.943B,1.826B,1.914B,1.864B,1.993B,1.916B,1.914B,1.729B,1.724B,1.648B,1.669B,1.284B,1.136B,1.078B,1.053B,977.20M,943.60M,909.40M,869.70M,798.90M,783.70M,726.00M,723.20M,668.10M,625.50M,589.30M,592.70M,513.70M,485.20M,439.10M,413.20M,375.10M
Cost of Goods Sold,14.38B,14.05B,13.55B,13.60B,13.61B,14.07B,13.58B,13.23B,13.26B,12.80B,12.06B,12.30B,11.81B,11.56B,11.33B,11.20B,9.783B,9.587B,9.472B,11.26B,9.153B,9.323B,9.155B,8.763B,9.145B,9.098B,8.819B,7.015B,8.899B,8.961B,8.654B,8.614B,8.50B,8.41B,3.933B,23.01B,2.975B,1.411B,1.404B,8.473B,1.214B,1.154B,1.067B,932.00M,1.085B,1.627B,2.065B,1.851B,1.613B,1.537B,1.94B,3.628B,598.00M,584.00M,570.00M,-1.262B,577.00M,584.00M,665.00M,586.00M,585.00M,1.154B,551.00M,1.136B,948.00M,894.00M,429.00M,2.245B,452.00M,2.964B,2.841B,-4.461B,2.642B,2.245B,2.662B,-4.55B,2.642B,814.71M,2.562B,1.012B,2.478B,2.500B,2.295B,-3.834B,2.285B,2.211B,1.748B,-4.074B,1.881B,2.138B,1.988B,2.085B,1.917B,1.496B,1.394B,2.666B,1.362B,1.313B,1.206B,-415.60M,1.148B,1.114B,1.058B,1.553B,819.60M,799.10M,776.50M,777.70M,771.10M,770.60M,724.00M,731.50M,807.50M,784.40M,735.60M,802.80M,819.20M,891.90M,800.70M,830.80M,769.30M,761.20M,715.80M,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,3.112B,3.272B,3.496B,4.205B,3.398B,3.751B,3.473B,4.085B,3.266B,3.51B,3.241B,3.43B,3.185B,3.368B,3.335B,1.784B,2.871B,2.866B,2.807B,850.00M,2.563B,2.616B,2.529B,3.076B,2.156B,2.305B,2.205B,4.42B,2.054B,2.146B,2.138B,2.394B,2.064B,2.177B,6.588B,-12.46B,6.688B,8.221B,8.053B,955.00M,7.487B,7.442B,6.942B,6.92B,7.052B,7.911B,7.905B,8.015B,7.824B,7.914B,7.259B,5.523B,7.994B,8.342B,7.975B,9.756B,7.426B,7.506B,7.042B,7.129B,6.754B,6.18B,6.424B,5.905B,5.114B,5.026B,5.258B,3.585B,5.093B,2.703B,2.604B,9.877B,2.377B,2.89B,2.375B,9.667B,2.197B,4.080B,2.217B,3.837B,2.040B,2.070B,2.025B,8.217B,1.814B,1.998B,2.334B,8.152B,2.106B,1.804B,1.879B,1.876B,1.617B,1.356B,1.298B,2.520B,1.174B,1.234B,1.248B,2.885B,1.184B,1.245B,1.173B,712.20M,1.258B,1.322B,1.239B,1.261B,1.169B,1.194B,1.141B,1.160B,1.082B,1.159B,1.090B,1.111B,1.045B,1.101B,1.116B,1.083B,960.00M,962.90M,931.70M,,,,,,,,,,,,,,,,,,,,,,
General and Administrative Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.004B,,4.449B,5.797B,5.731B,-1.516B,5.362B,5.172B,5.009B,4.871B,5.083B,5.296B,5.48B,5.463B,5.382B,5.299B,3.483B,,,,,,,,,,,3.507B,,3.518B,3.123B,3.006B,,,,2.868B,2.87B,2.818B,2.69B,,2.668B,2.604B,2.516B,2.407B,2.386B,820.20M,2.313B,2.267B,2.198B,2.174B,2.126B,2.105B,,,,1.951B,1.929B,1.946B,1.838B,1.514B,1.485B,2.428B,1.416B,1.358B,1.371B,,1.345B,1.305B,1.250B,1.770B,1.021B,1.025B,992.10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG&A Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.004B,,4.449B,5.797B,5.731B,-1.516B,5.362B,5.172B,5.009B,4.871B,5.083B,5.296B,5.48B,5.463B,5.382B,5.299B,3.483B,,,,,,,,,,,3.507B,,3.518B,3.123B,3.006B,,,,2.868B,2.87B,2.818B,2.69B,2.231B,2.668B,2.604B,2.516B,2.407B,2.386B,820.20M,2.313B,2.267B,2.198B,2.174B,2.126B,2.105B,1.800B,1.707B,1.688B,1.951B,1.929B,1.946B,1.838B,1.514B,1.485B,2.428B,1.416B,1.358B,1.371B,1.343B,1.345B,1.305B,1.250B,1.770B,1.021B,1.025B,992.10M,987.10M,961.00M,934.40M,924.90M,909.40M,937.40M,919.80M,870.50M,854.60M,877.10M,846.00M,860.80M,842.80M,780.50M,717.00M,704.90M,,,,,,,,,,,,,,,,,,,,,,
Income Statement Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.00M,391.00M,386.00M,,,,363.00M,360.00M,365.00M,340.00M,336.00M,,,,338.00M,339.00M,345.00M,341.00M,342.00M,336.00M,338.00M,326.00M,309.49M,303.00M,298.70M,293.70M,285.40M,277.30M,269.02M,263.70M,252.20M,250.20M,246.73M,250.10M,236.70M,230.10M,248.30M,229.90M,191.00M,190.20M,316.90M,182.30M,178.70M,174.10M,168.70M,165.10M,161.60M,156.90M,154.30M,152.00M,147.90M,145.20M,148.70M,145.50M,143.20M,142.50M,156.20M,141.30M,140.30M,139.40M,142.50M,136.70M,129.50M,125.80M,125.20M,117.70M,118.00M,118.30M,,,,,,,,,,,,,,,,,,,,,,
Rent and Landing Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621.00M,628.00M,601.00M,,593.00M,593.00M,578.00M,591.00M,609.00M,612.00M,617.00M,622.00M,615.00M,611.00M,593.00M,,,,,,,,,,,577.00M,,568.00M,474.00M,447.00M,,,,465.00M,444.00M,432.00M,444.00M,,432.00M,434.00M,418.00M,407.35M,391.00M,,386.50M,393.50M,366.70M,353.29M,364.20M,347.70M,,,,336.30M,292.40M,291.50M,291.80M,267.20M,253.40M,302.90M,251.10M,236.80M,223.20M,,211.70M,199.30M,188.60M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Income and Charges,0.00,-66.00M,,-316.00M,-4.00M,0.00,,-380.00M,0.00,,,,,,,,,,,,,,,,,,,-596.00M,-47.00M,,,-134.00M,0.00,,-1.34B,3.957B,-1.362B,-1.462B,-1.222B,-1.292B,-1.237B,-1.221B,-1.126B,-2.406B,-1.295B,-1.34B,-1.306B,-2.216B,-1.312B,-1.35B,-2.00M,-4.758B,-1.00M,1.00M,-5.00M,2.00M,-2.00M,0.00,-11.00M,-1.00M,-4.00M,-8.00M,-6.00M,-8.00M,-16.00M,-285.00M,1.00M,-11.00M,-3.00M,-4.00M,3.00M,-15.00M,-4.00M,114.00M,2.00M,-3.00M,1.00M,5.053M,-4.00M,7.50M,10.80M,5.00M,-0.30M,4.769M,-5.60M,0.30M,-3.30M,0.671M,-69.90M,-0.10M,10.50M,-219.40M,-0.30M,19.50M,-0.40M,0.40M,-0.40M,8.20M,4.50M,3.10M,40.00M,5.20M,-2.70M,-10.90M,7.50M,-2.60M,-3.80M,-1.60M,-1.30M,-1.80M,-8.00M,13.00M,-262.00M,-6.50M,-4.00M,-13.80M,-154.00M,-7.00M,-3.10M,2.70M,-4.30M,-3.40M,-2.00M,,,,,,,,,,,,,,,,,,,,,,
Operating Interest Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00M,18.00M,27.00M,19.00M,15.00M,18.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
