date,cash_dividend_payout_ratio
"Dec. 31, 2019",-108.5%
"Sept. 30, 2019",-28.46%
"June 30, 2019",-23.98%
"March 31, 2019",-22.18%
"Dec. 31, 2018",-21.19%
"Sept. 30, 2018",-41.09%
"June 30, 2018",-27.64%
"March 31, 2018",-23.04%
"Dec. 31, 2017",-24.02%
"Sept. 30, 2017",-27.67%
"June 30, 2017",-38.67%
"March 31, 2017",-36.96%
"Dec. 31, 2016",-30.58%
"Sept. 30, 2016",-27.79%
"June 30, 2016",-30.46%
"March 31, 2016",-87.79%
"Dec. 31, 2015",274.1%
"Sept. 30, 2015",88.28%
"June 30, 2015",41.11%
"March 31, 2015",83.27%
"Dec. 31, 2014",866.0%
"Sept. 30, 2014",75.13%
"June 30, 2014",-497.8%
"March 31, 2014",194.0%
"Dec. 31, 2013",132.0%
"Sept. 30, 2013",-83.52%
"June 30, 2013",-102.8%
"March 31, 2013",-85.26%
"Dec. 31, 2012",-122.3%
"Sept. 30, 2012",-74.63%
"June 30, 2012",-66.61%
"March 31, 2012",-93.39%
"Dec. 31, 2011",-102.1%
"Sept. 30, 2011",155.9%
"June 30, 2011",171.7%
"March 31, 2011",133.2%
"Dec. 31, 2010",-336.8%
"Sept. 30, 2010",191.9%
"June 30, 2010",253.2%
"March 31, 2010",-1.45K%
"Dec. 31, 2009",28.49%
"Sept. 30, 2009",91.10%
"June 30, 2009",90.37%
"March 31, 2009",-49.23%
"Dec. 31, 2008",-35.32%
"Sept. 30, 2008",-68.79%
"June 30, 2008",-59.13%
"March 31, 2008",-2.36K%
"Dec. 31, 2007",-832.0%
"Sept. 30, 2007",-369.2%
"June 30, 2007",1.15K%
"March 31, 2007",46.39%
"Dec. 31, 2006",48.55%
"Sept. 30, 2006",105.8%
"June 30, 2006",139.5%
"March 31, 2006",-152.2%
"Dec. 31, 2005",205.3%
"Sept. 30, 2005",53.83%
"June 30, 2005",63.83%
"March 31, 2005",31.79%
"Dec. 31, 2004",45.11%
"Sept. 30, 2004",68.28%
"June 30, 2004",50.36%
"March 31, 2004",575.2%
"Dec. 31, 2003",-279.3%
"Sept. 30, 2003",-757.4%
"June 30, 2003",192.8%
"March 31, 2003",71.63%
"Dec. 31, 2002",43.87%
"Sept. 30, 2002",39.17%
"June 30, 2002",35.02%
"March 31, 2002",30.19%
"Dec. 31, 2001",63.82%
"Sept. 30, 2001",-209.1%
"June 30, 2001",-131.8%
"March 31, 2001",-59.15%
"Dec. 31, 2000",-35.38%
"Sept. 30, 2000",4.45K%
"June 30, 2000",368.2%
"March 31, 2000",215.4%
"Dec. 31, 1999",119.6%
"Sept. 30, 1999",71.96%
"June 30, 1999",50.73%
"March 31, 1999",35.77%
"Dec. 31, 1998",48.85%
"Sept. 30, 1998",47.11%
"June 30, 1998",39.81%
"March 31, 1998",116.2%
"Dec. 31, 1997",51.74%
"Sept. 30, 1997",63.22%
"June 30, 1997",89.32%
"March 31, 1997",44.89%
"Dec. 31, 1996",110.5%
"Sept. 30, 1996",132.9%
"June 30, 1996",125.2%
"March 31, 1996",79.70%
"Dec. 31, 1995",50.62%
"Sept. 30, 1995",46.49%
"June 30, 1995",47.29%
"March 31, 1995",59.64%
"Dec. 31, 1994",71.21%
