date,net_income_cs_rev
"Dec. 31, 2019",-9.97%
"Sept. 30, 2019",0.71%
"June 30, 2019",29.38%
"March 31, 2019",11.71%
"Dec. 31, 2018",-0.80%
"Sept. 30, 2018",-37.93%
"June 30, 2018",2.43%
"March 31, 2018",15.77%
"Dec. 31, 2017",-3.83%
"Sept. 30, 2017",1.53%
"June 30, 2017",-4.48%
"March 31, 2017",13.22%
"Dec. 31, 2016",6.85%
"Sept. 30, 2016",3.16%
"June 30, 2016",3.22%
"March 31, 2016",12.99%
"Dec. 31, 2015",5.41%
"Sept. 30, 2015",-0.60%
"June 30, 2015",-4.11%
"March 31, 2015",14.49%
"Dec. 31, 2014",11.07%
"Sept. 30, 2014",3.75%
"June 30, 2014",5.86%
"March 31, 2014",11.47%
"Dec. 31, 2013",26.87%
"Sept. 30, 2013",4.47%
"June 30, 2013",5.97%
"March 31, 2013",14.62%
"Dec. 31, 2012",9.62%
"Sept. 30, 2012",2.02%
"June 30, 2012",6.68%
"March 31, 2012",11.73%
"Dec. 31, 2011",1.20%
"Sept. 30, 2011",3.25%
"June 30, 2011",3.27%
"March 31, 2011",9.39%
"Dec. 31, 2010",1.41%
"Sept. 30, 2010",2.92%
"June 30, 2010",2.40%
"March 31, 2010",8.36%
"Dec. 31, 2009",5.31%
"Sept. 30, 2009",-1.58%
"June 30, 2009",-0.38%
"March 31, 2009",5.45%
"Dec. 31, 2008",5.12%
"Sept. 30, 2008",1.69%
"June 30, 2008",-12.99%
"March 31, 2008",3.02%
"Dec. 31, 2007",3.04%
"Sept. 30, 2007",0.88%
"June 30, 2007",1.70%
"March 31, 2007",7.62%
"Dec. 31, 2006",3.16%
"Sept. 30, 2006",2.23%
"June 30, 2006",1.60%
"March 31, 2006",5.82%
"Dec. 31, 2005",2.52%
"Sept. 30, 2005",-0.58%
"June 30, 2005",2.96%
"March 31, 2005",7.73%
"Dec. 31, 2004",8.22%
"Sept. 30, 2004",2.94%
"June 30, 2004",2.78%
"March 31, 2004",8.64%
"Dec. 31, 2003",8.33%
"Sept. 30, 2003",1.71%
"June 30, 2003",-28.47%
"March 31, 2003",10.23%
"Dec. 31, 2002",4.73%
"Sept. 30, 2002",2.55%
"June 30, 2002",2.62%
"March 31, 2002",13.40%
"Dec. 31, 2001",2.73%
"Sept. 30, 2001",-1.14%
"June 30, 2001",-0.62%
"March 31, 2001",4.97%
"Dec. 31, 2000",0.07%
"Sept. 30, 2000",4.40%
"June 30, 2000",2.54%
"March 31, 2000",7.20%
"Dec. 31, 1999",3.25%
"Sept. 30, 1999",4.03%
"June 30, 1999",3.40%
"March 31, 1999",8.59%
"Dec. 31, 1998",9.12%
"Sept. 30, 1998",5.76%
"June 30, 1998",4.51%
"March 31, 1998",7.79%
"Dec. 31, 1997",6.93%
"Sept. 30, 1997",6.02%
"June 30, 1997",5.39%
"March 31, 1997",10.73%
"Dec. 31, 1996",8.86%
"Sept. 30, 1996",8.74%
"June 30, 1996",5.87%
"March 31, 1996",11.72%
"Dec. 31, 1995",10.06%
"Sept. 30, 1995",9.83%
"June 30, 1995",7.46%
"March 31, 1995",11.54%
"Dec. 31, 1994",11.44%
"Sept. 30, 1994",8.52%
"June 30, 1994",6.18%
"March 31, 1994",11.49%
"Dec. 31, 1993",10.45%
"Sept. 30, 1993",7.97%
"June 30, 1993",6.22%
"March 31, 1993",11.23%
"Dec. 31, 1992",10.59%
"Sept. 30, 1992",6.57%
"June 30, 1992",5.65%
"March 31, 1992",10.17%
"Dec. 31, 1991",9.72%
"Sept. 30, 1991",7.82%
"June 30, 1991",6.34%
"March 31, 1991",9.97%
"Dec. 31, 1990",7.25%
"Sept. 30, 1990",8.78%
"June 30, 1990",6.47%
"March 31, 1990",10.08%
"Dec. 31, 1989",9.05%
"Sept. 30, 1989",7.32%
"June 30, 1989",6.60%
"March 31, 1989",10.35%
"Dec. 31, 1988",10.13%
"Sept. 30, 1988",7.01%
"June 30, 1988",6.06%
"March 31, 1988",8.25%
"Dec. 31, 1987",3.82%
"Sept. 30, 1987",4.31%
"June 30, 1987",4.15%
"March 31, 1987",5.46%
"Dec. 31, 1986",5.54%
"Sept. 30, 1986",-26.94%
"June 30, 1986",4.43%
"March 31, 1986",6.36%
"Dec. 31, 1985",6.35%
"Sept. 30, 1985",5.81%
"June 30, 1985",4.64%
"March 31, 1985",5.47%
"Dec. 31, 1984",5.60%
"Sept. 30, 1984",6.46%
"June 30, 1984",7.34%
"March 31, 1984",8.34%
