date,ev_revenues
"March 19, 2020",3.708
"March 18, 2020",3.725
"March 17, 2020",3.796
"March 16, 2020",3.530
"March 13, 2020",3.841
"March 12, 2020",3.756
"March 11, 2020",3.982
"March 10, 2020",4.086
"March 9, 2020",4.026
"March 6, 2020",4.155
"March 5, 2020",4.168
"March 4, 2020",4.185
"March 3, 2020",4.076
"March 2, 2020",4.089
"Feb. 28, 2020",3.976
"Feb. 27, 2020",3.997
"Feb. 26, 2020",4.030
"Feb. 25, 2020",4.076
"Feb. 24, 2020",4.14
"Feb. 21, 2020",4.186
"Feb. 20, 2020",4.199
"Feb. 19, 2020",4.196
"Feb. 18, 2020",4.210
"Feb. 14, 2020",4.210
"Feb. 13, 2020",4.208
"Feb. 12, 2020",4.182
"Feb. 11, 2020",4.189
"Feb. 10, 2020",4.184
"Feb. 7, 2020",4.180
"Feb. 6, 2020",4.183
"Feb. 5, 2020",4.177
"Feb. 4, 2020",4.156
"Feb. 3, 2020",4.179
"Jan. 31, 2020",4.144
"Jan. 30, 2020",4.128
"Jan. 29, 2020",4.135
"Jan. 28, 2020",4.130
"Jan. 27, 2020",4.113
"Jan. 24, 2020",4.127
"Jan. 23, 2020",4.135
"Jan. 22, 2020",4.125
"Jan. 21, 2020",4.135
"Jan. 17, 2020",4.124
"Jan. 16, 2020",4.109
"Jan. 15, 2020",4.098
"Jan. 14, 2020",4.061
"Jan. 13, 2020",4.037
"Jan. 10, 2020",4.021
"Jan. 9, 2020",4.029
"Jan. 8, 2020",4.023
"Jan. 7, 2020",4.020
"Jan. 6, 2020",4.003
"Jan. 3, 2020",4.004
"Jan. 2, 2020",3.987
"Dec. 31, 2019",4.036
"Dec. 30, 2019",3.909
"Dec. 27, 2019",3.892
"Dec. 26, 2019",3.897
"Dec. 24, 2019",3.902
"Dec. 23, 2019",3.904
"Dec. 20, 2019",3.926
"Dec. 19, 2019",3.915
"Dec. 18, 2019",3.911
"Dec. 17, 2019",3.890
"Dec. 16, 2019",3.884
"Dec. 13, 2019",3.863
"Dec. 12, 2019",3.848
"Dec. 11, 2019",3.864
"Dec. 10, 2019",3.872
"Dec. 9, 2019",3.852
"Dec. 6, 2019",3.858
"Dec. 5, 2019",3.847
"Dec. 4, 2019",3.836
"Dec. 3, 2019",3.83
"Dec. 2, 2019",3.814
"Nov. 29, 2019",3.833
"Nov. 27, 2019",3.838
"Nov. 26, 2019",3.834
"Nov. 25, 2019",3.840
"Nov. 22, 2019",3.826
"Nov. 21, 2019",3.816
"Nov. 20, 2019",3.805
"Nov. 19, 2019",3.804
"Nov. 18, 2019",3.819
"Nov. 15, 2019",3.836
"Nov. 14, 2019",3.824
"Nov. 13, 2019",3.829
"Nov. 12, 2019",3.807
"Nov. 11, 2019",3.807
"Nov. 8, 2019",3.83
"Nov. 7, 2019",3.849
"Nov. 6, 2019",3.878
"Nov. 5, 2019",3.868
"Nov. 4, 2019",3.894
"Nov. 1, 2019",3.918
"Oct. 31, 2019",3.946
"Oct. 30, 2019",3.908
