date,three_year_return
"March 19, 2020",-0.60%
"March 18, 2020",0.43%
"March 17, 2020",4.55%
"March 16, 2020",-10.40%
"March 13, 2020",7.15%
"March 12, 2020",2.96%
"March 11, 2020",16.16%
"March 10, 2020",22.25%
"March 9, 2020",20.44%
"March 6, 2020",24.94%
"March 5, 2020",24.92%
"March 4, 2020",25.89%
"March 3, 2020",19.65%
"March 2, 2020",18.56%
"Feb. 28, 2020",13.01%
"Feb. 27, 2020",14.71%
"Feb. 26, 2020",15.58%
"Feb. 25, 2020",18.20%
"Feb. 24, 2020",21.82%
"Feb. 21, 2020",29.97%
"Feb. 20, 2020",32.38%
"Feb. 19, 2020",32.25%
"Feb. 18, 2020",33.08%
"Feb. 14, 2020",35.78%
"Feb. 13, 2020",34.06%
"Feb. 12, 2020",33.11%
"Feb. 11, 2020",33.56%
"Feb. 10, 2020",33.24%
"Feb. 7, 2020",34.48%
"Feb. 6, 2020",34.22%
"Feb. 5, 2020",33.74%
"Feb. 4, 2020",32.43%
"Feb. 3, 2020",33.83%
"Jan. 31, 2020",31.02%
"Jan. 30, 2020",33.24%
"Jan. 29, 2020",32.50%
"Jan. 28, 2020",32.18%
"Jan. 27, 2020",31.14%
"Jan. 24, 2020",30.70%
"Jan. 23, 2020",31.49%
"Jan. 22, 2020",29.10%
"Jan. 21, 2020",29.68%
"Jan. 17, 2020",29.93%
"Jan. 16, 2020",31.33%
"Jan. 15, 2020",30.65%
"Jan. 14, 2020",28.32%
"Jan. 13, 2020",26.87%
"Jan. 10, 2020",25.98%
"Jan. 9, 2020",25.79%
"Jan. 8, 2020",23.70%
"Jan. 7, 2020",23.57%
"Jan. 6, 2020",22.50%
"Jan. 3, 2020",23.48%
"Jan. 2, 2020",22.76%
"Dec. 31, 2019",25.75%
"Dec. 30, 2019",24.30%
"Dec. 27, 2019",22.76%
"Dec. 26, 2019",22.65%
"Dec. 24, 2019",23.00%
"Dec. 23, 2019",23.09%
"Dec. 20, 2019",24.99%
"Dec. 19, 2019",23.65%
"Dec. 18, 2019",25.06%
"Dec. 17, 2019",23.74%
"Dec. 16, 2019",23.33%
"Dec. 13, 2019",21.63%
"Dec. 12, 2019",21.89%
"Dec. 11, 2019",23.46%
"Dec. 10, 2019",23.97%
"Dec. 9, 2019",22.68%
"Dec. 6, 2019",24.83%
"Dec. 5, 2019",23.15%
"Dec. 4, 2019",22.18%
"Dec. 3, 2019",21.76%
"Dec. 2, 2019",20.70%
"Nov. 29, 2019",18.24%
"Nov. 27, 2019",19.83%
"Nov. 26, 2019",19.51%
"Nov. 25, 2019",19.92%
"Nov. 22, 2019",20.75%
"Nov. 21, 2019",19.78%
"Nov. 20, 2019",20.04%
"Nov. 19, 2019",19.94%
"Nov. 18, 2019",20.91%
"Nov. 15, 2019",20.95%
"Nov. 14, 2019",22.08%
"Nov. 13, 2019",23.31%
"Nov. 12, 2019",21.86%
"Nov. 11, 2019",21.86%
"Nov. 8, 2019",16.96%
"Nov. 7, 2019",19.59%
"Nov. 6, 2019",23.59%
"Nov. 5, 2019",22.90%
"Nov. 4, 2019",24.59%
"Nov. 1, 2019",23.77%
"Oct. 31, 2019",20.55%
"Oct. 30, 2019",22.10%
"Oct. 29, 2019",21.22%
"Oct. 28, 2019",21.84%
"Oct. 25, 2019",22.87%
"Oct. 24, 2019",25.17%
"Oct. 23, 2019",24.50%
"Oct. 22, 2019",25.03%
"Oct. 21, 2019",24.06%
"Oct. 18, 2019",21.34%
"Oct. 17, 2019",22.00%
"Oct. 16, 2019",23.32%
"Oct. 15, 2019",24.07%
"Oct. 14, 2019",25.84%
"Oct. 11, 2019",30.21%
"Oct. 10, 2019",26.63%
"Oct. 9, 2019",28.44%
"Oct. 8, 2019",27.51%
"Oct. 7, 2019",29.72%
"Oct. 4, 2019",28.94%
"Oct. 3, 2019",24.34%
"Oct. 2, 2019",21.98%
"Oct. 1, 2019",23.31%
"Sept. 30, 2019",24.10%
"Sept. 27, 2019",21.63%
"Sept. 26, 2019",21.75%
"Sept. 25, 2019",19.75%
"Sept. 24, 2019",19.32%
"Sept. 23, 2019",17.96%
"Sept. 20, 2019",19.84%
"Sept. 19, 2019",20.51%
"Sept. 18, 2019",22.18%
"Sept. 17, 2019",22.01%
"Sept. 16, 2019",20.40%
"Sept. 13, 2019",25.01%
"Sept. 12, 2019",22.83%
"Sept. 11, 2019",24.69%
"Sept. 10, 2019",23.96%
"Sept. 9, 2019",23.71%
"Sept. 6, 2019",20.11%
"Sept. 5, 2019",22.96%
"Sept. 4, 2019",25.20%
"Sept. 3, 2019",24.58%
"Aug. 30, 2019",23.85%
"Aug. 29, 2019",21.40%
"Aug. 28, 2019",20.30%
"Aug. 27, 2019",20.88%
"Aug. 26, 2019",21.62%
"Aug. 23, 2019",17.49%
"Aug. 22, 2019",19.42%
"Aug. 21, 2019",20.47%
"Aug. 20, 2019",19.09%
"Aug. 19, 2019",20.35%
"Aug. 16, 2019",20.97%
"Aug. 15, 2019",18.25%
"Aug. 14, 2019",14.71%
"Aug. 13, 2019",14.79%
"Aug. 12, 2019",14.55%
"Aug. 9, 2019",14.79%
"Aug. 8, 2019",16.08%
"Aug. 7, 2019",11.19%
"Aug. 6, 2019",13.08%
"Aug. 5, 2019",13.12%
"Aug. 2, 2019",14.53%
"Aug. 1, 2019",16.39%
"July 31, 2019",15.71%
"July 30, 2019",15.28%
"July 29, 2019",16.17%
"July 26, 2019",14.47%
"July 25, 2019",12.82%
"July 24, 2019",12.19%
"July 23, 2019",11.27%
"July 22, 2019",10.97%
"July 19, 2019",12.09%
"July 18, 2019",13.24%
"July 17, 2019",12.11%
"July 16, 2019",11.65%
"July 15, 2019",12.72%
"July 12, 2019",13.46%
"July 11, 2019",13.23%
"July 10, 2019",12.90%
"July 9, 2019",13.13%
"July 8, 2019",12.51%
"July 5, 2019",10.01%
"July 3, 2019",10.69%
"July 2, 2019",9.08%
"July 1, 2019",7.24%
"June 28, 2019",12.54%
"June 27, 2019",12.64%
"June 26, 2019",13.35%
"June 25, 2019",15.92%
"June 24, 2019",15.88%
"June 21, 2019",16.05%
"June 20, 2019",17.26%
"June 19, 2019",16.55%
"June 18, 2019",14.77%
"June 17, 2019",15.44%
"June 14, 2019",14.04%
"June 13, 2019",14.10%
"June 12, 2019",14.58%
"June 11, 2019",13.13%
"June 10, 2019",14.14%
"June 7, 2019",16.78%
"June 6, 2019",17.15%
"June 5, 2019",16.56%
"June 4, 2019",14.80%
"June 3, 2019",15.00%
"May 31, 2019",16.72%
"May 30, 2019",14.22%
"May 29, 2019",13.76%
"May 28, 2019",15.55%
"May 24, 2019",18.45%
"May 23, 2019",20.19%
"May 22, 2019",19.14%
"May 21, 2019",18.05%
"May 20, 2019",18.22%
"May 17, 2019",18.37%
"May 16, 2019",16.01%
"May 15, 2019",16.34%
"May 14, 2019",16.25%
"May 13, 2019",17.33%
"May 10, 2019",19.34%
"May 9, 2019",16.57%
"May 8, 2019",17.34%
"May 7, 2019",18.50%
"May 6, 2019",19.09%
"May 3, 2019",20.55%
"May 2, 2019",20.12%
"May 1, 2019",20.65%
"April 30, 2019",22.32%
"April 29, 2019",20.92%
"April 26, 2019",25.08%
"April 25, 2019",24.68%
"April 24, 2019",23.64%
"April 23, 2019",22.70%
"April 22, 2019",22.74%
"April 18, 2019",15.70%
"April 17, 2019",16.51%
"April 16, 2019",16.55%
"April 15, 2019",18.16%
"April 12, 2019",18.79%
"April 11, 2019",19.47%
"April 10, 2019",18.34%
"April 9, 2019",18.73%
"April 8, 2019",18.94%
"April 5, 2019",21.60%
"April 4, 2019",18.26%
"April 3, 2019",17.84%
"April 2, 2019",18.47%
"April 1, 2019",18.30%
"March 29, 2019",23.69%
"March 28, 2019",24.52%
"March 27, 2019",24.53%
"March 26, 2019",25.14%
"March 25, 2019",24.36%
"March 22, 2019",25.48%
"March 21, 2019",24.12%
"March 20, 2019",22.59%
"March 19, 2019",21.93%
"March 18, 2019",23.03%
"March 15, 2019",23.03%
"March 14, 2019",22.34%
"March 13, 2019",23.04%
"March 12, 2019",23.13%
"March 11, 2019",22.16%
"March 8, 2019",21.98%
"March 7, 2019",21.91%
"March 6, 2019",20.85%
"March 5, 2019",20.13%
"March 4, 2019",20.36%
"March 1, 2019",25.16%
"Feb. 28, 2019",25.43%
"Feb. 27, 2019",25.24%
"Feb. 26, 2019",24.31%
"Feb. 25, 2019",20.11%
"Feb. 22, 2019",21.59%
"Feb. 21, 2019",20.90%
"Feb. 20, 2019",20.16%
"Feb. 19, 2019",23.18%
"Feb. 15, 2019",27.26%
"Feb. 14, 2019",25.85%
"Feb. 13, 2019",25.80%
"Feb. 12, 2019",25.85%
"Feb. 11, 2019",25.64%
"Feb. 8, 2019",27.12%
"Feb. 7, 2019",26.84%
"Feb. 6, 2019",25.41%
"Feb. 5, 2019",25.83%
"Feb. 4, 2019",23.96%
"Feb. 1, 2019",25.77%
"Jan. 31, 2019",29.84%
"Jan. 30, 2019",27.32%
"Jan. 29, 2019",25.42%
"Jan. 28, 2019",26.22%
"Jan. 25, 2019",29.34%
"Jan. 24, 2019",32.40%
"Jan. 23, 2019",32.30%
"Jan. 22, 2019",30.92%
"Jan. 18, 2019",35.01%
"Jan. 17, 2019",35.41%
"Jan. 16, 2019",33.99%
"Jan. 15, 2019",33.43%
"Jan. 14, 2019",29.60%
"Jan. 11, 2019",33.35%
"Jan. 10, 2019",36.98%
"Jan. 9, 2019",34.26%
"Jan. 8, 2019",34.36%
"Jan. 7, 2019",31.69%
"Jan. 4, 2019",30.84%
"Jan. 3, 2019",28.65%
"Jan. 2, 2019",28.50%
"Dec. 31, 2018",29.93%
"Dec. 28, 2018",30.87%
"Dec. 27, 2018",31.18%
"Dec. 26, 2018",29.78%
"Dec. 24, 2018",28.90%
"Dec. 21, 2018",37.90%
"Dec. 20, 2018",38.61%
"Dec. 19, 2018",39.08%
"Dec. 18, 2018",39.66%
"Dec. 17, 2018",38.17%
"Dec. 14, 2018",45.91%
"Dec. 13, 2018",48.02%
"Dec. 12, 2018",45.71%
"Dec. 11, 2018",47.37%
"Dec. 10, 2018",43.17%
"Dec. 7, 2018",41.80%
"Dec. 6, 2018",40.37%
"Dec. 4, 2018",41.83%
"Dec. 3, 2018",42.31%
"Nov. 30, 2018",37.68%
"Nov. 29, 2018",35.54%
"Nov. 28, 2018",34.03%
"Nov. 27, 2018",35.17%
"Nov. 26, 2018",34.74%
"Nov. 23, 2018",29.97%
"Nov. 21, 2018",28.90%
"Nov. 20, 2018",29.85%
"Nov. 19, 2018",31.56%
"Nov. 16, 2018",32.97%
"Nov. 15, 2018",32.65%
"Nov. 14, 2018",34.12%
"Nov. 13, 2018",36.06%
"Nov. 12, 2018",36.36%
"Nov. 9, 2018",38.27%
"Nov. 8, 2018",36.92%
"Nov. 7, 2018",37.97%
"Nov. 6, 2018",37.66%
"Nov. 5, 2018",32.57%
"Nov. 2, 2018",32.59%
"Nov. 1, 2018",32.41%
"Oct. 31, 2018",32.36%
"Oct. 30, 2018",35.07%
"Oct. 29, 2018",36.63%
"Oct. 26, 2018",29.99%
"Oct. 25, 2018",32.18%
"Oct. 24, 2018",33.55%
"Oct. 23, 2018",29.02%
"Oct. 22, 2018",27.49%
"Oct. 19, 2018",29.92%
"Oct. 18, 2018",29.70%
"Oct. 17, 2018",28.62%
"Oct. 16, 2018",29.29%
"Oct. 15, 2018",27.64%
"Oct. 12, 2018",27.61%
"Oct. 11, 2018",29.87%
"Oct. 10, 2018",32.14%
"Oct. 9, 2018",31.66%
"Oct. 8, 2018",31.22%
"Oct. 5, 2018",31.08%
"Oct. 4, 2018",33.10%
"Oct. 3, 2018",31.83%
"Oct. 2, 2018",33.16%
"Oct. 1, 2018",34.22%
"Sept. 28, 2018",39.76%
"Sept. 27, 2018",38.05%
"Sept. 26, 2018",36.82%
"Sept. 25, 2018",38.66%
"Sept. 24, 2018",43.77%
"Sept. 21, 2018",46.08%
"Sept. 20, 2018",44.83%
"Sept. 19, 2018",46.61%
"Sept. 18, 2018",48.79%
"Sept. 17, 2018",47.20%
"Sept. 14, 2018",48.09%
"Sept. 13, 2018",69.05%
"Sept. 12, 2018",67.91%
"Sept. 11, 2018",66.95%
"Sept. 10, 2018",66.59%
"Sept. 7, 2018",69.14%
"Sept. 6, 2018",71.18%
"Sept. 5, 2018",70.32%
"Sept. 4, 2018",67.72%
"Aug. 31, 2018",61.23%
"Aug. 30, 2018",59.14%
"Aug. 29, 2018",59.73%
"Aug. 28, 2018",57.97%
"Aug. 27, 2018",58.06%
"Aug. 24, 2018",63.80%
"Aug. 23, 2018",56.48%
"Aug. 22, 2018",56.25%
"Aug. 21, 2018",57.23%
"Aug. 20, 2018",56.39%
"Aug. 17, 2018",53.33%
"Aug. 16, 2018",54.43%
"Aug. 15, 2018",52.58%
"Aug. 14, 2018",51.29%
"Aug. 13, 2018",51.41%
"Aug. 10, 2018",57.64%
"Aug. 9, 2018",56.77%
"Aug. 8, 2018",56.53%
"Aug. 7, 2018",56.95%
"Aug. 6, 2018",58.99%
"Aug. 3, 2018",55.77%
"Aug. 2, 2018",50.57%
"Aug. 1, 2018",48.34%
"July 31, 2018",49.94%
"July 30, 2018",50.23%
"July 27, 2018",51.71%
"July 26, 2018",53.38%
"July 25, 2018",51.44%
"July 24, 2018",51.44%
"July 23, 2018",55.62%
"July 20, 2018",53.46%
"July 19, 2018",54.73%
"July 18, 2018",53.25%
"July 17, 2018",54.56%
"July 16, 2018",51.62%
"July 13, 2018",55.53%
"July 12, 2018",55.53%
"July 11, 2018",56.00%
"July 10, 2018",55.17%
"July 9, 2018",55.58%
"July 6, 2018",59.62%
"July 5, 2018",57.74%
"July 3, 2018",57.33%
"July 2, 2018",56.09%
"June 29, 2018",45.54%
"June 28, 2018",43.72%
"June 27, 2018",42.12%
"June 26, 2018",40.69%
"June 25, 2018",40.36%
"June 22, 2018",32.01%
"June 21, 2018",31.24%
"June 20, 2018",31.34%
"June 19, 2018",30.66%
"June 18, 2018",27.40%
"June 15, 2018",33.20%
"June 14, 2018",32.83%
"June 13, 2018",31.78%
"June 12, 2018",31.39%
"June 11, 2018",27.76%
"June 8, 2018",32.98%
"June 7, 2018",32.38%
"June 6, 2018",32.27%
"June 5, 2018",36.26%
"June 4, 2018",36.43%
"June 1, 2018",33.78%
"May 31, 2018",36.46%
"May 30, 2018",36.52%
"May 29, 2018",35.22%
"May 25, 2018",34.98%
"May 24, 2018",33.64%
"May 23, 2018",32.67%
"May 22, 2018",31.22%
"May 21, 2018",31.86%
"May 18, 2018",33.47%
"May 17, 2018",36.30%
"May 16, 2018",36.53%
"May 15, 2018",38.15%
"May 14, 2018",43.20%
"May 11, 2018",42.95%
"May 10, 2018",43.84%
"May 9, 2018",42.34%
"May 8, 2018",44.94%
"May 7, 2018",50.69%
"May 4, 2018",46.50%
"May 3, 2018",48.36%
"May 2, 2018",47.26%
"May 1, 2018",42.27%
"April 30, 2018",42.95%
"April 27, 2018",40.48%
"April 26, 2018",37.70%
"April 25, 2018",35.61%
"April 24, 2018",35.72%
"April 23, 2018",36.23%
"April 20, 2018",38.91%
"April 19, 2018",41.54%
"April 18, 2018",41.25%
"April 17, 2018",42.37%
"April 16, 2018",40.31%
"April 13, 2018",38.66%
"April 12, 2018",36.40%
"April 11, 2018",39.07%
"April 10, 2018",39.82%
"April 9, 2018",40.86%
"April 6, 2018",38.15%
"April 5, 2018",40.78%
"April 4, 2018",39.40%
"April 3, 2018",38.42%
"April 2, 2018",37.44%
"March 29, 2018",38.54%
"March 28, 2018",37.44%
"March 27, 2018",37.84%
"March 26, 2018",39.07%
"March 23, 2018",34.22%
"March 22, 2018",35.34%
"March 21, 2018",34.76%
"March 20, 2018",34.13%
"March 19, 2018",36.90%
"March 16, 2018",42.51%
"March 15, 2018",44.40%
"March 14, 2018",43.91%
"March 13, 2018",42.86%
"March 12, 2018",40.01%
"March 9, 2018",40.32%
"March 8, 2018",41.22%
"March 7, 2018",40.43%
"March 6, 2018",42.02%
"March 5, 2018",39.58%
"March 2, 2018",39.26%
"March 1, 2018",37.41%
"Feb. 28, 2018",37.17%
"Feb. 27, 2018",38.30%
"Feb. 26, 2018",41.12%
"Feb. 23, 2018",37.43%
"Feb. 22, 2018",34.65%
"Feb. 21, 2018",33.02%
"Feb. 20, 2018",34.30%
"Feb. 16, 2018",40.53%
"Feb. 15, 2018",39.87%
"Feb. 14, 2018",36.10%
"Feb. 13, 2018",38.43%
"Feb. 12, 2018",35.60%
"Feb. 9, 2018",36.40%
"Feb. 8, 2018",32.78%
"Feb. 7, 2018",36.21%
"Feb. 6, 2018",37.33%
"Feb. 5, 2018",33.01%
"Feb. 2, 2018",38.92%
"Feb. 1, 2018",42.59%
"Jan. 31, 2018",45.18%
"Jan. 30, 2018",43.83%
"Jan. 29, 2018",41.11%
"Jan. 26, 2018",42.12%
"Jan. 25, 2018",40.53%
"Jan. 24, 2018",39.15%
"Jan. 23, 2018",39.09%
"Jan. 22, 2018",37.58%
"Jan. 19, 2018",38.43%
"Jan. 18, 2018",38.66%
"Jan. 17, 2018",39.64%
"Jan. 16, 2018",38.95%
"Jan. 12, 2018",44.77%
"Jan. 11, 2018",44.45%
"Jan. 10, 2018",44.45%
"Jan. 9, 2018",47.86%
"Jan. 8, 2018",48.19%
"Jan. 5, 2018",50.38%
"Jan. 4, 2018",50.41%
"Jan. 3, 2018",51.07%
"Jan. 2, 2018",52.03%
"Dec. 29, 2017",47.43%
"Dec. 28, 2017",47.56%
"Dec. 27, 2017",45.71%
"Dec. 26, 2017",44.67%
"Dec. 22, 2017",53.06%
"Dec. 21, 2017",50.38%
"Dec. 20, 2017",52.21%
"Dec. 19, 2017",54.29%
"Dec. 18, 2017",59.04%
"Dec. 15, 2017",71.75%
"Dec. 14, 2017",68.59%
"Dec. 13, 2017",68.27%
"Dec. 12, 2017",68.02%
"Dec. 11, 2017",69.57%
"Dec. 8, 2017",66.42%
"Dec. 7, 2017",64.52%
"Dec. 6, 2017",64.34%
"Dec. 5, 2017",63.12%
"Dec. 4, 2017",62.42%
"Dec. 1, 2017",67.55%
"Nov. 30, 2017",67.44%
"Nov. 29, 2017",65.25%
"Nov. 28, 2017",65.44%
"Nov. 27, 2017",64.91%
"Nov. 24, 2017",66.33%
"Nov. 22, 2017",66.21%
"Nov. 21, 2017",67.32%
"Nov. 20, 2017",67.08%
"Nov. 17, 2017",67.63%
"Nov. 16, 2017",70.44%
"Nov. 15, 2017",69.94%
"Nov. 14, 2017",72.07%
"Nov. 13, 2017",68.58%
"Nov. 10, 2017",63.02%
"Nov. 9, 2017",65.25%
"Nov. 8, 2017",65.25%
"Nov. 7, 2017",64.95%
"Nov. 6, 2017",63.81%
"Nov. 3, 2017",63.15%
"Nov. 2, 2017",63.00%
"Nov. 1, 2017",60.82%
"Oct. 31, 2017",59.55%
"Oct. 30, 2017",57.66%
"Oct. 27, 2017",61.82%
"Oct. 26, 2017",61.30%
"Oct. 25, 2017",61.73%
"Oct. 24, 2017",62.52%
"Oct. 23, 2017",65.34%
"Oct. 20, 2017",66.53%
"Oct. 19, 2017",71.53%
"Oct. 18, 2017",69.42%
"Oct. 17, 2017",69.55%
"Oct. 16, 2017",70.19%
"Oct. 13, 2017",69.82%
"Oct. 12, 2017",66.70%
"Oct. 11, 2017",65.76%
"Oct. 10, 2017",65.32%
"Oct. 9, 2017",62.40%
"Oct. 6, 2017",57.56%
"Oct. 5, 2017",58.75%
"Oct. 4, 2017",58.69%
"Oct. 3, 2017",56.59%
"Oct. 2, 2017",59.19%
"Sept. 29, 2017",59.45%
"Sept. 28, 2017",68.20%
"Sept. 27, 2017",67.67%
"Sept. 26, 2017",71.96%
"Sept. 25, 2017",70.60%
"Sept. 22, 2017",66.52%
"Sept. 21, 2017",67.18%
"Sept. 20, 2017",67.63%
"Sept. 19, 2017",68.97%
"Sept. 18, 2017",72.16%
"Sept. 15, 2017",76.43%
"Sept. 14, 2017",75.52%
"Sept. 13, 2017",73.96%
"Sept. 12, 2017",74.67%
"Sept. 11, 2017",73.19%
"Sept. 8, 2017",70.81%
"Sept. 7, 2017",70.01%
"Sept. 6, 2017",68.75%
"Sept. 5, 2017",69.25%
"Sept. 1, 2017",72.30%
"Aug. 31, 2017",72.37%
"Aug. 30, 2017",72.63%
"Aug. 29, 2017",73.07%
"Aug. 28, 2017",74.48%
"Aug. 25, 2017",77.85%
"Aug. 24, 2017",77.38%
"Aug. 23, 2017",77.97%
"Aug. 22, 2017",77.38%
"Aug. 21, 2017",75.69%
"Aug. 18, 2017",77.03%
"Aug. 17, 2017",75.60%
"Aug. 16, 2017",77.37%
"Aug. 15, 2017",75.40%
"Aug. 14, 2017",76.36%
"Aug. 11, 2017",79.10%
"Aug. 10, 2017",79.81%
"Aug. 9, 2017",79.88%
"Aug. 8, 2017",79.47%
"Aug. 7, 2017",83.33%
"Aug. 4, 2017",79.73%
"Aug. 3, 2017",81.09%
"Aug. 2, 2017",82.25%
"Aug. 1, 2017",79.31%
"July 31, 2017",76.00%
"July 28, 2017",68.43%
"July 27, 2017",70.19%
"July 26, 2017",71.62%
"July 25, 2017",68.44%
"July 24, 2017",67.75%
"July 21, 2017",68.57%
"July 20, 2017",67.53%
"July 19, 2017",66.43%
"July 18, 2017",66.69%
"July 17, 2017",70.87%
"July 14, 2017",69.02%
"July 13, 2017",65.03%
"July 12, 2017",66.46%
"July 11, 2017",63.86%
"July 10, 2017",64.79%
"July 7, 2017",68.46%
"July 6, 2017",67.96%
"July 5, 2017",68.96%
"July 3, 2017",68.76%
"June 30, 2017",64.05%
"June 29, 2017",64.70%
"June 28, 2017",65.35%
"June 27, 2017",67.88%
"June 26, 2017",68.49%
"June 23, 2017",70.33%
"June 22, 2017",71.24%
