date,revenues_growth
"Dec. 31, 2019",-4.41%
"Sept. 30, 2019",4.08%
"June 30, 2019",0.34%
"March 31, 2019",6.80%
"Dec. 31, 2018",6.83%
"Sept. 30, 2018",-2.40%
"June 30, 2018",1.65%
"March 31, 2018",9.52%
"Dec. 31, 2017",5.50%
"Sept. 30, 2017",6.47%
"June 30, 2017",10.37%
"March 31, 2017",11.28%
"Dec. 31, 2016",18.15%
"Sept. 30, 2016",5.40%
"June 30, 2016",1.47%
"March 31, 2016",-22.44%
"Dec. 31, 2015",-21.21%
"Sept. 30, 2015",-2.51%
"June 30, 2015",-33.74%
"March 31, 2015",-20.18%
"Dec. 31, 2014",146.6%
"Sept. 30, 2014",-22.16%
"June 30, 2014",11.12%
"March 31, 2014",30.20%
"Dec. 31, 2013",-59.46%
"Sept. 30, 2013",12.61%
"June 30, 2013",15.66%
"March 31, 2013",8.08%
"Dec. 31, 2012",14.01%
"Sept. 30, 2012",-10.53%
"June 30, 2012",-15.43%
"March 31, 2012",-26.11%
"Dec. 31, 2011",-28.23%
"Sept. 30, 2011",-6.10%
"June 30, 2011",4.88%
"March 31, 2011",-5.39%
"Dec. 31, 2010",1.08%
"Sept. 30, 2010",16.74%
"June 30, 2010",-7.69%
"March 31, 2010",-13.34%
"Dec. 31, 2009",-46.70%
"Sept. 30, 2009",-17.63%
"June 30, 2009",-18.53%
"March 31, 2009",-17.24%
"Dec. 31, 2008",43.66%
"Sept. 30, 2008",-5.28%
"June 30, 2008",-0.62%
"March 31, 2008",15.61%
"Dec. 31, 2007",11.26%
"Sept. 30, 2007",8.06%
"June 30, 2007",19.47%
"March 31, 2007",-4.30%
"Dec. 31, 2006",-26.57%
"Sept. 30, 2006",-0.66%
"June 30, 2006",-3.25%
"March 31, 2006",10.78%
"Dec. 31, 2005",37.23%
"Sept. 30, 2005",19.00%
"June 30, 2005",8.98%
"March 31, 2005",8.53%
"Dec. 31, 2004",16.97%
"Sept. 30, 2004",8.89%
"June 30, 2004",9.00%
"March 31, 2004",-2.07%
"Dec. 31, 2003",-3.36%
"Sept. 30, 2003",-1.11%
"June 30, 2003",19.58%
"March 31, 2003",39.64%
"Dec. 31, 2002",-14.44%
"Sept. 30, 2002",-48.28%
"June 30, 2002",-49.04%
"March 31, 2002",-52.40%
"Dec. 31, 2001",-25.81%
"Sept. 30, 2001",48.72%
"June 30, 2001",102.9%
"March 31, 2001",243.3%
"Dec. 31, 2000",169.9%
"Sept. 30, 2000",70.43%
"June 30, 2000",36.67%
"March 31, 2000",24.08%
"Dec. 31, 1999",52.56%
"Sept. 30, 1999",-7.33%
"June 30, 1999",3.52%
"March 31, 1999",14.41%
"Dec. 31, 1998",-17.68%
"Sept. 30, 1998",25.39%
"June 30, 1998",24.69%
"March 31, 1998",18.08%
"Dec. 31, 1997",39.13%
"Sept. 30, 1997",51.49%
"June 30, 1997",31.23%
"March 31, 1997",14.58%
"Dec. 31, 1996",12.42%
"Sept. 30, 1996",6.32%
"June 30, 1996",10.60%
"March 31, 1996",10.24%
"Dec. 31, 1995",20.48%
"Sept. 30, 1995",10.67%
"June 30, 1995",3.59%
"March 31, 1995",-7.62%
"Dec. 31, 1994",-7.87%
"Sept. 30, 1994",-2.31%
"June 30, 1994",-0.23%
"March 31, 1994",8.44%
"Dec. 31, 1993",0.50%
"Sept. 30, 1993",8.21%
"June 30, 1993",5.92%
"March 31, 1993",10.04%
"Dec. 31, 1992",7.83%
"Sept. 30, 1992",-2.13%
"June 30, 1992",2.78%
"March 31, 1992",2.53%
"Dec. 31, 1991",1.25%
"Sept. 30, 1991",1.76%
"June 30, 1991",-1.69%
"March 31, 1991",1.92%
"Dec. 31, 1990",-6.20%
"Sept. 30, 1990",-0.22%
"June 30, 1990",0.96%
"March 31, 1990",-2.81%
"Dec. 31, 1989",6.16%
"Sept. 30, 1989",0.16%
"June 30, 1989",2.35%
"March 31, 1989",0.30%
"Dec. 31, 1988",8.38%
"Sept. 30, 1988",-2.03%
"June 30, 1988",0.64%
"March 31, 1988",10.52%
"Dec. 31, 1987",-1.60%
"Sept. 30, 1987",0.87%
"June 30, 1987",-14.32%
"March 31, 1987",-21.96%
"Dec. 31, 1986",-23.68%
"Sept. 30, 1986",-17.70%
"June 30, 1986",-6.16%
"March 31, 1986",-10.81%
"Dec. 31, 1985",1.99%
"Sept. 30, 1985",-6.41%
"June 30, 1985",-14.03%
"March 31, 1985",-2.01%
