Cash Flow - Operations (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Net Income,47.07M,90.22M,53.40M,42.64M,26.23M,102.59M,62.59M,36.11M,39.01M,91.08M,50.10M,33.01M,33.15M,83.02M,56.39M,25.53M,31.67M,73.27M,66.19M,23.34M,34.64M,87.23M,44.70M,27.18M,27.51M,73.10M,46.64M,35.04M,20.67M,92.26M,35.44M,24.82M,12.27M,107.41M,20.98M,29.49M,20.24M,67.12M,55.09M,,23.41M,54.71M,27.57M,18.69M,7.374M,51.91M,17.56M,21.40M,10.30M,28.93M,18.47M,24.65M,18.08M,43.99M,19.86M,25.48M,7.526M,23.62M,9.451M,23.07M,16.93M,23.40M,12.99M,19.66M,3.754M,46.78M,-0.88M,-3.072M,-3.328M,37.00M,3.00M,25.00M,20.00M,34.00M,36.00M,35.00M,23.84M,41.56M,32.52M,42.08M,18.24M,22.02M,21.24M,29.50M,18.47M,22.31M,20.35M,28.05M,15.54M,21.14M,20.04M,30.38M,10.76M,19.15M,23.03M,30.21M,24.83M,23.77M,17.59M,20.73M,23.35M,16.29M,17.03M,18.26M
Gain/Loss on Sale Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.931M,0.931M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earnings Loss from Eq. Investments,-2.825M,-4.166M,-2.998M,-2.381M,-0.231M,-6.666M,-1.537M,-4.015M,-4.105M,-5.232M,-0.592M,-1.445M,0.779M,-12.32M,-1.367M,0.042M,-2.492M,-5.526M,-3.27M,0.16M,-3.464M,-6.415M,-1.51M,-0.983M,-2.537M,-6.261M,-0.441M,-2.70M,-10.82M,-1.304M,1.928M,-1.419M,-17.90M,0.291M,4.447M,1.294M,-2.844M,-2.162M,-0.38M,2.378M,4.743M,-1.161M,6.94M,2.988M,-0.347M,-1.792M,7.314M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pension and Employee Expense,4.423M,-24.40M,4.706M,-5.445M,10.56M,-13.72M,-5.66M,-4.818M,5.793M,-34.06M,5.358M,5.235M,5.956M,-23.04M,-4.402M,5.771M,6.356M,-21.73M,-3.25M,5.986M,22.51M,-16.71M,-0.549M,5.649M,23.06M,-12.83M,-4.07M,6.351M,16.31M,2.835M,5.918M,-27.53M,26.05M,-11.30M,4.427M,3.96M,2.922M,-56.75M,1.717M,1.235M,0.949M,0.867M,1.512M,0.697M,0.504M,1.735M,1.181M,0.093M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Gains Losses,1.313M,-28.57M,1.708M,-7.826M,10.17M,-20.39M,-7.197M,-8.833M,1.557M,-39.30M,4.766M,3.79M,6.632M,-35.37M,-5.769M,5.813M,3.767M,-27.25M,-6.52M,6.146M,18.86M,-23.12M,-2.059M,4.666M,8.846M,-19.09M,-4.511M,3.651M,5.288M,1.531M,7.846M,-28.95M,7.706M,-11.01M,8.874M,5.254M,0.078M,-58.91M,1.337M,3.613M,5.692M,-0.294M,8.834M,3.303M,-63.99M,-0.044M,4.182M,1.024M,-134.68M,66.43M,-48.69M,-22.17M,-6.527M,-67.89M,1.748M,47.01M,-13.54M,2.554M,2.151M,-3.221M,-23.77M,28.98M,9.12M,,7.798M,20.97M,37.42M,60.26M,74.99M,35.00M,80.00M,50.00M,24.00M,-57.00M,-66.00M,-161.00M,-16.91M,-56.07M,-20.16M,-14.86M,-4.243M,-14.88M,6.136M,8.986M,8.915M,-1.338M,13.58M,0.502M,-1.043M,-6.732M,0.737M,,0.412M,1.89M,0.517M,-1.102M,-0.517M,-3.132M,-0.088M,-1.631M,0.104M,-5.463M,-1.593M,-2.755M
Total Depreciation and Amortization,44.41M,43.74M,42.29M,43.36M,43.15M,42.66M,42.28M,41.03M,40.88M,41.14M,46.18M,37.73M,37.13M,36.98M,37.04M,36.14M,36.28M,35.79M,35.45M,35.06M,34.72M,34.51M,33.97M,33.89M,34.24M,33.51M,32.83M,33.20M,32.71M,32.98M,31.05M,31.88M,,,,,,,,,32.12M,31.05M,27.15M,28.28M,25.94M,26.85M,26.27M,30.78M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Depreciation, Amortization, Depletion",44.41M,43.74M,42.29M,43.36M,43.15M,42.66M,42.28M,41.03M,40.88M,41.14M,46.18M,37.73M,37.13M,36.98M,37.04M,36.14M,36.28M,35.79M,35.45M,35.06M,34.72M,34.51M,33.97M,33.89M,34.24M,33.51M,32.83M,33.20M,32.71M,32.98M,31.05M,31.88M,32.01M,31.26M,29.80M,31.59M,30.59M,30.23M,30.59M,30.44M,32.12M,31.05M,27.15M,28.28M,25.94M,26.85M,26.27M,30.78M,29.08M,30.89M,30.11M,30.29M,31.71M,30.59M,29.74M,30.60M,31.06M,31.43M,31.02M,30.61M,40.74M,21.59M,31.19M,30.67M,31.27M,32.06M,33.36M,32.38M,31.83M,35.00M,29.00M,27.00M,29.00M,28.00M,28.00M,26.00M,30.00M,25.51M,24.35M,24.14M,26.09M,21.20M,24.33M,23.38M,24.25M,19.33M,21.91M,21.65M,20.34M,20.82M,19.92M,19.40M,17.48M,17.65M,17.18M,17.40M,17.27M,17.03M,16.44M,16.67M,12.54M,16.10M,15.53M,16.03M
Deferred Taxes,29.79M,-1.222M,-1.886M,-4.291M,30.79M,-9.789M,-4.801M,-4.907M,33.44M,-7.023M,2.434M,4.394M,5.655M,17.70M,5.948M,6.425M,13.38M,25.58M,-1.572M,1.26M,-6.192M,20.42M,14.86M,-9.928M,18.68M,29.14M,6.337M,11.41M,14.16M,7.96M,6.856M,5.008M,9.205M,-32.35M,-23.26M,1.266M,4.647M,56.82M,3.392M,-23.12M,4.238M,7.249M,-7.127M,14.68M,-11.41M,-0.702M,4.16M,12.62M,-18.20M,10.46M,11.18M,7.58M,-0.865M,18.59M,-8.144M,-26.91M,-23.74M,-3.65M,-7.024M,2.644M,-5.313M,-7.488M,-19.61M,-1.498M,15.29M,-17.00M,-23.89M,-30.57M,-18.67M,-48.00M,-30.00M,-14.00M,35.00M,28.00M,25.00M,62.00M,17.26M,23.07M,6.487M,0.182M,-0.037M,0.319M,-1.793M,-0.489M,-9.526M,1.797M,-4.45M,1.997M,-1.519M,7.469M,-1.332M,1.36M,4.579M,5.108M,-0.927M,-1.559M,4.875M,4.087M,-1.343M,3.92M,1.298M,5.667M,2.869M,4.032M
Excess Tax Benefit from Stock Compensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
