Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Operating Revenue,292.37M,385.03M,315.77M,349.77M,311.07M,407.36M,338.70M,309.46M,304.51M,406.66M,331.77M,301.96M,357.34M,347.97M,291.52M,262.53M,260.65M,347.28M,312.49M,261.50M,268.24M,363.29M,293.88M,274.04M,278.52M,360.60M,268.96M,248.12M,231.32M,310.89M,231.95M,225.14M,140.04M,309.63M,234.98M,251.49M,144.43M,309.36M,241.75M,252.96M,253.08M,324.51M,243.63M,228.57M,217.03M,299.72M,230.23M,213.44M,197.45M,261.46M,213.77M,206.71M,184.78M,230.53M,242.64M,268.34M,204.14M,245.91M,201.29M,196.18M,181.12M,246.68M,211.87M,188.19M,171.57M,239.23M,200.28M,211.93M,219.80M,259.00M,621.00M,653.00M,244.31M,395.00M,1.578B,288.00M,2.231B,316.38M,261.29M,186.27M,931.80M,161.98M,165.07M,174.15M,188.16M,230.20M,167.13M,167.35M,65.59M,217.17M,166.98M,155.45M,141.78M,149.65M,140.38M,146.63M,135.30M,148.73M,130.25M,131.34M,135.28M,151.03M,128.54M,128.81M,135.50M,134.60M,129.50M,140.80M,129.90M,129.00M,124.70M,114.50M,122.10M,129.60M,110.90M,120.60M,117.90M,125.60M,109.40M,112.00M,116.50M,128.20M,119.10M,132.40M,99.40M,111.60M,98.40M,102.90M,91.20M,107.90M,94.20M,101.30M,90.40M,103.10M,98.30M,117.10M,106.30M,116.90M,106.40M,121.60M,110.40M,116.90M,94.90M,105.60M
Revenue,292.85M,386.32M,316.90M,350.32M,311.89M,408.80M,339.95M,310.11M,305.61M,408.32M,333.01M,302.54M,293.58M,372.04M,315.44M,280.96M,285.40M,369.16M,336.33M,279.40M,289.82M,382.20M,317.78M,292.72M,296.23M,381.11M,303.95M,264.93M,250.80M,334.02M,254.70M,241.14M,230.65M,309.63M,234.98M,251.49M,231.96M,309.36M,241.75M,252.96M,253.08M,324.51M,243.63M,228.57M,217.03M,299.72M,230.23M,213.44M,197.45M,261.46M,213.77M,206.71M,184.78M,230.53M,242.64M,268.34M,204.14M,245.91M,201.29M,196.18M,181.12M,246.68M,211.87M,188.19M,171.57M,239.23M,200.28M,211.93M,219.80M,259.00M,621.00M,653.00M,244.31M,395.00M,1.578B,288.00M,2.231B,316.38M,261.29M,186.27M,931.80M,161.98M,165.07M,174.15M,188.16M,230.20M,167.13M,167.35M,65.59M,217.17M,166.98M,155.45M,141.78M,149.65M,140.38M,146.63M,135.30M,148.73M,130.25M,131.34M,135.28M,151.03M,128.54M,128.81M,135.50M,134.60M,129.50M,140.80M,129.90M,129.00M,124.70M,114.50M,122.10M,129.60M,110.90M,120.60M,117.90M,125.60M,109.40M,112.00M,116.50M,128.20M,119.10M,132.40M,99.40M,111.60M,98.40M,102.90M,91.20M,107.90M,94.20M,101.30M,90.40M,103.10M,98.30M,117.10M,106.30M,116.90M,106.40M,121.60M,110.40M,116.90M,94.90M,105.60M
Cost of Goods Sold,176.87M,211.24M,182.02M,229.83M,202.90M,232.50M,196.77M,201.40M,187.65M,224.61M,185.39M,195.85M,187.16M,217.12M,182.10M,182.84M,179.46M,210.33M,196.11M,185.71M,208.82M,225.71M,193.47M,194.67M,209.95M,216.46M,160.88M,157.10M,165.84M,174.64M,149.26M,154.55M,453.56M,107.34M,77.42M,93.01M,329.95M,112.18M,94.74M,111.72M,64.32M,139.62M,86.78M,92.75M,72.38M,115.57M,83.77M,68.65M,67.02M,109.65M,65.82M,60.19M,84.94M,133.86M,,126.36M,85.59M,109.41M,73.71M,64.76M,58.66M,107.90M,84.59M,58.57M,123.68M,102.89M,55.93M,39.14M,227.46M,77.00M,95.00M,58.00M,-90.40M,254.00M,123.00M,92.00M,114.01M,117.44M,99.74M,40.81M,46.10M,64.61M,41.38M,39.91M,65.57M,117.94M,39.54M,44.89M,-41.88M,111.15M,47.86M,34.04M,40.45M,51.34M,23.83M,16.75M,28.22M,40.55M,18.29M,22.21M,30.63M,57.26M,36.52M,30.70M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,115.98M,175.08M,134.88M,120.49M,108.99M,176.30M,143.18M,108.71M,117.96M,183.72M,147.61M,106.70M,106.43M,154.92M,133.33M,98.12M,105.94M,158.83M,140.22M,93.68M,81.00M,156.49M,124.31M,98.05M,86.28M,164.65M,143.06M,107.83M,84.96M,159.37M,105.44M,86.59M,-222.91M,202.29M,157.56M,158.48M,-98.00M,197.18M,147.01M,141.24M,188.76M,184.89M,156.86M,135.82M,144.65M,184.15M,146.45M,144.79M,130.43M,151.81M,147.96M,146.52M,99.84M,96.67M,,141.98M,118.55M,136.49M,127.58M,131.42M,122.46M,138.78M,127.28M,129.62M,47.89M,136.34M,144.35M,172.78M,-7.662M,182.00M,526.00M,595.00M,334.71M,141.00M,1.455B,196.00M,2.117B,198.94M,161.55M,145.47M,885.70M,97.37M,123.69M,134.24M,122.60M,112.26M,127.59M,122.46M,107.47M,106.03M,119.12M,121.40M,101.33M,98.31M,116.55M,129.88M,107.08M,108.17M,111.96M,109.13M,104.64M,93.78M,92.03M,98.11M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG&A Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.07M,6.481M,6.703M,,6.00M,5.00M,3.00M,11.05M,12.00M,10.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement Depreciation,43.20M,42.60M,41.17M,42.23M,42.11M,41.67M,41.35M,40.07M,39.83M,40.26M,45.24M,36.76M,36.21M,36.04M,35.79M,35.62M,35.11M,34.64M,34.31M,34.04M,33.68M,33.48M,32.95M,32.88M,33.06M,32.54M,32.23M,31.91M,31.91M,31.61M,29.88M,30.54M,30.52M,30.12M,29.69M,29.46M,29.48M,29.14M,28.73M,28.58M,29.00M,28.84M,26.83M,25.96M,24.00M,25.72M,26.62M,25.75M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Income and Charges,11.36M,6.803M,6.699M,6.356M,9.067M,6.047M,5.985M,6.033M,6.319M,5.712M,5.611M,5.232M,8.466M,5.931M,5.238M,4.985M,7.305M,5.654M,5.378M,5.187M,5.913M,4.645M,4.459M,4.079M,4.00M,3.734M,3.528M,3.615M,3.458M,3.541M,7.832M,7.616M,10.65M,6.01M,5.041M,4.538M,5.416M,3.55M,3.012M,4.481M,1.449M,4.569M,4.058M,6.921M,-10.25M,2.038M,1.024M,3.741M,3.494M,4.053M,1.622M,0.851M,-6.268M,1.34M,,3.198M,-1.287M,2.723M,1.072M,3.833M,-6.687M,4.027M,9.859M,2.81M,39.35M,-6.655M,1.373M,-16.60M,-2.17M,-2.00M,1.00M,-3.00M,11.29M,5.00M,3.00M,2.00M,18.08M,-3.357M,-0.523M,2.117M,-3.87M,8.90M,8.989M,2.983M,2.803M,7.079M,6.701M,1.773M,10.47M,2.123M,2.256M,3.389M,2.471M,3.561M,3.115M,3.342M,4.307M,4.747M,3.374M,1.944M,2.074M,3.618M,2.258M,2.53M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non Income Taxes,6.98M,8.827M,9.377M,8.859M,7.486M,8.911M,9.118M,9.277M,7.955M,8.614M,8.843M,8.678M,7.595M,8.287M,8.203M,8.738M,7.809M,8.286M,8.193M,8.52M,7.063M,8.34M,8.241M,8.105M,7.318M,7.017M,8.054M,8.172M,7.528M,7.012M,7.849M,8.10M,7.199M,7.302M,7.182M,7.211M,6.916M,5.645M,5.805M,5.68M,5.32M,5.60M,5.088M,5.062M,4.652M,4.827M,4.80M,4.803M,3.367M,4.714M,4.636M,4.918M,2.704M,4.057M,,5.571M,5.212M,5.115M,5.302M,5.227M,3.554M,4.593M,5.378M,5.565M,5.181M,5.164M,5.251M,5.157M,4.953M,5.00M,5.00M,5.00M,3.693M,5.00M,5.00M,5.00M,4.086M,5.024M,5.463M,5.427M,5.571M,5.17M,5.676M,5.584M,4.622M,5.258M,5.501M,5.344M,4.441M,5.333M,5.556M,5.831M,4.909M,5.902M,4.716M,5.13M,4.564M,5.971M,6.318M,6.126M,6.407M,6.163M,5.596M,5.779M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Interest Expense,20.78M,21.57M,22.11M,22.02M,21.97M,21.84M,20.97M,21.17M,21.66M,20.74M,20.65M,20.70M,20.02M,20.31M,20.64M,21.07M,20.56M,20.28M,20.66M,20.44M,19.95M,19.87M,19.94M,20.04M,20.10M,20.80M,20.65M,19.49M,19.83M,19.40M,17.44M,17.20M,11.68M,19.50M,17.57M,20.85M,16.11M,20.14M,19.43M,18.99M,18.57M,18.60M,18.16M,17.48M,19.99M,18.54M,17.06M,17.47M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Interest Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.053M,,1.888M,,1.39M,2.038M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
