Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Cash and Equivalents,217.25M,260.57M,239.66M,231.34M,267.49M,261.25M,183.14M,307.28M,76.65M,104.41M,32.63M,47.01M,61.48M,100.80M,90.56M,219.68M,114.80M,121.26M,130.98M,317.24M,56.81M,111.04M,50.62M,88.26M,78.16M,186.87M,136.16M,24.46M,26.53M,20.23M,14.37M,8.857M,27.81M,31.31M,58.32M,93.94M,228.68M,185.31M,29.49M,41.44M,52.99M,28.87M,16.00M,89.11M,8.828M,57.73M,8.924M,7.404M,7.966M,16.65M,12.46M,3.561M,9.892M,8.366M,53.87M,60.89M,52.36M,13.31M,11.91M,61.38M,23.40M,20.95M,17.23M,79.64M,75.16M,26.19M,20.12M,41.53M,42.74M,70.00M,47.00M,59.00M,67.00M,62.42M,25.54M,30.26M,107.00M,18.49M,43.67M,39.69M,111.00M,17.21M,14.67M,12.87M,22.87M,4.916M,2.43M,3.338M,6.905M,10.26M,7.773M,8.827M,7.928M,6.931M,7.491M,5.691M,8.468M,7.645M,8.077M,7.278M,7.748M,5.389M,5.659M,4.804M
Cash and Short Term Investments,217.25M,260.57M,239.66M,231.34M,267.49M,261.25M,183.14M,307.28M,76.65M,104.41M,32.63M,47.01M,61.48M,100.80M,90.56M,219.68M,114.80M,121.26M,130.98M,317.24M,56.81M,111.04M,50.62M,88.26M,78.16M,186.87M,136.16M,24.46M,26.53M,20.23M,14.37M,8.857M,27.81M,31.31M,58.32M,93.94M,228.68M,185.31M,29.49M,41.44M,52.99M,28.87M,16.00M,89.11M,8.828M,57.73M,8.924M,7.404M,7.966M,16.65M,12.46M,3.561M,9.892M,8.366M,53.87M,60.89M,52.36M,13.31M,11.91M,61.38M,23.40M,20.95M,17.23M,79.64M,75.16M,26.19M,20.12M,41.53M,42.74M,70.00M,47.00M,59.00M,67.00M,62.42M,25.54M,30.26M,107.00M,18.49M,43.67M,39.69M,111.00M,17.21M,14.67M,12.87M,22.87M,4.916M,2.43M,3.338M,6.905M,10.26M,7.773M,8.827M,7.928M,6.931M,7.491M,5.691M,8.468M,7.645M,8.077M,7.278M,7.748M,5.389M,5.659M,4.804M
Accounts Receivable,72.68M,99.14M,83.65M,97.12M,77.18M,93.14M,87.98M,84.00M,75.25M,101.70M,85.77M,80.98M,71.56M,86.22M,76.96M,69.23M,73.50M,91.94M,79.22M,74.06M,79.08M,93.27M,98.00M,98.43M,97.87M,111.21M,69.13M,78.81M,66.11M,101.08M,78.43M,82.35M,66.30M,86.23M,69.74M,66.63M,72.27M,75.67M,64.22M,71.52M,74.99M,83.99M,70.78M,70.92M,64.73M,83.65M,74.65M,74.44M,74.74M,63.58M,57.23M,53.79M,54.96M,71.83M,63.66M,112.53M,85.72M,81.05M,74.41M,59.87M,61.48M,63.24M,60.96M,67.73M,61.94M,93.50M,97.04M,134.09M,142.47M,135.00M,156.00M,157.00M,229.00M,304.14M,112.51M,256.98M,241.00M,206.12M,155.93M,120.07M,114.00M,153.24M,129.64M,147.61M,116.49M,178.28M,113.73M,125.07M,122.03M,95.12M,75.49M,57.97M,51.65M,53.84M,53.01M,59.27M,52.51M,45.68M,43.50M,45.82M,45.23M,40.17M,40.17M,43.94M
Other Receivables,19.13M,15.54M,13.82M,13.63M,7.74M,6.229M,5.489M,7.16M,30.62M,5.399M,4.922M,5.028M,15.28M,7.229M,6.516M,7.799M,8.642M,8.981M,7.087M,4.72M,16.02M,16.81M,8.663M,16.64M,15.27M,12.39M,14.54M,24.33M,23.61M,5.628M,2.629M,,8.197M,,,13.43M,,,29.09M,10.90M,14.59M,15.35M,14.23M,15.10M,10.44M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Receivables,159.12M,167.29M,170.41M,165.01M,158.33M,158.77M,176.01M,151.71M,188.95M,171.45M,180.56M,149.59M,180.36M,167.19M,190.91M,145.44M,161.01M,161.06M,175.23M,135.04M,163.24M,165.35M,177.56M,162.01M,176.81M,176.05M,170.78M,144.72M,142.92M,156.82M,142.04M,120.21M,121.36M,135.60M,119.52M,121.65M,132.36M,160.09M,146.58M,122.45M,140.85M,147.58M,132.12M,130.00M,135.49M,122.72M,123.39M,106.18M,111.05M,96.34M,100.05M,77.73M,86.33M,99.50M,100.95M,143.06M,124.62M,113.38M,113.27M,84.78M,95.31M,94.51M,101.45M,91.68M,92.81M,121.96M,132.45M,162.98M,178.18M,164.00M,198.00M,184.00M,266.00M,336.57M,160.05M,286.84M,286.00M,240.28M,198.33M,146.27M,146.00M,179.46M,163.23M,174.34M,151.10M,204.75M,146.04M,148.87M,155.34M,120.57M,107.50M,78.66M,79.36M,75.11M,79.83M,78.90M,77.54M,67.32M,67.28M,65.95M,74.35M,61.94M,66.52M,62.71M
Inventories,56.66M,57.51M,58.44M,58.37M,54.99M,58.39M,60.23M,58.35M,55.74M,58.47M,58.90M,59.37M,57.86M,58.69M,58.41M,59.41M,56.92M,56.16M,56.39M,57.32M,55.40M,56.02M,55.32M,55.33M,53.64M,52.86M,52.35M,52.62M,51.04M,101.17M,107.56M,104.96M,46.49M,96.30M,94.01M,79.47M,73.15M,75.38M,76.64M,72.54M,73.69M,72.94M,74.58M,66.72M,66.97M,75.73M,74.04M,64.38M,60.54M,62.61M,58.27M,57.13M,54.25M,52.02M,52.09M,48.34M,42.19M,40.61M,44.37M,43.97M,34.55M,33.43M,35.74M,32.46M,27.58M,25.98M,31.74M,32.01M,29.76M,36.00M,34.00M,35.00M,35.00M,33.28M,36.40M,38.66M,35.00M,35.92M,38.82M,40.21M,39.00M,40.41M,41.72M,40.28M,37.25M,36.04M,37.38M,38.04M,36.33M,37.51M,42.43M,37.95M,36.27M,41.46M,44.59M,42.47M,39.00M,37.62M,40.50M,38.33M,35.45M,36.85M,35.38M,33.28M
Prepaid Expenses,17.64M,14.15M,17.02M,17.62M,16.49M,15.00M,14.85M,18.67M,16.98M,16.48M,15.73M,12.44M,18.39M,15.60M,14.94M,14.72M,17.98M,18.87M,14.70M,14.82M,18.48M,12.95M,17.72M,14.79M,15.34M,14.04M,13.79M,11.20M,12.82M,13.01M,13.51M,11.32M,12.40M,11.24M,10.98M,9.197M,11.06M,9.983M,10.34M,8.81M,11.11M,11.66M,9.493M,9.878M,10.06M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Tax Assets,,,,,,,,,,,,,,,,,,42.11M,42.34M,42.34M,42.36M,32.64M,29.54M,32.87M,46.87M,35.06M,28.16M,31.88M,56.53M,45.83M,46.63M,37.36M,16.16M,3.85M,7.411M,9.537M,10.72M,31.22M,31.82M,31.77M,31.77M,14.74M,14.73M,14.79M,37.55M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Assets,114.48M,104.64M,113.92M,103.96M,100.34M,89.31M,105.12M,101.90M,105.27M,107.12M,132.26M,140.65M,122.23M,117.62M,141.77M,148.03M,111.32M,94.86M,108.40M,125.93M,105.82M,97.20M,116.23M,140.45M,105.78M,101.97M,119.34M,119.37M,77.41M,28.94M,33.98M,40.58M,86.75M,30.94M,36.34M,23.02M,8.07M,5.901M,,4.413M,,,8.602M,8.956M,7.381M,58.48M,52.66M,85.95M,87.15M,116.01M,121.20M,121.99M,116.06M,59.34M,64.73M,57.55M,78.35M,82.12M,64.90M,66.98M,68.16M,41.82M,43.91M,39.59M,42.61M,38.34M,115.00M,118.09M,137.16M,163.00M,156.00M,180.00M,282.00M,410.61M,788.96M,915.42M,1.093B,477.40M,400.76M,128.24M,54.00M,68.09M,100.46M,17.72M,19.01M,18.25M,16.97M,17.12M,18.54M,18.47M,17.97M,19.56M,20.56M,21.62M,23.14M,23.97M,26.56M,26.84M,25.77M,25.95M,27.07M,26.43M,25.63M,24.05M
Total Current Assets,565.15M,604.16M,599.45M,576.29M,597.64M,582.72M,539.35M,637.90M,443.60M,457.93M,420.08M,409.06M,440.31M,459.89M,496.58M,587.29M,462.04M,494.32M,528.04M,692.69M,442.10M,475.21M,447.00M,493.71M,476.61M,566.85M,520.57M,384.25M,367.25M,366.00M,358.08M,323.28M,310.97M,309.26M,326.57M,336.81M,464.04M,467.89M,294.86M,281.43M,310.41M,275.79M,255.53M,319.46M,266.28M,314.65M,259.01M,263.91M,266.71M,291.62M,291.99M,260.42M,266.53M,219.23M,271.63M,309.83M,297.52M,249.43M,234.45M,257.11M,221.42M,190.71M,198.33M,243.38M,238.16M,212.48M,299.32M,354.61M,387.83M,433.00M,435.00M,458.00M,650.00M,842.88M,1.011B,1.271B,1.521B,772.10M,681.58M,354.42M,350.00M,305.17M,320.09M,245.22M,230.22M,263.96M,202.82M,207.38M,217.12M,186.81M,175.68M,144.99M,144.12M,145.13M,155.05M,151.03M,151.56M,139.42M,141.62M,137.51M,144.62M,130.61M,133.19M,124.84M
