Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Operating Revenue,1.609B,1.487B,1.40B,1.842B,1.665B,1.546B,1.402B,1.865B,1.533B,1.341B,1.331B,1.758B,1.491B,1.418B,1.439B,1.67B,1.153B,1.048B,939.00M,1.227B,3.395B,293.03M,334.79M,571.16M,3.129B,316.48M,319.07M,548.04M,422.95M,322.89M,282.84M,457.82M,373.56M,321.43M,314.05M,561.05M,333.99M,236.28M,207.12M,220.28M,205.46M,255.21M,200.36M,235.51M,219.25M,278.72M,216.13M,234.62M,222.08M,268.06M,216.94M,274.57M,185.55M,261.14M,199.73M,200.29M,180.13M,259.45M,185.92M,278.54M,-69.49M,323.42M,260.74M,249.43M,145.79M,292.11M,230.62M,234.24M,173.89M,321.08M,284.29M,258.34M,209.14M,313.61M,262.51M,242.20M,58.59M,247.05M,194.80M,204.24M,147.70M,199.10M,164.50M,168.70M,165.30M,198.60M,159.80M,162.50M,169.60M,196.60M,163.80M,180.30M,177.20M,209.20M,168.80M,170.90M,161.30M,200.30M,163.40M,165.40M,151.10M,184.60M,153.40M,167.60M,150.60M,189.40M,151.00M,161.90M,154.20M,175.90M,160.50M,176.80M,184.30M,167.60M,151.60M,169.90M,152.70M,162.10M,125.60M,137.00M,130.50M,144.10M,127.70M,128.90M,127.10M,144.60M,120.50M,126.70M,121.30M,134.40M,120.00M,121.90M,113.00M,118.70M,112.10M,127.30M,128.80M,129.80M,121.10M,135.20M,124.30M,132.60M,122.80M,129.80M
Revenue,1.609B,1.487B,1.40B,1.842B,1.665B,1.546B,1.402B,1.865B,1.533B,1.341B,1.331B,1.758B,1.491B,1.418B,1.439B,1.67B,1.153B,1.048B,939.00M,1.227B,3.395B,293.03M,334.79M,571.16M,3.129B,316.48M,319.07M,548.04M,422.95M,322.89M,282.84M,457.82M,373.56M,321.43M,314.05M,561.05M,333.99M,236.28M,207.12M,220.28M,205.46M,255.21M,200.36M,235.51M,219.25M,278.72M,216.13M,234.62M,222.08M,268.06M,216.94M,274.57M,185.55M,261.14M,199.73M,200.29M,180.13M,259.45M,185.92M,278.54M,-69.49M,323.42M,260.74M,249.43M,145.79M,292.11M,230.62M,234.24M,173.89M,321.08M,284.29M,258.34M,209.14M,313.61M,262.51M,242.20M,58.59M,247.05M,194.80M,204.24M,147.70M,199.10M,164.50M,168.70M,165.30M,198.60M,159.80M,162.50M,169.60M,196.60M,163.80M,180.30M,177.20M,209.20M,168.80M,170.90M,161.30M,200.30M,163.40M,165.40M,151.10M,184.60M,153.40M,167.60M,150.60M,189.40M,151.00M,161.90M,154.20M,175.90M,160.50M,176.80M,184.30M,167.60M,151.60M,169.90M,152.70M,162.10M,125.60M,137.00M,130.50M,144.10M,127.70M,128.90M,127.10M,144.60M,120.50M,126.70M,121.30M,134.40M,120.00M,121.90M,113.00M,118.70M,112.10M,127.30M,128.80M,129.80M,121.10M,135.20M,124.30M,132.60M,122.80M,129.80M
Cost of Goods Sold,995.00M,867.00M,832.00M,1.116B,1.07B,916.00M,812.00M,1.103B,926.00M,781.00M,735.00M,987.00M,869.00M,865.00M,779.00M,979.00M,791.00M,632.00M,585.00M,772.00M,1.938B,189.83M,231.00M,381.84M,1.868B,193.13M,202.09M,365.83M,278.88M,208.98M,179.46M,293.20M,528.09M,126.87M,118.46M,295.63M,405.37M,89.05M,68.91M,90.82M,83.88M,107.14M,83.29M,116.03M,139.72M,121.37M,91.99M,117.53M,102.86M,125.93M,111.57M,176.12M,89.44M,124.70M,96.57M,103.15M,93.93M,130.92M,93.91M,95.17M,88.89M,119.75M,81.33M,87.94M,66.43M,77.39M,62.37M,66.48M,65.06M,78.16M,62.02M,63.96M,58.56M,77.16M,66.87M,69.31M,68.74M,74.85M,74.33M,68.92M,43.30M,59.90M,47.20M,43.00M,48.10M,48.80M,42.40M,46.80M,54.40M,52.40M,49.90M,65.80M,59.30M,60.70M,45.10M,42.30M,41.70M,48.10M,46.00M,49.80M,37.70M,44.20M,40.30M,49.90M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,614.00M,620.00M,568.00M,726.00M,595.00M,630.00M,590.00M,762.00M,607.00M,560.00M,596.00M,771.00M,622.00M,553.00M,660.00M,691.00M,362.00M,416.00M,354.00M,455.00M,1.457B,103.20M,103.79M,189.32M,1.261B,123.35M,116.98M,182.21M,144.07M,113.91M,103.38M,164.62M,-154.52M,194.56M,195.59M,265.42M,-71.37M,147.23M,138.21M,129.46M,121.58M,148.07M,117.07M,119.48M,79.53M,157.35M,124.14M,117.10M,119.22M,142.13M,105.37M,98.45M,96.12M,136.44M,103.16M,97.14M,86.20M,128.53M,92.01M,183.37M,-158.38M,203.67M,179.41M,161.49M,79.36M,214.71M,168.26M,167.76M,108.83M,242.92M,222.27M,194.38M,150.58M,236.45M,195.64M,172.89M,-10.15M,172.21M,120.48M,135.32M,104.40M,139.20M,117.30M,125.70M,117.20M,149.80M,117.40M,115.70M,115.20M,144.20M,113.90M,114.50M,117.90M,148.50M,123.70M,128.60M,119.60M,152.20M,117.40M,115.60M,113.40M,140.40M,113.10M,117.70M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General and Administrative Expense,,,,,,,,,,,,,,,,,,,,,,0.00,0.531M,1.906M,,0.00,0.024M,0.024M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG&A Expense,,,,,,,,,,,,,,,,,,,,,,0.00,0.531M,1.906M,,0.00,0.024M,0.024M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.88M,11.05M,9.244M,,,5.517M,4.744M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement Depreciation,,,,,,,,,,,,,,,,,,,,,,32.86M,32.36M,31.99M,,30.87M,29.57M,29.35M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amortization Expense,,,,,,,,,,,,,,,,,,,,,,2.718M,4.152M,8.33M,,19.89M,16.10M,20.76M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investment Write Off,,,,,,,,,,,,,,,,,2.00M,3.00M,7.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Income and Charges,194.00M,0.00,0.00,0.00,40.00M,-1.00M,-10.00M,-5.00M,-606.00M,0.00,,0.00,,,,,19.00M,-3.00M,-7.00M,,2.377M,1.731M,-4.604M,-7.504M,-602.41M,-13.26M,4.763M,4.907M,17.20M,0.00,,,3.606M,7.601M,4.532M,3.943M,-11.86M,-1.995M,-2.864M,3.061M,-2.648M,2.633M,1.56M,0.297M,-0.178M,0.925M,0.772M,0.017M,0.20M,2.465M,1.603M,0.714M,0.217M,5.262M,2.491M,20.79M,0.938M,2.675M,1.086M,-2.336M,-2.313M,1.034M,1.431M,1.40M,0.616M,2.098M,0.726M,-0.435M,-0.897M,2.525M,-3.746M,-0.209M,0.997M,2.698M,1.781M,1.224M,177.42M,-2.678M,-1.165M,2.756M,1.70M,0.30M,-2.40M,-0.50M,-6.50M,1.80M,-4.50M,0.40M,2.60M,0.10M,0.70M,0.80M,-6.60M,-0.10M,-0.30M,-0.20M,-1.60M,-1.40M,-0.90M,-0.30M,-1.80M,0.60M,-0.90M,0.20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
