Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Cash and Equivalents,178.00M,103.00M,166.00M,33.00M,36.00M,32.00M,52.00M,40.00M,41.00M,27.00M,36.00M,30.00M,91.00M,182.00M,396.00M,403.00M,427.00M,83.72M,179.13M,80.12M,482.00M,102.80M,175.61M,137.37M,69.15M,18.70M,24.57M,20.85M,17.86M,15.20M,12.19M,12.01M,31.00M,26.30M,23.66M,33.96M,90.28M,,17.84M,11.41M,15.27M,9.466M,12.29M,25.54M,7.73M,26.61M,29.70M,17.12M,13.36M,52.87M,32.19M,41.26M,63.73M,107.81M,101.66M,121.43M,28.86M,5.011M,13.95M,26.47M,40.16M,34.02M,90.11M,29.04M,28.61M,91.42M,59.19M,79.08M,18.91M,72.03M,36.70M,56.00M,86.10M,59.00M,42.81M,46.47M,47.44M,8.446M,5.33M,21.95M,39.10M,18.00M,23.20M,19.00M,97.70M,13.30M,15.00M,16.30M,32.00M,86.70M,17.30M,29.70M,6.40M,36.20M,45.70M,15.80M,5.10M,42.60M,49.00M,27.30M,11.40M,22.80M,17.40M,21.00M
Short Term Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,36.29M,,0.00,0.00,0.00,0.00,,3.424M,3.304M,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,178.00M,103.00M,166.00M,33.00M,36.00M,32.00M,52.00M,40.00M,41.00M,27.00M,36.00M,30.00M,91.00M,182.00M,396.00M,403.00M,427.00M,83.72M,179.13M,80.12M,482.00M,102.80M,175.61M,137.37M,69.15M,18.70M,24.57M,20.85M,17.86M,15.20M,12.19M,48.30M,31.00M,26.30M,23.66M,33.96M,90.28M,,21.26M,14.72M,15.27M,9.466M,12.29M,25.54M,7.73M,26.61M,29.70M,17.12M,13.36M,52.87M,32.19M,41.26M,63.73M,107.81M,101.66M,121.43M,28.86M,5.011M,13.95M,26.47M,40.16M,34.02M,90.11M,29.04M,28.61M,91.42M,59.19M,79.08M,18.91M,72.03M,36.70M,56.00M,86.10M,59.00M,42.81M,46.47M,47.44M,8.446M,5.33M,21.95M,39.10M,18.00M,23.20M,19.00M,97.70M,13.30M,15.00M,16.30M,32.00M,86.70M,17.30M,29.70M,6.40M,36.20M,45.70M,15.80M,5.10M,42.60M,49.00M,27.30M,11.40M,22.80M,17.40M,21.00M
Accounts Receivable,1.082B,966.00M,1.009B,1.264B,1.142B,1.06B,986.00M,1.113B,1.04B,943.00M,984.00M,1.117B,1.119B,956.00M,894.00M,964.00M,974.00M,216.16M,217.74M,297.71M,888.00M,212.38M,233.14M,303.07M,245.25M,200.31M,211.13M,293.05M,238.99M,214.73M,192.96M,220.77M,180.46M,180.62M,196.69M,251.86M,234.17M,,101.15M,103.38M,93.84M,108.06M,88.16M,95.26M,93.85M,49.99M,83.24M,93.21M,97.91M,117.23M,101.79M,113.90M,100.25M,90.84M,67.91M,172.74M,103.77M,201.80M,166.84M,164.08M,165.63M,173.43M,150.56M,139.82M,135.31M,144.64M,139.01M,162.17M,143.85M,169.66M,173.55M,150.23M,164.18M,250.39M,214.59M,232.94M,190.16M,180.13M,134.32M,116.02M,109.70M,130.10M,103.10M,85.20M,118.40M,99.00M,88.70M,78.80M,85.10M,85.70M,78.90M,89.40M,102.10M,94.30M,82.60M,76.20M,78.50M,85.40M,88.00M,90.50M,88.00M,99.90M,95.90M,95.80M
Loans Receivable,,,,,,,,,,,,,3.00M,,,,3.00M,,,,3.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes Receivable,,,,,,,,,,,,,,,4.00M,0.00,6.00M,,,,,,,,,,,,,,,,,,,,,,,,,53.83M,44.59M,44.04M,35.54M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Receivables,,,,,,,,,,,,,,,,,,,,,2.00M,,,,,,,,,,,,,,10.62M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Receivables,1.092B,980.00M,1.022B,1.271B,1.148B,1.063B,989.00M,1.121B,1.05B,960.00M,999.00M,1.134B,1.147B,972.00M,964.00M,1.028B,1.053B,284.82M,298.61M,406.44M,894.00M,281.44M,299.46M,399.09M,346.55M,249.87M,264.63M,363.14M,324.63M,327.85M,279.10M,303.83M,327.40M,263.56M,275.71M,332.35M,352.40M,,147.80M,143.66M,142.22M,201.14M,173.51M,182.34M,179.52M,147.85M,132.84M,136.26M,140.82M,157.60M,148.27M,152.76M,133.98M,129.93M,113.96M,223.08M,135.73M,252.30M,218.58M,208.04M,205.38M,212.77M,192.56M,177.04M,167.56M,184.11M,178.64M,196.44M,182.26M,212.27M,211.18M,181.85M,199.92M,283.26M,248.34M,264.59M,226.85M,180.13M,134.32M,116.02M,109.70M,130.10M,103.10M,85.20M,118.40M,99.00M,88.70M,78.80M,85.10M,85.70M,78.90M,89.40M,102.10M,94.30M,82.60M,76.20M,78.50M,85.40M,88.00M,90.50M,88.00M,99.90M,95.90M,95.80M
Inventories,251.00M,249.00M,219.00M,194.00M,235.00M,243.00M,210.00M,180.00M,214.00M,392.00M,374.00M,348.00M,378.00M,347.00M,336.00M,324.00M,405.00M,62.18M,47.33M,31.44M,327.00M,91.31M,58.40M,32.83M,79.92M,88.79M,62.18M,33.66M,84.77M,103.41M,81.49M,76.05M,119.89M,116.13M,80.16M,54.56M,114.84M,,5.31M,4.773M,4.553M,4.665M,4.882M,4.228M,3.871M,4.585M,4.62M,4.195M,3.25M,3.573M,2.861M,2.477M,2.204M,2.241M,2.04M,6.979M,2.104M,5.77M,5.53M,5.342M,5.421M,5.555M,5.264M,5.17M,4.458M,7.394M,9.055M,7.324M,4.033M,13.97M,14.10M,14.75M,14.53M,13.42M,10.49M,9.554M,10.94M,10.66M,9.682M,9.754M,9.30M,7.90M,7.80M,34.00M,33.60M,29.00M,30.70M,22.90M,19.10M,20.00M,21.10M,22.10M,22.00M,22.70M,23.60M,21.80M,22.20M,23.40M,23.30M,23.10M,22.30M,23.40M,23.20M,23.30M
Prepaid Expenses,190.00M,290.00M,137.00M,255.00M,217.00M,319.00M,141.00M,232.00M,259.00M,307.00M,197.00M,281.00M,241.00M,308.00M,179.00M,271.00M,240.00M,24.48M,14.39M,22.51M,207.00M,23.44M,11.23M,21.27M,14.99M,25.52M,13.09M,20.62M,11.91M,22.30M,,,,22.46M,,,16.69M,,5.086M,7.696M,3.891M,7.733M,5.022M,6.767M,3.67M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
