Cash Flow - Operations (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Net Income,216.00M,139.00M,105.00M,216.00M,116.00M,134.00M,110.00M,238.00M,-77.00M,100.00M,120.00M,239.00M,209.00M,109.00M,102.00M,212.00M,102.00M,54.00M,11.00M,106.00M,346.73M,12.50M,9.303M,55.46M,-124.90M,5.157M,17.93M,51.81M,28.84M,15.78M,12.01M,47.08M,21.29M,12.19M,14.17M,52.06M,10.48M,44.38M,-16.05M,16.05M,-47.55M,21.74M,13.77M,12.04M,-39.40M,21.54M,11.27M,6.587M,8.555M,20.99M,9.793M,5.356M,-42.18M,11.80M,3.00M,-37.79M,6.215M,18.45M,3.359M,3.228M,4.744M,16.34M,58.73M,7.135M,3.017M,16.95M,4.301M,5.266M,5.235M,21.81M,9.14M,9.569M,9.738M,24.93M,15.22M,9.476M,6.389M,19.71M,17.80M,16.86M,3.30M,25.00M,14.00M,9.90M,-1.40M,29.10M,5.50M,9.00M,6.10M,23.40M,8.60M,7.70M,0.60M,17.90M,8.90M,11.70M,6.60M,26.60M,7.70M,9.50M,2.70M,25.80M,6.40M,13.20M
Gain and Loss on Sale of PPE,,,,,,,,,-2.00M,1.00M,-1.00M,,0.00,1.00M,-3.00M,-31.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain (Loss) on Investment Securities,-20.00M,-35.00M,-20.00M,-1.00M,6.00M,13.00M,8.00M,-5.00M,30.00M,5.00M,9.00M,-27.00M,0.00,-27.00M,-6.00M,29.00M,27.00M,-67.00M,11.00M,39.00M,,,,,,,,,,,,,8.65M,-3.804M,-4.846M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earnings Loss from Eq. Investments,-2.00M,1.00M,-1.00M,-1.00M,-2.00M,-1.00M,-5.00M,-2.00M,43.00M,0.00,-1.00M,-2.00M,-3.00M,-2.00M,0.00,-2.00M,-3.00M,3.00M,1.00M,-1.00M,-2.199M,-2.894M,-3.519M,-3.388M,14.62M,-3.939M,-3.871M,-3.812M,-3.45M,-3.502M,-4.001M,-4.487M,-11.70M,,2.062M,-2.062M,-1.84M,-0.345M,0.753M,-0.008M,,0.029M,-0.029M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pension and Employee Expense,23.00M,23.00M,20.00M,25.00M,30.00M,31.00M,31.00M,31.00M,28.00M,28.00M,28.00M,28.00M,6.00M,38.00M,33.00M,33.00M,34.00M,27.00M,26.00M,28.00M,50.49M,7.836M,7.837M,7.835M,59.24M,12.67M,12.04M,12.04M,9.957M,9.831M,11.29M,8.827M,8.648M,10.15M,10.29M,9.944M,8.524M,7.135M,7.134M,6.018M,5.346M,5.345M,3.486M,8.136M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Gains Losses,-134.00M,-11.00M,-1.00M,23.00M,24.00M,43.00M,34.00M,24.00M,99.00M,34.00M,35.00M,-1.00M,3.00M,10.00M,24.00M,29.00M,58.00M,-37.00M,38.00M,66.00M,-67.71M,4.942M,4.318M,4.447M,77.87M,8.734M,8.171M,8.229M,6.507M,6.329M,7.29M,4.34M,5.596M,6.345M,7.503M,7.882M,6.684M,26.74M,-12.06M,6.01M,16.18M,10.19M,-3.383M,-0.792M,11.06M,4.524M,3.738M,-8.395M,20.95M,1.144M,-5.123M,-0.087M,-113.86M,78.88M,1.401M,-19.45M,17.83M,-15.75M,1.388M,3.652M,18.85M,-8.832M,-47.62M,0.885M,-1.091M,13.80M,19.85M,1.537M,-44.01M,2.576M,-2.97M,-3.573M,-1.37M,3.883M,-7.41M,0.31M,15.12M,-8.684M,-16.15M,-10.21M,-0.40M,-0.90M,-0.70M,-0.70M,-0.10M,-0.40M,-0.40M,-0.30M,-0.30M,-0.40M,-0.70M,-0.90M,22.00M,-0.60M,-0.70M,-0.80M,-0.90M,-0.90M,-0.80M,-0.90M,2.60M,2.10M,2.00M,2.20M
Depreciation Expense,253.00M,237.00M,222.00M,222.00M,211.00M,226.00M,215.00M,203.00M,216.00M,205.00M,206.00M,197.00M,183.00M,203.00M,213.00M,205.00M,170.00M,163.00M,187.00M,175.00M,514.76M,36.20M,37.12M,40.92M,445.64M,51.37M,46.28M,50.71M,-137.70M,46.89M,43.65M,47.17M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amortization Expense CF,13.00M,19.00M,18.00M,14.00M,19.00M,17.00M,16.00M,21.00M,12.00M,22.00M,9.00M,19.00M,-80.00M,46.00M,42.00M,41.00M,28.00M,26.00M,36.00M,11.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Depreciation and Amortization,266.00M,256.00M,240.00M,236.00M,230.00M,243.00M,231.00M,224.00M,228.00M,227.00M,215.00M,216.00M,103.00M,249.00M,255.00M,246.00M,198.00M,189.00M,245.00M,164.00M,476.76M,36.20M,37.12M,40.92M,443.64M,51.37M,46.28M,50.71M,46.08M,46.89M,43.65M,47.17M,42.58M,42.27M,39.58M,45.80M,31.88M,28.78M,27.43M,27.64M,25.20M,26.94M,23.29M,24.50M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Depreciation, Amortization, Depletion",266.00M,256.00M,240.00M,236.00M,230.00M,243.00M,231.00M,224.00M,228.00M,227.00M,215.00M,216.00M,103.00M,249.00M,255.00M,246.00M,198.00M,189.00M,245.00M,164.00M,476.76M,36.20M,37.12M,40.92M,443.64M,51.37M,46.28M,50.71M,46.08M,46.89M,43.65M,47.17M,42.58M,42.27M,39.58M,45.80M,31.88M,28.78M,27.43M,27.64M,25.20M,26.94M,23.29M,24.50M,18.65M,22.56M,20.50M,20.48M,3.827M,25.85M,26.49M,14.84M,-5.565M,21.46M,17.44M,17.75M,11.25M,34.38M,11.50M,13.44M,-6.237M,29.95M,10.83M,12.13M,5.518M,17.21M,15.93M,20.82M,12.75M,22.52M,17.62M,17.72M,21.67M,29.49M,19.57M,15.90M,-0.329M,28.98M,18.93M,18.49M,-79.00M,26.30M,23.90M,28.80M,,,,,,,,,,,,,,,,,,,,
Deferred Taxes,39.00M,121.00M,-43.00M,21.00M,21.00M,24.00M,43.00M,63.00M,-417.00M,24.00M,47.00M,95.00M,46.00M,85.00M,138.00M,106.00M,72.00M,45.00M,-112.00M,77.00M,228.48M,4.471M,5.199M,22.85M,40.50M,13.97M,16.03M,-12.50M,21.62M,23.15M,16.76M,6.598M,2.043M,11.99M,67.37M,1.87M,43.57M,14.23M,4.073M,-4.83M,-1.294M,-7.554M,0.836M,1.471M,2.14M,-5.622M,-2.526M,-1.323M,-0.949M,-2.836M,-2.745M,2.28M,29.20M,5.787M,0.826M,-38.90M,2.672M,1.523M,3.139M,-1.492M,-1.665M,9.095M,-0.349M,1.904M,25.00M,-1.971M,-1.019M,-4.29M,72.30M,-3.518M,0.718M,-1.782M,-0.449M,-1.285M,-3.856M,-12.46M,3.393M,1.416M,0.211M,5.415M,10.70M,3.00M,-65.70M,-0.70M,4.10M,2.30M,-3.10M,-2.20M,13.40M,5.60M,-7.80M,-3.20M,8.30M,-1.50M,-5.40M,-3.70M,16.40M,10.00M,1.00M,0.10M,5.70M,4.70M,-0.20M,-0.70M
Asset Impairment Charge,,,,,,,,,,,,,,,,,2.00M,3.00M,7.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unrealized Gain (Loss) on Investment Securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stock Based Compensation,,,,,,,,,,-4.00M,3.00M,1.00M,0.00,1.00M,-1.00M,1.00M,,,,,1.559M,-0.123M,1.093M,2.471M,-4.104M,1.087M,0.754M,2.263M,0.993M,0.205M,0.879M,2.83M,0.96M,0.984M,1.433M,1.909M,0.994M,0.938M,0.869M,1.279M,0.796M,0.715M,0.762M,1.297M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Noncash Items,-4.00M,-21.00M,-12.00M,-2.00M,17.00M,-20.00M,3.00M,1.00M,617.00M,-22.00M,-9.00M,-7.00M,-10.00M,-18.00M,-3.00M,3.00M,13.00M,11.00M,14.00M,15.00M,-29.15M,3.505M,37.63M,36.02M,-11.79M,9.375M,-20.73M,58.15M,-44.82M,4.138M,0.175M,9.876M,-46.35M,-22.86M,-45.03M,34.62M,-22.01M,-19.46M,32.28M,-4.834M,50.23M,-6.409M,2.612M,-5.907M,37.28M,-0.189M,-0.682M,4.392M,1.948M,3.537M,-10.11M,4.216M,85.20M,-73.26M,-9.201M,84.49M,,,,,,,,,,,,,,,,,,,,,,,,,104.50M,-0.10M,,,25.90M,29.10M,26.30M,26.30M,22.20M,23.40M,29.10M,23.10M,22.40M,22.90M,22.00M,21.50M,21.70M,23.80M,23.40M,24.00M,21.70M,19.10M,17.40M,20.80M
