date,revenues_growth
"Dec. 31, 2019",-14.29%
"Sept. 30, 2019",-17.40%
"June 30, 2019",-10.29%
"March 31, 2019",-4.95%
"Dec. 31, 2018",10.88%
"Sept. 30, 2018",24.23%
"June 30, 2018",23.16%
"March 31, 2018",14.10%
"Dec. 31, 2017",20.70%
"Sept. 30, 2017",16.23%
"June 30, 2017",18.08%
"March 31, 2017",36.64%
"Dec. 31, 2016",7.60%
"Sept. 30, 2016",-11.01%
"June 30, 2016",-24.40%
"March 31, 2016",-28.61%
"Dec. 31, 2015",-33.48%
"Sept. 30, 2015",-36.77%
"June 30, 2015",-33.74%
"March 31, 2015",-36.61%
"Dec. 31, 2014",-21.94%
"Sept. 30, 2014",-8.45%
"June 30, 2014",0.50%
"March 31, 2014",-6.11%
"Dec. 31, 2013",-4.10%
"Sept. 30, 2013",1.69%
"June 30, 2013",-7.48%
"March 31, 2013",-7.81%
"Dec. 31, 2012",-0.34%
"Sept. 30, 2012",-10.52%
"June 30, 2012",-10.86%
"March 31, 2012",0.41%
"Dec. 31, 2011",9.77%
"Sept. 30, 2011",28.32%
"June 30, 2011",30.60%
"March 31, 2011",24.94%
"Dec. 31, 2010",7.63%
"Sept. 30, 2010",6.42%
"June 30, 2010",30.11%
"March 31, 2010",32.17%
"Dec. 31, 2009",7.81%
"Sept. 30, 2009",-40.99%
"June 30, 2009",-51.53%
"March 31, 2009",-45.10%
"Dec. 31, 2008",-27.83%
"Sept. 30, 2008",39.91%
"June 30, 2008",45.16%
"March 31, 2008",34.16%
"Dec. 31, 2007",28.62%
"Sept. 30, 2007",1.77%
"June 30, 2007",4.78%
"March 31, 2007",-11.71%
"Dec. 31, 2006",-11.24%
"Sept. 30, 2006",-0.45%
"June 30, 2006",10.74%
"March 31, 2006",31.29%
"Dec. 31, 2005",10.89%
"Sept. 30, 2005",40.79%
"June 30, 2005",37.05%
"March 31, 2005",23.66%
"Dec. 31, 2004",35.99%
"Sept. 30, 2004",31.00%
"June 30, 2004",20.14%
"March 31, 2004",9.37%
"Dec. 31, 2003",33.69%
"Sept. 30, 2003",14.97%
"June 30, 2003",15.90%
"March 31, 2003",47.58%
"Dec. 31, 2002",-61.35%
"Sept. 30, 2002",115.6%
"June 30, 2002",94.78%
"March 31, 2002",69.49%
"Dec. 31, 2001",-14.31%
"Sept. 30, 2001",-12.57%
"June 30, 2001",-1.65%
"March 31, 2001",4.87%
"Dec. 31, 2000",34.03%
"Sept. 30, 2000",33.84%
"June 30, 2000",51.29%
"March 31, 2000",75.32%
"Dec. 31, 1999",725.4%
"Sept. 30, 1999",32.55%
"June 30, 1999",9.69%
"March 31, 1999",-12.31%
"Dec. 31, 1998",-28.99%
"Sept. 30, 1998",-25.66%
"June 30, 1998",-22.44%
"March 31, 1998",-31.24%
"Dec. 31, 1997",-10.91%
"Sept. 30, 1997",-6.53%
"June 30, 1997",-6.57%
"March 31, 1997",7.32%
"Dec. 31, 1996",25.71%
"Sept. 30, 1996",18.63%
"June 30, 1996",14.95%
"March 31, 1996",14.29%
"Dec. 31, 1995",-1.08%
"Sept. 30, 1995",-2.05%
"June 30, 1995",8.42%
"March 31, 1995",9.44%
"Dec. 31, 1994",9.25%
"Sept. 30, 1994",2.99%
"June 30, 1994",-10.45%
"March 31, 1994",-9.01%
