date,payout_ratio
"Dec. 31, 2019",306.4%
"Sept. 30, 2019",66.73%
"June 30, 2019",59.35%
"March 31, 2019",62.32%
"Dec. 31, 2018",57.35%
"Sept. 30, 2018",59.28%
"June 30, 2018",68.74%
"March 31, 2018",81.05%
"Dec. 31, 2017",88.44%
"Sept. 30, 2017",124.9%
"June 30, 2017",138.8%
"March 31, 2017",277.0%
"Dec. 31, 2016",-1.62K%
"Sept. 30, 2016",-533.7%
"June 30, 2016",-1.07K%
"March 31, 2016",617.4%
"Dec. 31, 2015",174.2%
"Sept. 30, 2015",92.47%
"June 30, 2015",65.63%
"March 31, 2015",46.43%
"Dec. 31, 2014",41.20%
"Sept. 30, 2014",37.82%
"June 30, 2014",38.55%
"March 31, 2014",38.64%
"Dec. 31, 2013",34.89%
"Sept. 30, 2013",30.82%
"June 30, 2013",29.75%
"March 31, 2013",27.00%
"Dec. 31, 2012",26.14%
"Sept. 30, 2012",27.83%
"June 30, 2012",24.38%
"March 31, 2012",23.16%
"Dec. 31, 2011",22.81%
"Sept. 30, 2011",22.08%
"June 30, 2011",25.50%
"March 31, 2011",27.79%
"Dec. 31, 2010",29.80%
"Sept. 30, 2010",33.28%
"June 30, 2010",32.65%
"March 31, 2010",40.64%
"Dec. 31, 2009",50.58%
"Sept. 30, 2009",42.62%
"June 30, 2009",31.85%
"March 31, 2009",25.51%
"Dec. 31, 2008",21.57%
"Sept. 30, 2008",21.22%
"June 30, 2008",25.22%
"March 31, 2008",25.47%
"Dec. 31, 2007",25.64%
"Sept. 30, 2007",26.72%
"June 30, 2007",24.40%
"March 31, 2007",25.30%
"Dec. 31, 2006",25.65%
"Sept. 30, 2006",24.97%
"June 30, 2006",26.39%
"March 31, 2006",26.01%
"Dec. 31, 2005",27.49%
"Sept. 30, 2005",27.32%
"June 30, 2005",26.87%
"March 31, 2005",25.01%
"Dec. 31, 2004",24.59%
"Sept. 30, 2004",27.33%
"June 30, 2004",29.94%
"March 31, 2004",39.39%
"Dec. 31, 2003",42.46%
"Sept. 30, 2003",47.38%
"June 30, 2003",84.86%
"March 31, 2003",128.4%
"Dec. 31, 2002",264.2%
"Sept. 30, 2002",-668.4%
"June 30, 2002",236.5%
"March 31, 2002",132.2%
"Dec. 31, 2001",86.92%
"Sept. 30, 2001",34.10%
"June 30, 2001",32.65%
"March 31, 2001",33.55%
"Dec. 31, 2000",36.09%
"Sept. 30, 2000",48.35%
"June 30, 2000",57.59%
"March 31, 2000",68.15%
"Dec. 31, 1999",82.29%
"Sept. 30, 1999",151.4%
"June 30, 1999",171.1%
"March 31, 1999",137.5%
"Dec. 31, 1998",119.2%
"Sept. 30, 1998",65.29%
"June 30, 1998",58.04%
"March 31, 1998",52.49%
"Dec. 31, 1997",45.85%
"Sept. 30, 1997",51.46%
"June 30, 1997",51.82%
"March 31, 1997",49.08%
"Dec. 31, 1996",52.09%
"Sept. 30, 1996",77.16%
"June 30, 1996",96.52%
"March 31, 1996",117.8%
"Dec. 31, 1995",134.9%
"Sept. 30, 1995",62.46%
"June 30, 1995",57.10%
"March 31, 1995",68.37%
"Dec. 31, 1994",71.23%
"Sept. 30, 1994",87.17%
"June 30, 1994",86.24%
"March 31, 1994",100.3%
"Dec. 31, 1993",90.04%
