date,sustainable_growth_rate
"Dec. 31, 2019",-3.94%
"Sept. 30, 2019",2.85%
"June 30, 2019",3.88%
"March 31, 2019",3.40%
"Dec. 31, 2018",4.17%
"Sept. 30, 2018",3.85%
"June 30, 2018",2.55%
"March 31, 2018",1.30%
"Dec. 31, 2017",0.72%
"Sept. 30, 2017",-1.11%
"June 30, 2017",-1.54%
"March 31, 2017",-3.50%
"Dec. 31, 2016",-5.74%
"Sept. 30, 2016",-6.32%
"June 30, 2016",-5.76%
"March 31, 2016",-4.36%
"Dec. 31, 2015",-2.20%
"Sept. 30, 2015",0.42%
"June 30, 2015",2.70%
"March 31, 2015",6.01%
"Dec. 31, 2014",7.40%
"Sept. 30, 2014",8.53%
"June 30, 2014",8.32%
"March 31, 2014",8.33%
"Dec. 31, 2013",9.78%
"Sept. 30, 2013",11.78%
"June 30, 2013",12.37%
"March 31, 2013",14.21%
"Dec. 31, 2012",14.96%
"Sept. 30, 2012",13.76%
"June 30, 2012",16.42%
"March 31, 2012",17.58%
"Dec. 31, 2011",18.11%
"Sept. 30, 2011",19.04%
"June 30, 2011",16.09%
"March 31, 2011",14.58%
"Dec. 31, 2010",13.51%
"Sept. 30, 2010",11.68%
"June 30, 2010",12.20%
"March 31, 2010",8.64%
"Dec. 31, 2009",5.83%
"Sept. 30, 2009",8.03%
"June 30, 2009",12.94%
"March 31, 2009",18.16%
"Dec. 31, 2008",22.77%
"Sept. 30, 2008",23.52%
"June 30, 2008",19.03%
"March 31, 2008",18.93%
"Dec. 31, 2007",18.95%
"Sept. 30, 2007",17.94%
"June 30, 2007",20.33%
"March 31, 2007",19.52%
"Dec. 31, 2006",19.13%
"Sept. 30, 2006",20.26%
"June 30, 2006",19.53%
"March 31, 2006",20.17%
"Dec. 31, 2005",19.42%
"Sept. 30, 2005",20.00%
"June 30, 2005",21.20%
"March 31, 2005",23.57%
"Dec. 31, 2004",24.69%
"Sept. 30, 2004",21.82%
"June 30, 2004",19.70%
"March 31, 2004",13.51%
"Dec. 31, 2003",12.23%
"Sept. 30, 2003",10.15%
"June 30, 2003",1.62%
"March 31, 2003",-2.01%
"Dec. 31, 2002",-5.61%
"Sept. 30, 2002",-14.10%
"June 30, 2002",-6.94%
"March 31, 2002",-2.89%
"Dec. 31, 2001",1.61%
"Sept. 30, 2001",22.61%
"June 30, 2001",25.04%
"March 31, 2001",25.02%
"Dec. 31, 2000",20.88%
"Sept. 30, 2000",14.30%
"June 30, 2000",9.95%
"March 31, 2000",6.36%
"Dec. 31, 1999",2.93%
"Sept. 30, 1999",-3.14%
"June 30, 1999",-3.83%
"March 31, 1999",-2.50%
"Dec. 31, 1998",-1.47%
"Sept. 30, 1998",4.81%
"June 30, 1998",6.54%
"March 31, 1998",8.22%
"Dec. 31, 1997",10.64%
"Sept. 30, 1997",8.54%
"June 30, 1997",8.46%
"March 31, 1997",9.31%
"Dec. 31, 1996",8.29%
"Sept. 30, 1996",2.63%
"June 30, 1996",0.31%
"March 31, 1996",-1.30%
"Dec. 31, 1995",-2.19%
"Sept. 30, 1995",4.98%
"June 30, 1995",6.19%
"March 31, 1995",3.86%
"Dec. 31, 1994",3.42%
"Sept. 30, 1994",1.24%
"June 30, 1994",1.32%
