date,three_year_return
"March 19, 2020",-46.70%
"March 18, 2020",-48.88%
"March 17, 2020",-34.35%
"March 16, 2020",-35.38%
"March 13, 2020",-23.71%
"March 12, 2020",-31.06%
"March 11, 2020",-24.93%
"March 10, 2020",-23.17%
"March 9, 2020",-26.69%
"March 6, 2020",-15.77%
"March 5, 2020",-14.41%
"March 4, 2020",-13.23%
"March 3, 2020",-16.87%
"March 2, 2020",-14.79%
"Feb. 28, 2020",-17.03%
"Feb. 27, 2020",-15.77%
"Feb. 26, 2020",-10.97%
"Feb. 25, 2020",-8.55%
"Feb. 24, 2020",-4.91%
"Feb. 21, 2020",-2.43%
"Feb. 20, 2020",-0.47%
"Feb. 19, 2020",0.37%
"Feb. 18, 2020",-0.08%
"Feb. 14, 2020",-2.17%
"Feb. 13, 2020",-1.98%
"Feb. 12, 2020",-0.89%
"Feb. 11, 2020",-1.63%
"Feb. 10, 2020",-2.88%
"Feb. 7, 2020",-2.20%
"Feb. 6, 2020",-3.09%
"Feb. 5, 2020",-2.90%
"Feb. 4, 2020",-5.92%
"Feb. 3, 2020",-6.42%
"Jan. 31, 2020",-3.78%
"Jan. 30, 2020",-0.38%
"Jan. 29, 2020",-3.01%
"Jan. 28, 2020",-2.35%
"Jan. 27, 2020",-2.99%
"Jan. 24, 2020",-3.88%
"Jan. 23, 2020",-1.98%
"Jan. 22, 2020",-2.34%
"Jan. 21, 2020",-1.98%
"Jan. 17, 2020",-0.60%
"Jan. 16, 2020",0.44%
"Jan. 15, 2020",-0.21%
"Jan. 14, 2020",-0.07%
"Jan. 13, 2020",0.24%
"Jan. 10, 2020",1.29%
"Jan. 9, 2020",1.44%
"Jan. 8, 2020",0.74%
"Jan. 7, 2020",1.90%
"Jan. 6, 2020",3.22%
"Jan. 3, 2020",2.68%
"Jan. 2, 2020",3.17%
"Dec. 31, 2019",2.39%
"Dec. 30, 2019",1.83%
"Dec. 27, 2019",1.76%
"Dec. 26, 2019",1.84%
"Dec. 24, 2019",1.62%
"Dec. 23, 2019",1.61%
"Dec. 20, 2019",1.47%
"Dec. 19, 2019",0.41%
"Dec. 18, 2019",0.40%
"Dec. 17, 2019",0.44%
"Dec. 16, 2019",1.08%
"Dec. 13, 2019",0.46%
"Dec. 12, 2019",1.42%
"Dec. 11, 2019",0.36%
"Dec. 10, 2019",1.80%
"Dec. 9, 2019",1.29%
"Dec. 6, 2019",4.66%
"Dec. 5, 2019",2.72%
"Dec. 4, 2019",3.49%
"Dec. 3, 2019",2.56%
"Dec. 2, 2019",3.36%
"Nov. 29, 2019",7.12%
"Nov. 27, 2019",6.37%
"Nov. 26, 2019",6.12%
"Nov. 25, 2019",6.65%
"Nov. 22, 2019",7.24%
"Nov. 21, 2019",7.80%
"Nov. 20, 2019",7.45%
"Nov. 19, 2019",6.64%
"Nov. 18, 2019",8.56%
"Nov. 15, 2019",10.72%
"Nov. 14, 2019",14.42%
"Nov. 13, 2019",14.67%
"Nov. 12, 2019",13.43%
"Nov. 11, 2019",13.29%
"Nov. 8, 2019",12.71%
"Nov. 7, 2019",14.08%
"Nov. 6, 2019",14.43%
"Nov. 5, 2019",16.38%
"Nov. 4, 2019",16.02%
"Nov. 1, 2019",9.14%
"Oct. 31, 2019",10.87%
"Oct. 30, 2019",12.08%
"Oct. 29, 2019",13.78%
"Oct. 28, 2019",14.12%
"Oct. 25, 2019",17.76%
"Oct. 24, 2019",16.81%
"Oct. 23, 2019",16.47%
"Oct. 22, 2019",16.29%
"Oct. 21, 2019",15.11%
"Oct. 18, 2019",12.72%
"Oct. 17, 2019",13.80%
"Oct. 16, 2019",13.88%
"Oct. 15, 2019",15.07%
"Oct. 14, 2019",14.94%
"Oct. 11, 2019",12.72%
"Oct. 10, 2019",10.20%
"Oct. 9, 2019",10.63%
"Oct. 8, 2019",9.23%
"Oct. 7, 2019",10.75%
"Oct. 4, 2019",12.42%
"Oct. 3, 2019",10.44%
"Oct. 2, 2019",9.10%
"Oct. 1, 2019",12.72%
"Sept. 30, 2019",15.24%
"Sept. 27, 2019",19.82%
"Sept. 26, 2019",21.64%
"Sept. 25, 2019",24.48%
"Sept. 24, 2019",24.71%
"Sept. 23, 2019",25.88%
"Sept. 20, 2019",27.25%
"Sept. 19, 2019",26.13%
"Sept. 18, 2019",26.92%
"Sept. 17, 2019",26.63%
"Sept. 16, 2019",26.86%
"Sept. 13, 2019",22.20%
"Sept. 12, 2019",18.75%
"Sept. 11, 2019",19.76%
"Sept. 10, 2019",20.32%
"Sept. 9, 2019",17.89%
"Sept. 6, 2019",15.45%
"Sept. 5, 2019",16.56%
"Sept. 4, 2019",16.17%
"Sept. 3, 2019",15.20%
"Aug. 30, 2019",15.75%
"Aug. 29, 2019",15.16%
"Aug. 28, 2019",15.31%
"Aug. 27, 2019",14.32%
"Aug. 26, 2019",14.23%
"Aug. 23, 2019",13.28%
"Aug. 22, 2019",15.49%
"Aug. 21, 2019",15.21%
"Aug. 20, 2019",13.50%
"Aug. 19, 2019",14.65%
"Aug. 16, 2019",12.85%
"Aug. 15, 2019",13.80%
"Aug. 14, 2019",15.25%
"Aug. 13, 2019",19.80%
"Aug. 12, 2019",19.08%
"Aug. 9, 2019",20.83%
"Aug. 8, 2019",21.77%
"Aug. 7, 2019",18.50%
"Aug. 6, 2019",18.77%
"Aug. 5, 2019",18.14%
"Aug. 2, 2019",21.23%
"Aug. 1, 2019",21.82%
"July 31, 2019",20.13%
"July 30, 2019",21.33%
"July 29, 2019",21.22%
"July 26, 2019",20.49%
"July 25, 2019",21.89%
"July 24, 2019",19.76%
"July 23, 2019",19.08%
"July 22, 2019",18.60%
"July 19, 2019",17.92%
"July 18, 2019",17.52%
"July 17, 2019",15.99%
"July 16, 2019",16.57%
"July 15, 2019",17.46%
"July 12, 2019",17.98%
"July 11, 2019",19.02%
"July 10, 2019",19.73%
"July 9, 2019",17.73%
"July 8, 2019",17.97%
"July 5, 2019",19.28%
"July 3, 2019",18.44%
"July 2, 2019",18.03%
