date,eps_growth
"Sept. 30, 2019",-35.54%
"June 30, 2019",27.53%
"March 31, 2019",-26.84%
"Dec. 31, 2018",18.90%
"Sept. 30, 2018",104.9%
"June 30, 2018",131.2%
"March 31, 2018",34.75%
"Dec. 31, 2017",645.5%
"Sept. 30, 2017",51.47%
"June 30, 2017",
"March 31, 2017",
"Dec. 31, 2016",
"Sept. 30, 2016",-37.61%
"June 30, 2016",
"March 31, 2016",
"Dec. 31, 2015",
"Sept. 30, 2015",-63.05%
"June 30, 2015",-89.93%
"March 31, 2015",-41.95%
"Dec. 31, 2014",-28.02%
"Sept. 30, 2014",14.79%
"June 30, 2014",7.58%
"March 31, 2014",-25.79%
"Dec. 31, 2013",-30.54%
"Sept. 30, 2013",-4.46%
"June 30, 2013",-24.32%
"March 31, 2013",-2.75%
"Dec. 31, 2012",43.41%
"Sept. 30, 2012",-31.38%
"June 30, 2012",-4.94%
"March 31, 2012",5.83%
"Dec. 31, 2011",-72.78%
"Sept. 30, 2011",109.6%
"June 30, 2011",42.59%
"March 31, 2011",36.12%
"Dec. 31, 2010",519.6%
"Sept. 30, 2010",-2.60%
"June 30, 2010",210.3%
"March 31, 2010",146.7%
"Dec. 31, 2009",-37.30%
"Sept. 30, 2009",-50.13%
"June 30, 2009",-70.00%
"March 31, 2009",-62.90%
"Dec. 31, 2008",5.17%
"Sept. 30, 2008",120.0%
"June 30, 2008",15.08%
"March 31, 2008",13.76%
"Dec. 31, 2007",33.33%
"Sept. 30, 2007",-23.58%
"June 30, 2007",27.92%
"March 31, 2007",21.11%
"Dec. 31, 2006",-6.45%
"Sept. 30, 2006",39.63%
"June 30, 2006",11.93%
"March 31, 2006",40.62%
"Dec. 31, 2005",14.11%
"Sept. 30, 2005",8.61%
"June 30, 2005",-9.28%
"March 31, 2005",6.67%
"Dec. 31, 2004",98.78%
"Sept. 30, 2004",49.50%
"June 30, 2004",158.7%
"March 31, 2004",32.60%
"Dec. 31, 2003",95.24%
"Sept. 30, 2003",
"June 30, 2003",284.6%
"March 31, 2003",166.2%
"Dec. 31, 2002",
"Sept. 30, 2002",
"June 30, 2002",-80.98%
"March 31, 2002",-72.69%
"Dec. 31, 2001",
"Sept. 30, 2001",-22.55%
"June 30, 2001",19.88%
"March 31, 2001",56.60%
"Dec. 31, 2000",88.62%
"Sept. 30, 2000",167.0%
"June 30, 2000",222.6%
"March 31, 2000",218.0%
"Dec. 31, 1999",
"Sept. 30, 1999",25.71%
"June 30, 1999",-39.77%
"March 31, 1999",-35.06%
"Dec. 31, 1998",
"Sept. 30, 1998",-36.36%
"June 30, 1998",-29.60%
"March 31, 1998",-39.37%
"Dec. 31, 1997",87.32%
"Sept. 30, 1997",10.00%
"June 30, 1997",-6.72%
"March 31, 1997",35.11%
"Dec. 31, 1996",
"Sept. 30, 1996",127.3%
"June 30, 1996",44.09%
"March 31, 1996",34.29%
"Dec. 31, 1995",
"Sept. 30, 1995",-32.31%
"June 30, 1995",138.5%
"March 31, 1995",16.67%
"Dec. 31, 1994",112.4%
"Sept. 30, 1994",1.56%
"June 30, 1994",387.5%
"March 31, 1994",55.84%
