Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Operating Revenue,7.708B,7.756B,7.953B,9.15B,9.666B,9.449B,8.504B,8.798B,8.119B,6.688B,6.781B,7.518B,6.809B,6.415B,5.348B,5.121B,6.293B,7.262B,8.293B,7.716B,11.21B,12.08B,13.82B,15.42B,13.25B,13.64B,13.35B,14.17B,15.57B,14.14B,13.66B,14.59B,14.56B,16.51B,17.26B,56.61B,-81.59B,47.15B,45.79B,44.82B,42.98B,40.17B,35.45B,30.86B,44.50B,70.04B,71.41B,54.88B,52.68B,46.06B,47.37B,41.32B,41.52B,48.08B,47.15B,46.91B,51.26B,48.74B,41.81B,33.48B,35.10B,30.27B,27.36B,25.99B,22.29B,22.52B,21.93B,23.79B,20.25B,13.00B,9.595B,7.667B,9.937B,5.428B,4.849B,4.868B,5.199B,5.109B,5.331B,4.735B,4.239B,3.739B,3.172B,2.421B,2.598B,2.89B,2.964B,3.093B,3.713B,3.844B,3.709B,3.944B,4.347B,3.852B,3.937B,3.595B,3.321B,3.369B,3.591B,3.087B,3.017B,3.315B,2.995B,2.884B,2.754B,3.192B,3.28B,3.083B,3.157B,3.134B,3.09B,2.759B,3.372B,3.109B,3.254B,3.524B,4.437B,3.426B,2.98B,3.132B,3.146B,3.03B,3.299B,3.102B,2.86B,2.85B,2.881B,2.90B,2.736B,2.764B,2.609B,2.491B,2.146B,2.19B,2.339B,3.113B,3.739B,3.988B,3.959B,3.988B,3.516B,3.87B,4.054B,3.96B
Revenue,7.708B,7.756B,7.953B,9.15B,9.666B,9.449B,8.504B,8.798B,8.119B,6.688B,6.781B,7.518B,6.809B,6.415B,5.348B,5.121B,6.293B,7.262B,8.293B,7.716B,11.21B,12.08B,13.82B,15.42B,13.25B,13.64B,13.35B,14.17B,15.57B,14.14B,13.66B,14.59B,14.17B,16.25B,17.29B,57.23B,-86.26B,48.54B,49.04B,44.89B,42.98B,40.17B,35.45B,31.24B,39.56B,71.37B,73.35B,56.55B,54.30B,47.93B,49.40B,41.32B,42.54B,49.58B,48.48B,47.93B,52.17B,49.66B,42.61B,38.92B,35.10B,30.27B,31.89B,30.22B,36.08B,22.91B,25.57B,27.07B,26.67B,13.17B,10.46B,8.48B,9.912B,5.439B,5.428B,4.904B,7.112B,5.225B,5.434B,4.768B,4.313B,3.769B,3.231B,2.539B,2.678B,2.913B,3.00B,3.254B,3.772B,3.895B,3.763B,3.994B,4.333B,3.897B,3.975B,3.602B,3.346B,3.415B,3.636B,3.124B,3.068B,3.347B,3.028B,2.924B,2.99B,3.192B,3.28B,3.083B,3.157B,3.134B,3.09B,2.759B,3.372B,3.109B,3.254B,3.524B,4.437B,3.426B,2.98B,3.132B,3.146B,3.03B,3.299B,3.102B,2.86B,2.85B,2.881B,2.90B,2.736B,2.764B,2.609B,2.491B,2.146B,2.19B,2.339B,3.113B,3.739B,3.988B,3.959B,3.988B,3.516B,3.87B,4.054B,3.96B
Cost of Goods Sold,5.573B,5.607B,5.582B,6.492B,6.96B,6.391B,5.815B,6.297B,6.392B,5.756B,5.872B,6.462B,6.327B,6.77B,5.776B,5.826B,6.654B,7.374B,7.357B,7.17B,9.988B,8.84B,9.595B,10.91B,9.39B,9.572B,9.025B,9.328B,10.65B,9.644B,9.103B,9.208B,15.49B,9.743B,9.276B,45.00B,-66.30B,36.63B,34.71B,34.05B,35.14B,32.87B,29.53B,22.30B,41.13B,52.93B,54.32B,40.51B,37.31B,33.70B,33.64B,29.47B,27.87B,33.39B,32.28B,35.78B,38.37B,36.63B,30.79B,27.70B,29.24B,25.11B,22.37B,21.54B,19.11B,18.55B,18.36B,19.46B,16.82B,11.11B,8.103B,6.719B,6.355B,3.997B,3.005B,3.146B,2.972B,3.479B,3.826B,3.653B,3.249B,2.826B,2.456B,1.904B,2.214B,2.278B,2.183B,2.303B,2.782B,2.877B,2.841B,3.009B,3.372B,2.989B,3.075B,2.792B,2.647B,2.659B,2.847B,2.37B,2.388B,2.662B,2.413B,2.247B,2.435B,2.594B,2.549B,2.398B,2.448B,2.53B,2.368B,2.166B,2.692B,2.478B,2.602B,2.561B,3.413B,2.571B,2.207B,2.399B,2.537B,2.302B,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,2.135B,2.149B,2.371B,2.658B,2.706B,3.058B,2.689B,2.501B,1.727B,932.00M,909.00M,1.056B,482.00M,-355.00M,-428.00M,-705.00M,-361.00M,-112.00M,936.00M,546.00M,1.22B,3.24B,4.226B,4.501B,3.864B,4.071B,4.325B,4.838B,4.919B,4.497B,4.561B,5.385B,-1.32B,6.509B,8.017B,12.23B,-19.96B,11.91B,14.33B,10.85B,7.844B,7.304B,5.919B,8.934B,-1.562B,18.44B,19.03B,16.04B,16.99B,14.23B,15.76B,11.85B,14.67B,16.20B,16.20B,12.14B,13.80B,13.03B,11.82B,11.22B,5.865B,5.159B,9.52B,8.674B,16.97B,4.362B,7.216B,7.61B,9.846B,2.064B,2.362B,1.761B,3.557B,1.442B,2.423B,1.758B,4.14B,1.746B,1.608B,1.115B,1.064B,943.00M,775.00M,635.00M,464.00M,635.00M,817.00M,951.00M,990.00M,1.018B,922.00M,985.00M,961.00M,908.00M,900.00M,810.00M,699.00M,756.00M,789.00M,754.00M,680.00M,685.00M,615.00M,677.00M,555.00M,598.00M,731.00M,685.00M,709.00M,604.00M,722.00M,593.00M,680.00M,631.00M,652.00M,963.00M,1.024B,855.00M,773.00M,733.00M,609.00M,728.00M,,,,,,,,,,,,,,,,,,,,,,
SG&A Expense,187.00M,87.00M,129.00M,153.00M,65.00M,119.00M,118.00M,99.00M,125.00M,110.00M,95.00M,97.00M,-83.00M,203.00M,167.00M,186.00M,283.00M,293.00M,218.00M,159.00M,132.00M,203.00M,218.00M,182.00M,247.00M,249.00M,193.00M,165.00M,216.00M,329.00M,235.00M,326.00M,269.00M,145.00M,203.00M,499.00M,-566.00M,493.00M,438.00M,444.00M,452.00M,427.00M,476.00M,475.00M,561.00M,513.00M,629.00M,526.00M,1.613B,569.00M,604.00M,527.00M,1.484B,650.00M,610.00M,566.00M,1.218B,612.00M,539.00M,539.00M,426.00M,590.00M,516.00M,468.00M,188.00M,683.00M,603.00M,447.00M,961.00M,880.00M,207.00M,264.00M,432.00M,203.00M,151.00M,160.00M,372.00M,134.00M,178.00M,185.00M,166.00M,150.00M,174.00M,175.00M,279.00M,135.00M,139.00M,144.00M,193.00M,171.00M,135.00M,161.00M,116.00M,132.00M,135.00M,126.00M,137.00M,142.00M,107.00M,114.00M,113.00M,139.00M,116.00M,110.00M,161.00M,119.00M,152.00M,165.00M,121.00M,134.00M,116.00M,238.00M,140.00M,139.00M,135.00M,148.00M,154.00M,133.00M,115.00M,138.00M,147.00M,130.00M,,,,,,,,,,,,,,,,,,,,,,
Special Income and Charges,-297.00M,1.761B,81.00M,16.00M,882.00M,69.00M,90.00M,-5.00M,-93.00M,240.00M,-4.418B,-153.00M,340.00M,-72.00M,66.00M,-113.00M,-1.658B,-6.00M,-26.00M,36.00M,-652.00M,-104.00M,-10.00M,8.00M,-478.00M,1.068B,67.00M,56.00M,-368.00M,118.00M,501.00M,726.00M,49.00M,0.00,-125.00M,-76.00M,7.581B,-159.00M,-1.699B,-241.00M,-265.00M,-56.00M,-51.00M,-107.00M,-33.49B,-281.00M,-115.00M,-110.00M,-236.00M,39.00M,-8.834B,461.00M,-712.00M,-319.00M,-101.00M,-81.00M,-50.00M,-84.00M,-16.00M,145.00M,-555.00M,6.00M,-12.00M,53.00M,47.00M,93.00M,-148.00M,-16.00M,-92.00M,63.00M,6.00M,23.00M,52.00M,24.00M,-33.00M,2.00M,287.00M,-165.00M,-4.00M,-6.00M,-6.00M,-12.00M,-70.00M,97.00M,-661.00M,11.00M,12.00M,135.00M,-135.00M,28.00M,171.00M,20.00M,24.00M,23.00M,16.00M,1.151B,4.00M,8.00M,6.00M,8.00M,29.00M,9.00M,11.00M,63.00M,,,,,,,,,,,,,,,,,,31.00M,,,,,,,,,,,,,,,,,,,,,,
Non Income Taxes,247.00M,237.00M,194.00M,275.00M,280.00M,312.00M,273.00M,183.00M,205.00M,175.00M,198.00M,231.00M,201.00M,161.00M,197.00M,180.00M,246.00M,206.00M,225.00M,224.00M,332.00M,493.00M,612.00M,651.00M,686.00M,664.00M,642.00M,892.00M,878.00M,673.00M,900.00M,1.095B,1.013B,904.00M,1.198B,4.364B,-9.723B,4.227B,4.247B,4.037B,4.145B,4.205B,3.715B,3.464B,4.067B,5.619B,5.796B,5.155B,5.336B,4.583B,4.697B,4.374B,4.526B,4.853B,4.421B,4.387B,4.598B,4.606B,4.664B,333.00M,325.00M,257.00M,256.00M,292.00M,236.00M,227.00M,237.00M,274.00M,220.00M,173.00M,158.00M,150.00M,2.303B,134.00M,150.00M,154.00M,149.00M,139.00M,111.00M,62.00M,59.00M,53.00M,58.00M,61.00M,49.00M,52.00M,60.00M,65.00M,62.00M,65.00M,62.00M,74.00M,63.00M,69.00M,66.00M,66.00M,65.00M,62.00M,69.00M,70.00M,69.00M,71.00M,60.00M,71.00M,64.00M,72.00M,76.00M,71.00M,73.00M,80.00M,79.00M,78.00M,68.00M,64.00M,65.00M,69.00M,63.00M,53.00M,52.00M,62.00M,36.00M,45.00M,,,,,,,,,,,,,,,,,,,,,,
Operating Interest Expense,196.00M,184.00M,165.00M,233.00M,188.00M,186.00M,177.00M,184.00M,226.00M,251.00M,306.00M,315.00M,317.00M,335.00M,312.00M,281.00M,268.00M,240.00M,210.00M,202.00M,173.00M,149.00M,155.00M,171.00M,192.00M,151.00M,139.00M,130.00M,161.00M,161.00M,197.00M,190.00M,225.00M,230.00M,242.00M,262.00M,253.00M,264.00M,349.00M,301.00M,375.00M,336.00M,268.00M,310.00M,,,210.00M,207.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Operating Interest Income,-30.00M,-184.00M,-165.00M,-233.00M,-91.00M,-186.00M,-177.00M,-184.00M,-114.00M,-251.00M,-306.00M,-315.00M,-260.00M,-335.00M,-312.00M,-281.00M,-223.00M,-240.00M,-210.00M,-202.00M,-90.00M,-149.00M,-155.00M,-171.00M,-79.00M,-151.00M,-139.00M,-130.00M,2.00M,-161.00M,-197.00M,-190.00M,-55.00M,-230.00M,-242.00M,-262.00M,-118.00M,-264.00M,-349.00M,-301.00M,-148.00M,-336.00M,-268.00M,-310.00M,,,-210.00M,-207.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,811.00M,184.00M,37.00M,-506.00M,349.00M,-117.00M,-258.00M,235.00M,26.00M,97.00M,142.00M,614.00M,387.00M,455.00M,703.00M,594.00M,2.228B,1.179B,614.00M,574.00M,939.00M,510.00M,436.00M,361.00M,494.00M,370.00M,223.00M,318.00M,293.00M,273.00M,302.00M,720.00M,341.00M,373.00M,264.00M,176.00M,640.00M,252.00M,213.00M,383.00M,658.00M,365.00M,245.00M,356.00M,,,288.00M,266.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
