Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1988-12,1987-12,1986-12,1985-12,1984-12
Cash,2.242B,651.00M,764.00M,897.00M,876.00M,511.00M,842.00M,869.00M,948.00M,925.00M,779.00M,842.00M,623.00M,728.00M,837.00M,1.016B,528.00M,546.00M,677.00M,535.00M,946.00M,713.00M,812.00M,1.014B,636.00M,759.00M,757.00M,681.00M,829.00M,,,,1.169B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Equivalents,5.088B,7.193B,5.941B,6.218B,5.915B,3.716B,3.234B,4.984B,6.325B,6.911B,7.534B,3.109B,3.61B,4.09B,2.863B,4.866B,2.368B,2.413B,3.813B,2.664B,5.062B,5.408B,6.142B,7.52B,6.246B,3.883B,3.909B,5.422B,3.618B,1.268B,1.044B,3.707B,5.78B,3.437B,5.505B,6.172B,9.454B,7.996B,4.12B,855.00M,542.00M,641.00M,888.00M,802.00M,755.00M,1.116B,787.00M,1.423B,1.456B,1.379B,1.411B,860.00M,817.00M,696.00M,654.00M,3.008B,2.214B,2.803B,1.541B,2.421B,1.387B,3.263B,804.00M,659.00M,490.00M,483.00M,524.00M,423.00M,307.00M,517.00M,145.00M,170.00M,142.00M,199.00M,87.00M,143.00M,149.00M,88.00M,235.00M,131.00M,138.00M,180.00M,147.00M,209.00M,97.00M,127.00M,130.00M,194.00M,163.00M,899.00M,774.00M,861.00M,615.00M,346.00M,223.00M,164.00M,67.00M,143.00M,122.00M,198.00M,193.00M,144.00M,128.00M,116.00M,119.00M,116.00M,137.00M,91.00M,131.00M,167.00M,197.00M,121.00M,114.00M,451.00M,381.00M,749.00M,670.00M,1.054B,1.121B,946.00M,708.00M,763.00M,1.079B,1.006B,1.141B,676.00M,1.894B
Short Term Investments,5.139B,2.859B,2.567B,2.054B,1.71B,2.961B,2.771B,2.064B,3.772B,4.78B,4.266B,252.00M,50.00M,234.00M,1.289B,307.00M,0.00,,,,,374.00M,288.00M,210.00M,272.00M,,75.00M,23.00M,0.00,0.00,0.00,508.00M,581.00M,2.589B,2.635B,2.231B,2.056B,2.856B,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,10.23B,10.05B,8.508B,8.272B,7.625B,6.677B,6.005B,7.048B,10.10B,11.69B,11.80B,3.361B,3.66B,4.324B,4.152B,5.173B,2.368B,2.413B,3.813B,2.664B,5.062B,5.782B,6.43B,7.73B,6.518B,3.883B,3.984B,5.445B,3.618B,1.268B,1.044B,4.215B,6.361B,6.026B,8.14B,8.403B,11.51B,10.85B,4.12B,855.00M,542.00M,641.00M,888.00M,802.00M,755.00M,1.116B,787.00M,1.423B,1.456B,1.379B,1.411B,860.00M,817.00M,696.00M,654.00M,3.008B,2.214B,2.803B,1.541B,2.421B,1.387B,3.263B,804.00M,659.00M,490.00M,483.00M,524.00M,423.00M,307.00M,517.00M,145.00M,170.00M,142.00M,199.00M,87.00M,143.00M,149.00M,88.00M,235.00M,131.00M,138.00M,180.00M,147.00M,209.00M,97.00M,127.00M,130.00M,194.00M,163.00M,899.00M,774.00M,861.00M,615.00M,346.00M,223.00M,164.00M,67.00M,143.00M,122.00M,198.00M,193.00M,144.00M,128.00M,116.00M,119.00M,116.00M,137.00M,91.00M,131.00M,167.00M,197.00M,121.00M,114.00M,451.00M,381.00M,749.00M,670.00M,1.054B,1.121B,946.00M,708.00M,763.00M,1.079B,1.006B,1.141B,676.00M,1.894B
Accounts Receivable,3.401B,3.616B,3.651B,3.869B,4.067B,4.499B,3.93B,4.192B,4.32B,3.364B,3.163B,3.359B,3.414B,3.32B,3.316B,3.954B,4.514B,4.464B,5.179B,5.379B,6.807B,7.453B,8.204B,8.651B,8.487B,8.405B,8.42B,8.898B,9.182B,9.021B,7.719B,15.58B,16.53B,16.42B,14.68B,14.55B,13.79B,13.48B,13.20B,12.63B,13.22B,12.53B,12.50B,10.32B,12.00B,16.99B,20.46B,17.15B,16.35B,13.78B,14.29B,13.90B,14.11B,13.04B,12.54B,12.76B,11.94B,10.41B,9.01B,9.816B,8.788B,6.973B,7.073B,6.392B,5.005B,4.673B,4.675B,5.981B,4.38B,4.135B,1.939B,1.696B,1.229B,1.568B,1.208B,1.316B,1.779B,1.567B,1.847B,1.637B,1.808B,1.748B,1.507B,1.355B,1.282B,1.374B,1.427B,1.562B,1.717B,1.78B,1.762B,1.733B,1.988B,1.701B,1.817B,1.623B,1.522B,1.418B,1.567B,1.415B,1.462B,1.362B,1.421B,1.358B,1.398B,,,,,,,,,,,,,,,,,,,,,,
Other Receivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.908B,,,2.127B,,2.025B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Receivables,3.401B,3.616B,3.651B,3.869B,4.067B,4.499B,3.93B,4.192B,4.32B,3.364B,3.163B,3.359B,3.414B,3.32B,3.316B,3.954B,4.514B,4.464B,5.179B,5.379B,6.807B,7.453B,8.204B,8.651B,8.487B,8.405B,8.42B,8.898B,9.182B,9.183B,7.719B,17.48B,16.53B,16.42B,16.80B,16.41B,15.81B,13.48B,13.20B,12.63B,13.22B,12.53B,12.50B,10.32B,12.00B,16.99B,20.46B,17.15B,16.35B,13.78B,14.29B,13.90B,14.11B,13.04B,12.54B,12.76B,11.94B,10.41B,9.01B,9.816B,8.788B,6.973B,7.073B,6.392B,5.005B,4.673B,4.675B,5.981B,4.38B,4.135B,1.939B,1.696B,1.229B,1.568B,1.208B,1.316B,1.779B,1.567B,1.847B,1.637B,1.808B,1.748B,1.507B,1.355B,1.282B,1.374B,1.427B,1.562B,1.717B,1.78B,1.762B,1.733B,1.988B,1.701B,1.817B,1.623B,1.522B,1.418B,1.567B,1.415B,1.462B,1.362B,1.421B,1.358B,1.398B,1.359B,1.349B,1.269B,1.268B,1.282B,1.248B,1.123B,1.258B,1.303B,1.349B,1.303B,1.595B,1.617B,1.182B,1.269B,1.351B,1.295B,1.261B,1.269B,1.046B,1.645B,1.68B
Raw Materials Inventory,554.00M,556.00M,608.00M,595.00M,575.00M,566.00M,563.00M,550.00M,548.00M,558.00M,572.00M,588.00M,600.00M,672.00M,687.00M,680.00M,718.00M,755.00M,803.00M,777.00M,793.00M,794.00M,801.00M,753.00M,742.00M,762.00M,742.00M,737.00M,721.00M,740.00M,695.00M,1.001B,998.00M,1.00B,1.012B,971.00M,943.00M,970.00M,968.00M,995.00M,985.00M,998.00M,950.00M,907.00M,863.00M,914.00M,903.00M,877.00M,850.00M,812.00M,775.00M,764.00M,802.00M,782.00M,745.00M,742.00M,541.00M,566.00M,565.00M,535.00M,519.00M,480.00M,494.00M,,490.00M,470.00M,485.00M,463.00M,450.00M,431.00M,243.00M,228.00M,221.00M,214.00M,139.00M,132.00M,129.00M,127.00M,147.00M,86.00M,85.00M,90.00M,87.00M,91.00M,89.00M,99.00M,98.00M,93.00M,90.00M,89.00M,86.00M,81.00M,81.00M,78.00M,77.00M,78.00M,87.00M,89.00M,93.00M,98.00M,95.00M,93.00M,92.00M,93.00M,103.00M,,,,,,,,,,,,,,,,,,,,,,
Finished Goods Inventory,472.00M,399.00M,481.00M,419.00M,432.00M,673.00M,530.00M,503.00M,512.00M,465.00M,447.00M,509.00M,418.00M,436.00M,463.00M,392.00M,406.00M,388.00M,474.00M,456.00M,538.00M,536.00M,490.00M,468.00M,452.00M,506.00M,392.00M,396.00M,244.00M,436.00M,483.00M,5.071B,3.633B,6.164B,5.974B,6.973B,4.254B,6.771B,6.151B,6.305B,3.955B,5.27B,5.231B,5.573B,,,,,,,,,,5.416B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.232B,5.827B,5.854B,6.118B,3.373B,4.50B,4.47B,4.921B,4.351B,,5.69B,4.765B,3.183B,4.272B,4.305B,4.007B,3.147B,3.854B,4.171B,,3.467B,3.604B,3.678B,3.525B,3.395B,3.932B,2.337B,2.291B,2.231B,2.403B,394.00M,398.00M,228.00M,312.00M,605.00M,484.00M,430.00M,485.00M,459.00M,448.00M,451.00M,500.00M,513.00M,434.00M,410.00M,476.00M,435.00M,371.00M,391.00M,426.00M,446.00M,394.00M,418.00M,496.00M,467.00M,439.00M,432.00M,448.00M,440.00M,410.00M,435.00M,,,,,,,,,,,,,,,,,,,,,,
