Cash Flow - Operations (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12
Net Income,146.94M,90.36M,181.01M,262.76M,275.04M,122.34M,42.43M,117.23M,-44.44M,17.59M,21.53M,105.72M,-292.76M,-10.26M,-62.91M,-51.19M,-111.12M,-15.51M,-27.51M,40.26M,-221.77M,100.79M,118.42M,107.03M,77.95M,69.89M,89.11M,42.82M,40.87M,36.61M,35.94M,18.32M,26.36M,28.48M,67.56M,,49.11M,3.899M,21.68M,28.70M,36.36M,38.90M,25.50M,47.58M,43.70M,167.59M,-45.98M,45.98M,42.05M,35.45M,41.38M,48.55M,32.13M,189.02M,46.86M,53.16M,58.50M,33.76M,35.42M,20.76M,32.23M,17.82M,19.32M,19.01M,19.78M,22.67M,17.90M,-39.22M,8.654M,6.126M,2.121M,-0.798M,-15.60M,10.03M,13.59M,39.06M,17.07M,6.138M,-3.082M,5.345M,5.50M,4.50M,0.90M,-2.40M,0.00,-1.70M,3.20M,3.80M,10.20M,3.70M,3.30M,11.10M,7.50M,4.40M,2.30M,6.60M,-4.00M,-71.90M,-3.90M,-6.80M,-1.80M,-3.10M,-1.30M,5.20M,1.30M,-2.80M,1.10M,3.90M,1.70M,0.10M,-2.40M,2.80M,-0.30M,-1.90M,-1.80M,5.30M,8.40M
Gain and Loss on Sale of PPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,12.71M,-12.71M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain (Loss) on Investment Securities,2.158M,-11.06M,-63.65M,-8.257M,-46.06M,3.537M,3.668M,-5.577M,29.43M,0.837M,-13.81M,-33.38M,37.66M,-6.904M,27.18M,-18.99M,-12.02M,-17.36M,6.819M,-34.12M,-149.74M,-71.91M,2.329M,,,,,,0.045M,0.149M,0.342M,-0.042M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earnings Loss from Eq. Investments,-69.30M,-3.86M,-3.65M,-3.684M,-2.146M,0.011M,0.004M,0.994M,96.50M,1.417M,1.286M,1.283M,2.685M,1.727M,0.074M,-2.009M,-1.834M,-1.648M,-1.512M,-1.421M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Gains Losses,-67.15M,-14.96M,-67.30M,-10.44M,-46.73M,-22.11M,3.128M,36.47M,123.99M,14.13M,-11.12M,-31.88M,41.44M,-3.932M,28.14M,-22.36M,-13.90M,-22.77M,5.386M,-35.68M,-172.68M,-71.95M,3.825M,1.285M,-17.85M,-4.421M,-0.276M,0.096M,16.45M,0.275M,-67.36M,0.493M,-26.01M,-4.358M,-34.06M,2.01M,-100.66M,-0.265M,-12.81M,7.667M,-31.24M,13.82M,26.96M,-6.241M,-51.21M,6.413M,6.889M,5.061M,17.37M,8.815M,2.403M,-2.268M,6.949M,-224.40M,14.98M,19.86M,-12.53M,23.42M,12.04M,32.22M,-12.81M,24.94M,13.58M,24.55M,16.19M,14.56M,19.08M,110.35M,19.53M,11.43M,16.20M,11.09M,40.19M,19.99M,21.64M,6.83M,9.336M,6.466M,14.02M,4.731M,14.30M,0.00,2.30M,4.40M,7.20M,8.60M,4.90M,4.50M,5.70M,4.10M,4.00M,4.30M,4.00M,3.80M,4.40M,1.60M,5.80M,116.40M,1.60M,6.90M,-0.40M,4.50M,1.30M,1.00M,1.40M,1.00M,1.70M,1.10M,4.00M,1.10M,1.60M,1.40M,0.80M,2.60M,-3.80M,7.40M,-2.80M
Total Depreciation and Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-132.89M,132.89M,-41.52M,41.52M,38.55M,37.74M,34.26M,33.40M,32.16M,32.09M,32.79M,31.94M,29.11M,26.58M,26.11M,26.66M,26.76M,27.73M,24.62M,24.23M,23.98M,23.65M,23.76M,23.51M,24.43M,25.42M,23.45M,23.21M,25.81M,22.72M,16.20M,15.89M,15.11M,13.22M,12.46M,12.65M,11.80M,13.80M,14.80M,13.00M,10.00M,11.10M,10.30M,9.80M,9.30M,10.70M,10.10M,10.50M,12.20M,10.50M,10.20M,9.80M,9.00M,11.40M,13.10M,13.70M,16.70M,13.40M,14.60M,9.90M,9.70M,8.70M,8.40M,7.70M,7.80M,7.70M,7.70M,8.30M,5.80M,6.50M,-0.30M,15.20M,7.60M
"Total Depreciation, Amortization, Depletion",106.44M,110.89M,96.15M,92.26M,129.27M,121.17M,84.91M,82.13M,143.13M,146.27M,144.32M,135.10M,141.22M,139.49M,147.53M,161.89M,149.88M,144.33M,152.51M,175.50M,173.76M,154.01M,157.56M,147.42M,182.03M,168.98M,151.39M,148.65M,115.98M,110.45M,114.62M,110.36M,92.50M,90.29M,83.22M,77.12M,91.50M,85.36M,76.73M,73.50M,62.29M,78.07M,55.11M,55.78M,52.51M,48.90M,42.48M,41.52M,38.55M,37.74M,34.26M,33.40M,32.16M,32.09M,32.79M,31.94M,29.11M,26.58M,26.11M,26.66M,26.76M,27.73M,24.62M,24.23M,23.98M,23.65M,23.76M,23.51M,24.43M,25.42M,23.45M,23.21M,25.81M,22.72M,16.20M,15.89M,15.11M,13.22M,12.46M,12.65M,11.80M,13.80M,14.80M,13.00M,10.00M,11.10M,10.30M,9.80M,9.30M,10.70M,10.10M,10.50M,12.20M,10.50M,10.20M,9.80M,9.00M,11.40M,13.10M,13.70M,16.70M,13.40M,14.60M,9.90M,9.70M,8.70M,8.40M,7.70M,7.80M,7.70M,7.70M,8.30M,5.80M,6.50M,-0.30M,15.20M,7.60M
Deferred Taxes,55.42M,36.35M,64.64M,88.00M,97.80M,64.82M,2.689M,64.29M,-410.84M,16.34M,20.10M,53.29M,-171.29M,4.881M,-35.32M,-28.97M,-81.19M,1.066M,-7.921M,15.08M,-294.01M,62.99M,60.85M,57.60M,31.14M,37.57M,46.09M,23.57M,38.22M,15.64M,17.35M,9.724M,17.36M,20.50M,30.34M,6.543M,31.34M,1.374M,13.38M,15.72M,27.04M,36.52M,11.90M,26.35M,24.39M,40.94M,31.96M,23.56M,28.22M,27.32M,23.74M,15.87M,20.50M,9.482M,9.139M,12.89M,21.40M,9.147M,6.056M,3.022M,16.32M,8.268M,2.632M,4.549M,12.34M,3.072M,1.762M,-27.01M,5.439M,2.492M,0.422M,-0.471M,-16.50M,11.55M,5.319M,13.79M,8.987M,3.568M,-1.994M,2.601M,2.70M,7.20M,0.70M,-1.50M,0.40M,0.80M,2.30M,2.30M,-0.50M,3.00M,1.60M,6.60M,4.90M,1.50M,1.30M,4.30M,-2.80M,-45.90M,-2.80M,-3.60M,-1.40M,-1.40M,-0.80M,2.80M,0.90M,4.20M,0.40M,1.60M,1.30M,-2.00M,-1.60M,1.00M,2.80M,-1.30M,-4.00M,5.10M,3.40M
Amortization of Securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.317M,1.064M,1.133M,1.12M,-8.298M,6.162M,1.068M,1.068M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
