Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12
Operating Revenue,463.45M,418.13M,470.48M,633.17M,669.70M,546.68M,457.24M,465.78M,426.76M,383.76M,443.99M,481.13M,352.23M,301.62M,271.98M,261.43M,266.22M,285.99M,309.85M,427.58M,464.55M,437.03M,532.24M,505.11M,482.65M,433.28M,446.86M,370.34M,367.20M,295.00M,263.67M,270.21M,261.84M,262.12M,240.70M,209.03M,217.37M,224.06M,200.24M,216.34M,233.49M,207.02M,204.82M,233.94M,232.47M,244.82M,248.85M,219.65M,193.92M,170.85M,175.83M,191.57M,171.68M,184.74M,190.79M,214.77M,225.08M,161.76M,151.88M,144.07M,154.64M,119.42M,119.74M,136.60M,121.25M,125.47M,124.50M,135.92M,103.55M,85.55M,89.58M,75.07M,80.32M,104.23M,107.61M,154.89M,114.85M,86.24M,82.45M,85.12M,174.40M,45.20M,40.24M,34.20M,131.50M,37.40M,41.70M,38.90M,52.10M,40.80M,39.40M,52.80M,49.10M,35.50M,37.30M,41.20M,56.40M,48.00M,51.40M,58.10M,59.00M,55.80M,56.50M,65.80M,48.90M,33.50M,37.40M,43.50M,48.40M,32.10M,29.40M,36.70M,42.80M,25.00M,28.20M,44.40M,48.50M,21.70M,28.30M,41.80M,36.20M,37.40M,37.40M,37.30M,37.30M
Revenue,461.37M,429.11M,534.12M,641.68M,716.30M,545.17M,453.45M,473.23M,400.50M,385.42M,460.46M,517.84M,316.49M,310.43M,246.82M,281.94M,280.79M,305.30M,306.30M,464.76M,618.00M,512.02M,533.19M,509.80M,487.46M,435.85M,449.68M,373.28M,369.88M,296.87M,265.66M,272.14M,268.02M,262.12M,240.70M,209.03M,222.46M,224.06M,200.24M,216.34M,233.49M,207.02M,204.82M,233.94M,232.47M,244.82M,248.85M,219.65M,193.92M,170.85M,175.83M,191.57M,171.68M,184.74M,190.79M,214.77M,225.08M,161.76M,151.88M,144.07M,154.64M,119.42M,119.74M,136.60M,121.25M,125.47M,126.76M,135.92M,103.55M,85.55M,89.58M,75.07M,80.32M,104.23M,107.61M,154.89M,114.85M,86.24M,82.45M,85.12M,174.40M,45.20M,40.24M,34.20M,131.50M,37.40M,41.70M,38.90M,52.10M,40.80M,39.40M,52.80M,49.10M,35.50M,37.30M,41.20M,56.40M,48.00M,51.40M,58.10M,59.00M,55.80M,56.50M,65.80M,48.90M,33.50M,37.40M,43.50M,48.40M,32.10M,29.40M,36.70M,42.80M,25.00M,28.20M,44.40M,48.50M,21.70M,28.30M,41.80M,36.20M,37.40M,37.40M,37.30M,37.30M
Cost of Goods Sold,277.76M,275.75M,255.93M,247.92M,292.80M,361.14M,294.84M,219.27M,291.77M,293.24M,295.55M,287.26M,281.69M,272.73M,283.59M,300.14M,292.63M,284.28M,289.80M,336.49M,317.13M,283.46M,284.18M,272.88M,300.24M,268.62M,247.72M,234.76M,202.94M,177.40M,181.31M,179.81M,408.76M,55.26M,48.45M,61.54M,371.63M,41.68M,40.91M,56.47M,9.974M,45.19M,44.15M,61.69M,33.10M,52.28M,54.07M,52.84M,62.41M,42.98M,41.88M,51.48M,52.19M,48.74M,48.15M,58.49M,66.66M,47.46M,39.37M,57.28M,51.80M,31.90M,36.28M,56.94M,49.20M,41.87M,51.03M,52.58M,43.11M,31.23M,39.66M,34.96M,51.85M,44.66M,52.00M,54.63M,49.96M,44.95M,50.11M,48.19M,125.60M,11.40M,9.70M,10.20M,106.00M,14.70M,10.50M,10.40M,12.50M,10.80M,10.60M,10.70M,12.10M,10.60M,10.30M,9.20M,-79.10M,142.10M,30.80M,35.40M,34.90M,32.40M,32.20M,37.60M,24.50M,7.70M,18.80M,21.70M,22.10M,15.60M,13.40M,17.20M,26.00M,11.20M,13.90M,10.50M,16.60M,18.00M,12.80M,17.20M,,,,,
Gross Profit,183.60M,153.36M,278.19M,393.76M,423.50M,184.03M,158.61M,253.95M,108.73M,92.18M,164.91M,230.58M,34.80M,37.70M,-36.78M,-18.20M,-11.84M,21.01M,16.49M,128.28M,300.88M,228.56M,249.01M,236.93M,187.23M,167.23M,201.96M,138.52M,166.94M,119.47M,84.35M,92.33M,-140.73M,206.85M,192.25M,147.48M,-149.18M,182.38M,159.33M,159.88M,223.52M,161.83M,160.67M,172.24M,199.36M,192.54M,194.79M,166.81M,131.50M,127.86M,133.95M,140.09M,119.49M,136.01M,142.64M,156.28M,158.42M,114.30M,112.51M,86.79M,102.84M,87.52M,83.46M,79.66M,72.04M,83.60M,75.73M,83.34M,60.44M,54.32M,49.92M,40.12M,28.47M,59.57M,55.61M,100.26M,64.89M,41.29M,32.34M,36.93M,48.80M,33.80M,30.54M,24.00M,25.50M,22.70M,31.20M,28.50M,39.60M,30.00M,28.80M,42.10M,37.00M,24.90M,27.00M,32.00M,135.50M,-94.10M,20.60M,22.70M,24.10M,23.40M,24.30M,28.20M,24.40M,25.80M,18.60M,21.80M,26.30M,16.50M,16.00M,19.50M,16.80M,13.80M,14.30M,33.90M,31.90M,3.70M,15.50M,24.60M,,,,,
General and Administrative Expense,22.50M,18.39M,22.89M,31.09M,30.63M,20.72M,21.23M,24.06M,26.88M,23.24M,23.96M,23.70M,18.44M,19.37M,19.94M,27.87M,14.38M,11.10M,19.98M,22.53M,21.25M,19.58M,20.13M,21.64M,22.60M,24.70M,21.61M,35.70M,27.99M,23.83M,46.87M,22.55M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG&A Expense,22.50M,18.39M,22.89M,31.09M,30.63M,20.72M,21.23M,24.06M,26.88M,23.24M,23.96M,23.70M,18.44M,19.37M,19.94M,27.87M,14.38M,11.10M,19.98M,22.53M,21.25M,19.58M,20.13M,21.64M,22.60M,24.70M,21.61M,35.70M,27.99M,23.83M,46.87M,22.55M,26.41M,27.95M,26.01M,24.30M,29.50M,21.08M,12.85M,15.75M,19.27M,14.92M,17.12M,17.06M,13.34M,,33.48M,27.57M,9.815M,9.715M,12.96M,18.28M,19.69M,10.72M,13.52M,13.85M,10.31M,9.679M,12.34M,12.37M,9.436M,9.001M,12.31M,9.299M,6.543M,5.802M,6.172M,96.86M,7.10M,5.966M,9.572M,5.739M,0.575M,10.47M,5.691M,5.946M,-7.144M,6.281M,5.331M,4.887M,3.80M,5.60M,5.10M,5.60M,2.70M,6.20M,6.90M,5.50M,5.80M,5.00M,4.70M,4.20M,4.80M,4.00M,4.30M,3.70M,4.10M,3.30M,5.20M,4.30M,1.90M,5.40M,5.20M,4.20M,7.70M,4.50M,4.70M,4.20M,8.30M,5.40M,4.90M,4.80M,2.30M,7.60M,8.20M,7.30M,9.50M,0.60M,6.50M,7.10M,,,,,
Special Income and Charges,0.002M,0.036M,0.00,-1.50M,-1.477M,25.66M,0.544M,-41.05M,-412.32M,-11.87M,-69.96M,-0.223M,-436.71M,-1.245M,-5.587M,1.354M,-114.82M,3.756M,-0.079M,0.138M,-751.18M,0.046M,-1.496M,-1.285M,16.75M,4.421M,0.276M,-0.096M,-16.41M,-0.126M,67.70M,-0.535M,26.97M,3.854M,34.07M,-1.517M,95.77M,-35.52M,4.387M,0.759M,-17.64M,0.572M,-23.29M,-22.01M,13.80M,-16.82M,-5.919M,-9.502M,-4.629M,-20.96M,-8.224M,-0.052M,-5.355M,222.08M,-7.762M,-6.953M,-3.64M,-8.169M,0.059M,,-3.691M,-12.90M,-0.172M,0.059M,-0.094M,-9.426M,-0.032M,0.56M,-7.939M,-4.89M,0.429M,-0.018M,-33.57M,-0.231M,-0.031M,0.004M,-31.23M,0.026M,-18.31M,-0.021M,-25.40M,4.50M,1.80M,1.10M,-8.40M,0.10M,,1.20M,-0.20M,,-0.50M,-0.60M,0.20M,,-0.70M,0.80M,-111.80M,,,-14.40M,,,,,0.60M,,1.00M,0.70M,-2.10M,0.70M,1.30M,1.70M,-0.20M,,,2.00M,1.90M,6.50M,0.80M,2.40M,,,,,
Non Income Taxes,2.959M,4.607M,3.64M,5.847M,7.208M,2.852M,5.392M,7.19M,6.925M,9.194M,8.31M,9.058M,5.486M,8.771M,8.973M,5.994M,8.511M,11.41M,11.61M,11.28M,10.22M,10.93M,12.82M,13.04M,8.462M,11.53M,11.36M,11.69M,9.001M,10.44M,10.85M,18.58M,6.506M,7.042M,5.877M,8.151M,6.759M,8.489M,11.84M,10.80M,10.12M,10.72M,10.91M,12.90M,9.791M,20.63M,19.22M,16.90M,11.66M,14.38M,14.58M,13.16M,10.91M,14.37M,14.58M,15.50M,17.24M,14.94M,12.40M,9.718M,10.88M,10.12M,9.921M,10.10M,8.962M,9.301M,8.651M,10.22M,5.834M,5.273M,7.475M,6.152M,7.177M,4.547M,6.715M,9.902M,7.471M,6.016M,4.954M,4.601M,4.40M,4.80M,4.20M,3.60M,3.70M,3.80M,4.00M,3.80M,3.90M,3.50M,3.50M,4.10M,3.40M,2.90M,3.10M,3.40M,2.40M,3.00M,2.90M,2.90M,3.20M,3.30M,3.00M,2.60M,2.70M,2.30M,2.30M,2.20M,2.00M,1.80M,1.60M,1.70M,2.40M,1.10M,1.50M,2.00M,1.80M,1.00M,1.40M,1.50M,,,,,
Operating Interest Expense,,,,,,,,,,,,,,,21.96M,24.38M,,24.51M,24.17M,23.57M,23.47M,17.42M,16.33M,16.56M,16.68M,16.07M,16.99M,16.26M,16.72M,16.22M,18.50M,16.92M,17.74M,18.52M,18.04M,17.37M,20.50M,16.76M,,14.91M,14.85M,14.86M,15.05M,14.23M,,,6.207M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Operating Interest Income,-14.65M,-13.55M,-14.57M,-12.18M,-15.62M,-14.19M,-23.33M,-20.06M,-20.41M,-20.33M,-20.62M,-20.77M,-20.52M,-21.48M,-21.96M,-24.38M,-24.67M,-24.51M,-24.17M,-23.57M,-23.47M,-17.42M,-16.33M,-16.56M,-16.68M,-16.07M,-16.99M,-16.26M,-16.72M,-16.22M,-18.50M,-16.92M,-17.74M,-18.52M,-18.04M,-17.37M,-20.50M,-16.76M,-15.77M,-14.91M,-14.85M,-14.86M,-15.05M,-14.23M,,,-6.207M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
