Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1988-12,1987-12,1986-12,1985-12,1984-12
Cash and Equivalents,7.378B,7.341B,6.819B,6.24B,6.152B,13.80B,11.07B,7.667B,8.985B,8.523B,9.345B,7.156B,7.157B,7.107B,6.785B,7.215B,7.075B,5.477B,5.933B,5.281B,5.229B,5.035B,4.962B,4.477B,4.619B,4.621B,4.909B,4.767B,4.819B,6.242B,5.966B,6.285B,5.96B,5.966B,5.396B,4.44B,4.083B,5.731B,4.997B,4.788B,4.449B,4.632B,4.016B,3.272B,4.327B,3.615B,3.442B,3.139B,2.904B,2.81B,3.292B,2.481B,2.546B,2.914B,2.883B,2.417B,2.247B,2.102B,1.985B,1.963B,2.265B,2.34B,2.018B,1.731B,1.623B,1.421B,2.415B,1.927B,2.08B,2.301B,1.902B,1.337B,1.558B,1.365B,957.00M,780.00M,748.00M,818.00M,813.00M,657.00M,957.00M,1.115B,885.00M,657.00M,550.00M,663.00M,718.00M,703.00M,655.00M,1.283B,1.413B,1.265B,1.127B,1.259B,1.075B,1.088B,900.00M,904.00M,755.00M,461.00M,386.00M,544.00M,567.00M,399.00M,421.00M,254.00M,330.00M,351.00M,354.00M,246.00M,197.00M,209.00M,523.00M,566.00M,419.30M,186.80M,200.80M,271.80M,284.20M,247.40M,266.50M,308.50M,242.60M,424.20M,269.70M,971.80M,224.70M
Cash and Short Term Investments,7.378B,7.341B,6.819B,6.24B,6.152B,13.80B,11.07B,7.667B,8.985B,8.523B,9.345B,7.156B,7.157B,7.107B,6.785B,7.215B,7.075B,5.477B,5.933B,5.281B,5.229B,5.035B,4.962B,4.477B,4.619B,4.621B,4.909B,4.767B,4.819B,6.242B,5.966B,6.285B,5.96B,5.966B,5.396B,4.44B,4.083B,5.731B,4.997B,4.788B,4.449B,4.632B,4.016B,3.272B,4.327B,3.615B,3.442B,3.139B,2.904B,2.81B,3.292B,2.481B,2.546B,2.914B,2.883B,2.417B,2.247B,2.102B,1.985B,1.963B,2.265B,2.34B,2.018B,1.731B,1.623B,1.421B,2.415B,1.927B,2.08B,2.301B,1.902B,1.337B,1.558B,1.365B,957.00M,780.00M,748.00M,818.00M,813.00M,657.00M,957.00M,1.115B,885.00M,657.00M,550.00M,663.00M,718.00M,703.00M,655.00M,1.283B,1.413B,1.265B,1.127B,1.259B,1.075B,1.088B,900.00M,904.00M,755.00M,461.00M,386.00M,544.00M,567.00M,399.00M,421.00M,254.00M,330.00M,351.00M,354.00M,246.00M,197.00M,209.00M,523.00M,566.00M,419.30M,186.80M,200.80M,271.80M,284.20M,247.40M,266.50M,308.50M,242.60M,424.20M,269.70M,971.80M,224.70M
Accounts Receivable,13.52B,13.61B,13.70B,13.57B,14.27B,12.55B,11.97B,11.70B,12.60B,13.13B,12.60B,11.84B,11.48B,11.50B,11.54B,10.90B,10.65B,10.65B,11.52B,11.51B,10.45B,11.08B,11.80B,11.54B,11.46B,11.14B,11.16B,10.79B,11.10B,10.61B,9.538B,8.833B,9.546B,9.503B,9.801B,9.26B,8.925B,8.731B,8.881B,8.737B,8.469B,8.46B,8.522B,8.797B,9.48B,9.346B,10.10B,9.558B,8.844B,8.999B,8.428B,7.978B,7.679B,7.693B,7.81B,7.128B,7.24B,7.338B,7.374B,6.564B,6.315B,6.063B,6.00B,5.365B,5.187B,4.971B,4.653B,4.343B,4.277B,4.39B,4.591B,4.227B,4.141B,4.517B,4.437B,4.41B,4.445B,4.13B,4.382B,4.298B,4.337B,4.17B,4.142B,3.418B,3.417B,,,,3.742B,,,,3.717B,,,,3.682B,,,,3.745B,,,,2.981B,,,,3.135B,,,,,,,,,,,,,,,,,,
Other Receivables,4.184B,4.316B,4.334B,3.795B,3.486B,3.45B,3.273B,2.989B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Receivables,17.71B,17.92B,18.03B,17.37B,17.76B,16.00B,15.25B,14.69B,12.60B,13.13B,12.60B,11.84B,11.48B,11.50B,11.54B,10.90B,10.65B,12.64B,13.46B,13.40B,12.37B,13.07B,13.79B,13.46B,13.42B,13.07B,12.75B,12.44B,12.71B,10.61B,9.538B,8.833B,11.21B,9.503B,9.801B,9.26B,8.925B,8.731B,8.881B,8.737B,8.469B,8.46B,8.522B,8.797B,9.48B,9.346B,10.10B,9.558B,8.844B,8.999B,8.428B,7.978B,7.679B,7.693B,7.81B,7.128B,7.24B,7.338B,7.374B,6.564B,6.315B,6.063B,6.00B,5.365B,5.187B,4.971B,4.653B,4.343B,4.277B,4.39B,4.591B,4.227B,4.141B,4.517B,4.437B,4.41B,4.445B,4.13B,4.382B,4.298B,4.337B,4.17B,4.142B,3.418B,3.417B,4.351B,4.259B,4.09B,3.742B,3.859B,3.898B,3.532B,3.717B,3.853B,3.772B,3.495B,3.682B,3.713B,3.566B,3.612B,3.745B,3.439B,3.454B,3.011B,2.981B,2.976B,3.239B,3.347B,3.135B,3.764B,3.815B,3.532B,3.371B,3.486B,3.625B,3.670B,3.814B,3.832B,3.879B,3.434B,3.456B,3.234B,2.786B,2.456B,2.481B,2.179B,2.066B
Raw Materials Inventory,3.357B,3.149B,3.024B,2.944B,3.052B,2.444B,2.298B,2.079B,2.038B,2.189B,2.146B,2.154B,2.04B,2.209B,2.225B,2.218B,2.037B,1.695B,2.011B,2.058B,1.948B,2.073B,2.039B,2.038B,1.983B,1.967B,1.928B,1.868B,1.861B,1.912B,1.139B,1.247B,1.321B,1.357B,1.361B,1.36B,1.221B,1.251B,1.281B,1.309B,1.281B,1.239B,1.244B,1.286B,1.271B,1.363B,1.355B,1.396B,1.281B,1.274B,1.172B,1.067B,1.082B,1.063B,1.003B,955.00M,1.00B,1.198B,1.055B,913.00M,844.00M,810.00M,807.00M,819.00M,743.00M,756.00M,778.00M,770.00M,740.00M,753.00M,792.00M,778.00M,738.00M,760.00M,720.00M,694.00M,738.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Work in Process Inventory,2.726B,2.921B,2.863B,2.819B,2.673B,2.292B,2.306B,2.526B,13.57B,13.87B,13.07B,12.67B,12.18B,12.39B,11.94B,11.54B,11.09B,11.20B,12.46B,12.22B,10.28B,12.70B,12.36B,13.02B,12.53B,12.90B,12.23B,11.97B,11.50B,12.29B,10.92B,10.77B,10.07B,10.75B,10.50B,10.38B,9.599B,10.27B,9.774B,9.84B,9.576B,10.12B,10.03B,9.561B,9.408B,8.833B,3.286B,3.359B,7.536B,2.82B,2.716B,2.592B,6.012B,2.668B,2.58B,2.344B,4.723B,1.665B,1.534B,1.271B,3.998B,1.19B,1.08B,1.234B,3.481B,1.293B,1.089B,1.083B,3.203B,1.044B,1.205B,1.195B,3.314B,1.261B,1.317B,1.278B,3.028B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finished Goods Inventory,4.867B,5.172B,5.047B,4.711B,4.358B,4.332B,4.375B,4.333B,3.845B,3.715B,3.753B,3.528B,3.305B,3.438B,3.229B,3.058B,3.183B,3.654B,4.116B,3.941B,2.975B,3.957B,3.824B,3.653B,3.36B,3.556B,3.385B,3.438B,3.205B,3.463B,3.083B,3.238B,3.078B,3.258B,3.426B,3.397B,3.026B,3.11B,3.077B,3.194B,2.889B,3.286B,3.591B,3.697B,3.634B,3.996B,4.15B,3.974B,3.694B,4.032B,3.892B,3.69B,2.956B,3.235B,3.054B,2.917B,2.64B,2.804B,2.953B,2.818B,2.603B,2.309B,2.321B,2.38B,2.221B,2.221B,2.373B,2.456B,2.329B,2.542B,2.607B,2.348B,2.159B,2.425B,2.288B,2.299B,2.099B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.233B,5.18B,,4.731B,4.243B,3.912B,,3.572B,3.32B,3.151B,,3.002B,2.855B,2.706B,,2.553B,2.49B,2.432B,,2.27B,2.21B,2.141B,,2.095B,2.055B,2.098B,,2.045B,1.951B,1.826B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventories,10.95B,11.24B,10.93B,10.47B,10.08B,9.068B,8.979B,8.938B,9.881B,10.08B,9.86B,9.386B,8.704B,9.081B,8.747B,8.507B,8.135B,8.453B,10.30B,10.34B,7.642B,10.34B,9.896B,10.99B,10.33B,10.76B,10.23B,10.16B,9.537B,10.47B,8.502B,8.366B,7.797B,8.617B,8.795B,8.827B,7.766B,8.43B,8.083B,8.172B,7.509B,8.086B,8.539B,8.601B,8.34B,9.011B,9.082B,9.075B,8.101B,8.55B,7.974B,7.508B,6.657B,7.197B,6.856B,6.472B,5.659B,5.964B,5.874B,5.298B,5.078B,4.622B,4.442B,4.495B,4.42B,3.963B,3.911B,3.963B,3.803B,3.967B,4.17B,4.143B,3.966B,4.205B,4.042B,4.005B,3.756B,3.704B,3.599B,3.641B,3.504B,3.504B,3.49B,3.302B,3.191B,3.11B,3.073B,3.307B,3.113B,3.346B,3.327B,3.565B,3.342B,3.154B,3.164B,3.259B,2.954B,2.957B,3.148B,3.174B,2.955B,3.139B,3.276B,3.432B,3.153B,3.284B,3.482B,3.639B,3.508B,3.96B,3.957B,4.045B,3.902B,4.035B,4.148B,4.210B,4.044B,4.145B,4.163B,4.132B,3.911B,4.026B,4.201B,3.978B,3.608B,3.390B,3.455B
