date,sustainable_growth_rate
"Dec. 31, 2019",2.44%
"Sept. 30, 2019",2.08%
"June 30, 2019",1.59%
"March 31, 2019",0.99%
"Dec. 31, 2018",0.46%
"Sept. 30, 2018",1.06%
"June 30, 2018",0.78%
"March 31, 2018",1.24%
"Dec. 31, 2017",1.47%
"Sept. 30, 2017",-0.72%
"June 30, 2017",-0.10%
"March 31, 2017",-0.46%
"Dec. 31, 2016",-0.45%
"Sept. 30, 2016",1.39%
"June 30, 2016",0.84%
"March 31, 2016",0.96%
"Dec. 31, 2015",1.40%
"Sept. 30, 2015",0.46%
"June 30, 2015",1.32%
"March 31, 2015",1.46%
"Dec. 31, 2014",-0.86%
"Sept. 30, 2014",0.61%
"June 30, 2014",-0.01%
"March 31, 2014",-0.65%
"Dec. 31, 2013",1.17%
"Sept. 30, 2013",0.58%
"June 30, 2013",-0.45%
"March 31, 2013",0.44%
"Dec. 31, 2012",0.05%
"Sept. 30, 2012",0.28%
"June 30, 2012",0.69%
"March 31, 2012",0.69%
"Dec. 31, 2011",1.66%
"Sept. 30, 2011",2.34%
"June 30, 2011",3.32%
"March 31, 2011",0.40%
"Dec. 31, 2010",0.17%
"Sept. 30, 2010",
"June 30, 2010",-2.71%
"March 31, 2010",-0.31%
"Dec. 31, 2009",-0.69%
"Sept. 30, 2009",-0.67%
"June 30, 2009",-0.12%
"March 31, 2009",0.37%
"Dec. 31, 2008",1.02%
"Sept. 30, 2008",2.54%
"June 30, 2008",4.53%
"March 31, 2008",2.42%
"Dec. 31, 2007",1.88%
"Sept. 30, 2007",0.15%
"June 30, 2007",0.28%
"March 31, 2007",1.72%
"Dec. 31, 2006",1.69%
"Sept. 30, 2006",3.49%
"June 30, 2006",0.53%
"March 31, 2006",1.14%
"Dec. 31, 2005",4.41%
"Sept. 30, 2005",3.09%
"June 30, 2005",9.91%
"March 31, 2005",6.39%
"Dec. 31, 2004",2.87%
"Sept. 30, 2004",-13.27%
"June 30, 2004",-20.18%
"March 31, 2004",-9.75%
"Dec. 31, 2003",-15.68%
"Sept. 30, 2003",-2.51%
"June 30, 2003",-1.17%
"March 31, 2003",-5.73%
"Dec. 31, 2002",0.67%
"Sept. 30, 2002",2.85%
"June 30, 2002",7.21%
"March 31, 2002",6.84%
"Dec. 31, 2001",8.92%
"Sept. 30, 2001",10.03%
"June 30, 2001",22.41%
"March 31, 2001",10.36%
"Dec. 31, 2000",9.96%
"Sept. 30, 2000",5.08%
"June 30, 2000",-11.67%
"March 31, 2000",1.21%
"Dec. 31, 1999",7.73%
"Sept. 30, 1999",12.69%
"June 30, 1999",13.09%
"March 31, 1999",13.40%
"Dec. 31, 1998",5.62%
"Sept. 30, 1998",5.13%
"June 30, 1998",3.56%
"March 31, 1998",2.94%
"Dec. 31, 1997",3.55%
"Sept. 30, 1997",5.35%
"June 30, 1997",7.46%
"March 31, 1997",8.88%
"Dec. 31, 1996",7.40%
"Sept. 30, 1996",12.17%
"June 30, 1996",11.96%
"March 31, 1996",11.54%
"Dec. 31, 1995",11.97%
"Sept. 30, 1995",5.92%
"June 30, 1995",4.92%
"March 31, 1995",4.85%
"Dec. 31, 1994",4.36%
"Sept. 30, 1994",7.52%
