date,net_income_cs_rev
"Dec. 31, 2019",11.04%
"Sept. 30, 2019",19.34%
"June 30, 2019",14.17%
"March 31, 2019",14.60%
"Dec. 31, 2018",7.59%
"Sept. 30, 2018",16.32%
"June 30, 2018",8.86%
"March 31, 2018",10.11%
"Dec. 31, 2017",12.12%
"Sept. 30, 2017",14.72%
"June 30, 2017",12.35%
"March 31, 2017",12.50%
"Dec. 31, 2016",-4.07%
"Sept. 30, 2016",17.88%
"June 30, 2016",9.76%
"March 31, 2016",12.91%
"Dec. 31, 2015",11.27%
"Sept. 30, 2015",14.38%
"June 30, 2015",9.72%
"March 31, 2015",14.25%
"Dec. 31, 2014",2.34%
"Sept. 30, 2014",19.92%
"June 30, 2014",10.67%
"March 31, 2014",-1.55%
"Dec. 31, 2013",12.23%
"Sept. 30, 2013",16.15%
"June 30, 2013",5.77%
"March 31, 2013",10.75%
"Dec. 31, 2012",10.92%
"Sept. 30, 2012",8.84%
"June 30, 2012",12.41%
"March 31, 2012",8.13%
"Dec. 31, 2011",8.55%
"Sept. 30, 2011",11.91%
"June 30, 2011",12.31%
"March 31, 2011",13.95%
"Dec. 31, 2010",12.39%
"Sept. 30, 2010",16.98%
"June 30, 2010",-6.75%
"March 31, 2010",12.38%
"Dec. 31, 2009",11.13%
"Sept. 30, 2009",3.21%
"June 30, 2009",9.47%
"March 31, 2009",10.39%
"Dec. 31, 2008",10.56%
"Sept. 30, 2008",6.13%
"June 30, 2008",10.87%
"March 31, 2008",13.93%
"Dec. 31, 2007",8.02%
"Sept. 30, 2007",16.46%
"June 30, 2007",9.88%
"March 31, 2007",11.76%
"Dec. 31, 2006",13.80%
"Sept. 30, 2006",23.27%
"June 30, 2006",12.23%
"March 31, 2006",22.10%
"Dec. 31, 2005",-9.01%
"Sept. 30, 2005",1.35%
"June 30, 2005",5.86%
"March 31, 2005",16.29%
"Dec. 31, 2004",6.46%
"Sept. 30, 2004",7.66%
"June 30, 2004",8.13%
"March 31, 2004",5.52%
"Dec. 31, 2003",-38.53%
"Sept. 30, 2003",0.88%
"June 30, 2003",8.23%
"March 31, 2003",3.65%
"Dec. 31, 2002",-1.05%
"Sept. 30, 2002",5.78%
"June 30, 2002",13.10%
"March 31, 2002",11.55%
"Dec. 31, 2001",6.02%
"Sept. 30, 2001",16.83%
"June 30, 2001",2.69%
"March 31, 2001",2.78%
"Dec. 31, 2000",-1.56%
"Sept. 30, 2000",5.04%
"June 30, 2000",3.01%
"March 31, 2000",5.43%
"Dec. 31, 1999",-3.04%
"Sept. 30, 1999",6.59%
"June 30, 1999",6.14%
"March 31, 1999",23.14%
"Dec. 31, 1998",5.28%
"Sept. 30, 1998",8.09%
"June 30, 1998",6.96%
"March 31, 1998",7.78%
"Dec. 31, 1997",4.02%
"Sept. 30, 1997",6.42%
"June 30, 1997",5.42%
"March 31, 1997",8.23%
"Dec. 31, 1996",6.03%
"Sept. 30, 1996",11.21%
"June 30, 1996",9.26%
"March 31, 1996",16.46%
"Dec. 31, 1995",6.41%
"Sept. 30, 1995",20.67%
"June 30, 1995",13.07%
"March 31, 1995",18.12%
"Dec. 31, 1994",9.05%
"Sept. 30, 1994",19.15%
"June 30, 1994",11.82%
"March 31, 1994",15.80%
"Dec. 31, 1993",12.12%
"Sept. 30, 1993",18.71%
"June 30, 1993",12.41%
"March 31, 1993",14.06%
"Dec. 31, 1992",13.20%
"Sept. 30, 1992",16.72%
"June 30, 1992",9.66%
"March 31, 1992",10.84%
"Dec. 31, 1991",10.63%
"Sept. 30, 1991",18.95%
"June 30, 1991",15.49%
"March 31, 1991",15.50%
"Dec. 31, 1990",9.45%
"Sept. 30, 1990",19.35%
"June 30, 1990",13.43%
"March 31, 1990",14.85%
"Dec. 31, 1989",13.77%
"Sept. 30, 1989",19.26%
"June 30, 1989",14.51%
"March 31, 1989",14.75%
"Dec. 31, 1988",2.85%
"Sept. 30, 1988",18.74%
"June 30, 1988",11.54%
"March 31, 1988",14.74%
"Dec. 31, 1987",10.31%
"Sept. 30, 1987",15.92%
"June 30, 1987",11.98%
"March 31, 1987",15.31%
"Dec. 31, 1986",10.93%
"Sept. 30, 1986",16.21%
"June 30, 1986",11.45%
"March 31, 1986",16.01%
"Dec. 31, 1985",12.47%
"Sept. 30, 1985",15.89%
"June 30, 1985",13.86%
"March 31, 1985",17.93%
"Dec. 31, 1984",14.38%
"Sept. 30, 1984",19.07%
"June 30, 1984",16.09%
"March 31, 1984",18.35%
