date,cash_dividend_payout_ratio
"Dec. 31, 2019",-91.59%
"Sept. 30, 2019",-73.66%
"June 30, 2019",-73.02%
"March 31, 2019",-89.91%
"Dec. 31, 2018",-112.2%
"Sept. 30, 2018",-149.1%
"June 30, 2018",-178.8%
"March 31, 2018",-202.4%
"Dec. 31, 2017",-171.6%
"Sept. 30, 2017",-107.3%
"June 30, 2017",-119.5%
"March 31, 2017",-118.8%
"Dec. 31, 2016",-224.7%
"Sept. 30, 2016",-498.9%
"June 30, 2016",-4.47K%
"March 31, 2016",-3.90K%
"Dec. 31, 2015",-3.42K%
"Sept. 30, 2015",413.4%
"June 30, 2015",280.2%
"March 31, 2015",206.0%
"Dec. 31, 2014",185.9%
"Sept. 30, 2014",196.3%
"June 30, 2014",233.4%
"March 31, 2014",171.7%
"Dec. 31, 2013",255.6%
"Sept. 30, 2013",292.2%
"June 30, 2013",1.79K%
"March 31, 2013",-460.9%
"Dec. 31, 2012",-681.7%
"Sept. 30, 2012",-260.3%
"June 30, 2012",-186.4%
"March 31, 2012",-174.9%
"Dec. 31, 2011",-192.3%
"Sept. 30, 2011",-311.6%
"June 30, 2011",-431.0%
"March 31, 2011",-465.6%
"Dec. 31, 2010",-439.7%
"Sept. 30, 2010",-580.4%
"June 30, 2010",-586.5%
"March 31, 2010",-408.6%
"Dec. 31, 2009",-132.0%
"Sept. 30, 2009",-135.4%
"June 30, 2009",-75.81%
"March 31, 2009",-66.99%
"Dec. 31, 2008",-102.2%
"Sept. 30, 2008",-78.44%
"June 30, 2008",-306.9%
"March 31, 2008",-1.17K%
"Dec. 31, 2007",1.31K%
"Sept. 30, 2007",851.9%
"June 30, 2007",1.08K%
"March 31, 2007",473.8%
"Dec. 31, 2006",405.4%
"Sept. 30, 2006",1.79K%
"June 30, 2006",-300.2%
"March 31, 2006",381.1%
"Dec. 31, 2005",223.7%
"Sept. 30, 2005",91.83%
"June 30, 2005",20.39%
"March 31, 2005",54.17%
"Dec. 31, 2004",52.05%
"Sept. 30, 2004",46.93%
"June 30, 2004",90.33%
"March 31, 2004",26.09%
"Dec. 31, 2003",95.63%
"Sept. 30, 2003",79.37%
"June 30, 2003",56.10%
"March 31, 2003",222.6%
"Dec. 31, 2002",-248.8%
"Sept. 30, 2002",-35.71%
"June 30, 2002",-28.70%
"March 31, 2002",-73.24%
"Dec. 31, 2001",-55.37%
"Sept. 30, 2001",251.6%
"June 30, 2001",-135.3%
"March 31, 2001",-52.30%
"Dec. 31, 2000",-35.34%
"Sept. 30, 2000",-24.50%
"June 30, 2000",-54.48%
"March 31, 2000",-26.34%
"Dec. 31, 1999",-25.66%
"Sept. 30, 1999",-31.32%
"June 30, 1999",-43.31%
"March 31, 1999",-51.35%
"Dec. 31, 1998",387.6%
"Sept. 30, 1998",227.4%
"June 30, 1998",88.73%
"March 31, 1998",114.6%
"Dec. 31, 1997",88.92%
"Sept. 30, 1997",85.63%
"June 30, 1997",77.69%
"March 31, 1997",60.54%
"Dec. 31, 1996",64.73%
"Sept. 30, 1996",64.12%
"June 30, 1996",60.10%
"March 31, 1996",59.68%
"Dec. 31, 1995",76.54%
"Sept. 30, 1995",97.28%
"June 30, 1995",119.3%
"March 31, 1995",168.7%
"Dec. 31, 1994",168.5%
