date,dividend_yield
"March 19, 2020",5.01%
"March 18, 2020",4.75%
"March 17, 2020",4.38%
"March 16, 2020",4.91%
"March 13, 2020",4.39%
"March 12, 2020",4.68%
"March 11, 2020",4.14%
"March 10, 2020",3.96%
"March 9, 2020",3.98%
"March 6, 2020",3.80%
"March 5, 2020",3.76%
"March 4, 2020",3.70%
"March 3, 2020",3.94%
"March 2, 2020",3.89%
"Feb. 28, 2020",4.10%
"Feb. 27, 2020",3.96%
"Feb. 26, 2020",3.80%
"Feb. 25, 2020",3.79%
"Feb. 24, 2020",3.68%
"Feb. 21, 2020",3.67%
"Feb. 20, 2020",3.71%
"Feb. 19, 2020",3.71%
"Feb. 18, 2020",3.69%
"Feb. 14, 2020",3.71%
"Feb. 13, 2020",3.76%
"Feb. 12, 2020",3.82%
"Feb. 11, 2020",3.86%
"Feb. 10, 2020",3.89%
"Feb. 7, 2020",3.89%
"Feb. 6, 2020",3.86%
"Feb. 5, 2020",3.86%
"Feb. 4, 2020",3.88%
"Feb. 3, 2020",3.83%
"Jan. 31, 2020",3.84%
"Jan. 30, 2020",3.84%
"Jan. 29, 2020",3.87%
"Jan. 28, 2020",3.89%
"Jan. 27, 2020",3.90%
"Jan. 24, 2020",3.89%
"Jan. 23, 2020",3.90%
"Jan. 22, 2020",3.93%
"Jan. 21, 2020",3.95%
"Jan. 17, 2020",4.00%
"Jan. 16, 2020",4.02%
"Jan. 15, 2020",4.05%
"Jan. 14, 2020",4.10%
"Jan. 13, 2020",4.10%
"Jan. 10, 2020",4.14%
"Jan. 9, 2020",4.13%
"Jan. 8, 2020",4.14%
"Jan. 7, 2020",4.15%
"Jan. 6, 2020",4.12%
"Jan. 3, 2020",4.14%
"Jan. 2, 2020",4.15%
"Dec. 31, 2019",4.11%
"Dec. 30, 2019",4.12%
"Dec. 27, 2019",4.12%
"Dec. 26, 2019",4.14%
"Dec. 24, 2019",4.15%
"Dec. 23, 2019",4.15%
"Dec. 20, 2019",4.13%
"Dec. 19, 2019",4.16%
"Dec. 18, 2019",4.13%
"Dec. 17, 2019",4.14%
"Dec. 16, 2019",4.14%
"Dec. 13, 2019",4.16%
"Dec. 12, 2019",4.18%
"Dec. 11, 2019",4.21%
"Dec. 10, 2019",4.21%
"Dec. 9, 2019",4.19%
"Dec. 6, 2019",4.17%
"Dec. 5, 2019",4.19%
"Dec. 4, 2019",4.21%
"Dec. 3, 2019",4.26%
"Dec. 2, 2019",4.29%
"Nov. 29, 2019",4.25%
"Nov. 27, 2019",4.23%
"Nov. 26, 2019",4.25%
"Nov. 25, 2019",4.28%
"Nov. 22, 2019",4.30%
"Nov. 21, 2019",4.32%
"Nov. 20, 2019",4.30%
"Nov. 19, 2019",4.30%
"Nov. 18, 2019",4.22%
"Nov. 15, 2019",4.23%
"Nov. 14, 2019",4.24%
"Nov. 13, 2019",4.21%
"Nov. 12, 2019",4.26%
"Nov. 11, 2019",4.26%
"Nov. 8, 2019",4.14%
"Nov. 7, 2019",4.03%
"Nov. 6, 2019",3.99%
"Nov. 5, 2019",4.00%
"Nov. 4, 2019",3.98%
"Nov. 1, 2019",3.95%
"Oct. 31, 2019",3.95%
"Oct. 30, 2019",3.96%
"Oct. 29, 2019",3.99%
"Oct. 28, 2019",3.96%
"Oct. 25, 2019",3.91%
"Oct. 24, 2019",3.88%
"Oct. 23, 2019",3.88%
"Oct. 22, 2019",3.91%
"Oct. 21, 2019",3.91%
"Oct. 18, 2019",3.91%
"Oct. 17, 2019",3.92%
"Oct. 16, 2019",3.92%
"Oct. 15, 2019",3.92%
"Oct. 14, 2019",3.92%
"Oct. 11, 2019",3.88%
"Oct. 10, 2019",3.87%
"Oct. 9, 2019",3.88%
"Oct. 8, 2019",3.88%
"Oct. 7, 2019",3.85%
"Oct. 4, 2019",3.84%
"Oct. 3, 2019",3.92%
"Oct. 2, 2019",3.94%
"Oct. 1, 2019",3.88%
"Sept. 30, 2019",3.89%
"Sept. 27, 2019",3.87%
"Sept. 26, 2019",3.87%
"Sept. 25, 2019",3.88%
"Sept. 24, 2019",3.87%
"Sept. 23, 2019",3.91%
"Sept. 20, 2019",3.91%
"Sept. 19, 2019",3.94%
"Sept. 18, 2019",3.95%
"Sept. 17, 2019",3.97%
"Sept. 16, 2019",4.00%
"Sept. 13, 2019",3.97%
"Sept. 12, 2019",3.93%
"Sept. 11, 2019",3.94%
"Sept. 10, 2019",3.97%
"Sept. 9, 2019",3.98%
"Sept. 6, 2019",3.98%
"Sept. 5, 2019",3.99%
"Sept. 4, 2019",3.97%
"Sept. 3, 2019",3.98%
"Aug. 30, 2019",4.02%
"Aug. 29, 2019",4.02%
"Aug. 28, 2019",4.04%
"Aug. 27, 2019",4.04%
"Aug. 26, 2019",4.08%
"Aug. 23, 2019",4.11%
"Aug. 22, 2019",4.08%
"Aug. 21, 2019",4.09%
"Aug. 20, 2019",4.09%
"Aug. 19, 2019",4.11%
"Aug. 16, 2019",4.15%
"Aug. 15, 2019",4.18%
"Aug. 14, 2019",4.18%
"Aug. 13, 2019",4.13%
"Aug. 12, 2019",4.15%
"Aug. 9, 2019",4.13%
"Aug. 8, 2019",4.15%
"Aug. 7, 2019",4.18%
"Aug. 6, 2019",4.17%
"Aug. 5, 2019",4.27%
"Aug. 2, 2019",4.21%
"Aug. 1, 2019",4.24%
"July 31, 2019",4.28%
"July 30, 2019",4.23%
"July 29, 2019",4.23%
"July 26, 2019",4.27%
"July 25, 2019",4.29%
"July 24, 2019",4.26%
"July 23, 2019",4.23%
"July 22, 2019",4.21%
"July 19, 2019",4.19%
"July 18, 2019",4.13%
"July 17, 2019",4.16%
"July 16, 2019",4.17%
"July 15, 2019",4.15%
"July 12, 2019",4.18%
"July 11, 2019",4.15%
"July 10, 2019",4.14%
"July 9, 2019",4.15%
"July 8, 2019",4.14%
"July 5, 2019",4.14%
"July 3, 2019",4.12%
"July 2, 2019",4.16%
"July 1, 2019",4.22%
"June 28, 2019",4.20%
"June 27, 2019",4.19%
"June 26, 2019",4.22%
"June 25, 2019",4.12%
"June 24, 2019",4.13%
"June 21, 2019",4.14%
"June 20, 2019",4.19%
"June 19, 2019",4.23%
"June 18, 2019",4.25%
"June 17, 2019",4.22%
"June 14, 2019",4.22%
"June 13, 2019",4.28%
"June 12, 2019",4.28%
"June 11, 2019",4.33%
"June 10, 2019",4.30%
"June 7, 2019",4.26%
"June 6, 2019",4.23%
"June 5, 2019",4.25%
"June 4, 2019",4.32%
"June 3, 2019",4.31%
"May 31, 2019",4.33%
"May 30, 2019",4.34%
"May 29, 2019",4.32%
"May 28, 2019",4.26%
"May 24, 2019",4.18%
"May 23, 2019",4.17%
"May 22, 2019",4.22%
"May 21, 2019",4.26%
"May 20, 2019",4.27%
"May 17, 2019",4.25%
"May 16, 2019",4.30%
"May 15, 2019",4.23%
"May 14, 2019",4.22%
"May 13, 2019",4.17%
"May 10, 2019",4.17%
"May 9, 2019",4.23%
"May 8, 2019",4.18%
"May 7, 2019",4.11%
"May 6, 2019",4.10%
"May 3, 2019",4.07%
"May 2, 2019",4.09%
"May 1, 2019",4.06%
"April 30, 2019",4.03%
"April 29, 2019",4.10%
"April 26, 2019",4.07%
"April 25, 2019",4.06%
"April 24, 2019",4.10%
"April 23, 2019",4.13%
"April 22, 2019",4.14%
"April 18, 2019",4.12%
"April 17, 2019",4.12%
"April 16, 2019",4.12%
"April 15, 2019",4.06%
"April 12, 2019",4.06%
"April 11, 2019",4.07%
"April 10, 2019",4.08%
"April 9, 2019",4.07%
"April 8, 2019",4.08%
"April 5, 2019",4.06%
"April 4, 2019",4.11%
"April 3, 2019",4.13%
"April 2, 2019",4.12%
"April 1, 2019",4.11%
"March 29, 2019",4.08%
"March 28, 2019",4.11%
"March 27, 2019",4.06%
"March 26, 2019",4.01%
"March 25, 2019",4.05%
"March 22, 2019",4.05%
"March 21, 2019",4.08%
"March 20, 2019",4.11%
"March 19, 2019",4.12%
"March 18, 2019",4.08%
"March 15, 2019",4.05%
"March 14, 2019",4.06%
"March 13, 2019",4.06%
"March 12, 2019",4.06%
"March 11, 2019",4.06%
"March 8, 2019",4.07%
"March 7, 2019",4.10%
"March 6, 2019",4.10%
"March 5, 2019",4.10%
"March 4, 2019",4.09%
"March 1, 2019",4.10%
"Feb. 28, 2019",4.10%
"Feb. 27, 2019",4.11%
"Feb. 26, 2019",4.13%
"Feb. 25, 2019",4.10%
"Feb. 22, 2019",4.08%
"Feb. 21, 2019",4.10%
"Feb. 20, 2019",4.13%
"Feb. 19, 2019",4.18%
"Feb. 15, 2019",4.20%
"Feb. 14, 2019",4.18%
"Feb. 13, 2019",4.06%
"Feb. 12, 2019",4.03%
"Feb. 11, 2019",4.03%
"Feb. 8, 2019",4.03%
"Feb. 7, 2019",4.06%
"Feb. 6, 2019",4.11%
"Feb. 5, 2019",4.11%
"Feb. 4, 2019",4.14%
"Feb. 1, 2019",4.14%
"Jan. 31, 2019",4.14%
"Jan. 30, 2019",4.22%
