date,three_year_return
"March 19, 2020",-45.75%
"March 18, 2020",-43.43%
"March 17, 2020",-31.07%
"March 16, 2020",-27.26%
"March 13, 2020",-4.94%
"March 12, 2020",-13.35%
"March 11, 2020",5.81%
"March 10, 2020",29.27%
"March 9, 2020",25.81%
"March 6, 2020",44.99%
"March 5, 2020",42.92%
"March 4, 2020",55.41%
"March 3, 2020",54.03%
"March 2, 2020",58.08%
"Feb. 28, 2020",52.64%
"Feb. 27, 2020",60.37%
"Feb. 26, 2020",72.22%
"Feb. 25, 2020",71.40%
"Feb. 24, 2020",79.16%
"Feb. 21, 2020",88.19%
"Feb. 20, 2020",94.71%
"Feb. 19, 2020",95.88%
"Feb. 18, 2020",96.21%
"Feb. 14, 2020",102.1%
"Feb. 13, 2020",104.0%
"Feb. 12, 2020",109.0%
"Feb. 11, 2020",107.2%
"Feb. 10, 2020",107.3%
"Feb. 7, 2020",102.3%
"Feb. 6, 2020",108.2%
"Feb. 5, 2020",102.9%
"Feb. 4, 2020",95.78%
"Feb. 3, 2020",94.58%
"Jan. 31, 2020",94.76%
"Jan. 30, 2020",95.26%
"Jan. 29, 2020",92.02%
"Jan. 28, 2020",88.77%
"Jan. 27, 2020",88.79%
"Jan. 24, 2020",101.2%
"Jan. 23, 2020",101.3%
"Jan. 22, 2020",93.69%
"Jan. 21, 2020",96.43%
"Jan. 17, 2020",105.6%
"Jan. 16, 2020",109.0%
"Jan. 15, 2020",107.6%
"Jan. 14, 2020",109.2%
"Jan. 13, 2020",107.9%
"Jan. 10, 2020",107.4%
"Jan. 9, 2020",112.4%
"Jan. 8, 2020",108.3%
"Jan. 7, 2020",112.0%
"Jan. 6, 2020",109.8%
"Jan. 3, 2020",112.0%
"Jan. 2, 2020",114.1%
"Dec. 31, 2019",109.2%
"Dec. 30, 2019",109.7%
"Dec. 27, 2019",109.6%
"Dec. 26, 2019",109.1%
"Dec. 24, 2019",111.0%
"Dec. 23, 2019",113.9%
"Dec. 20, 2019",109.7%
"Dec. 19, 2019",113.5%
"Dec. 18, 2019",114.0%
"Dec. 17, 2019",111.7%
"Dec. 16, 2019",111.7%
"Dec. 13, 2019",118.1%
"Dec. 12, 2019",120.3%
"Dec. 11, 2019",123.7%
"Dec. 10, 2019",122.3%
"Dec. 9, 2019",124.4%
"Dec. 6, 2019",132.6%
"Dec. 5, 2019",127.2%
"Dec. 4, 2019",129.1%
"Dec. 3, 2019",131.3%
"Dec. 2, 2019",133.3%
"Nov. 29, 2019",141.5%
"Nov. 27, 2019",145.3%
"Nov. 26, 2019",148.9%
"Nov. 25, 2019",148.7%
"Nov. 22, 2019",148.4%
"Nov. 21, 2019",149.2%
"Nov. 20, 2019",153.4%
"Nov. 19, 2019",150.8%
"Nov. 18, 2019",152.4%
"Nov. 15, 2019",150.9%
"Nov. 14, 2019",145.0%
"Nov. 13, 2019",144.1%
"Nov. 12, 2019",144.3%
"Nov. 11, 2019",147.1%
"Nov. 8, 2019",146.8%
"Nov. 7, 2019",149.8%
"Nov. 6, 2019",153.8%
"Nov. 5, 2019",156.8%
"Nov. 4, 2019",151.6%
"Nov. 1, 2019",142.4%
"Oct. 31, 2019",138.7%
"Oct. 30, 2019",142.0%
"Oct. 29, 2019",144.0%
"Oct. 28, 2019",138.4%
"Oct. 25, 2019",144.4%
"Oct. 24, 2019",150.7%
"Oct. 23, 2019",151.1%
"Oct. 22, 2019",148.5%
"Oct. 21, 2019",144.1%
"Oct. 18, 2019",154.6%
"Oct. 17, 2019",175.4%
"Oct. 16, 2019",179.0%
"Oct. 15, 2019",177.9%
"Oct. 14, 2019",179.5%
"Oct. 11, 2019",180.3%
"Oct. 10, 2019",173.1%
"Oct. 9, 2019",180.1%
"Oct. 8, 2019",179.5%
"Oct. 7, 2019",181.3%
"Oct. 4, 2019",184.1%
"Oct. 3, 2019",181.1%
"Oct. 2, 2019",178.9%
"Oct. 1, 2019",184.6%
"Sept. 30, 2019",188.8%
"Sept. 27, 2019",191.5%
"Sept. 26, 2019",196.3%
"Sept. 25, 2019",193.1%
"Sept. 24, 2019",189.6%
"Sept. 23, 2019",186.1%
"Sept. 20, 2019",196.9%
"Sept. 19, 2019",201.6%
"Sept. 18, 2019",205.0%
"Sept. 17, 2019",203.2%
"Sept. 16, 2019",199.0%
"Sept. 13, 2019",194.9%
"Sept. 12, 2019",188.7%
"Sept. 11, 2019",197.9%
"Sept. 10, 2019",187.5%
"Sept. 9, 2019",179.1%
"Sept. 6, 2019",173.0%
"Sept. 5, 2019",174.7%
"Sept. 4, 2019",171.8%
"Sept. 3, 2019",170.2%
"Aug. 30, 2019",178.3%
"Aug. 29, 2019",172.9%
"Aug. 28, 2019",172.2%
"Aug. 27, 2019",168.3%
"Aug. 26, 2019",171.5%
"Aug. 23, 2019",165.4%
"Aug. 22, 2019",162.5%
"Aug. 21, 2019",152.9%
"Aug. 20, 2019",146.8%
"Aug. 19, 2019",148.3%
"Aug. 16, 2019",144.8%
"Aug. 15, 2019",143.6%
"Aug. 14, 2019",140.7%
"Aug. 13, 2019",150.1%
"Aug. 12, 2019",150.1%
"Aug. 9, 2019",154.5%
"Aug. 8, 2019",154.4%
"Aug. 7, 2019",151.6%
"Aug. 6, 2019",152.4%
"Aug. 5, 2019",151.3%
"Aug. 2, 2019",158.0%
"Aug. 1, 2019",150.9%
"July 31, 2019",155.3%
"July 30, 2019",160.0%
"July 29, 2019",154.5%
"July 26, 2019",155.8%
"July 25, 2019",161.8%
"July 24, 2019",170.8%
"July 23, 2019",179.5%
"July 22, 2019",179.8%
"July 19, 2019",180.2%
"July 18, 2019",170.6%
"July 17, 2019",179.1%
"July 16, 2019",174.0%
"July 15, 2019",173.1%
"July 12, 2019",179.3%
"July 11, 2019",171.9%
"July 10, 2019",170.8%
"July 9, 2019",171.4%
"July 8, 2019",169.9%
"July 5, 2019",180.3%
"July 3, 2019",173.3%
"July 2, 2019",173.1%
"July 1, 2019",174.9%
"June 28, 2019",193.8%
"June 27, 2019",196.7%
"June 26, 2019",196.3%
"June 25, 2019",191.9%
"June 24, 2019",195.6%
"June 21, 2019",182.7%
"June 20, 2019",182.4%
"June 19, 2019",183.9%
"June 18, 2019",188.1%
"June 17, 2019",173.4%
"June 14, 2019",166.0%
"June 13, 2019",168.5%
"June 12, 2019",164.6%
"June 11, 2019",166.4%
"June 10, 2019",169.8%
"June 7, 2019",168.1%
"June 6, 2019",165.8%
"June 5, 2019",173.8%
"June 4, 2019",170.5%
"June 3, 2019",166.0%
"May 31, 2019",170.8%
"May 30, 2019",170.8%
"May 29, 2019",169.9%
"May 28, 2019",174.6%
"May 24, 2019",178.4%
"May 23, 2019",174.8%
"May 22, 2019",176.9%
"May 21, 2019",181.6%
"May 20, 2019",176.9%
"May 17, 2019",167.8%
"May 16, 2019",163.8%
"May 15, 2019",161.6%
"May 14, 2019",159.6%
"May 13, 2019",155.4%
"May 10, 2019",163.3%
"May 9, 2019",168.1%
"May 8, 2019",170.0%
"May 7, 2019",168.1%
"May 6, 2019",178.9%
"May 3, 2019",184.1%
"May 2, 2019",180.4%
"May 1, 2019",179.5%
"April 30, 2019",180.2%
"April 29, 2019",181.2%
"April 26, 2019",185.8%
"April 25, 2019",192.8%
"April 24, 2019",186.5%
"April 23, 2019",185.4%
"April 22, 2019",186.3%
"April 18, 2019",188.0%
"April 17, 2019",187.9%
"April 16, 2019",191.1%
"April 15, 2019",186.3%
"April 12, 2019",193.2%
"April 11, 2019",189.4%
"April 10, 2019",185.4%
"April 9, 2019",188.6%
"April 8, 2019",192.9%
"April 5, 2019",208.5%
"April 4, 2019",213.3%
"April 3, 2019",203.0%
"April 2, 2019",207.8%
