date,net_income_cs_rev
"Dec. 31, 2019",-5.64%
"Sept. 30, 2019",5.84%
"June 30, 2019",-18.68%
"March 31, 2019",9.38%
"Dec. 31, 2018",12.08%
"Sept. 30, 2018",9.40%
"June 30, 2018",9.05%
"March 31, 2018",10.59%
"Dec. 31, 2017",13.40%
"Sept. 30, 2017",7.47%
"June 30, 2017",7.59%
"March 31, 2017",7.19%
"Dec. 31, 2016",7.97%
"Sept. 30, 2016",9.54%
"June 30, 2016",-0.95%
"March 31, 2016",5.39%
"Dec. 31, 2015",4.35%
"Sept. 30, 2015",6.59%
"June 30, 2015",4.52%
"March 31, 2015",6.03%
"Dec. 31, 2014",5.99%
"Sept. 30, 2014",5.73%
"June 30, 2014",7.50%
"March 31, 2014",4.72%
"Dec. 31, 2013",5.18%
"Sept. 30, 2013",5.23%
"June 30, 2013",4.99%
"March 31, 2013",5.85%
"Dec. 31, 2012",4.39%
"Sept. 30, 2012",5.16%
"June 30, 2012",4.83%
"March 31, 2012",4.76%
"Dec. 31, 2011",7.12%
"Sept. 30, 2011",6.19%
"June 30, 2011",5.69%
"March 31, 2011",3.93%
"Dec. 31, 2010",7.03%
"Sept. 30, 2010",4.93%
"June 30, 2010",5.05%
"March 31, 2010",3.41%
"Dec. 31, 2009",7.07%
"Sept. 30, 2009",-9.37%
"June 30, 2009",5.82%
"March 31, 2009",3.70%
"Dec. 31, 2008",-0.68%
"Sept. 30, 2008",4.54%
"June 30, 2008",5.02%
"March 31, 2008",7.57%
"Dec. 31, 2007",5.91%
"Sept. 30, 2007",6.74%
"June 30, 2007",6.17%
"March 31, 2007",5.71%
"Dec. 31, 2006",5.64%
"Sept. 30, 2006",4.71%
"June 30, 2006",-1.07%
"March 31, 2006",4.85%
"Dec. 31, 2005",3.31%
"Sept. 30, 2005",8.18%
"June 30, 2005",3.55%
"March 31, 2005",4.22%
"Dec. 31, 2004",1.40%
"Sept. 30, 2004",3.47%
"June 30, 2004",4.64%
"March 31, 2004",4.83%
"Dec. 31, 2003",8.60%
"Sept. 30, 2003",2.10%
"June 30, 2003",-1.51%
"March 31, 2003",-3.90%
"Dec. 31, 2002",4.31%
"Sept. 30, 2002",2.93%
"June 30, 2002",5.62%
"March 31, 2002",-9.04%
"Dec. 31, 2001",0.64%
"Sept. 30, 2001",4.75%
"June 30, 2001",5.41%
"March 31, 2001",9.31%
"Dec. 31, 2000",3.27%
"Sept. 30, 2000",5.13%
"June 30, 2000",4.18%
"March 31, 2000",4.22%
"Dec. 31, 1999",4.36%
"Sept. 30, 1999",3.59%
"June 30, 1999",4.64%
"March 31, 1999",3.26%
"Dec. 31, 1998",2.72%
"Sept. 30, 1998",2.73%
"June 30, 1998",1.93%
"March 31, 1998",0.39%
"Dec. 31, 1997",-4.25%
"Sept. 30, 1997",-6.12%
"June 30, 1997",3.86%
"March 31, 1997",5.21%
"Dec. 31, 1996",4.45%
"Sept. 30, 1996",5.17%
"June 30, 1996",7.46%
"March 31, 1996",2.77%
"Dec. 31, 1995",-1.17%
"Sept. 30, 1995",5.14%
"June 30, 1995",-4.16%
"March 31, 1995",3.59%
"Dec. 31, 1994",3.07%
"Sept. 30, 1994",3.65%
"June 30, 1994",4.11%
"March 31, 1994",4.60%
"Dec. 31, 1993",5.37%
"Sept. 30, 1993",3.67%
"June 30, 1993",5.34%
"March 31, 1993",4.89%
"Dec. 31, 1992",-9.42%
"Sept. 30, 1992",5.28%
"June 30, 1992",5.79%
"March 31, 1992",5.54%
"Dec. 31, 1991",5.20%
"Sept. 30, 1991",5.24%
"June 30, 1991",5.81%
"March 31, 1991",5.07%
"Dec. 31, 1990",4.53%
"Sept. 30, 1990",5.27%
"June 30, 1990",5.55%
"March 31, 1990",4.69%
"Dec. 31, 1989",1.59%
"Sept. 30, 1989",3.81%
"June 30, 1989",3.84%
"March 31, 1989",4.02%
"Dec. 31, 1988",3.57%
"Sept. 30, 1988",3.87%
"June 30, 1988",3.39%
"March 31, 1988",3.73%
"Dec. 31, 1987",3.07%
"Sept. 30, 1987",2.96%
"June 30, 1987",3.36%
"March 31, 1987",3.14%
"Dec. 31, 1986",3.83%
"Sept. 30, 1986",4.13%
"June 30, 1986",4.20%
"March 31, 1986",4.20%
"Dec. 31, 1985",4.44%
"Sept. 30, 1985",4.27%
"June 30, 1985",4.04%
"March 31, 1985",3.75%
"Dec. 31, 1984",3.73%
"Sept. 30, 1984",3.91%
"June 30, 1984",3.72%
"March 31, 1984",22.75%
