date,revenues_growth
"Dec. 31, 2019",-36.80%
"Sept. 30, 2019",-20.54%
"June 30, 2019",-35.07%
"March 31, 2019",-1.99%
"Dec. 31, 2018",14.42%
"Sept. 30, 2018",3.81%
"June 30, 2018",5.24%
"March 31, 2018",6.47%
"Dec. 31, 2017",11.52%
"Sept. 30, 2017",1.36%
"June 30, 2017",-6.88%
"March 31, 2017",-2.96%
"Dec. 31, 2016",-5.78%
"Sept. 30, 2016",-7.55%
"June 30, 2016",0.86%
"March 31, 2016",2.18%
"Dec. 31, 2015",-3.66%
"Sept. 30, 2015",8.68%
"June 30, 2015",11.33%
"March 31, 2015",8.23%
"Dec. 31, 2014",2.87%
"Sept. 30, 2014",7.47%
"June 30, 2014",1.05%
"March 31, 2014",8.32%
"Dec. 31, 2013",6.65%
"Sept. 30, 2013",10.61%
"June 30, 2013",9.05%
"March 31, 2013",-2.53%
"Dec. 31, 2012",14.05%
"Sept. 30, 2012",12.87%
"June 30, 2012",20.93%
"March 31, 2012",30.00%
"Dec. 31, 2011",18.16%
"Sept. 30, 2011",4.48%
"June 30, 2011",6.23%
"March 31, 2011",-2.01%
"Dec. 31, 2010",-7.73%
"Sept. 30, 2010",1.67%
"June 30, 2010",-9.22%
"March 31, 2010",-7.79%
"Dec. 31, 2009",41.64%
"Sept. 30, 2009",9.12%
"June 30, 2009",1.13%
"March 31, 2009",3.20%
"Dec. 31, 2008",-27.54%
"Sept. 30, 2008",-7.41%
"June 30, 2008",-0.39%
"March 31, 2008",4.07%
"Dec. 31, 2007",-0.36%
"Sept. 30, 2007",12.06%
"June 30, 2007",13.63%
"March 31, 2007",7.72%
"Dec. 31, 2006",26.19%
"Sept. 30, 2006",19.30%
"June 30, 2006",2.06%
"March 31, 2006",12.48%
"Dec. 31, 2005",4.41%
"Sept. 30, 2005",-6.06%
"June 30, 2005",12.19%
"March 31, 2005",-1.72%
"Dec. 31, 2004",1.20%
"Sept. 30, 2004",7.94%
"June 30, 2004",2.92%
"March 31, 2004",5.26%
"Dec. 31, 2003",-3.92%
"Sept. 30, 2003",-3.99%
"June 30, 2003",-8.23%
"March 31, 2003",-11.31%
"Dec. 31, 2002",-12.79%
"Sept. 30, 2002",-7.28%
"June 30, 2002",-10.69%
"March 31, 2002",3.97%
"Dec. 31, 2001",6.87%
"Sept. 30, 2001",15.24%
"June 30, 2001",4.55%
"March 31, 2001",34.14%
"Dec. 31, 2000",-3.34%
"Sept. 30, 2000",-10.56%
"June 30, 2000",-1.86%
"March 31, 2000",-31.14%
"Dec. 31, 1999",-11.11%
"Sept. 30, 1999",4.39%
"June 30, 1999",12.94%
"March 31, 1999",11.18%
"Dec. 31, 1998",45.81%
"Sept. 30, 1998",11.87%
"June 30, 1998",8.47%
"March 31, 1998",24.96%
"Dec. 31, 1997",17.54%
"Sept. 30, 1997",26.22%
"June 30, 1997",96.70%
"March 31, 1997",141.3%
"Dec. 31, 1996",-44.52%
"Sept. 30, 1996",105.6%
"June 30, 1996",12.90%
"March 31, 1996",-14.77%
"Dec. 31, 1995",251.2%
"Sept. 30, 1995",-13.47%
"June 30, 1995",3.00%
"March 31, 1995",-20.61%
"Dec. 31, 1994",-9.48%
"Sept. 30, 1994",-1.75%
"June 30, 1994",-32.42%
"March 31, 1994",-4.50%
"Dec. 31, 1993",-24.56%
"Sept. 30, 1993",-25.29%
"June 30, 1993",2.07%
"March 31, 1993",-16.61%
"Dec. 31, 1992",-3.30%
"Sept. 30, 1992",-9.93%
"June 30, 1992",0.13%
"March 31, 1992",30.80%
"Dec. 31, 1991",10.52%
"Sept. 30, 1991",6.70%
"June 30, 1991",12.11%
"March 31, 1991",-5.35%
"Dec. 31, 1990",44.73%
"Sept. 30, 1990",12.90%
"June 30, 1990",37.40%
"March 31, 1990",60.83%
"Dec. 31, 1989",-0.51%
"Sept. 30, 1989",70.77%
"June 30, 1989",7.32%
"March 31, 1989",9.86%
"Dec. 31, 1988",5.94%
"Sept. 30, 1988",5.89%
"June 30, 1988",35.88%
"March 31, 1988",-3.22%
"Dec. 31, 1987",-7.69%
"Sept. 30, 1987",-7.62%
"June 30, 1987",-13.63%
"March 31, 1987",6.69%
"Dec. 31, 1986",17.53%
"Sept. 30, 1986",23.02%
"June 30, 1986",19.50%
"March 31, 1986",20.21%
"Dec. 31, 1985",27.53%
"Sept. 30, 1985",40.72%
"June 30, 1985",22.95%
"March 31, 1985",40.52%
