Cash Flow - Operations (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09
Net Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.206B,-646.00M,-1.963B,-383.00M,-327.00M,-164.00M,184.00M,-466.00M,-363.00M,-326.00M,-186.00M,-397.00M,-734.00M,-259.00M,-90.00M,-133.00M,217.00M,442.00M,223.00M,360.00M,344.00M,364.00M,217.00M,193.00M,327.00M,362.00M,196.00M,189.00M,254.00M,302.00M,189.00M,125.00M,238.00M,162.00M,-276.00M,69.00M,201.00M,251.00M,-11.00M,-18.00M,72.00M,-250.00M,-78.00M,-141.40M,60.40M,-47.70M,-134.00M,-126.30M,-106.70M,-180.10M,-151.70M,-187.60M,13.10M,19.20M,-84.20M,-207.80M,-51.60M,74.10M,31.30M,64.30M,133.10M
Operating Gains Losses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-556.00M,302.00M,265.00M,-11.00M,-630.00M,3.00M,341.00M,286.00M,250.00M,-989.00M,793.00M,-460.00M,101.00M,-269.00M,95.00M,78.00M,96.00M,-224.00M,19.00M,110.00M,95.00M,43.00M,-9.00M,-36.00M,88.00M,507.00M,197.00M,53.00M,-27.00M,-19.00M,-63.00M,67.00M,6.00M,489.00M,10.00M,197.30M,13.70M,174.90M,-20.30M,28.30M,15.10M,158.10M,17.30M,21.30M,17.30M,29.70M,-22.50M,3.40M,22.20M,14.90M,13.80M,17.50M,42.30M
Depreciation Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.146B,-548.00M,285.00M,263.00M,-692.00M,241.00M,233.00M,218.00M,-625.00M,216.00M,211.00M,198.00M,190.00M,180.00M,174.00M,166.00M,158.00M,156.00M,174.00M,146.00M,199.00M,133.00M,140.00M,150.00M,154.00M,154.00M,157.20M,150.80M,92.40M,232.50M,175.10M,175.30M,164.50M,148.90M,137.70M,125.50M,124.00M,115.90M,112.70M,113.30M,119.40M,114.50M,113.50M,111.80M
Total Depreciation and Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.146B,-548.00M,285.00M,263.00M,269.00M,241.00M,233.00M,218.00M,235.00M,216.00M,211.00M,198.00M,190.00M,180.00M,174.00M,166.00M,158.00M,156.00M,174.00M,146.00M,199.00M,133.00M,140.00M,150.00M,154.00M,154.00M,157.20M,150.80M,92.40M,232.50M,175.10M,175.30M,164.50M,148.90M,137.70M,125.50M,124.00M,115.90M,112.70M,113.30M,119.40M,114.50M,113.50M,111.80M
"Total Depreciation, Amortization, Depletion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.146B,-548.00M,285.00M,263.00M,269.00M,241.00M,233.00M,218.00M,235.00M,216.00M,211.00M,198.00M,190.00M,180.00M,174.00M,166.00M,158.00M,156.00M,174.00M,146.00M,199.00M,133.00M,140.00M,150.00M,154.00M,154.00M,157.20M,150.80M,92.40M,232.50M,175.10M,175.30M,164.50M,148.90M,137.70M,125.50M,124.00M,115.90M,112.70M,113.30M,119.40M,114.50M,113.50M,111.80M
Deferred Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-57.00M,,-70.00M,70.00M,134.00M,-41.00M,-34.00M,37.00M,-149.00M,-4.00M,-100.30M,11.30M,-51.20M,-55.30M,-57.10M,-48.00M,-68.10M,43.30M,-67.00M,-31.30M,138.40M,-85.30M,-126.20M,-43.50M,0.70M,-38.20M,13.80M,19.10M
Other Noncash Items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-765.00M,324.00M,2.079B,76.00M,-632.00M,365.00M,151.00M,301.00M,,,,,,,,,,2.488B,-1.096B,570.00M,526.00M,-1.254B,482.00M,570.00M,332.00M,-839.00M,432.00M,422.00M,396.00M,345.00M,360.00M,348.00M,332.00M,324.00M,312.00M,398.00M,242.00M,427.00M,283.00M,297.00M,313.00M,342.00M,307.00M,344.60M,301.40M,184.70M,465.20M,350.00M,350.70M,329.00M,297.90M,275.30M,251.10M,248.10M,231.90M,225.40M,226.60M,225.50M,214.70M,211.90M,208.00M
Change in Receivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-213.00M,,260.00M,-260.00M,-93.00M,0.00,221.00M,3.00M,-45.00M,150.00M,37.50M,26.50M,-56.40M,-170.60M,424.40M,1.50M,-195.70M,-290.90M,111.00M,-45.30M,3.60M,-280.40M,189.80M,-19.70M,59.70M,-179.90M,148.20M,-2.00M
Change in Payables and Accrued Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-91.00M,,-121.00M,121.00M,15.00M,83.00M,-160.00M,42.00M,80.00M,234.00M,-228.50M,121.50M,65.50M,187.10M,32.60M,-39.90M,29.60M,78.50M,102.10M,47.50M,-14.00M,77.10M,-72.90M,125.90M,52.30M,-19.70M,-37.50M,19.20M
