Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Operating Revenue,10.43B,11.60B,11.55B,9.446B,9.862B,11.02B,10.77B,8.967B,9.224B,10.17B,9.955B,8.341B,10.20B,9.238B,9.135B,7.924B,8.318B,9.791B,9.346B,8.14B,8.478B,10.02B,9.496B,7.894B,8.112B,9.483B,8.726B,7.558B,7.664B,8.917B,8.693B,7.47B,4.568B,9.816B,9.153B,7.747B,4.142B,8.95B,8.168B,6.848B,6.805B,7.574B,7.00B,6.684B,6.713B,5.719B,5.499B,4.766B,4.683B,5.227B,5.003B,4.241B,4.246B,4.751B,4.741B,3.719B,4.217B,4.308B,4.249B,3.706B,3.874B,3.871B,3.961B,3.529B,3.831B,3.657B,3.496B,3.155B,3.869B,3.42B,3.474B,3.103B,2.863B,3.398B,3.776B,3.842B,3.911B,3.333B,3.96B,3.713B,3.829B,3.843B,3.504B,3.448B,3.802B,3.761B,3.39B,3.434B,3.553B,3.545B,3.42B,3.197B,3.432B,3.36B,2.964B,2.944B,3.188B,3.216B,2.902B,2.919B,3.157B,3.109B,2.878B,2.952B,3.220B,3.132B,2.927B,2.874B,3.064B,2.826B,2.815B,2.623B,2.573B,2.524B,2.299B,2.130B,2.218B,2.240B,2.120B,2.049B,2.173B,2.312B,2.038B,1.858B,1.882B,1.968B,1.679B,1.664B,1.603B,1.566B,1.453B,1.198B,1.102B,1.020B,1.110B,1.120B,1.123B,1.277B,1.170B,1.127B,1.110B,1.143B,1.079B
Revenue,11.44B,12.56B,12.54B,10.47B,10.74B,11.95B,11.78B,9.968B,10.23B,11.06B,10.75B,9.101B,9.269B,10.48B,10.45B,9.251B,9.502B,11.11B,10.71B,9.388B,9.647B,11.18B,10.62B,8.916B,9.076B,10.49B,9.707B,8.50B,8.602B,9.923B,9.732B,8.413B,8.399B,9.816B,9.153B,7.747B,7.789B,8.95B,8.168B,6.848B,6.805B,7.574B,7.00B,6.684B,6.713B,5.719B,5.499B,4.766B,4.683B,5.227B,5.003B,4.241B,4.246B,4.751B,4.741B,3.719B,4.217B,4.308B,4.249B,3.706B,3.874B,3.871B,3.961B,3.529B,3.831B,3.657B,3.496B,3.155B,3.869B,3.42B,3.474B,3.103B,2.863B,3.398B,3.776B,3.842B,3.911B,3.333B,3.96B,3.713B,3.829B,3.843B,3.504B,3.448B,3.802B,3.761B,3.39B,3.434B,3.553B,3.545B,3.42B,3.197B,3.432B,3.36B,2.964B,2.944B,3.188B,3.216B,2.902B,2.919B,3.157B,3.109B,2.878B,2.952B,3.220B,3.132B,2.927B,2.874B,3.064B,2.826B,2.815B,2.623B,2.573B,2.524B,2.299B,2.130B,2.218B,2.240B,2.120B,2.049B,2.173B,2.312B,2.038B,1.858B,1.882B,1.968B,1.679B,1.664B,1.603B,1.566B,1.453B,1.198B,1.102B,1.020B,1.110B,1.120B,1.123B,1.277B,1.170B,1.127B,1.110B,1.143B,1.079B
Cost of Goods Sold,9.098B,9.474B,9.457B,8.596B,8.765B,9.318B,9.142B,8.287B,8.232B,8.308B,7.871B,7.328B,7.629B,7.521B,7.102B,6.83B,6.99B,7.866B,7.239B,7.102B,9.502B,8.782B,8.164B,7.495B,7.464B,7.935B,7.986B,7.463B,7.393B,7.605B,8.616B,7.247B,13.33B,5.781B,5.548B,4.931B,13.05B,4.675B,4.283B,3.929B,2.351B,4.35B,3.764B,3.355B,4.717B,3.311B,3.062B,2.725B,2.551B,2.458B,2.218B,926.00M,,,,,,,,,,,,,,,,,,1.135B,1.105B,1.083B,,1.059B,1.252B,1.32B,1.14B,822.00M,1.14B,1.049B,1.078B,,934.00M,981.00M,1.214B,,930.00M,990.00M,984.00M,882.00M,1.004B,1.012B,979.00M,898.00M,883.00M,865.00M,874.00M,769.00M,824.00M,882.00M,896.00M,897.00M,857.00M,879.00M,1.206B,1.265B,1.109B,1.214B,1.275B,1.221B,1.156B,1.142B,947.30M,944.80M,946.80M,1.057B,865.50M,1.348B,1.351B,1.276B,1.250B,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,2.341B,3.086B,3.079B,1.876B,1.977B,2.635B,2.633B,1.681B,1.996B,2.753B,2.876B,1.773B,1.64B,2.962B,3.345B,2.421B,2.512B,3.241B,3.468B,2.286B,145.00M,2.396B,2.457B,1.421B,1.612B,2.555B,1.721B,1.037B,1.209B,2.318B,1.116B,1.166B,-4.929B,4.035B,3.605B,2.816B,-5.257B,4.275B,3.885B,2.919B,4.454B,3.224B,3.236B,3.329B,1.996B,2.408B,2.437B,2.041B,2.132B,2.769B,2.785B,3.315B,,,,,,,,,,,,,,,,,,2.285B,2.369B,2.02B,,2.339B,2.524B,2.522B,2.771B,2.511B,2.82B,2.664B,2.751B,,2.57B,2.467B,2.588B,,2.46B,2.444B,2.569B,2.663B,2.416B,2.185B,2.453B,2.462B,2.081B,2.079B,2.314B,2.447B,2.078B,2.037B,2.261B,2.212B,2.021B,2.073B,2.014B,1.867B,1.818B,1.661B,1.789B,1.605B,1.659B,1.481B,1.626B,1.579B,1.352B,1.073B,1.352B,891.50M,769.60M,772.80M,923.20M,,,,,,,,,,,,,,,,,,,,,,
Sales and Marketing Expense,488.00M,539.00M,538.00M,427.00M,468.00M,535.00M,511.00M,427.00M,456.00M,499.00M,467.00M,404.00M,460.00M,466.00M,437.00M,388.00M,402.00M,463.00M,421.00M,386.00M,411.00M,476.00M,440.00M,373.00M,391.00M,447.00M,408.00M,357.00M,377.00M,440.00M,393.00M,380.00M,393.00M,480.00M,440.00M,369.00M,364.00M,404.00M,377.00M,364.00M,336.00M,384.00M,329.00M,356.00M,298.00M,259.00M,248.00M,225.00M,212.00M,248.00M,253.00M,220.00M,,,,,,,,,,,,,,128.00M,124.00M,115.00M,,72.00M,89.00M,107.00M,194.00M,137.00M,144.00M,141.00M,169.00M,239.00M,169.00M,174.00M,203.00M,-9.00M,191.00M,208.00M,,-48.00M,229.00M,235.00M,266.00M,252.00M,250.00M,237.00M,278.00M,277.00M,241.00M,246.00M,278.00M,290.00M,285.00M,298.00M,322.00M,336.00M,300.00M,308.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General and Administrative Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.884B,1.747B,1.727B,,1.854B,1.792B,1.672B,3.282B,1.722B,2.077B,1.706B,2.122B,1.086B,1.092B,1.091B,1.07B,1.109B,1.039B,971.00M,,,,,,,,,,,,,,2.038B,2.073B,2.139B,,319.00M,339.00M,343.00M,7.389B,366.00M,357.00M,348.00M,381.00M,477.00M,344.00M,341.00M,377.00M,6.299B,321.00M,339.00M,,6.058B,352.00M,355.00M,408.00M,382.00M,376.00M,379.00M,399.00M,414.00M,361.00M,400.00M,455.00M,497.00M,459.00M,475.00M,519.00M,517.00M,499.00M,476.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG&A Expense,488.00M,539.00M,538.00M,427.00M,468.00M,535.00M,511.00M,427.00M,456.00M,499.00M,467.00M,404.00M,460.00M,466.00M,437.00M,388.00M,402.00M,463.00M,421.00M,386.00M,411.00M,476.00M,440.00M,373.00M,391.00M,447.00M,408.00M,357.00M,377.00M,440.00M,393.00M,380.00M,-4.965B,2.364B,2.187B,2.096B,-4.954B,2.258B,2.169B,2.036B,3.618B,2.106B,2.406B,2.062B,2.42B,1.345B,1.34B,1.316B,1.282B,1.357B,1.292B,1.191B,1.44B,1.50B,412.00M,553.00M,5.629B,491.00M,497.00M,487.00M,,469.00M,2.053B,2.067B,,2.166B,2.197B,2.254B,,247.00M,250.00M,236.00M,8.427B,229.00M,213.00M,207.00M,212.00M,238.00M,175.00M,167.00M,174.00M,7.59B,130.00M,131.00M,1.818B,7.468B,123.00M,120.00M,142.00M,130.00M,126.00M,142.00M,121.00M,137.00M,120.00M,154.00M,177.00M,207.00M,174.00M,177.00M,197.00M,181.00M,199.00M,168.00M,1.742B,1.732B,1.764B,1.681B,1.776B,1.706B,1.709B,1.580B,1.474B,1.405B,1.352B,1.272B,1.312B,661.80M,607.00M,588.70M,620.80M,,,,,,,,,,,,,,,,,,,,,,
Income Statement Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.00M,291.00M,281.00M,,318.00M,331.00M,324.00M,297.00M,212.00M,297.00M,285.00M,263.00M,,241.00M,233.00M,218.00M,,216.00M,211.00M,198.00M,190.00M,180.00M,174.00M,166.00M,158.00M,156.00M,159.00M,146.00M,199.00M,133.00M,140.00M,150.00M,154.00M,154.00M,172.00M,150.80M,92.40M,232.50M,175.10M,175.30M,164.50M,148.90M,137.70M,125.50M,124.00M,115.90M,112.70M,113.30M,119.40M,114.50M,113.50M,111.80M,,,,,,,,,,,,,,,,,,,,,,
Rent and Landing Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.00M,394.00M,391.00M,,423.00M,425.00M,425.00M,,463.00M,434.00M,437.00M,,249.00M,240.00M,231.00M,235.00M,238.00M,238.00M,260.00M,,,,,,,,,,,,,,,,,,388.00M,390.00M,381.00M,,381.00M,378.00M,386.00M,373.00M,290.00M,373.00M,348.00M,334.00M,,322.00M,310.00M,,,296.00M,290.00M,306.00M,307.00M,298.00M,291.00M,300.00M,277.00M,279.00M,304.00M,322.00M,338.00M,346.00M,342.00M,347.00M,336.00M,344.00M,342.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Income and Charges,,,,,,,,,,,,,,,,,,,,,-67.00M,-570.00M,-30.00M,-67.00M,-160.00M,-106.00M,-34.00M,-102.00M,-228.00M,-161.00M,-193.00M,12.00M,58.00M,-87.00M,-197.00M,-83.00M,86.00M,-594.00M,-211.00M,-122.00M,-1.731B,-299.00M,3.00M,-112.00M,-2.172B,-86.00M,-1.26B,-6.125B,1.211B,0.00,7.00M,29.00M,-7.00M,-31.00M,19.00M,0.00,0.00,0.00,3.00M,-4.00M,147.00M,-25.00M,1.00M,-29.00M,42.00M,9.00M,289.00M,-23.00M,283.00M,-211.00M,-28.00M,-66.00M,243.00M,-120.00M,46.00M,-21.00M,-56.00M,-56.00M,90.00M,-377.00M,117.00M,5.00M,29.00M,19.00M,3.00M,51.00M,2.00M,-3.00M,11.00M,0.00,-50.00M,6.00M,-13.00M,-268.00M,-583.00M,-4.00M,-4.00M,,-10.00M,-1.00M,14.00M,-434.00M,,-104.00M,25.40M,-77.90M,21.20M,38.70M,36.60M,33.70M,8.40M,-27.00M,24.90M,13.50M,14.80M,4.80M,14.20M,17.20M,8.00M,29.30M,20.70M,,,,,,,,,,,,,,,,,,,,,,
