Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1988-06,1987-06,1986-06,1985-06,1984-06
Cash and Equivalents,2.882B,1.899B,2.009B,1.91B,1.565B,1.38B,1.886B,1.447B,1.814B,1.478B,2.241B,1.907B,2.762B,1.638B,1.662B,1.708B,1.972B,2.369B,2.293B,2.122B,2.088B,2.51B,3.362B,2.699B,2.844B,3.018B,2.965B,2.636B,2.416B,2.274B,2.539B,2.911B,2.657B,2.307B,2.855B,2.881B,2.892B,3.436B,4.434B,4.913B,4.607B,5.396B,4.851B,4.441B,4.255B,2.16B,3.239B,2.492B,2.648B,1.623B,1.83B,2.093B,2.034B,2.283B,2.431B,2.429B,,1.361B,1.341B,1.646B,,1.446B,1.966B,2.18B,,2.727B,2.815B,1.857B,,1.657B,1.747B,1.513B,2.21B,2.786B,1.505B,1.172B,1.387B,1.252B,1.19B,1.664B,1.511B,1.124B,979.00M,618.00M,534.00M,1.077B,986.00M,850.00M,1.151B,662.00M,682.00M,526.00M,882.00M,1.145B,1.056B,881.00M,1.129B,1.233B,766.00M,469.00M,782.00M,1.302B,1.414B,1.096B,1.156B,1.180B,178.70M,310.60M,29.40M,50.40M,54.30M,110.40M,444.60M,763.70M,46.80M,59.10M,32.50M,68.50M,42.90M,72.50M,437.40M,529.70M,822.80M,379.90M,61.30M,37.20M,32.90M
Short Term Investments,,,,,,478.00M,520.00M,523.00M,825.00M,960.00M,747.00M,743.00M,487.00M,1.514B,1.289B,1.206B,1.465B,1.442B,1.494B,1.447B,1.217B,1.852B,719.00M,959.00M,959.00M,959.00M,958.00M,958.00M,958.00M,959.00M,959.00M,959.00M,958.00M,958.00M,967.00M,958.00M,718.00M,439.00M,0.00,0.00,71.00M,92.00M,91.00M,67.00M,212.00M,921.00M,103.00M,103.00M,138.00M,767.00M,1.549B,790.00M,614.00M,525.00M,464.00M,,,0.00,330.00M,169.00M,,,,,,,,,,,0.00,0.00,,5.00M,5.00M,5.00M,478.00M,493.00M,817.00M,653.00M,93.00M,19.00M,34.00M,186.00M,603.00M,557.00M,504.00M,503.00M,504.00M,508.00M,402.00M,504.00M,505.00M,507.00M,504.00M,503.00M,503.00M,529.00M,761.00M,911.00M,906.00M,408.00M,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,2.882B,1.899B,2.009B,1.91B,1.565B,1.858B,2.406B,1.97B,2.639B,2.438B,2.988B,2.65B,3.249B,3.152B,2.951B,2.914B,3.437B,3.811B,3.787B,3.569B,3.305B,4.362B,4.081B,3.658B,3.803B,3.977B,3.923B,3.594B,3.374B,3.233B,3.498B,3.87B,3.615B,3.265B,3.822B,3.839B,3.61B,3.875B,4.434B,4.913B,4.678B,5.488B,4.942B,4.508B,4.467B,3.081B,3.342B,2.595B,2.786B,2.39B,3.379B,2.883B,2.648B,2.808B,2.895B,2.429B,,1.361B,1.671B,1.815B,,1.446B,1.966B,2.18B,,2.727B,2.815B,1.857B,,1.657B,1.747B,1.513B,2.21B,2.791B,1.51B,1.177B,1.865B,1.745B,2.007B,2.317B,1.604B,1.143B,1.013B,804.00M,1.137B,1.634B,1.49B,1.353B,1.655B,1.17B,1.084B,1.03B,1.387B,1.652B,1.56B,1.384B,1.632B,1.762B,1.527B,1.38B,1.688B,1.71B,1.414B,1.096B,1.156B,1.180B,178.70M,310.60M,29.40M,50.40M,54.30M,110.40M,444.60M,763.70M,46.80M,59.10M,32.50M,68.50M,42.90M,72.50M,437.40M,529.70M,822.80M,379.90M,61.30M,37.20M,32.90M
Accounts Receivable,2.854B,2.836B,2.844B,3.154B,2.314B,2.517B,2.427B,2.568B,2.377B,2.399B,2.164B,2.307B,2.064B,1.996B,2.102B,2.179B,2.02B,1.974B,1.966B,2.057B,2.297B,2.135B,2.104B,2.042B,1.609B,1.969B,2.084B,1.994B,1.693B,1.785B,1.828B,1.807B,1.563B,1.816B,1.885B,1.848B,1.456B,1.512B,1.645B,1.533B,1.353B,1.469B,1.41B,1.419B,1.513B,1.24B,1.418B,1.325B,1.066B,1.213B,1.14B,986.00M,915.00M,999.00M,1.03B,1.012B,,1.007B,923.00M,892.00M,,796.00M,823.00M,823.00M,,796.00M,770.00M,359.00M,,530.00M,560.00M,562.00M,368.00M,428.00M,595.00M,590.00M,700.00M,,732.00M,492.00M,,602.00M,,,,938.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Receivables,,,,,,,,,,,,,,,,454.00M,,381.00M,134.00M,383.00M,925.00M,,,,3.00M,,,,,,,,,,,,,,,,,,,404.00M,1.139B,,,,,,,,,,,,,,,,,,,,,8.00M,,8.00M,,283.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Receivables,2.854B,2.836B,2.844B,3.154B,2.314B,2.517B,2.427B,2.568B,2.377B,2.399B,2.164B,2.307B,2.064B,1.996B,2.102B,2.633B,2.02B,2.355B,2.10B,2.44B,3.222B,2.135B,2.104B,2.042B,1.612B,1.969B,2.084B,1.994B,1.693B,1.785B,1.828B,1.807B,1.563B,1.816B,1.885B,1.848B,1.456B,1.512B,1.645B,1.533B,1.353B,1.469B,1.41B,1.823B,2.652B,1.24B,1.418B,1.325B,1.066B,1.213B,1.14B,986.00M,915.00M,999.00M,1.03B,1.012B,,1.007B,923.00M,892.00M,,796.00M,823.00M,823.00M,,804.00M,770.00M,367.00M,,813.00M,560.00M,562.00M,368.00M,428.00M,595.00M,590.00M,700.00M,739.00M,732.00M,492.00M,984.00M,602.00M,968.00M,772.00M,969.00M,938.00M,970.00M,758.00M,1.029B,943.00M,1.034B,951.00M,1.085B,968.00M,1.058B,845.00M,1.015B,755.00M,662.00M,777.00M,883.00M,886.00M,828.50M,961.10M,998.40M,1.025B,949.40M,793.70M,1.084B,1.091B,925.20M,674.60M,818.30M,772.60M,836.40M,556.00M,745.80M,726.10M,785.90M,605.90M,754.20M,752.20M,644.50M,626.10M,425.90M,489.30M,418.00M
Inventories,1.251B,1.072B,1.083B,1.071B,1.055B,1.17B,1.589B,1.146B,1.329B,1.136B,938.00M,855.00M,891.00M,775.00M,795.00M,693.00M,697.00M,695.00M,881.00M,801.00M,852.00M,942.00M,961.00M,948.00M,1.063B,1.032B,962.00M,995.00M,1.023B,403.00M,393.00M,364.00M,535.00M,380.00M,403.00M,349.00M,318.00M,278.00M,285.00M,319.00M,327.00M,356.00M,372.00M,380.00M,388.00M,243.00M,225.00M,263.00M,262.00M,257.00M,246.00M,184.00M,181.00M,178.00M,172.00M,171.00M,,183.00M,219.00M,222.00M,,209.00M,215.00M,208.00M,,197.00M,190.00M,177.00M,,158.00M,181.00M,184.00M,181.00M,,,,,,,,,,,,,,92.00M,90.00M,85.00M,,92.00M,87.00M,68.00M,73.00M,60.00M,67.00M,66.00M,68.00M,66.00M,79.00M,75.00M,67.00M,71.00M,80.50M,84.30M,90.60M,88.10M,89.70M,95.20M,88.50M,82.80M,91.40M,82.30M,70.30M,67.40M,86.10M,81.80M,68.30M,66.10M,64.10M,62.50M,57.00M,52.40M,42.30M,35.50M,35.30M,35.20M
Prepaid Expenses,1.262B,1.137B,1.198B,1.061B,1.406B,1.181B,1.219B,2.04B,1.459B,1.11B,1.087B,1.068B,1.247B,910.00M,1.017B,887.00M,915.00M,816.00M,815.00M,790.00M,701.00M,1.22B,1.221B,1.209B,852.00M,1.355B,1.302B,1.304B,1.344B,1.876B,1.882B,1.475B,1.25B,1.067B,1.179B,1.286B,1.159B,1.071B,859.00M,976.00M,853.00M,780.00M,898.00M,627.00M,637.00M,597.00M,590.00M,774.00M,464.00M,399.00M,420.00M,572.00M,489.00M,875.00M,759.00M,562.00M,,613.00M,605.00M,554.00M,,516.00M,455.00M,463.00M,,338.00M,379.00M,416.00M,,374.00M,325.00M,300.00M,290.00M,566.00M,566.00M,574.00M,516.00M,,557.00M,626.00M,,524.00M,,,,326.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restricted Cash,,,,,,,,,,,,,,,,,,,,,,149.00M,121.00M,125.00M,,213.00M,173.00M,291.00M,375.00M,401.00M,368.00M,375.00M,305.00M,405.00M,432.00M,390.00M,409.00M,418.00M,409.00M,456.00M,423.00M,478.00M,361.00M,387.00M,429.00M,228.00M,517.00M,218.00M,520.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Tax Assets,,,,,,,,,,,,,,,,,,2.71B,2.892B,3.091B,,2.187B,2.029B,1.764B,1.736B,405.00M,451.00M,463.00M,463.00M,465.00M,488.00M,408.00M,461.00M,396.00M,342.00M,281.00M,355.00M,167.00M,236.00M,164.00M,357.00M,291.00M,316.00M,332.00M,401.00M,99.00M,196.00M,154.00M,142.00M,807.00M,731.00M,,402.00M,,,,,,,,,,,,,691.00M,,746.00M,,651.00M,535.00M,557.00M,,345.00M,345.00M,,,356.00M,485.00M,455.00M,416.00M,,420.00M,488.00M,475.00M,464.00M,478.00M,456.00M,437.00M,413.00M,370.00M,353.00M,325.00M,352.00M,210.00M,246.00M,247.00M,234.00M,334.00M,346.00M,341.00M,336.00M,196.30M,177.60M,,,,,,,,,,,,,,,,,,,,,,,
