date,cash_dividend_payout_ratio
"Dec. 31, 2019",-72.05%
"Sept. 30, 2019",-93.36%
"June 30, 2019",-117.7%
"March 31, 2019",-161.2%
"Dec. 31, 2018",-110.7%
"Sept. 30, 2018",-78.26%
"June 30, 2018",-63.03%
"March 31, 2018",-57.63%
"Dec. 31, 2017",-77.96%
"Sept. 30, 2017",-114.2%
"June 30, 2017",-198.5%
"March 31, 2017",-225.4%
"Dec. 31, 2016",-287.2%
"Sept. 30, 2016",-239.1%
"June 30, 2016",-277.4%
"March 31, 2016",-298.7%
"Dec. 31, 2015",484.7%
"Sept. 30, 2015",429.9%
"June 30, 2015",1.27K%
"March 31, 2015",317.3%
"Dec. 31, 2014",271.6%
"Sept. 30, 2014",164.8%
"June 30, 2014",126.4%
"March 31, 2014",149.9%
"Dec. 31, 2013",284.4%
"Sept. 30, 2013",284.2%
"June 30, 2013",575.8%
"March 31, 2013",221.5%
"Dec. 31, 2012",136.3%
"Sept. 30, 2012",213.8%
"June 30, 2012",110.0%
"March 31, 2012",103.3%
"Dec. 31, 2011",88.82%
"Sept. 30, 2011",55.28%
"June 30, 2011",66.29%
"March 31, 2011",75.29%
"Dec. 31, 2010",369.5%
"Sept. 30, 2010",-829.2%
"June 30, 2010",-357.2%
"March 31, 2010",-164.4%
"Dec. 31, 2009",-155.0%
"Sept. 30, 2009",-72.21%
"June 30, 2009",-44.74%
"March 31, 2009",-40.91%
"Dec. 31, 2008",-54.50%
"Sept. 30, 2008",-47.12%
"June 30, 2008",-66.53%
"March 31, 2008",-44.46%
"Dec. 31, 2007",-35.92%
"Sept. 30, 2007",-40.61%
"June 30, 2007",-38.45%
"March 31, 2007",-51.28%
"Dec. 31, 2006",-74.25%
"Sept. 30, 2006",-68.63%
"June 30, 2006",-58.32%
"March 31, 2006",-59.55%
"Dec. 31, 2005",-104.9%
"Sept. 30, 2005",-431.5%
"June 30, 2005",139.8%
"March 31, 2005",84.60%
"Dec. 31, 2004",54.68%
"Sept. 30, 2004",40.50%
"June 30, 2004",42.25%
"March 31, 2004",54.59%
"Dec. 31, 2003",65.05%
"Sept. 30, 2003",43.00%
"June 30, 2003",57.76%
"March 31, 2003",62.83%
"Dec. 31, 2002",207.6%
"Sept. 30, 2002",94.26%
"June 30, 2002",126.7%
"March 31, 2002",160.4%
"Dec. 31, 2001",69.40%
"Sept. 30, 2001",257.7%
"June 30, 2001",-7.03K%
"March 31, 2001",-968.9%
"Dec. 31, 2000",-298.1%
"Sept. 30, 2000",-104.2%
"June 30, 2000",-280.2%
"March 31, 2000",-463.2%
"Dec. 31, 1999",-1.26K%
"Sept. 30, 1999",-18.48K%
"June 30, 1999",-401.2%
"March 31, 1999",188.9%
"Dec. 31, 1998",192.4%
"Sept. 30, 1998",178.6%
"June 30, 1998",115.7%
"March 31, 1998",136.8%
"Dec. 31, 1997",103.7%
"Sept. 30, 1997",90.39%
"June 30, 1997",81.27%
"March 31, 1997",71.70%
"Dec. 31, 1996",68.15%
"Sept. 30, 1996",64.01%
"June 30, 1996",60.71%
"March 31, 1996",78.29%
"Dec. 31, 1995",98.93%
"Sept. 30, 1995",132.5%
"June 30, 1995",177.8%
"March 31, 1995",149.3%
"Dec. 31, 1994",132.6%
