date,sustainable_growth_rate
"Dec. 31, 2019",2.95%
"Sept. 30, 2019",4.14%
"June 30, 2019",3.50%
"March 31, 2019",4.02%
"Dec. 31, 2018",3.57%
"Sept. 30, 2018",3.90%
"June 30, 2018",3.87%
"March 31, 2018",3.14%
"Dec. 31, 2017",4.04%
"Sept. 30, 2017",4.07%
"June 30, 2017",-3.26%
"March 31, 2017",-2.44%
"Dec. 31, 2016",-2.86%
"Sept. 30, 2016",-2.23%
"June 30, 2016",5.03%
"March 31, 2016",4.78%
"Dec. 31, 2015",5.67%
"Sept. 30, 2015",4.20%
"June 30, 2015",4.20%
"March 31, 2015",4.11%
"Dec. 31, 2014",3.84%
"Sept. 30, 2014",4.95%
"June 30, 2014",4.69%
"March 31, 2014",4.47%
"Dec. 31, 2013",3.37%
"Sept. 30, 2013",1.40%
"June 30, 2013",1.84%
"March 31, 2013",2.08%
"Dec. 31, 2012",2.28%
"Sept. 30, 2012",4.24%
"June 30, 2012",7.39%
"March 31, 2012",7.48%
"Dec. 31, 2011",7.40%
"Sept. 30, 2011",6.60%
"June 30, 2011",4.14%
"March 31, 2011",2.73%
"Dec. 31, 2010",2.89%
"Sept. 30, 2010",3.59%
"June 30, 2010",2.81%
"March 31, 2010",4.39%
"Dec. 31, 2009",4.94%
"Sept. 30, 2009",4.64%
"June 30, 2009",4.51%
"March 31, 2009",4.65%
"Dec. 31, 2008",6.76%
"Sept. 30, 2008",7.65%
"June 30, 2008",8.27%
"March 31, 2008",7.54%
"Dec. 31, 2007",4.72%
"Sept. 30, 2007",4.35%
"June 30, 2007",3.01%
"March 31, 2007",3.09%
"Dec. 31, 2006",4.39%
"Sept. 30, 2006",0.97%
"June 30, 2006",2.46%
"March 31, 2006",3.16%
"Dec. 31, 2005",3.02%
"Sept. 30, 2005",6.98%
"June 30, 2005",8.81%
"March 31, 2005",7.36%
"Dec. 31, 2004",6.54%
"Sept. 30, 2004",-4.95%
"June 30, 2004",-8.26%
"March 31, 2004",-7.28%
"Dec. 31, 2003",-9.32%
"Sept. 30, 2003",-10.83%
"June 30, 2003",-9.61%
"March 31, 2003",-11.72%
"Dec. 31, 2002",-11.87%
"Sept. 30, 2002",-0.81%
"June 30, 2002",-0.75%
"March 31, 2002",1.32%
"Dec. 31, 2001",2.36%
"Sept. 30, 2001",-0.93%
"June 30, 2001",-1.69%
"March 31, 2001",-8.00%
"Dec. 31, 2000",-7.47%
"Sept. 30, 2000",-2.46%
"June 30, 2000",-2.39%
"March 31, 2000",2.88%
"Dec. 31, 1999",1.69%
"Sept. 30, 1999",10.34%
"June 30, 1999",8.25%
"March 31, 1999",10.70%
"Dec. 31, 1998",10.83%
"Sept. 30, 1998",2.81%
"June 30, 1998",0.64%
"March 31, 1998",0.75%
"Dec. 31, 1997",1.24%
"Sept. 30, 1997",1.41%
"June 30, 1997",3.01%
"March 31, 1997",2.88%
"Dec. 31, 1996",3.10%
"Sept. 30, 1996",3.13%
"June 30, 1996",3.00%
"March 31, 1996",2.67%
"Dec. 31, 1995",1.97%
"Sept. 30, 1995",1.34%
"June 30, 1995",1.03%
"March 31, 1995",1.22%
"Dec. 31, 1994",1.35%
"Sept. 30, 1994",4.98%
