date,net_income_cs_rev
"Dec. 31, 2019",4.24%
"Sept. 30, 2019",17.00%
"June 30, 2019",12.91%
"March 31, 2019",14.12%
"Dec. 31, 2018",9.56%
"Sept. 30, 2018",13.33%
"June 30, 2018",13.17%
"March 31, 2018",11.22%
"Dec. 31, 2017",10.52%
"Sept. 30, 2017",13.27%
"June 30, 2017",10.49%
"March 31, 2017",15.06%
"Dec. 31, 2016",9.85%
"Sept. 30, 2016",-16.46%
"June 30, 2016",12.90%
"March 31, 2016",12.39%
"Dec. 31, 2015",12.99%
"Sept. 30, 2015",11.70%
"June 30, 2015",11.24%
"March 31, 2015",13.74%
"Dec. 31, 2014",5.00%
"Sept. 30, 2014",11.85%
"June 30, 2014",9.64%
"March 31, 2014",12.05%
"Dec. 31, 2013",10.73%
"Sept. 30, 2013",10.37%
"June 30, 2013",9.44%
"March 31, 2013",9.49%
"Dec. 31, 2012",0.58%
"Sept. 30, 2012",11.72%
"June 30, 2012",10.19%
"March 31, 2012",10.73%
"Dec. 31, 2011",9.03%
"Sept. 30, 2011",21.44%
"June 30, 2011",9.75%
"March 31, 2011",9.49%
"Dec. 31, 2010",5.15%
"Sept. 30, 2010",13.68%
"June 30, 2010",4.05%
"March 31, 2010",9.67%
"Dec. 31, 2009",7.28%
"Sept. 30, 2009",12.52%
"June 30, 2009",9.87%
"March 31, 2009",10.44%
"Dec. 31, 2008",4.73%
"Sept. 30, 2008",8.95%
"June 30, 2008",7.92%
"March 31, 2008",16.56%
"Dec. 31, 2007",7.05%
"Sept. 30, 2007",10.74%
"June 30, 2007",5.72%
"March 31, 2007",8.55%
"Dec. 31, 2006",6.07%
"Sept. 30, 2006",7.37%
"June 30, 2006",5.96%
"March 31, 2006",12.26%
"Dec. 31, 2005",-5.14%
"Sept. 30, 2005",11.63%
"June 30, 2005",7.84%
"March 31, 2005",11.58%
"Dec. 31, 2004",4.80%
"Sept. 30, 2004",14.02%
"June 30, 2004",2.93%
"March 31, 2004",8.38%
"Dec. 31, 2003",-20.84%
"Sept. 30, 2003",6.52%
"June 30, 2003",5.07%
"March 31, 2003",5.23%
"Dec. 31, 2002",-27.51%
"Sept. 30, 2002",11.15%
"June 30, 2002",1.73%
"March 31, 2002",1.35%
"Dec. 31, 2001",-0.15%
"Sept. 30, 2001",2.29%
"June 30, 2001",1.60%
"March 31, 2001",1.87%
"Dec. 31, 2000",-0.84%
"Sept. 30, 2000",9.16%
"June 30, 2000",-0.11%
"March 31, 2000",5.96%
"Dec. 31, 1999",1.26%
"Sept. 30, 1999",11.18%
"June 30, 1999",6.41%
"March 31, 1999",8.91%
"Dec. 31, 1998",7.40%
"Sept. 30, 1998",10.50%
"June 30, 1998",7.58%
"March 31, 1998",9.93%
"Dec. 31, 1997",8.87%
"Sept. 30, 1997",5.76%
"June 30, 1997",8.76%
"March 31, 1997",11.57%
"Dec. 31, 1996",9.16%
"Sept. 30, 1996",10.93%
"June 30, 1996",8.04%
"March 31, 1996",11.86%
"Dec. 31, 1995",9.22%
"Sept. 30, 1995",10.12%
"June 30, 1995",7.39%
"March 31, 1995",10.44%
"Dec. 31, 1994",8.07%
"Sept. 30, 1994",10.09%
"June 30, 1994",7.70%
"March 31, 1994",10.28%
"Dec. 31, 1993",10.87%
"Sept. 30, 1993",-0.72%
"June 30, 1993",7.12%
"March 31, 1993",10.07%
"Dec. 31, 1992",12.07%
"Sept. 30, 1992",8.41%
"June 30, 1992",6.33%
"March 31, 1992",10.04%
"Dec. 31, 1991",9.04%
"Sept. 30, 1991",10.58%
"June 30, 1991",8.24%
"March 31, 1991",11.58%
"Dec. 31, 1990",8.64%
"Sept. 30, 1990",9.69%
"June 30, 1990",8.91%
"March 31, 1990",11.16%
"Dec. 31, 1989",0.00%
"Sept. 30, 1989",12.55%
"June 30, 1989",10.80%
"March 31, 1989",12.65%
"Dec. 31, 1988",13.01%
"Sept. 30, 1988",13.39%
"June 30, 1988",10.77%
"March 31, 1988",14.39%
"Dec. 31, 1987",7.77%
"Sept. 30, 1987",11.75%
"June 30, 1987",10.26%
"March 31, 1987",11.98%
"Dec. 31, 1986",12.61%
"Sept. 30, 1986",10.98%
"June 30, 1986",8.41%
"March 31, 1986",9.85%
"Dec. 31, 1985",11.04%
"Sept. 30, 1985",9.70%
"June 30, 1985",7.85%
"March 31, 1985",11.19%
"Dec. 31, 1984",9.92%
"Sept. 30, 1984",9.77%
"June 30, 1984",8.33%
"March 31, 1984",11.23%
