date,dividend_yield
"March 19, 2020",3.39%
"March 18, 2020",3.10%
"March 17, 2020",3.00%
"March 16, 2020",3.36%
"March 13, 2020",3.17%
"March 12, 2020",3.32%
"March 11, 2020",3.05%
"March 10, 2020",2.89%
"March 9, 2020",2.89%
"March 6, 2020",2.80%
"March 5, 2020",2.77%
"March 4, 2020",2.74%
"March 3, 2020",2.87%
"March 2, 2020",2.88%
"Feb. 28, 2020",3.07%
"Feb. 27, 2020",2.98%
"Feb. 26, 2020",2.81%
"Feb. 25, 2020",2.79%
"Feb. 24, 2020",2.74%
"Feb. 21, 2020",2.69%
"Feb. 20, 2020",2.68%
"Feb. 19, 2020",2.65%
"Feb. 18, 2020",2.63%
"Feb. 14, 2020",2.64%
"Feb. 13, 2020",2.66%
"Feb. 12, 2020",2.69%
"Feb. 11, 2020",2.68%
"Feb. 10, 2020",2.69%
"Feb. 7, 2020",2.70%
"Feb. 6, 2020",2.65%
"Feb. 5, 2020",2.65%
"Feb. 4, 2020",2.63%
"Feb. 3, 2020",2.60%
"Jan. 31, 2020",2.60%
"Jan. 30, 2020",2.60%
"Jan. 29, 2020",2.64%
"Jan. 28, 2020",2.65%
"Jan. 27, 2020",2.66%
"Jan. 24, 2020",2.65%
"Jan. 23, 2020",2.68%
"Jan. 22, 2020",2.71%
"Jan. 21, 2020",2.73%
"Jan. 17, 2020",2.75%
"Jan. 16, 2020",2.78%
"Jan. 15, 2020",2.81%
"Jan. 14, 2020",2.85%
"Jan. 13, 2020",2.86%
"Jan. 10, 2020",2.87%
"Jan. 9, 2020",2.89%
"Jan. 8, 2020",2.90%
"Jan. 7, 2020",2.89%
"Jan. 6, 2020",2.89%
"Jan. 3, 2020",2.90%
"Jan. 2, 2020",2.90%
"Dec. 31, 2019",2.87%
"Dec. 30, 2019",2.88%
"Dec. 27, 2019",2.88%
"Dec. 26, 2019",2.89%
"Dec. 24, 2019",2.89%
"Dec. 23, 2019",2.89%
"Dec. 20, 2019",2.86%
"Dec. 19, 2019",2.88%
"Dec. 18, 2019",2.89%
"Dec. 17, 2019",2.91%
"Dec. 16, 2019",2.91%
"Dec. 13, 2019",2.94%
"Dec. 12, 2019",2.97%
"Dec. 11, 2019",2.94%
"Dec. 10, 2019",2.95%
"Dec. 9, 2019",2.95%
