date,six_month_return
"March 19, 2020",-52.44%
"March 18, 2020",-62.07%
"March 17, 2020",-51.29%
"March 16, 2020",-50.13%
"March 13, 2020",-39.53%
"March 12, 2020",-44.88%
"March 11, 2020",-27.86%
"March 10, 2020",-20.90%
"March 9, 2020",-29.76%
"March 6, 2020",-15.56%
"March 5, 2020",-9.01%
"March 4, 2020",-7.10%
"March 3, 2020",-9.25%
"March 2, 2020",-9.44%
"Feb. 28, 2020",-12.95%
"Feb. 27, 2020",-11.12%
"Feb. 26, 2020",-4.72%
"Feb. 25, 2020",-4.89%
"Feb. 24, 2020",-0.49%
"Feb. 21, 2020",-0.13%
"Feb. 20, 2020",0.39%
"Feb. 19, 2020",-1.05%
"Feb. 18, 2020",0.62%
"Feb. 14, 2020",1.38%
"Feb. 13, 2020",0.03%
"Feb. 12, 2020",1.57%
"Feb. 11, 2020",0.33%
"Feb. 10, 2020",-1.40%
"Feb. 7, 2020",-1.77%
"Feb. 6, 2020",-3.39%
"Feb. 5, 2020",0.63%
"Feb. 4, 2020",-4.82%
"Feb. 3, 2020",-5.30%
"Jan. 31, 2020",-7.93%
"Jan. 30, 2020",-6.96%
"Jan. 29, 2020",-6.77%
"Jan. 28, 2020",-8.10%
"Jan. 27, 2020",-6.68%
"Jan. 24, 2020",-6.19%
"Jan. 23, 2020",-4.63%
"Jan. 22, 2020",-5.05%
"Jan. 21, 2020",-3.11%
"Jan. 17, 2020",-1.81%
"Jan. 16, 2020",-4.23%
"Jan. 15, 2020",-3.07%
"Jan. 14, 2020",-1.68%
"Jan. 13, 2020",-3.46%
"Jan. 10, 2020",-3.19%
"Jan. 9, 2020",-3.06%
"Jan. 8, 2020",-2.72%
"Jan. 7, 2020",-2.99%
"Jan. 6, 2020",-3.15%
"Jan. 3, 2020",-3.31%
"Jan. 2, 2020",-3.32%
"Dec. 31, 2019",-2.17%
"Dec. 30, 2019",-2.69%
"Dec. 27, 2019",-2.19%
"Dec. 26, 2019",0.00%
"Dec. 24, 2019",-0.06%
