date,ytd_return
"March 19, 2020",-50.98%
"March 18, 2020",-61.01%
"March 17, 2020",-49.90%
"March 16, 2020",-49.22%
"March 13, 2020",-37.91%
"March 12, 2020",-43.53%
"March 11, 2020",-26.31%
"March 10, 2020",-18.76%
"March 9, 2020",-28.10%
"March 6, 2020",-14.18%
"March 5, 2020",-8.59%
"March 4, 2020",-6.37%
"March 3, 2020",-8.33%
"March 2, 2020",-7.16%
"Feb. 28, 2020",-11.67%
"Feb. 27, 2020",-10.69%
"Feb. 26, 2020",-3.66%
"Feb. 25, 2020",-4.08%
"Feb. 24, 2020",0.36%
"Feb. 21, 2020",1.44%
"Feb. 20, 2020",0.36%
"Feb. 19, 2020",-1.05%
"Feb. 18, 2020",0.07%
"Feb. 14, 2020",1.11%
"Feb. 13, 2020",1.05%
"Feb. 12, 2020",1.57%
"Feb. 11, 2020",0.42%
"Feb. 10, 2020",-1.31%
"Feb. 7, 2020",1.70%
"Feb. 6, 2020",2.45%
"Feb. 5, 2020",4.05%
"Feb. 4, 2020",3.86%
"Feb. 3, 2020",3.33%
"Jan. 31, 2020",1.67%
"Jan. 30, 2020",2.71%
"Jan. 29, 2020",3.50%
"Jan. 28, 2020",1.60%
"Jan. 27, 2020",3.17%
"Jan. 24, 2020",3.07%
"Jan. 23, 2020",4.93%
"Jan. 22, 2020",4.44%
"Jan. 21, 2020",5.72%
"Jan. 17, 2020",6.47%
"Jan. 16, 2020",5.00%
"Jan. 15, 2020",5.23%
"Jan. 14, 2020",4.93%
"Jan. 13, 2020",3.04%
"Jan. 10, 2020",2.29%
"Jan. 9, 2020",2.42%
"Jan. 8, 2020",2.97%
"Jan. 7, 2020",2.71%
"Jan. 6, 2020",2.55%
"Jan. 3, 2020",1.24%
"Jan. 2, 2020",0.72%
"Dec. 31, 2019",12.54%
"Dec. 30, 2019",11.95%
"Dec. 27, 2019",13.09%
"Dec. 26, 2019",13.68%
"Dec. 24, 2019",14.38%
"Dec. 23, 2019",13.57%
"Dec. 20, 2019",12.06%
"Dec. 19, 2019",14.05%
"Dec. 18, 2019",14.56%
"Dec. 17, 2019",14.42%
"Dec. 16, 2019",13.31%
"Dec. 13, 2019",12.84%
"Dec. 12, 2019",11.11%
"Dec. 11, 2019",10.37%
"Dec. 10, 2019",11.59%
"Dec. 9, 2019",12.17%
"Dec. 6, 2019",11.22%
"Dec. 5, 2019",10.89%
"Dec. 4, 2019",11.47%
"Dec. 3, 2019",12.98%
"Dec. 2, 2019",12.76%
"Nov. 29, 2019",14.56%
"Nov. 27, 2019",12.91%
"Nov. 26, 2019",14.56%
"Nov. 25, 2019",15.19%
"Nov. 22, 2019",15.01%
"Nov. 21, 2019",16.37%
"Nov. 20, 2019",15.85%
"Nov. 19, 2019",14.93%
"Nov. 18, 2019",15.92%
"Nov. 15, 2019",18.98%
"Nov. 14, 2019",16.73%
"Nov. 13, 2019",16.92%
"Nov. 12, 2019",15.19%
"Nov. 11, 2019",16.81%
"Nov. 8, 2019",17.10%
"Nov. 7, 2019",19.20%
"Nov. 6, 2019",20.63%
"Nov. 5, 2019",18.68%
"Nov. 4, 2019",21.37%
"Nov. 1, 2019",24.57%
"Oct. 31, 2019",23.61%
"Oct. 30, 2019",22.77%
"Oct. 29, 2019",21.70%
"Oct. 28, 2019",20.56%
"Oct. 25, 2019",20.41%
"Oct. 24, 2019",20.19%
"Oct. 23, 2019",20.41%
"Oct. 22, 2019",18.83%
"Oct. 21, 2019",19.09%
"Oct. 18, 2019",19.53%
"Oct. 17, 2019",18.21%
"Oct. 16, 2019",16.81%
"Oct. 15, 2019",17.10%
"Oct. 14, 2019",16.26%
"Oct. 11, 2019",15.92%
"Oct. 10, 2019",14.86%
"Oct. 9, 2019",14.45%
"Oct. 8, 2019",15.96%
"Oct. 7, 2019",15.15%
"Oct. 4, 2019",14.93%
"Oct. 3, 2019",14.38%
"Oct. 2, 2019",14.01%
"Oct. 1, 2019",14.49%
"Sept. 30, 2019",15.67%
"Sept. 27, 2019",16.11%
"Sept. 26, 2019",14.34%
"Sept. 25, 2019",15.12%
"Sept. 24, 2019",16.44%
"Sept. 23, 2019",17.62%
"Sept. 20, 2019",17.47%
"Sept. 19, 2019",16.00%
"Sept. 18, 2019",15.67%
