date,total_long_term_debt
"Dec. 31, 2019",3.071B
"Sept. 30, 2019",3.073B
"June 30, 2019",3.001B
"March 31, 2019",3.035B
"Dec. 31, 2018",2.985B
"Sept. 30, 2018",2.779B
"June 30, 2018",2.607B
"March 31, 2018",2.288B
"Dec. 31, 2017",4.29B
"Sept. 30, 2017",4.188B
"June 30, 2017",4.367B
"March 31, 2017",4.30B
"Dec. 31, 2016",4.514B
"Sept. 30, 2016",4.478B
"June 30, 2016",4.195B
"March 31, 2016",4.198B
"Dec. 31, 2015",1.958B
"Sept. 30, 2015",2.457B
"June 30, 2015",1.708B
"March 31, 2015",869.94M
"Dec. 31, 2014",1.106B
"Sept. 30, 2014",273.56M
"June 30, 2014",236.30M
"March 31, 2014",234.07M
"Dec. 31, 2013",186.15M
"Sept. 30, 2013",184.75M
"June 30, 2013",181.75M
"March 31, 2013",181.76M
"Dec. 31, 2012",184.86M
"Sept. 30, 2012",181.77M
"June 30, 2012",1.11M
"March 31, 2012",1.116M
"Dec. 31, 2011",1.12M
"Sept. 30, 2011",0.00
"June 30, 2011",0.00
"March 31, 2011",0.00
