date,three_year_return
"March 19, 2020",-26.17%
"March 18, 2020",-30.01%
"March 17, 2020",-18.17%
"March 16, 2020",-19.06%
"March 13, 2020",-6.15%
"March 12, 2020",-8.60%
"March 11, 2020",-4.13%
"March 10, 2020",6.45%
"March 9, 2020",3.06%
"March 6, 2020",13.27%
"March 5, 2020",12.55%
"March 4, 2020",23.77%
"March 3, 2020",17.97%
"March 2, 2020",18.97%
"Feb. 28, 2020",16.03%
"Feb. 27, 2020",17.17%
"Feb. 26, 2020",23.05%
"Feb. 25, 2020",23.43%
"Feb. 24, 2020",30.34%
"Feb. 21, 2020",34.68%
"Feb. 20, 2020",33.66%
"Feb. 19, 2020",34.36%
"Feb. 18, 2020",34.89%
"Feb. 14, 2020",37.55%
"Feb. 13, 2020",36.64%
"Feb. 12, 2020",39.74%
"Feb. 11, 2020",39.80%
"Feb. 10, 2020",40.97%
"Feb. 7, 2020",40.97%
"Feb. 6, 2020",41.13%
"Feb. 5, 2020",41.93%
"Feb. 4, 2020",39.53%
"Feb. 3, 2020",36.75%
"Jan. 31, 2020",36.96%
"Jan. 30, 2020",41.06%
"Jan. 29, 2020",39.31%
"Jan. 28, 2020",39.34%
"Jan. 27, 2020",37.68%
"Jan. 24, 2020",37.25%
"Jan. 23, 2020",39.39%
"Jan. 22, 2020",38.81%
"Jan. 21, 2020",39.43%
"Jan. 17, 2020",40.40%
"Jan. 16, 2020",39.31%
"Jan. 15, 2020",37.87%
"Jan. 14, 2020",37.49%
"Jan. 13, 2020",37.95%
"Jan. 10, 2020",36.49%
"Jan. 9, 2020",37.80%
"Jan. 8, 2020",36.31%
"Jan. 7, 2020",36.11%
"Jan. 6, 2020",36.54%
"Jan. 3, 2020",38.37%
"Jan. 2, 2020",39.70%
"Dec. 31, 2019",36.62%
"Dec. 30, 2019",36.73%
"Dec. 27, 2019",35.41%
"Dec. 26, 2019",36.20%
"Dec. 24, 2019",35.17%
"Dec. 23, 2019",35.40%
"Dec. 20, 2019",35.10%
"Dec. 19, 2019",34.19%
"Dec. 18, 2019",36.11%
"Dec. 17, 2019",36.95%
"Dec. 16, 2019",37.73%
"Dec. 13, 2019",35.14%
"Dec. 12, 2019",35.35%
"Dec. 11, 2019",34.14%
"Dec. 10, 2019",32.41%
"Dec. 9, 2019",33.18%
"Dec. 6, 2019",36.82%
"Dec. 5, 2019",35.23%
"Dec. 4, 2019",33.54%
"Dec. 3, 2019",32.81%
"Dec. 2, 2019",33.98%
"Nov. 29, 2019",36.29%
"Nov. 27, 2019",36.81%
"Nov. 26, 2019",36.16%
"Nov. 25, 2019",35.61%
"Nov. 22, 2019",38.11%
"Nov. 21, 2019",37.86%
"Nov. 20, 2019",37.70%
"Nov. 19, 2019",39.31%
"Nov. 18, 2019",40.01%
"Nov. 15, 2019",38.71%
"Nov. 14, 2019",37.32%
"Nov. 13, 2019",36.24%
"Nov. 12, 2019",36.31%
"Nov. 11, 2019",36.16%
"Nov. 8, 2019",44.03%
"Nov. 7, 2019",44.33%
"Nov. 6, 2019",46.36%
"Nov. 5, 2019",45.91%
"Nov. 4, 2019",45.57%
"Nov. 1, 2019",43.79%
"Oct. 31, 2019",40.49%
"Oct. 30, 2019",41.24%
"Oct. 29, 2019",39.43%
"Oct. 28, 2019",40.46%
"Oct. 25, 2019",41.04%
"Oct. 24, 2019",44.13%
"Oct. 23, 2019",41.80%
"Oct. 22, 2019",43.32%
"Oct. 21, 2019",40.21%
"Oct. 18, 2019",36.81%
"Oct. 17, 2019",38.57%
"Oct. 16, 2019",36.49%
"Oct. 15, 2019",35.93%
"Oct. 14, 2019",35.70%
"Oct. 11, 2019",37.85%
"Oct. 10, 2019",33.95%
"Oct. 9, 2019",31.20%
"Oct. 8, 2019",30.04%
"Oct. 7, 2019",31.92%
"Oct. 4, 2019",31.33%
"Oct. 3, 2019",28.10%
"Oct. 2, 2019",28.42%
"Oct. 1, 2019",31.68%
"Sept. 30, 2019",34.37%
"Sept. 27, 2019",33.26%
"Sept. 26, 2019",34.53%
"Sept. 25, 2019",33.41%
"Sept. 24, 2019",32.10%
"Sept. 23, 2019",32.28%
"Sept. 20, 2019",35.25%
"Sept. 19, 2019",36.93%
"Sept. 18, 2019",37.52%
"Sept. 17, 2019",37.07%
"Sept. 16, 2019",37.94%
