date,revenues_growth
"Dec. 31, 2019",8.35%
"Sept. 30, 2019",18.09%
"June 30, 2019",17.53%
"March 31, 2019",20.49%
"Dec. 31, 2018",15.08%
"Sept. 30, 2018",9.61%
"June 30, 2018",9.33%
"March 31, 2018",10.33%
"Dec. 31, 2017",6.96%
"Sept. 30, 2017",4.93%
"June 30, 2017",2.73%
"March 31, 2017",3.43%
"Dec. 31, 2016",2.51%
"Sept. 30, 2016",4.10%
"June 30, 2016",1.25%
"March 31, 2016",0.28%
"Dec. 31, 2015",-4.54%
"Sept. 30, 2015",-5.65%
"June 30, 2015",-14.55%
"March 31, 2015",-9.66%
"Dec. 31, 2014",39.57%
"Sept. 30, 2014",-5.49%
"June 30, 2014",7.40%
"March 31, 2014",2.40%
"Dec. 31, 2013",-34.73%
"Sept. 30, 2013",2.79%
"June 30, 2013",15.93%
"March 31, 2013",15.97%
"Dec. 31, 2012",14.37%
"Sept. 30, 2012",5.67%
"June 30, 2012",-4.58%
"March 31, 2012",-2.08%
"Dec. 31, 2011",12.21%
"Sept. 30, 2011",4.52%
"June 30, 2011",4.83%
"March 31, 2011",5.32%
"Dec. 31, 2010",-5.82%
"Sept. 30, 2010",1.83%
"June 30, 2010",4.59%
"March 31, 2010",-1.71%
"Dec. 31, 2009",-7.89%
"Sept. 30, 2009",-11.34%
"June 30, 2009",-17.24%
"March 31, 2009",-12.24%
"Dec. 31, 2008",0.38%
"Sept. 30, 2008",8.81%
"June 30, 2008",14.67%
"March 31, 2008",13.68%
"Dec. 31, 2007",15.07%
"Sept. 30, 2007",13.98%
"June 30, 2007",13.37%
"March 31, 2007",15.67%
"Dec. 31, 2006",13.55%
"Sept. 30, 2006",11.54%
"June 30, 2006",9.97%
"March 31, 2006",12.84%
"Dec. 31, 2005",8.44%
"Sept. 30, 2005",16.77%
"June 30, 2005",15.90%
"March 31, 2005",8.80%
"Dec. 31, 2004",20.92%
"Sept. 30, 2004",17.41%
"June 30, 2004",23.52%
"March 31, 2004",29.01%
"Dec. 31, 2003",19.03%
"Sept. 30, 2003",8.97%
"June 30, 2003",6.36%
"March 31, 2003",5.15%
"Dec. 31, 2002",3.46%
"Sept. 30, 2002",5.48%
"June 30, 2002",-0.11%
"March 31, 2002",-4.45%
"Dec. 31, 2001",-1.30%
"Sept. 30, 2001",9.17%
"June 30, 2001",6.71%
"March 31, 2001",5.77%
"Dec. 31, 2000",10.23%
"Sept. 30, 2000",4.47%
"June 30, 2000",14.82%
"March 31, 2000",17.19%
"Dec. 31, 1999",6.67%
"Sept. 30, 1999",6.27%
"June 30, 1999",2.33%
"March 31, 1999",3.10%
"Dec. 31, 1998",114.0%
"Sept. 30, 1998",-3.81%
"June 30, 1998",-9.08%
"March 31, 1998",-11.32%
"Dec. 31, 1997",-49.22%
"Sept. 30, 1997",0.47%
"June 30, 1997",7.16%
"March 31, 1997",10.06%
"Dec. 31, 1996",-6.71%
"Sept. 30, 1996",5.42%
"June 30, 1996",3.95%
"March 31, 1996",0.56%
"Dec. 31, 1995",5.57%
"Sept. 30, 1995",9.13%
"June 30, 1995",8.82%
"March 31, 1995",12.08%
"Dec. 31, 1994",3.08%
"Sept. 30, 1994",1.56%
"June 30, 1994",-3.67%
"March 31, 1994",0.42%
"Dec. 31, 1993",1.55%
"Sept. 30, 1993",-5.93%
"June 30, 1993",-3.97%
"March 31, 1993",-8.54%
"Dec. 31, 1992",-0.40%
"Sept. 30, 1992",1.92%
"June 30, 1992",6.68%
"March 31, 1992",7.55%
"Dec. 31, 1991",-9.42%
"Sept. 30, 1991",-1.36%
"June 30, 1991",-5.50%
"March 31, 1991",1.54%
"Dec. 31, 1990",15.02%
"Sept. 30, 1990",13.51%
"June 30, 1990",7.89%
"March 31, 1990",5.96%
"Dec. 31, 1989",-0.10%
"Sept. 30, 1989",8.12%
"June 30, 1989",20.96%
"March 31, 1989",8.65%
"Dec. 31, 1988",9.28%
"Sept. 30, 1988",3.40%
"June 30, 1988",1.75%
"March 31, 1988",4.37%
"Dec. 31, 1987",7.58%
"Sept. 30, 1987",9.46%
"June 30, 1987",6.96%
"March 31, 1987",12.39%
"Dec. 31, 1986",4.73%
"Sept. 30, 1986",12.79%
"June 30, 1986",6.26%
"March 31, 1986",-2.86%
"Dec. 31, 1985",-3.97%
"Sept. 30, 1985",-12.20%
"June 30, 1985",-9.76%
"March 31, 1985",-7.31%
