date,eps_growth
"June 30, 2019",-23.64%
"March 31, 2019",-8.70%
"Dec. 31, 2018",43.08%
"Sept. 30, 2018",876.0%
"June 30, 2018",66.67%
"March 31, 2018",513.3%
"Dec. 31, 2017",
"Sept. 30, 2017",
"June 30, 2017",
"March 31, 2017",50.00%
"Dec. 31, 2016",
"Sept. 30, 2016",
"June 30, 2016",
"March 31, 2016",
"Dec. 31, 2015",
"Sept. 30, 2015",
"June 30, 2015",-87.36%
"March 31, 2015",
"Dec. 31, 2014",
"Sept. 30, 2014",-20.92%
"June 30, 2014",10.98%
"March 31, 2014",4.17%
"Dec. 31, 2013",385.7%
"Sept. 30, 2013",15.98%
"June 30, 2013",0.00%
"March 31, 2013",-12.50%
"Dec. 31, 2012",-79.10%
"Sept. 30, 2012",-22.12%
"June 30, 2012",-26.46%
"March 31, 2012",1.05%
"Dec. 31, 2011",34.90%
"Sept. 30, 2011",48.63%
"June 30, 2011",70.23%
"March 31, 2011",45.04%
"Dec. 31, 2010",29.57%
"Sept. 30, 2010",28.07%
"June 30, 2010",55.95%
"March 31, 2010",191.1%
"Dec. 31, 2009",109.1%
"Sept. 30, 2009",-58.99%
"June 30, 2009",-69.78%
"March 31, 2009",-79.73%
"Dec. 31, 2008",-68.57%
"Sept. 30, 2008",75.95%
"June 30, 2008",65.48%
"March 31, 2008",55.24%
"Dec. 31, 2007",60.55%
"Sept. 30, 2007",16.18%
"June 30, 2007",69.70%
"March 31, 2007",0.00%
"Dec. 31, 2006",-22.97%
"Sept. 30, 2006",-35.85%
"June 30, 2006",-47.48%
"March 31, 2006",37.50%
"Dec. 31, 2005",174.8%
"Sept. 30, 2005",125.5%
"June 30, 2005",158.2%
"March 31, 2005",69.11%
"Dec. 31, 2004",3.00%
"Sept. 30, 2004",64.91%
"June 30, 2004",50.52%
"March 31, 2004",44.71%
"Dec. 31, 2003",17.65%
"Sept. 30, 2003",7.55%
"June 30, 2003",53.97%
"March 31, 2003",1.11K%
"Dec. 31, 2002",
"Sept. 30, 2002",-10.17%
"June 30, 2002",-50.00%
"March 31, 2002",-94.62%
"Dec. 31, 2001",
"Sept. 30, 2001",8.26%
"June 30, 2001",-17.65%
"March 31, 2001",75.68%
"Dec. 31, 2000",-15.89%
"Sept. 30, 2000",211.4%
"June 30, 2000",7.55K%
"March 31, 2000",
"Dec. 31, 1999",
"Sept. 30, 1999",600.0%
"June 30, 1999",-95.92%
"March 31, 1999",
"Dec. 31, 1998",
"Sept. 30, 1998",-86.84%
"June 30, 1998",25.64%
"March 31, 1998",-46.74%
"Dec. 31, 1997",
"Sept. 30, 1997",-9.52%
"June 30, 1997",0.00%
"March 31, 1997",318.2%
"Dec. 31, 1996",
"Sept. 30, 1996",16.67%
"June 30, 1996",-20.41%
"March 31, 1996",-77.55%
"Dec. 31, 1995",
"Sept. 30, 1995",3.50K%
"June 30, 1995",
"March 31, 1995",
"Dec. 31, 1994",
"Sept. 30, 1994",-95.00%
"June 30, 1994",
"March 31, 1994",
"Dec. 31, 1993",
"Sept. 30, 1993",0.00%
"June 30, 1993",-16.00%
"March 31, 1993",-35.90%
"Dec. 31, 1992",
"Sept. 30, 1992",-64.29%
"June 30, 1992",-48.98%
"March 31, 1992",44.44%
"Dec. 31, 1991",
"Sept. 30, 1991",51.35%
"June 30, 1991",113.0%
"March 31, 1991",-28.95%
"Dec. 31, 1990",
"Sept. 30, 1990",54.17%
"June 30, 1990",-25.81%
"March 31, 1990",40.74%
"Dec. 31, 1989",
"Sept. 30, 1989",-38.46%
"June 30, 1989",-20.51%
"March 31, 1989",-47.06%
"Dec. 31, 1988",
"Sept. 30, 1988",95.00%
"June 30, 1988",69.57%
"March 31, 1988",34.21%
"Dec. 31, 1987",
"Sept. 30, 1987",66.67%
"June 30, 1987",91.67%
"March 31, 1987",-17.39%
"Dec. 31, 1986",
"Sept. 30, 1986",-90.91%
"June 30, 1986",-82.09%
"March 31, 1986",283.3%
"Dec. 31, 1985",
"Sept. 30, 1985",46.67%
"June 30, 1985",8.06%
"March 31, 1985",-45.45%
