date,cash_dividend_payout_ratio
"Dec. 31, 2019",355.6%
"Sept. 30, 2019",108.4%
"June 30, 2019",89.76%
"March 31, 2019",98.88%
"Dec. 31, 2018",88.12%
"Sept. 30, 2018",133.3%
"June 30, 2018",270.1%
"March 31, 2018",162.1%
"Dec. 31, 2017",185.9%
"Sept. 30, 2017",202.0%
"June 30, 2017",228.7%
"March 31, 2017",504.1%
"Dec. 31, 2016",417.5%
"Sept. 30, 2016",636.6%
"June 30, 2016",1.73K%
"March 31, 2016",-206.2%
"Dec. 31, 2015",-90.09%
"Sept. 30, 2015",-111.4%
"June 30, 2015",-180.0%
"March 31, 2015",1.10K%
"Dec. 31, 2014",82.46%
"Sept. 30, 2014",47.36%
"June 30, 2014",40.27%
"March 31, 2014",35.45%
"Dec. 31, 2013",27.88%
"Sept. 30, 2013",32.43%
"June 30, 2013",40.26%
"March 31, 2013",47.06%
"Dec. 31, 2012",61.90%
"Sept. 30, 2012",86.73%
"June 30, 2012",52.31%
"March 31, 2012",35.55%
"Dec. 31, 2011",30.15%
"Sept. 30, 2011",26.72%
"June 30, 2011",23.87%
"March 31, 2011",23.70%
"Dec. 31, 2010",20.60%
"Sept. 30, 2010",20.48%
"June 30, 2010",21.84%
"March 31, 2010",24.86%
"Dec. 31, 2009",42.12%
"Sept. 30, 2009",-48.73%
"June 30, 2009",-70.71%
"March 31, 2009",147.6%
"Dec. 31, 2008",82.98%
"Sept. 30, 2008",17.65%
"June 30, 2008",23.12%
"March 31, 2008",64.39%
"Dec. 31, 2007",39.93%
"Sept. 30, 2007",-380.1%
"June 30, 2007",265.4%
"March 31, 2007",293.2%
"Dec. 31, 2006",78.68%
"Sept. 30, 2006",37.27%
"June 30, 2006",38.71%
"March 31, 2006",31.71%
"Dec. 31, 2005",52.73%
"Sept. 30, 2005",14.95%
"June 30, 2005",15.11%
"March 31, 2005",19.34%
"Dec. 31, 2004",19.65%
"Sept. 30, 2004",26.15%
"June 30, 2004",30.22%
"March 31, 2004",23.20%
"Dec. 31, 2003",26.59%
"Sept. 30, 2003",27.91%
"June 30, 2003",32.12%
"March 31, 2003",28.74%
"Dec. 31, 2002",43.40%
"Sept. 30, 2002",64.21%
"June 30, 2002",43.93%
"March 31, 2002",61.31%
"Dec. 31, 2001",29.57%
"Sept. 30, 2001",22.83%
"June 30, 2001",22.87%
"March 31, 2001",20.43%
"Dec. 31, 2000",25.47%
"Sept. 30, 2000",23.92%
"June 30, 2000",29.78%
"March 31, 2000",49.26%
"Dec. 31, 1999",81.94%
"Sept. 30, 1999",10.26%
"June 30, 1999",11.54%
"March 31, 1999",12.76%
"Dec. 31, 1998",-38.93%
"Sept. 30, 1998",-8.84%
"June 30, 1998",-9.26%
"March 31, 1998",-10.04%
"Dec. 31, 1997",-191.0%
"Sept. 30, 1997",155.7%
"June 30, 1997",73.56%
"March 31, 1997",48.10%
"Dec. 31, 1996",44.58%
"Sept. 30, 1996",50.31%
"June 30, 1996",69.48%
"March 31, 1996",68.61%
"Dec. 31, 1995",61.05%
"Sept. 30, 1995",154.2%
"June 30, 1995",133.0%
"March 31, 1995",569.1%
"Dec. 31, 1994",-109.6%
"Sept. 30, 1994",-143.7%
"June 30, 1994",-75.85%
"March 31, 1994",-46.74%
"Dec. 31, 1993",-70.53%
"Sept. 30, 1993",-117.4%
"June 30, 1993",-146.0%
"March 31, 1993",-789.7%
"Dec. 31, 1992",-77.66%
"Sept. 30, 1992",-62.73%
"June 30, 1992",-78.97%
"March 31, 1992",-82.48%
"Dec. 31, 1991",-122.0%
"Sept. 30, 1991",361.4%
"June 30, 1991",-810.3%
"March 31, 1991",-1.38K%
"Dec. 31, 1990",908.8%
