date,revenues_growth
"Dec. 31, 2019",31.92%
"Sept. 30, 2019",9.03%
"June 30, 2019",8.25%
"March 31, 2019",6.40%
"Dec. 31, 2018",36.37%
"Sept. 30, 2018",73.92%
"June 30, 2018",33.43%
"March 31, 2018",27.26%
"Dec. 31, 2017",25.25%
"Sept. 30, 2017",13.26%
"June 30, 2017",20.90%
"March 31, 2017",39.28%
"Dec. 31, 2016",-0.64%
"Sept. 30, 2016",-15.02%
"June 30, 2016",-27.04%
"March 31, 2016",-31.27%
"Dec. 31, 2015",-34.85%
"Sept. 30, 2015",-36.46%
"June 30, 2015",-32.42%
"March 31, 2015",-37.82%
"Dec. 31, 2014",128.2%
"Sept. 30, 2014",-23.96%
"June 30, 2014",-13.90%
"March 31, 2014",-15.40%
"Dec. 31, 2013",-10.10%
"Sept. 30, 2013",8.11%
"June 30, 2013",3.36%
"March 31, 2013",-6.32%
"Dec. 31, 2012",-65.21%
"Sept. 30, 2012",-0.68%
"June 30, 2012",-6.56%
"March 31, 2012",9.47%
"Dec. 31, 2011",19.18%
"Sept. 30, 2011",26.10%
"June 30, 2011",34.11%
"March 31, 2011",24.05%
"Dec. 31, 2010",24.37%
"Sept. 30, 2010",16.06%
"June 30, 2010",23.67%
"March 31, 2010",48.76%
"Dec. 31, 2009",-4.97%
"Sept. 30, 2009",-41.87%
"June 30, 2009",-48.45%
"March 31, 2009",-48.91%
"Dec. 31, 2008",-36.50%
"Sept. 30, 2008",45.84%
"June 30, 2008",63.68%
"March 31, 2008",51.28%
"Dec. 31, 2007",48.69%
"Sept. 30, 2007",9.97%
"June 30, 2007",-1.32%
"March 31, 2007",-9.84%
"Dec. 31, 2006",19.43%
"Sept. 30, 2006",-5.01%
"June 30, 2006",25.53%
"March 31, 2006",33.32%
"Dec. 31, 2005",42.71%
"Sept. 30, 2005",52.48%
"June 30, 2005",29.82%
"March 31, 2005",29.46%
"Dec. 31, 2004",15.64%
"Sept. 30, 2004",29.37%
"June 30, 2004",19.00%
"March 31, 2004",7.28%
"Dec. 31, 2003",15.97%
"Sept. 30, 2003",19.66%
"June 30, 2003",21.83%
"March 31, 2003",55.36%
"Dec. 31, 2002",43.42%
"Sept. 30, 2002",-1.01%
"June 30, 2002",-51.59%
"March 31, 2002",-65.78%
"Dec. 31, 2001",-64.89%
"Sept. 30, 2001",-51.40%
"June 30, 2001",2.82%
"March 31, 2001",70.85%
"Dec. 31, 2000",45.14%
"Sept. 30, 2000",93.09%
"June 30, 2000",130.8%
"March 31, 2000",97.02%
"Dec. 31, 1999",42.87%
"Sept. 30, 1999",27.21%
"June 30, 1999",6.74%
"March 31, 1999",-20.94%
"Dec. 31, 1998",-1.71%
"Sept. 30, 1998",-17.24%
"June 30, 1998",-43.21%
"March 31, 1998",-11.32%
"Dec. 31, 1997",771.2%
"Sept. 30, 1997",-27.96%
"June 30, 1997",10.58%
"March 31, 1997",-24.05%
"Dec. 31, 1996",-49.43%
"Sept. 30, 1996",8.96%
"June 30, 1996",-8.29%
"March 31, 1996",-7.00%
"Dec. 31, 1995",-82.88%
"Sept. 30, 1995",6.36%
"June 30, 1995",23.91%
"March 31, 1995",28.87%
"Dec. 31, 1994",26.93%
"Sept. 30, 1994",25.47%
"June 30, 1994",7.51%
"March 31, 1994",-2.90%
"Dec. 31, 1993",6.54%
"Sept. 30, 1993",-15.52%
"June 30, 1993",-7.58%
"March 31, 1993",0.70%
"Dec. 31, 1992",-27.33%
"Sept. 30, 1992",-2.66%
"June 30, 1992",-56.96%
"March 31, 1992",-59.38%
"Dec. 31, 1991",-56.97%
"Sept. 30, 1991",-56.45%
"June 30, 1991",-1.29%
"March 31, 1991",2.79%
"Dec. 31, 1990",20.08%
"Sept. 30, 1990",10.86%
"June 30, 1990",1.43%
"March 31, 1990",0.31%
"Dec. 31, 1989",-4.45%
"Sept. 30, 1989",-1.77%
"June 30, 1989",6.45%
"March 31, 1989",14.90%
"Dec. 31, 1988",20.39%
"Sept. 30, 1988",16.37%
"June 30, 1988",9.61%
"March 31, 1988",7.67%
"Dec. 31, 1987",5.28%
"Sept. 30, 1987",13.58%
"June 30, 1987",13.09%
"March 31, 1987",14.49%
"Dec. 31, 1986",10.41%
"Sept. 30, 1986",9.88%
"June 30, 1986",4.03%
"March 31, 1986",-1.78%
"Dec. 31, 1985",-4.53%
"Sept. 30, 1985",-12.40%
"June 30, 1985",-1.59%
"March 31, 1985",-3.25%
