date,gross_profit_margin
"Dec. 31, 2019",20.47%
"Sept. 30, 2019",24.57%
"June 30, 2019",24.56%
"March 31, 2019",17.91%
"Dec. 31, 2018",18.40%
"Sept. 30, 2018",22.04%
"June 30, 2018",22.36%
"March 31, 2018",16.86%
"Dec. 31, 2017",19.52%
"Sept. 30, 2017",24.89%
"June 30, 2017",26.76%
"March 31, 2017",19.48%
"Dec. 31, 2016",17.69%
"Sept. 30, 2016",28.26%
"June 30, 2016",32.02%
"March 31, 2016",26.17%
"Dec. 31, 2015",26.44%
"Sept. 30, 2015",29.18%
"June 30, 2015",32.39%
"March 31, 2015",24.35%
"Dec. 31, 2014",1.50%
"Sept. 30, 2014",21.44%
"June 30, 2014",23.13%
"March 31, 2014",15.94%
"Dec. 31, 2013",17.76%
"Sept. 30, 2013",24.36%
"June 30, 2013",17.73%
"March 31, 2013",12.20%
"Dec. 31, 2012",14.05%
"Sept. 30, 2012",23.36%
"June 30, 2012",11.47%
"March 31, 2012",13.86%
"Dec. 31, 2011",-58.69%
"Sept. 30, 2011",41.11%
"June 30, 2011",39.39%
"March 31, 2011",36.35%
"Dec. 31, 2010",-67.49%
"Sept. 30, 2010",47.77%
"June 30, 2010",47.56%
"March 31, 2010",42.63%
"Dec. 31, 2009",65.45%
"Sept. 30, 2009",42.57%
"June 30, 2009",46.23%
"March 31, 2009",49.81%
"Dec. 31, 2008",29.73%
"Sept. 30, 2008",42.11%
"June 30, 2008",44.32%
"March 31, 2008",42.82%
"Dec. 31, 2007",45.53%
"Sept. 30, 2007",52.97%
"June 30, 2007",55.67%
"March 31, 2007",78.17%
"Dec. 31, 2006",
"Sept. 30, 2006",
"June 30, 2006",
"March 31, 2006",
"Dec. 31, 2005",
"Sept. 30, 2005",
"June 30, 2005",
"March 31, 2005",
"Dec. 31, 2004",
"Sept. 30, 2004",
"June 30, 2004",
"March 31, 2004",
"Dec. 31, 2003",
"Sept. 30, 2003",
"June 30, 2003",
"March 31, 2003",
"Dec. 31, 2002",
"Sept. 30, 2002",66.81%
"June 30, 2002",68.19%
"March 31, 2002",65.10%
"Dec. 31, 2001",
"Sept. 30, 2001",68.83%
"June 30, 2001",66.84%
"March 31, 2001",65.64%
"Sept. 30, 2000",70.85%
"June 30, 2000",75.34%
"March 31, 2000",71.21%
"Dec. 31, 1999",71.75%
"Sept. 30, 1999",71.85%
"June 30, 1999",
"March 31, 1999",73.34%
"Dec. 31, 1998",71.55%
"Sept. 30, 1998",68.07%
"June 30, 1998",
"March 31, 1998",72.57%
"Dec. 31, 1997",71.17%
"Sept. 30, 1997",72.31%
"June 30, 1997",75.12%
"March 31, 1997",70.64%
"Dec. 31, 1996",68.35%
"Sept. 30, 1996",71.47%
"June 30, 1996",73.27%
"March 31, 1996",70.21%
"Dec. 31, 1995",70.62%
"Sept. 30, 1995",72.58%
"June 30, 1995",76.09%
"March 31, 1995",71.61%
"Dec. 31, 1994",69.78%
"Sept. 30, 1994",71.62%
"June 30, 1994",71.15%
"March 31, 1994",70.22%
"Dec. 31, 1993",70.22%
"Sept. 30, 1993",62.55%
"June 30, 1993",59.62%
"March 31, 1993",62.12%
"Dec. 31, 1992",57.78%
"Sept. 30, 1992",58.39%
"June 30, 1992",56.79%
"March 31, 1992",58.94%
"Dec. 31, 1991",56.47%
"Sept. 30, 1991",63.18%
"June 30, 1991",62.57%
"March 31, 1991",58.82%
"Dec. 31, 1990",50.36%
"Sept. 30, 1990",60.97%
"June 30, 1990",39.80%
"March 31, 1990",36.30%
"Dec. 31, 1989",37.72%
"Sept. 30, 1989",42.48%
