date,profit_margin
"Dec. 31, 2019",9.60%
"Sept. 30, 2019",11.90%
"June 30, 2019",11.51%
"March 31, 2019",6.97%
"Dec. 31, 2018",9.49%
"Sept. 30, 2018",11.06%
"June 30, 2018",8.80%
"March 31, 2018",5.59%
"Dec. 31, 2017",2.91%
"Sept. 30, 2017",10.48%
"June 30, 2017",11.04%
"March 31, 2017",6.16%
"Dec. 31, 2016",4.79%
"Sept. 30, 2016",12.01%
"June 30, 2016",14.80%
"March 31, 2016",10.23%
"Dec. 31, 2015",10.31%
"Sept. 30, 2015",11.84%
"June 30, 2015",13.87%
"March 31, 2015",7.95%
"Dec. 31, 2014",-7.38%
"Sept. 30, 2014",3.19%
"June 30, 2014",7.54%
"March 31, 2014",2.39%
"Dec. 31, 2013",93.42%
"Sept. 30, 2013",13.05%
"June 30, 2013",7.06%
"March 31, 2013",0.08%
"Dec. 31, 2012",0.07%
"Sept. 30, 2012",10.55%
"June 30, 2012",-1.73%
"March 31, 2012",1.47%
"Dec. 31, 2011",5.06%
"Sept. 30, 2011",5.59%
"June 30, 2011",2.16%
"March 31, 2011",-4.10%
"Dec. 31, 2010",0.24%
"Sept. 30, 2010",4.06%
"June 30, 2010",5.72%
"March 31, 2010",-3.74%
"Dec. 31, 2009",-0.37%
"Sept. 30, 2009",-2.13%
"June 30, 2009",-3.67%
"March 31, 2009",-11.88%
"Dec. 31, 2008",-21.42%
"Sept. 30, 2008",-0.87%
"June 30, 2008",-18.99%
"March 31, 2008",-134.1%
"Dec. 31, 2007",-1.49%
"Sept. 30, 2007",4.21%
"June 30, 2007",31.82%
"March 31, 2007",-3.07%
"Dec. 31, 2006",-46.66%
"Sept. 30, 2006",1.09%
"June 30, 2006",-46.51%
"March 31, 2006",-55.63%
"Dec. 31, 2005",-29.29%
"Sept. 30, 2005",-26.23%
"June 30, 2005",-8.99%
"March 31, 2005",-28.90%
"Dec. 31, 2004",-56.94%
"Sept. 30, 2004",-16.69%
"June 30, 2004",-49.56%
"March 31, 2004",-10.85%
"Dec. 31, 2003",-8.54%
"Sept. 30, 2003",-4.48%
"June 30, 2003",5.26%
"March 31, 2003",-14.77%
"Dec. 31, 2002",-9.38%
"Sept. 30, 2002",-9.53%
"June 30, 2002",-5.35%
"March 31, 2002",-12.79%
"Dec. 31, 2001",-25.64%
"Sept. 30, 2001",-7.62%
"June 30, 2001",-2.38%
"March 31, 2001",-3.46%
"Sept. 30, 2000",5.55%
"June 30, 2000",8.43%
"March 31, 2000",5.63%
"Dec. 31, 1999",9.48%
"Sept. 30, 1999",7.26%
"June 30, 1999",9.47%
"March 31, 1999",6.16%
"Dec. 31, 1998",5.63%
"Sept. 30, 1998",8.60%
"June 30, 1998",9.63%
"March 31, 1998",5.75%
"Dec. 31, 1997",5.53%
"Sept. 30, 1997",7.15%
"June 30, 1997",8.52%
"March 31, 1997",5.53%
"Dec. 31, 1996",3.91%
"Sept. 30, 1996",6.93%
"June 30, 1996",4.82%
"March 31, 1996",-9.31%
"Dec. 31, 1995",2.38%
"Sept. 30, 1995",6.30%
"June 30, 1995",7.80%
"March 31, 1995",-0.38%
"Dec. 31, 1994",-0.62%
"Sept. 30, 1994",5.89%
"June 30, 1994",-8.04%
"March 31, 1994",-2.71%
"Dec. 31, 1993",-4.78%
"Sept. 30, 1993",1.88%
"June 30, 1993",-20.27%
"March 31, 1993",-4.58%
"Dec. 31, 1992",-4.39%
"Sept. 30, 1992",-3.48%
"June 30, 1992",-6.37%
"March 31, 1992",-5.39%
"Dec. 31, 1991",-7.15%
"Sept. 30, 1991",0.51%
"June 30, 1991",0.76%
"March 31, 1991",-3.66%
"Dec. 31, 1990",-9.76%
"Sept. 30, 1990",-2.33%
"June 30, 1990",3.31%
"March 31, 1990",1.48%
"Dec. 31, 1989",3.13%
"Sept. 30, 1989",6.12%
"June 30, 1989",8.25%
"March 31, 1989",4.17%
"Dec. 31, 1988",4.59%
"Sept. 30, 1988",5.31%
"June 30, 1988",5.25%
"March 31, 1988",3.34%
"Dec. 31, 1987",5.31%
"Sept. 30, 1987",3.69%
"June 30, 1987",3.75%
"March 31, 1987",1.82%
"Dec. 31, 1986",10.48%
"Sept. 30, 1986",4.81%
"June 30, 1986",2.18%
"March 31, 1986",-0.58%
"Dec. 31, 1985",0.17%
"Sept. 30, 1985",2.63%
"June 30, 1985",6.59%
"March 31, 1985",3.52%
"Dec. 31, 1984",6.56%
"Sept. 30, 1984",5.42%
"June 30, 1984",6.27%
"March 31, 1984",4.89%
