date,three_year_return
"March 19, 2020",-53.75%
"March 18, 2020",-49.49%
"March 17, 2020",-31.76%
"March 16, 2020",-24.47%
"March 13, 2020",-18.99%
"March 12, 2020",-29.64%
"March 11, 2020",-10.94%
"March 10, 2020",-5.09%
"March 9, 2020",-7.89%
"March 6, 2020",-6.06%
"March 5, 2020",-10.21%
"March 4, 2020",-3.25%
"March 3, 2020",-7.88%
"March 2, 2020",-5.60%
"Feb. 28, 2020",-7.61%
"Feb. 27, 2020",-4.46%
"Feb. 26, 2020",-1.72%
"Feb. 25, 2020",0.85%
"Feb. 24, 2020",7.47%
"Feb. 21, 2020",13.01%
"Feb. 20, 2020",13.96%
"Feb. 19, 2020",14.21%
"Feb. 18, 2020",14.62%
"Feb. 14, 2020",18.13%
"Feb. 13, 2020",18.12%
"Feb. 12, 2020",20.73%
"Feb. 11, 2020",19.08%
"Feb. 10, 2020",17.15%
"Feb. 7, 2020",20.29%
"Feb. 6, 2020",20.56%
"Feb. 5, 2020",23.18%
"Feb. 4, 2020",21.17%
"Feb. 3, 2020",17.21%
"Jan. 31, 2020",17.99%
"Jan. 30, 2020",19.78%
"Jan. 29, 2020",13.98%
"Jan. 28, 2020",15.65%
"Jan. 27, 2020",14.35%
"Jan. 24, 2020",18.95%
"Jan. 23, 2020",23.58%
"Jan. 22, 2020",18.10%
"Jan. 21, 2020",19.49%
"Jan. 17, 2020",23.25%
"Jan. 16, 2020",20.79%
"Jan. 15, 2020",20.28%
"Jan. 14, 2020",19.95%
"Jan. 13, 2020",16.12%
"Jan. 10, 2020",16.32%
"Jan. 9, 2020",18.66%
"Jan. 8, 2020",18.46%
"Jan. 7, 2020",15.96%
"Jan. 6, 2020",16.06%
"Jan. 3, 2020",17.34%
"Jan. 2, 2020",20.02%
"Dec. 31, 2019",18.89%
"Dec. 30, 2019",19.25%
"Dec. 27, 2019",17.32%
"Dec. 26, 2019",19.38%
"Dec. 24, 2019",19.04%
"Dec. 23, 2019",19.14%
"Dec. 20, 2019",16.17%
"Dec. 19, 2019",17.29%
"Dec. 18, 2019",16.79%
"Dec. 17, 2019",17.01%
"Dec. 16, 2019",16.47%
"Dec. 13, 2019",14.24%
"Dec. 12, 2019",13.45%
"Dec. 11, 2019",6.37%
"Dec. 10, 2019",7.24%
"Dec. 9, 2019",7.76%
"Dec. 6, 2019",13.57%
"Dec. 5, 2019",16.85%
"Dec. 4, 2019",16.04%
"Dec. 3, 2019",15.13%
"Dec. 2, 2019",17.47%
"Nov. 29, 2019",17.95%
"Nov. 27, 2019",15.90%
"Nov. 26, 2019",16.69%
"Nov. 25, 2019",14.44%
"Nov. 22, 2019",14.74%
"Nov. 21, 2019",13.78%
"Nov. 20, 2019",13.84%
"Nov. 19, 2019",16.71%
"Nov. 18, 2019",16.73%
"Nov. 15, 2019",19.31%
"Nov. 14, 2019",19.13%
"Nov. 13, 2019",21.82%
"Nov. 12, 2019",23.37%
"Nov. 11, 2019",23.35%
"Nov. 8, 2019",29.31%
"Nov. 7, 2019",30.42%
"Nov. 6, 2019",34.28%
"Nov. 5, 2019",34.12%
"Nov. 4, 2019",32.65%
"Nov. 1, 2019",33.76%
"Oct. 31, 2019",31.86%
"Oct. 30, 2019",33.82%
"Oct. 29, 2019",33.96%
"Oct. 28, 2019",33.45%
"Oct. 25, 2019",32.49%
"Oct. 24, 2019",30.02%
"Oct. 23, 2019",30.70%
"Oct. 22, 2019",32.74%
"Oct. 21, 2019",32.57%
"Oct. 18, 2019",36.42%
"Oct. 17, 2019",35.63%
"Oct. 16, 2019",32.79%
"Oct. 15, 2019",33.97%
"Oct. 14, 2019",32.34%
"Oct. 11, 2019",35.98%
"Oct. 10, 2019",33.52%
"Oct. 9, 2019",38.43%
"Oct. 8, 2019",36.59%
"Oct. 7, 2019",37.00%
"Oct. 4, 2019",34.02%
"Oct. 3, 2019",32.14%
"Oct. 2, 2019",38.08%
"Oct. 1, 2019",44.84%
"Sept. 30, 2019",46.34%
"Sept. 27, 2019",48.64%
"Sept. 26, 2019",54.52%
"Sept. 25, 2019",50.36%
"Sept. 24, 2019",49.56%
"Sept. 23, 2019",49.61%
"Sept. 20, 2019",55.81%
"Sept. 19, 2019",56.22%
"Sept. 18, 2019",61.30%
"Sept. 17, 2019",61.46%
"Sept. 16, 2019",60.65%
"Sept. 13, 2019",59.90%
"Sept. 12, 2019",54.63%
"Sept. 11, 2019",55.71%
"Sept. 10, 2019",55.34%
"Sept. 9, 2019",53.93%
"Sept. 6, 2019",57.47%
"Sept. 5, 2019",56.55%
"Sept. 4, 2019",53.97%
"Sept. 3, 2019",54.13%
"Aug. 30, 2019",55.71%
"Aug. 29, 2019",58.36%
"Aug. 28, 2019",57.05%
