date,operating_margin_ttm
"Dec. 31, 2019",14.08%
"Sept. 30, 2019",13.63%
"June 30, 2019",12.87%
"March 31, 2019",12.10%
"Dec. 31, 2018",11.85%
"Sept. 30, 2018",12.14%
"June 30, 2018",12.81%
"March 31, 2018",13.83%
"Dec. 31, 2017",14.50%
"Sept. 30, 2017",14.60%
"June 30, 2017",15.19%
"March 31, 2017",16.42%
"Dec. 31, 2016",17.73%
"Sept. 30, 2016",19.28%
"June 30, 2016",19.58%
"March 31, 2016",19.58%
"Dec. 31, 2015",19.17%
"Sept. 30, 2015",13.03%
"June 30, 2015",11.04%
"March 31, 2015",8.94%
"Dec. 31, 2014",7.24%
"Sept. 30, 2014",11.42%
"June 30, 2014",12.30%
"March 31, 2014",10.86%
"Dec. 31, 2013",10.07%
"Sept. 30, 2013",9.15%
"June 30, 2013",8.72%
"March 31, 2013",7.02%
"Dec. 31, 2012",7.16%
"Sept. 30, 2012",8.14%
"June 30, 2012",6.53%
"March 31, 2012",7.47%
"Dec. 31, 2011",6.31%
"Sept. 30, 2011",5.23%
"June 30, 2011",6.39%
"March 31, 2011",7.53%
"Dec. 31, 2010",8.40%
"Sept. 30, 2010",12.67%
"June 30, 2010",10.28%
"March 31, 2010",7.61%
"Dec. 31, 2009",8.96%
"Sept. 30, 2009",1.48%
"June 30, 2009",2.81%
"March 31, 2009",5.56%
"Dec. 31, 2008",5.26%
"Sept. 30, 2008",10.31%
"June 30, 2008",11.93%
"March 31, 2008",13.62%
"Dec. 31, 2007",15.86%
"Sept. 30, 2007",13.76%
"June 30, 2007",9.95%
"March 31, 2007",6.77%
"Dec. 31, 2006",0.33%
"Sept. 30, 2006",-3.57%
"June 30, 2006",-6.07%
"March 31, 2006",-9.27%
"Dec. 31, 2005",-12.14%
"Sept. 30, 2005",-22.20%
"June 30, 2005",-23.98%
"March 31, 2005",-25.16%
"Dec. 31, 2004",-21.71%
"Sept. 30, 2004",-9.33%
"June 30, 2004",-7.18%
"March 31, 2004",-4.40%
"Dec. 31, 2003",-5.55%
"Sept. 30, 2003",-64.06%
"June 30, 2003",-46.84%
"March 31, 2003",-29.57%
"Dec. 31, 2002",-9.44%
"Sept. 30, 2002",-16.63%
"June 30, 2002",-17.42%
"March 31, 2002",-15.97%
"Dec. 31, 2001",-11.54%
"Sept. 30, 2001",72.90%
"June 30, 2001",78.80%
"March 31, 2001",78.86%
"Sept. 30, 2000",79.26%
"June 30, 2000",79.70%
"March 31, 2000",15.61%
"Dec. 31, 1999",14.33%
"Sept. 30, 1999",13.33%
"June 30, 1999",-3.38%
"March 31, 1999",-2.34%
"Dec. 31, 1998",-2.99%
"Sept. 30, 1998",-3.03%
"June 30, 1998",11.97%
"March 31, 1998",75.91%
"Dec. 31, 1997",75.72%
"Sept. 30, 1997",75.46%
"June 30, 1997",75.24%
"March 31, 1997",74.74%
"Dec. 31, 1996",74.72%
"Sept. 30, 1996",75.48%
"June 30, 1996",76.37%
"March 31, 1996",76.76%
"Dec. 31, 1995",77.68%
"Sept. 30, 1995",78.00%
"June 30, 1995",78.13%
"March 31, 1995",78.17%
"Dec. 31, 1994",78.21%
"Sept. 30, 1994",77.87%
"June 30, 1994",58.09%
"March 31, 1994",38.15%
"Dec. 31, 1993",18.14%
"Sept. 30, 1993",-1.72%
"June 30, 1993",-4.11%
"March 31, 1993",-6.86%
"Dec. 31, 1992",-7.10%
"Sept. 30, 1992",-7.63%
"June 30, 1992",-6.23%
"March 31, 1992",-3.41%
"Dec. 31, 1991",-2.74%
"Sept. 30, 1991",-3.67%
"June 30, 1991",-4.91%
"March 31, 1991",-4.39%
"Dec. 31, 1990",-2.61%
"Sept. 30, 1990",1.80%
"June 30, 1990",4.89%
"March 31, 1990",-55.35%
"Dec. 31, 1989",-32.67%
"Sept. 30, 1989",-12.08%
"June 30, 1989",8.38%
"March 31, 1989",17.14%
"Dec. 31, 1988",13.12%
"Sept. 30, 1988",10.78%
"June 30, 1988",7.19%
"March 31, 1988",24.56%
"Dec. 31, 1987",21.84%
"Sept. 30, 1987",15.58%
"June 30, 1987",7.62%
"March 31, 1987",7.26%
"Dec. 31, 1986",0.08%
"Sept. 30, 1986",-1.70%
"June 30, 1986",-1.21%
"March 31, 1986",6.73%
"Dec. 31, 1985",7.93%
"Sept. 30, 1985",8.08%
"June 30, 1985",7.81%
"March 31, 1985",10.94%
"Dec. 31, 1984",9.11%
