date,ytd_return
"March 19, 2020",-71.42%
"March 18, 2020",-75.21%
"March 17, 2020",-69.41%
"March 16, 2020",-70.65%
"March 13, 2020",-65.67%
"March 12, 2020",-67.76%
"March 11, 2020",-61.54%
"March 10, 2020",-58.93%
"March 9, 2020",-56.84%
"March 6, 2020",-48.10%
"March 5, 2020",-44.73%
"March 4, 2020",-44.88%
"March 3, 2020",-46.40%
"March 2, 2020",-40.48%
"Feb. 28, 2020",-48.81%
"Feb. 27, 2020",-51.19%
"Feb. 26, 2020",-50.43%
"Feb. 25, 2020",-47.56%
"Feb. 24, 2020",-45.83%
"Feb. 21, 2020",-45.74%
"Feb. 20, 2020",-40.95%
"Feb. 19, 2020",-39.29%
"Feb. 18, 2020",-38.10%
"Feb. 14, 2020",-36.31%
"Feb. 13, 2020",-35.71%
"Feb. 12, 2020",-32.74%
"Feb. 11, 2020",-33.33%
"Feb. 10, 2020",-30.95%
"Feb. 7, 2020",-10.12%
"Feb. 6, 2020",-4.76%
"Feb. 5, 2020",-4.76%
"Feb. 4, 2020",-8.33%
"Feb. 3, 2020",-6.55%
"Jan. 31, 2020",-16.67%
"Jan. 30, 2020",-7.74%
"Jan. 29, 2020",-5.36%
"Jan. 28, 2020",-6.55%
"Jan. 27, 2020",-4.76%
"Jan. 24, 2020",-4.17%
"Jan. 23, 2020",-2.98%
"Jan. 22, 2020",-5.36%
"Jan. 21, 2020",-7.14%
"Jan. 17, 2020",-4.17%
"Jan. 16, 2020",-5.36%
"Jan. 15, 2020",-5.36%
"Jan. 14, 2020",-4.76%
"Jan. 13, 2020",-3.57%
"Jan. 10, 2020",-5.36%
"Jan. 9, 2020",-4.17%
"Jan. 8, 2020",-4.17%
"Jan. 7, 2020",0.00%
"Jan. 6, 2020",-1.19%
"Jan. 3, 2020",9.52%
"Jan. 2, 2020",7.14%
"Dec. 31, 2019",-49.09%
"Dec. 30, 2019",-53.33%
"Dec. 27, 2019",-53.33%
"Dec. 26, 2019",-51.21%
"Dec. 24, 2019",-50.00%
"Dec. 23, 2019",-50.00%
"Dec. 20, 2019",-50.91%
"Dec. 19, 2019",-50.61%
"Dec. 18, 2019",-49.39%
"Dec. 17, 2019",-46.97%
"Dec. 16, 2019",-46.06%
"Dec. 13, 2019",-45.76%
"Dec. 12, 2019",-43.33%
"Dec. 11, 2019",-39.39%
"Dec. 10, 2019",-37.88%
"Dec. 9, 2019",-35.45%
"Dec. 6, 2019",-36.36%
"Dec. 5, 2019",-37.27%
"Dec. 4, 2019",-36.36%
"Dec. 3, 2019",-40.91%
"Dec. 2, 2019",-31.21%
"Nov. 29, 2019",-17.58%
"Nov. 27, 2019",-17.58%
"Nov. 26, 2019",-17.88%
"Nov. 25, 2019",-18.79%
"Nov. 22, 2019",-22.12%
"Nov. 21, 2019",-25.45%
"Nov. 20, 2019",-27.27%
"Nov. 19, 2019",-29.39%
"Nov. 18, 2019",-28.79%
"Nov. 15, 2019",-27.27%
"Nov. 14, 2019",-25.45%
"Nov. 13, 2019",-27.58%
"Nov. 12, 2019",-29.70%
"Nov. 11, 2019",-27.58%
"Nov. 8, 2019",-30.91%
"Nov. 7, 2019",-31.21%
"Nov. 6, 2019",-41.21%
"Nov. 5, 2019",-38.48%
"Nov. 4, 2019",-37.58%
"Nov. 1, 2019",-30.00%
"Oct. 31, 2019",-30.30%
"Oct. 30, 2019",-26.06%
"Oct. 29, 2019",-25.45%
"Oct. 28, 2019",-26.06%
"Oct. 25, 2019",-25.76%
"Oct. 24, 2019",-26.06%
"Oct. 23, 2019",-28.18%
"Oct. 22, 2019",-26.97%
"Oct. 21, 2019",-27.27%
"Oct. 18, 2019",-28.18%
"Oct. 17, 2019",-29.39%
"Oct. 16, 2019",-30.61%
"Oct. 15, 2019",-30.30%
"Oct. 14, 2019",-26.97%
"Oct. 11, 2019",-32.73%
"Oct. 10, 2019",-34.55%
"Oct. 9, 2019",-39.09%
"Oct. 8, 2019",-36.36%
"Oct. 7, 2019",-30.00%
"Oct. 4, 2019",-30.00%
"Oct. 3, 2019",-30.61%
"Oct. 2, 2019",-32.73%
"Oct. 1, 2019",-34.55%
"Sept. 30, 2019",-28.18%
